0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51216 31144	9	 * 	294.87	DCR|4VULN|3DUR|2DMG|1AART	169DUR|2ASPD|39DMG|4689VULN|5MBVNT|69BPWR|7AART|aRCR
17	21211 35121	8	 * 	271.43	DCR|2VULN|3DUR|2TLV|3ASPD|1DMG	179DUST|267ASPD|3DMG|49VULN|567DUR|679BPWR|89TLV|aRCR
18	51213 35121	8	   	271.43	DCR|2VULN|3DUR|2TLV|3ASPD|1DMG	179DUR|267ASPD|3DMG|49VULN|567DUST|679BPWR|89TLV|aRCR
19	36121 12433	10	 * 	269.69	DCR|3VULN|3DMG|1TLV|1DUR	178ERES|278VULN|3FEWX|4DUR|578DMG|6DLOT|78BPWR|9TLV|aRCR
20	51216 31143	7	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	16DUR|2ASPD|3DMG|469VULN|5MBVNT|6BPWR|7AART|8TLV|aRCR
21	51216 31443	9	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	16DUR|2ASPD|3DMG|469VULN|5MBVNT|6BPWR|7AART|8TLV|aRCR
22	51216 31443	8	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	16DUR|2ASPD|3DMG|469VULN|5MBVNT|6BPWR|7AART|8TLV|aRCR
23	52345 31311	9	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	135DUR|2AART|457aVULN|5BPWR|6FEWX|8RCR|9DMG
24	51123 11663	9	   	268.86	DCR|3VULN|3DUR|1TLV|2ASPD	147DUR|27ASPD|3FEWX|5LIT|679VULN|7BPWR|8RCR|aTLV
25	53151 12121	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2BEXP|378VULN|4RMIN|57DMG|6DLOT|7BPWR|9RCR|aTLV
26	53151 12122	9	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2BEXP|378VULN|4RMIN|57DMG|6DLOT|7BPWR|9RCR|aTLV
27	53151 12152	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2BEXP|378VULN|4RMIN|57DMG|6DLOT|7BPWR|9RCR|aTLV
28	55151 12121	10	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2DUST|378VULN|4RMIN|57DMG|6DLOT|7BPWR|9RCR|aTLV
29	55151 12122	9	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2DUST|378VULN|4RMIN|57DMG|6DLOT|7BPWR|9RCR|aTLV
30	51225 13242	6	   	268.59	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	18DUR|28ASPD|3aDMG|4RMIN|5LIT|68VULN|7RCR|8BPWR|9TLV
31	51216 31712	6	   	267.65	DCR|3VULN|2DUR|1TLV|1DMG	16DUR|2ASPD|3DMG|467VULN|5MBVNT|6BPWR|8RCR|9TLV|aLIT
32	51216 31237	6	   	267.42	DCR|4VULN|3DUR|1DMG	168DUR|2ASPD|3DMG|4679VULN|5MBVNT|6BPWR|aRCR
33	51216 31744	6	   	267.42	DCR|4VULN|3DUR|1DMG	169DUR|2ASPD|3DMG|467aVULN|5MBVNT|6BPWR|8RCR
34	51255 12121	10	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	17DUR|27ASPD|3DMG|4FEWX|578VULN|6DLOT|7BPWR|9RCR|aTLV
35	51255 12122	9	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	17DUR|27ASPD|3DMG|4FEWX|578VULN|6DLOT|7BPWR|9RCR|aTLV
36	51216 31413	6	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	16DUR|29ASPD|3DMG|467VULN|5MBVNT|6BPWR|8TLV|aRCR
37	51235 12121	10	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	17DUR|27ASPD|3DMG|4DUST|578VULN|6DLOT|7BPWR|9RCR|aTLV
38	51235 12122	9	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	17DUR|27ASPD|3DMG|4DUST|578VULN|6DLOT|7BPWR|9RCR|aTLV
39	51235 12152	8	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	17DUR|27ASPD|3DMG|4DUST|578VULN|6DLOT|7BPWR|9RCR|aTLV
