0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21531 15243	9	 * 	309.43	DCR|4VULN|3DUR|2ASPD|1DMG|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aDMG
14	21561 15212	8	   	297.76	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9LIT|aTBNT
15	21531 15241	10	   	297.67	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aLIT
16	21531 15236	10	   	293.18	DCR|4VULN|3DUR|2ASPD|1DMG	1367VULN|29BEXP|47ASPD|567DUR|67BPWR|8RCR|aDMG
17	26531 15212	10	   	293.18	DCR|4VULN|3DUR|2ASPD|1DMG	1367VULN|29LHND|47ASPD|567DUR|67BPWR|8DMG|aRCR
18	21531 15224	8	 * 	292.65	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9RMIN
19	21531 15326	8	   	292.65	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8LHND|9RCR
20	21531 15326	7	   	292.65	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8LWND|9RCR
21	21531 15216	9	   	292.55	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9DUST
22	21531 15224	10	   	292.55	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9MBVNT
23	21531 15227	9	   	292.55	DCR|5VULN|3DUR|2ASPD	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9MBVNT
24	21531 15234	8	   	292.55	DCR|5VULN|3DUR|2ASPD|1NUKE	1367aVULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9NUKE
25	22533 22243	4	 * 	291.98	DCR|4VULN|3DMG|2DUR	1578VULN|2RPLT|358DMG|4BELT|58BPWR|68DUR|9FEWX|aRCR
26	22533 63243	4	   	291.98	DCR|4VULN|3DMG|2DUR	1568VULN|2RPLT|358DMG|4BELT|58BPWR|78DUR|9FEWX|aRCR
27	22533 22233	4	   	291.88	DCR|4VULN|3DMG|2DUR	1578VULN|2RPLT|358DMG|4BELT|58BPWR|68DUR|9DUST|aRCR
28	22533 63233	4	   	291.88	DCR|4VULN|3DMG|2DUR	1568VULN|2RPLT|358DMG|4BELT|58BPWR|78DUR|9DUST|aRCR
29	21511 15234	8	   	291.50	DCR|5VULN|3DUR|1DMG	1367aVULN|2BEXP|47ZMB|567DUR|67BPWR|8RCR|9DMG
30	21561 15322	7	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LWND|9RCR|aCGEN
31	21561 15322	8	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LHND|9RCR|aCGEN
32	21561 12331	7	   	289.55	DCR|4VULN|3DUR|2DMG	1369VULN|2BEXP|49DMG|568DUR|69BPWR|79LHND|aRCR
33	21561 13331	7	   	289.55	DCR|4VULN|3DUR|2DMG	1369VULN|2BEXP|49DMG|568DUR|69BPWR|79LWND|aRCR
34	21561 13331	6	   	289.55	DCR|4VULN|3DUR|2DMG	1369VULN|2BEXP|49DMG|568DUR|69BPWR|79LHND|aRCR
35	21561 15111	9	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|28BEXP|47DMG|567DUR|67BPWR|9LHND|aRCR
36	21561 15121	9	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|28BEXP|47DMG|567DUR|67BPWR|9FEWX|aRCR
37	21561 15211	7	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8MLV|9CGEN|aRCR
38	21561 15221	8	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9RMIN|aRPLT
39	21561 15222	8	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9RMIN|aDMSP
40	21561 15223	8	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|2aBEXP|47DMG|567DUR|67BPWR|8RCR|9RMIN
41	21561 15231	10	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8RCR|aRCVC
42	21561 15231	9	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8RCR|aRMIN
43	21561 15233	10	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8RCR|aCGEN
44	21561 15233	9	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|29aBEXP|47DMG|567DUR|67BPWR|8RCR
45	21561 15331	9	   	289.55	DCR|4VULN|3DUR|2DMG	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8LHND|aRCR
46	21561 15131	9	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|28BEXP|47DMG|567DUR|67BPWR|9DUST|aRCR
47	21561 15323	8	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LHND|9RCR|aERES
48	21561 15323	7	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8LWND|9RCR|aERES
49	21561 15212	9	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9DUST|aCGEN
50	21561 15222	9	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aCGEN
51	21561 15231	8	   	289.45	DCR|4VULN|3DUR|2DMG|1NUKE	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9NUKE|aRPLT
52	21561 15232	9	   	289.45	DCR|4VULN|3DUR|2DMG	1367VULN|29BEXP|47DMG|567DUR|67BPWR|8RCR|aERES
53	21561 15232	8	   	289.45	DCR|4VULN|3DUR|2DMG|1NUKE	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9NUKE|aDMSP
54	21561 15233	8	   	289.45	DCR|4VULN|3DUR|2DMG|1NUKE	1367VULN|2aBEXP|47DMG|567DUR|67BPWR|8RCR|9NUKE
55	21531 15232	10	   	289.36	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|29BEXP|47ASPD|567DUR|67BPWR|8RCR|aTLV
56	21531 15241	9	   	289.36	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aRPLT
57	21531 15243	10	   	289.36	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aRMIN
58	21561 12331	6	   	289.35	DCR|4VULN|3DUR|2DMG	1369VULN|2BEXP|49DMG|568DUR|69BPWR|79DUST|aRCR
59	21561 15213	9	   	289.35	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9DUST|aERES
60	21561 15213	10	   	289.35	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9DUST|aERES
61	21561 15223	10	   	289.35	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aERES
62	21561 15223	9	   	289.35	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aERES
63	21561 15224	9	   	289.35	DCR|4VULN|3DUR|2DMG	1367VULN|2BEXP|47DMG|567DUR|67BPWR|8RCR|9MBVNT|aLEGI
64	21531 15242	10	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TLV|aDLOT
65	21531 15243	8	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9TBNT|aTLV
66	21531 15531	7	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8ERES|9TLV|aRCR
67	21531 15631	8	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8ERES|9TLV|aRCR
68	22361 13563	6	   	289.25	DCR|3VULN|3DUR|2TLV|1DMG|2CDMG	149VULN|2RPLT|36CDMG|569DUR|69BPWR|7RCR|89TLV|aDMG
69	21511 15243	9	   	288.21	DCR|4VULN|3DUR|1DMG|1TLV	1367VULN|2BEXP|47ZMB|567DUR|67BPWR|8RCR|9TLV|aDMG
70	21531 15261	9	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LWND|aCDMG
71	21531 15321	8	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8LHND|9RCR|aCDMG
72	21531 15321	7	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8LWND|9RCR|aCDMG
73	21531 15421	7	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8LHND|9RCR|aCDMG
74	26531 15121	8	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2LHND|47ASPD|567DUR|67BPWR|8BEXP|9RCR|aCDMG
75	26531 15321	7	   	286.76	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2LHND|47ASPD|567DUR|67BPWR|8LWND|9RCR|aCDMG
76	22361 16351	10	   	286.72	DCR|4VULN|3DUR|2CDMG|2LIT	149aVULN|2RPLT|36CDMG|56aDUR|6aBPWR|7RCR|8aLIT
77	21531 15211	9	   	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9DUST|aCDMG
78	21531 15221	9	   	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9MBVNT|aCDMG
79	21531 15235	8	   	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG|1NUKE	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9NUKE|aCDMG
80	21531 15621	7	   	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8DUST|9RCR|aCDMG
81	16315 15223	8	 * 	283.06	DCR|4VULN|3ASPD|2DUR|1CDMG	167ASPD|2LHND|37DUR|4567VULN|67BPWR|8RCVC|9CDMG|aRCR
82	21531 15212	10	   	282.67	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9DUST|aAART
83	21531 15222	10	   	282.67	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9MBVNT|aAART
84	21531 15251	10	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9ZMB|aLIT
85	21531 15211	8	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2aBEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT
86	21531 15213	8	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT|aLHND
87	21531 15214	8	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT|aRPLT
88	21531 15215	8	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT|aCGEN
89	21531 15216	8	   	281.42	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT|aBELT
90	21531 15212	8	   	281.32	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9LIT|aTBNT
91	21531 15227	10	   	281.32	DCR|4VULN|3DUR|2ASPD	1367VULN|2BEXP|47ASPD|567DUR|67BPWR|8RCR|9MBVNT|aLIT
92	22142 63621	9	 * 	280.88	DCR|5VULN|3DMG	1789aVULN|2RPLT|3479aCGEN|579DMG|6RCR|79aBPWR
93	61112 63312	7	   	280.38	DCR|5VULN|3DMG	147ERES|2RPLT|3789aVULN|579DMG|6RCR|79aBPWR
94	61112 63313	7	   	280.38	DCR|5VULN|3DMG	147ERES|2RPLT|3789aVULN|579DMG|6RCR|79BPWR
95	26561 11223	6	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	136VULN|2LHND|49DMG|568DUR|6BPWR|7CDMG|aRCR
