0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22224 22462	6	 * 	282.74	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|29DUR|359DMG|45CGEN|59BPWR|6RCR|7CDMG|89aVULN
31	14321 21352	4	 * 	261.26	DCR|4VULN|3DUR|1AART	1LHND|26aDUR|3468VULN|5TBNT|6BPWR|7AART|9RCR
32	43125 11433	7	   	260.94	DCR|4VULN|3DMG	19aERES|2RCVC|389aVULN|4RMIN|5DMSP|69aDMG|7RCR|9aBPWR
33	43125 11633	8	   	260.94	DCR|4VULN|3DMG	19aERES|2RCVC|389aVULN|4RMIN|5DMSP|69aDMG|7RCR|9aBPWR
34	43125 16233	8	   	260.94	DCR|4VULN|3DMG	19aERES|2RCVC|379aVULN|4RMIN|5DMSP|69aDMG|8RCR|9aBPWR
35	24611 21115	7	   	260.80	DCR|4VULN|3DMG|1SELL	1SELL|2DMSP|379DMG|4678VULN|57CGEN|7BPWR|aRCR
36	22332 14188	1	   	260.70	DCR|4VULN|3DMG|1SELL	1SELL|27aDMG|3MBVNT|457aVULN|6LEGI|7aBPWR|8aCGEN|9RCR
37	22346 24188	1	   	260.70	DCR|4VULN|3DMG|1SELL	1SELL|27aDMG|3MBVNT|47DUST|567aVULN|7aBPWR|8aCGEN|9RCR
38	21315 35438	2	   	260.70	DCR|4VULN|3DMG|1SELL	1SELL|2aCGEN|3MBVNT|469aVULN|56aDMG|6aBPWR|7LEGI|8RCR
39	22124 22462	6	 * 	260.17	DCR|3VULN|3ASPD|2DUR|1CDMG|1SELL	1SELL|29DUR|359ASPD|45CGEN|59BPWR|6RCR|7CDMG|89aVULN
40	45532 12312	7	 * 	260.13	DCR|3VULN|3DUR|3LIT|1ASPD	1ERES|29aDUR|3MLV|4CGEN|59aVULN|6ASPD|79aLIT|8RCR|9aBPWR
41	31365 31622	4	   	260.08	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2TLV|36DUR|4DMSP|56DMG|6BPWR|789aVULN
42	31366 31622	5	   	260.08	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2TLV|36DUR|4DMSP|56DMG|6BPWR|789aVULN
43	22122 22462	6	 * 	260.07	DCR|3VULN|3ASPD|2DUR|1CDMG|1SELL	1SELL|29DUR|359ASPD|4CGEN|6RCR|7CDMG|89aVULN|9BPWR
44	31351 36322	6	   	259.98	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2TLV|34DUR|569aVULN|78DMG
45	31356 21622	6	   	259.98	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2TLV|34DUR|56DMG|789aVULN
46	31356 23622	7	   	259.98	ACR|4VULN|2DMG|2DUR|1TLV	1RCR|2TLV|34DUR|56DMG|789aVULN
47	22162 22462	6	 * 	259.97	DCR|3VULN|2DUR|3ASPD|1CDMG|1SELL	1SELL|29DUR|359ASPD|4ERES|6RCR|7CDMG|89aVULN|9BPWR
48	21411 14315	5	   	259.86	DCR|4VULN|3DUR|1SELL	1SELL|28CGEN|3LIT|478aVULN|568DUR|8BPWR|9RCR
49	21411 24315	6	   	259.86	DCR|4VULN|3DUR|1SELL	1SELL|28CGEN|3LIT|478aVULN|568DUR|8BPWR|9RCR
50	22334 28188	1	 * 	259.52	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	1SELL|2aDMG|3MBVNT|47VULN|5aTLV|68aDUR|9RCR|aBPWR
51	43314 51333	1	   	259.52	DCR|3VULN|3DMG|2ASPD	19aERES|26ASPD|39aDMG|4RCVC|5DMSP|79aVULN|8RCR|9aBPWR
52	43316 51333	1	   	259.52	DCR|3VULN|3DMG|2ASPD	19aERES|26ASPD|39aDMG|45RCVC|79aVULN|8RCR|9aBPWR
53	43334 51333	1	   	259.52	DCR|3VULN|3DMG|2ASPD	19aERES|26ASPD|39aDMG|45DMSP|79aVULN|8RCR|9aBPWR
54	43336 51333	1	   	259.52	DCR|3VULN|3DMG|2ASPD	19aERES|26ASPD|39aDMG|4DMSP|5RCVC|79aVULN|8RCR|9aBPWR
55	31361 34433	6	   	259.11	ACR|5VULN|3DUR|3TLV	1RCR|279TLV|379DUR|4DMSP|56789VULN|79BPWR|aFEWX
56	31361 34432	6	   	259.01	ACR|5VULN|3DUR|3TLV	1RCR|279TLV|379DUR|4DMSP|56789VULN|79BPWR|aTBNT
57	31361 36432	7	   	259.01	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|39aDUR|4DMSP|56789VULN|9BPWR
58	31361 36632	8	   	259.01	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|39aDUR|4DMSP|56789VULN|9BPWR
59	31351 36433	7	   	259.01	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aCGEN
60	31351 36633	8	   	259.01	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aCGEN
61	31351 36431	7	   	258.91	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aBBNT
62	31351 36432	7	   	258.91	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aDUST
63	31351 36631	8	   	258.91	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aBBNT
64	31351 36632	8	   	258.91	ACR|5VULN|3DUR|2TLV	1RCR|29TLV|349DUR|56789VULN|9BPWR|aDUST
65	22133 21362	1	   	258.60	DCR|4VULN|2DMG|1CDMG|1SELL	1SELL|28DMG|3LWND|4679VULN|5CDMG|aRCR
66	14325 22331	5	 * 	258.44	DCR|4VULN|2DUR|1DMG	1LHND|25DUR|3469VULN|7BEXP|8DMG|aRCR
67	54323 23231	5	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|25DUR|3469VULN|7DMG|8LHND|aRCR
68	54323 26231	7	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|25DUR|3479VULN|6DMG|8LHND|aRCR
69	14325 23421	5	   	258.34	DCR|4VULN|2DUR|1DMG	1LHND|25DUR|3468VULN|7DMG|9DUST|aRCR
70	54323 23421	5	   	258.34	DCR|4VULN|2DUR|1DMG	1FEWX|25DUR|3468VULN|7DMG|9DUST|aRCR
71	22223 51356	7	 * 	258.33	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1SELL|2aDUR|37aDMG|4CGEN|5RMIN|6TLV|8aVULN|9RCR|aBPWR
72	14136 22336	7	 * 	258.29	DCR|3VULN|2DUR|3CDMG|1TLV	1aLHND|24DUR|34aCDMG|4aBPWR|5CGEN|6RCR|7TLV|89aVULN
73	22332 24888	1	 * 	258.22	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|27aDMG|3MBVNT|457VULN|67aLHND|7aBPWR|8aTLV|9RCR
74	22325 25438	1	 * 	258.02	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|25aDMG|3MBVNT|4FEWX|69aVULN|7aTLV|8RCR|aBPWR
75	22326 35438	1	 * 	258.02	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|26aDMG|3MBVNT|4FEWX|59aVULN|7aTLV|8RCR|aBPWR
76	22331 14888	1	 * 	258.02	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|27aDMG|3MBVNT|47aVULN|5DMSP|6LEGI|7aBPWR|8aTLV|9RCR
77	22335 15438	1	 * 	257.92	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|25aDMG|3MBVNT|49aVULN|6LEGI|7aTLV|8RCR|aBPWR
78	22345 25438	1	 * 	257.92	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|25aDMG|3MBVNT|4DUST|69aVULN|7aTLV|8RCR|aBPWR
79	22346 35438	1	 * 	257.92	DCR|3VULN|3DMG|2TLV|1SELL	1SELL|26aDMG|3MBVNT|4DUST|59aVULN|7aTLV|8RCR|aBPWR
80	14325 21351	5	 * 	257.91	DCR|5VULN|2DUR	1LHND|25DUR|34678VULN|9RCR|aCGEN
81	14325 21353	5	   	257.91	DCR|5VULN|2DUR	1aLHND|25DUR|34678VULN|9RCR
82	54323 21351	5	   	257.91	DCR|5VULN|2DUR	1FEWX|25DUR|34678VULN|9RCR|aCGEN
83	54323 21353	5	   	257.91	DCR|5VULN|2DUR	1FEWX|25DUR|34678VULN|9RCR|aLHND
84	14325 21352	5	   	257.81	DCR|5VULN|2DUR	1LHND|25DUR|34678VULN|9RCR|aDUST
85	54323 21352	5	   	257.81	DCR|5VULN|2DUR	1FEWX|25DUR|34678VULN|9RCR|aDUST
86	22133 34531	6	   	257.80	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD|1SELL	1SELL|29DUR|3ASPD|49LIT|5TLV|6CGEN|79aVULN|8RCR|9BPWR
87	21411 14311	5	 * 	257.28	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|28CGEN|3LIT|478VULN|568DUR|8BPWR|9RCR|aDMG
88	21411 24311	6	 * 	257.28	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|28CGEN|3LIT|478VULN|568DUR|8BPWR|9RCR|aDMG
89	21451 14311	6	 * 	257.28	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|28CGEN|3LIT|458DUR|678VULN|8BPWR|9RCR|aDMG
90	21451 14311	5	 * 	257.28	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|28CGEN|3LIT|458DUR|678VULN|8BPWR|9RCR|aDMG
91	24423 13315	4	 * 	257.18	DCR|3VULN|3DUR|2TLV|1SELL	1SELL|2DMSP|38TLV|4LIT|578DUR|68aVULN|8BPWR|9RCR
92	32552 33321	8	   	257.16	ACR|4VULN|3DUR|2DMG	1RCR|2RMIN|369aVULN|47aDUR|5RCVC|8aDMG|aBPWR
93	22224 24512	10	 * 	257.04	DCR|2VULN|3DMG|2DUR|2LIT|1SELL	1SELL|2aDUR|359DMG|45CGEN|5aBPWR|6RCR|7aLIT|8aVULN
94	14321 21354	4	   	256.34	DCR|4VULN|2DUR|1AART	1LHND|26DUR|3468VULN|5TBNT|6BPWR|7AART|9RCR|aLIT
95	53324 21362	2	   	256.19	DCR|4VULN|2DMG|1ASPD	1FEWX|2RCVC|38DMG|4679VULN|5ASPD|aRCR
96	43362 21362	1	   	256.09	DCR|4VULN|2DMG|1ASPD	1ERES|2ASPD|38DMG|4RMIN|5679VULN|aRCR
97	22223 22116	7	 * 	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|28aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|9aVULN|aBPWR
98	22223 22356	7	 * 	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|29aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|8aVULN|aBPWR
99	22223 22656	8	 * 	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|29aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|8aVULN|aBPWR
100	22223 24116	6	 * 	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|28aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|9aVULN|aBPWR
101	22223 24356	6	 * 	255.91	DCR|2VULN|3DUR|2DMG|1TLV|1SELL	1SELL|29aDUR|3aDMG|4CGEN|5RMIN|6RCR|7TLV|8aVULN|aBPWR
102	22224 22463	6	 * 	255.83	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|29DUR|359DMG|45CGEN|59BPWR|6RCR|7CDMG|89VULN|aLHND
103	14321 21356	4	   	255.81	DCR|4VULN|2DUR|2AART	1LHND|26DUR|3468VULN|5TBNT|6BPWR|7aAART|9RCR
104	22224 22461	6	 * 	255.73	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1SELL|29DUR|359DMG|45CGEN|59BPWR|6RCR|7CDMG|89VULN|aDLOT
105	31351 61321	10	   	255.62	ACR|4VULN|3DUR|1DMG|1TLV	1RCR|2TLV|346DUR|579aVULN|8DMG
106	31351 33321	10	   	255.62	ACR|4VULN|3DUR|1DMG|1TLV	1RCR|2TLV|347DUR|569aVULN|8DMG
107	45331 24331	5	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	19ERES|2DUR|3RCVC|469VULN|5TLV|7DUST|89DMG|9BPWR|aRCR
108	46332 21261	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|23DMG|4DUR|567VULN|8BEXP|9TLV|aRCR
109	22332 24882	1	   	254.90	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|27DMG|3MBVNT|457VULN|67LHND|7BPWR|8TLV|9RCR|aDUR
110	12325 32634	6	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2LWND|348aVULN|5DUR|6DMG|7ASPD|9RCR
111	52313 14324	9	   	254.82	DCR|4VULN|2DUR|1TLV	17FEWX|2LWND|379aVULN|4TLV|5ZMB|67DUR|7BPWR|8RCR
112	22332 14882	1	   	254.70	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1SELL|27DMG|3MBVNT|457VULN|6LEGI|7BPWR|8TLV|9RCR|aDUR
113	22335 24148	1	   	254.31	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|257DMG|3MBVNT|47aVULN|67LHND|7BPWR|8TLV|9RCR
114	22335 14148	1	   	254.11	DCR|3VULN|3DMG|1TLV|1SELL	1SELL|257DMG|3MBVNT|47aVULN|6LEGI|7BPWR|8TLV|9RCR
115	31361 36433	7	   	254.09	ACR|5VULN|2DUR|2TLV	1RCR|29TLV|39DUR|4DMSP|56789VULN|9BPWR|aLIT
116	31361 36633	8	   	254.09	ACR|5VULN|2DUR|2TLV	1RCR|29TLV|39DUR|4DMSP|56789VULN|9BPWR|aLIT
117	22222 51356	7	   	253.68	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	1SELL|2aDUR|37DMG|4aCGEN|5ASPD|6TLV|8aVULN|9RCR|aBPWR
118	31351 36325	8	   	253.40	ACR|4VULN|2DUR|1DMG|1TLV|1ASPD	1RCR|2TLV|34DUR|5679VULN|8DMG|aASPD
119	54323 22331	5	 * 	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|25DUR|346VULN|7BEXP|89DMG|aRCR
120	54323 23631	5	   	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|25DUR|346VULN|79DMG|8LWND|aRCR
121	54323 26131	8	   	253.38	DCR|3VULN|2DMG|2DUR	1FEWX|25DUR|347VULN|69DMG|8LWND|aRCR
122	43625 11333	6	   	253.38	DCR|3VULN|2DMG|3ASPD	19aERES|2RCVC|36DMG|49aVULN|5DMSP|79aASPD|8RCR|9aBPWR
123	46225 11333	6	   	253.38	DCR|3VULN|2DMG|3ASPD	19aERES|26DMG|35DMSP|49aVULN|79aASPD|8RCR|9aBPWR
124	26513 21622	6	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|2RPLT|37aVULN|4ZMB|57DUR|67DMG|7BPWR|8RCR|9LWND
125	54323 26311	9	   	253.28	DCR|3VULN|2DMG|2DUR	1FEWX|25DUR|347VULN|68DMG|9DUST|aRCR
126	54323 26321	8	   	253.28	DCR|3VULN|2DMG|2DUR	1FEWX|25DUR|347VULN|68DMG|9DUST|aRCR
127	31325 23133	3	 * 	252.89	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1RCR|2aTLV|36aDUR|4BBNT|567DMG|6aBPWR|8aVULN|9AART
128	31525 23133	2	   	252.89	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1RCR|2aTLV|36aDUR|4BBNT|567DMG|6aBPWR|8aVULN|9AART
129	31625 23133	1	   	252.89	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1RCR|2BBNT|3aTLV|46aDUR|567DMG|6aBPWR|8aVULN|9AART
130	35625 23133	1	   	252.89	ACR|2VULN|3DMG|3DUR|2TLV|1AART	1RCR|2TBNT|3aTLV|46aDUR|567DMG|6aBPWR|8aVULN|9AART
131	22352 28438	1	   	252.85	ACR|3VULN|3DMG|2DUR|1TLV|1SELL	1SELL|28aDMG|3MBVNT|4RCR|5TLV|6aDUR|79aVULN|aBPWR
