0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62652 13211	9	 * 	297.36	DCR|4VULN|3DMG|2CDMG|1TLV	138DMG|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aTLV
40	22655 13212	10	 * 	278.50	DCR|4VULN|3ASPD|2TLV|2CDMG	138ASPD|2346VULN|38BPWR|58TLV|78CDMG|9RCR|aBEXP
41	22655 13213	10	   	278.50	DCR|4VULN|3ASPD|2TLV|2CDMG	138ASPD|2346VULN|38BPWR|58TLV|78CDMG|9RCR|aRPLT
42	22655 13213	9	   	278.50	DCR|4VULN|3ASPD|2TLV|2CDMG	138ASPD|2346VULN|38BPWR|58TLV|78CDMG|9RCR|aBEXP
43	22655 13211	10	   	278.40	DCR|4VULN|3ASPD|2TLV|2CDMG	138ASPD|2346VULN|38BPWR|58TLV|78CDMG|9RCR|aLEGI
44	22655 13211	9	 * 	278.40	DCR|4VULN|3ASPD|3TLV|2CDMG	138ASPD|2346VULN|38BPWR|58aTLV|78CDMG|9RCR
45	22655 13212	9	   	278.40	DCR|4VULN|3ASPD|2TLV|2CDMG	138ASPD|2346VULN|38BPWR|58TLV|78CDMG|9RCR|aBBNT
46	52232 26612	9	 * 	277.98	DCR|5VULN|2DUR|1DMG	157ERES|24578VULN|3DMSP|57BPWR|67DUR|9DMG|aRCR
47	62623 23263	3	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	13DMG|239aVULN|3BPWR|48LHND|5TLV|6DUR|7RCR
48	62651 31222	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	13DMG|234aVULN|3BPWR|5DUR|6BEXP|7DUST|8RCR|9TLV
49	22611 14251	8	   	277.44	DCR|3VULN|3DMG|3ASPD	138ASPD|238VULN|38BPWR|4ERES|5CGEN|678DMG|9RCR|aLIT
50	22222 14651	8	   	277.34	DCR|3VULN|3DMG|3ASPD	148ASPD|268VULN|3LEGI|578DMG|8BPWR|9RCR|aLIT
51	61336 41121	9	   	277.09	DCR|4VULN|3DMG|1TLV	157DMG|2CGEN|3ERES|456aVULN|5BPWR|8RCR|9TLV
52	61336 41122	10	   	277.09	DCR|4VULN|3DMG|1TLV	157DMG|2CGEN|3ERES|456aVULN|5BPWR|8RCR|9TLV
53	62611 41121	9	   	277.09	DCR|4VULN|3DMG|1TLV	137DMG|236aVULN|3BPWR|4ERES|5CGEN|8RCR|9TLV
54	62611 41122	10	   	277.09	DCR|4VULN|3DMG|1TLV	137DMG|236aVULN|3BPWR|4ERES|5CGEN|8RCR|9TLV
55	61336 15121	9	   	277.09	DCR|4VULN|3DMG|1TLV	156DMG|2CGEN|3ERES|457aVULN|5BPWR|8RCR|9TLV
56	61336 15122	10	   	277.09	DCR|4VULN|3DMG|1TLV	156DMG|2CGEN|3ERES|457aVULN|5BPWR|8RCR|9TLV
57	62611 15121	9	   	277.09	DCR|4VULN|3DMG|1TLV	136DMG|237aVULN|3BPWR|4ERES|5CGEN|8RCR|9TLV
58	62611 15122	10	   	277.09	DCR|4VULN|3DMG|1TLV	136DMG|237aVULN|3BPWR|4ERES|5CGEN|8RCR|9TLV
59	22621 21333	6	   	276.42	DCR|4VULN|2DMG|3ASPD	137ASPD|2379VULN|379BPWR|4579CGEN|6RPLT|89DMG|aRCR
60	62642 12123	6	   	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	13DMG|236VULN|3BPWR|4DUR|5aASPD|7TLV|8FEWX|9RCR
61	22611 41241	8	   	276.12	DCR|4VULN|2DMG|3ASPD	138ASPD|2368VULN|38BPWR|4ERES|5CGEN|78DMG|9RPLT|aRCR
62	62652 13232	6	   	276.12	DCR|4VULN|2DMG|2DUR	13DMG|2346VULN|3BPWR|5MLV|7aDUR|8CGEN|9RCR
63	62641 33111	4	 * 	276.04	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6CGEN|78TLV|9BEXP|aRCR
64	62641 33131	4	   	276.04	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6CGEN|78TLV|9LWND|aRCR
65	62651 33111	3	   	276.04	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6CGEN|78TLV|9BEXP|aRCR
66	62651 33131	3	   	276.04	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6CGEN|78TLV|9LWND|aRCR
67	62641 13111	4	   	275.94	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6ERES|78TLV|9BEXP|aRCR
68	62641 13131	4	   	275.94	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6ERES|78TLV|9LWND|aRCR
69	62651 13111	3	   	275.94	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6ERES|78TLV|9BEXP|aRCR
70	62651 13131	3	   	275.94	DCR|2VULN|3DMG|2DUR|2TLV|1CDMG	138DMG|23VULN|38BPWR|48DUR|5CDMG|6ERES|78TLV|9LWND|aRCR
71	22655 13232	6	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	13ASPD|2346VULN|3BPWR|5TLV|7aDUR|8CGEN|9RCR
72	22334 14231	8	   	275.87	DCR|3VULN|3DMG|2ASPD|1TLV	18ASPD|248VULN|3CGEN|5TLV|678DMG|8BPWR|9RPLT|aRCR
73	62334 14231	8	   	275.87	DCR|3VULN|3DMG|2ASPD|1TLV	168DMG|248VULN|3CGEN|5TLV|78ASPD|8BPWR|9RPLT|aRCR
74	52632 32223	9	   	275.83	DCR|5VULN|2DMG|1ASPD	135ERES|23459VULN|359BPWR|69CGEN|7RCR|89DMG|aASPD
75	52621 41212	9	   	275.73	DCR|5VULN|2DMG|1ASPD	138ERES|23689VULN|38BPWR|4ASPD|5CGEN|78DMG|aRCR
76	62631 62232	4	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2379VULN|3BPWR|4LWND|5CDMG|6LHND|8RCR|aDUR
77	62621 22232	3	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2379VULN|3BPWR|4LHND|5CDMG|6DUST|8RCR|aDUR
78	62631 22232	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2379VULN|3BPWR|4LWND|5CDMG|6DUST|8RCR|aDUR
79	62641 22231	4	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR|aBBNT
80	62651 22231	3	   	274.99	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2379VULN|3BPWR|4DUR|5CDMG|6DUST|8RCR|aBBNT
81	22313 16223	10	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|268VULN|3CGEN|49DUR|5RPLT|78DMG|8BPWR|aRCR
82	22652 13211	9	   	274.79	DCR|4VULN|3ASPD|2CDMG|1TLV	138ASPD|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aTLV
83	22652 13212	9	   	274.79	DCR|4VULN|3ASPD|2CDMG|1DUR	138ASPD|2346VULN|38BPWR|58MLV|78CDMG|9RCR|aDUR
84	62633 21151	4	   	274.72	DCR|3VULN|3DMG|2CDMG|1TLV	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ZMB|9RCR|aRMIN
85	62633 21153	4	   	274.72	DCR|3VULN|3DMG|2CDMG|1TLV	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ZMB|9RCR|aLHND
86	62621 13211	9	   	274.72	DCR|3VULN|3DMG|2CDMG|1TLV	138DMG|236VULN|38BPWR|458CGEN|78CDMG|9RCR|aTLV
87	62621 13212	9	   	274.72	DCR|3VULN|3DMG|2CDMG|1DUR	138DMG|236VULN|38BPWR|458CGEN|78CDMG|9RCR|aDUR
88	22622 25623	3	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	13ASPD|23aVULN|3BPWR|4LHND|58DMG|69DUR|7RCR
89	22334 46122	5	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	189ASPD|248aVULN|3CGEN|5TLV|6RCR|78CDMG|8BPWR
90	22336 46122	4	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	189ASPD|248aVULN|3CGEN|5TLV|6RCR|78CDMG|8BPWR
91	22614 21225	8	   	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	138ASPD|2378VULN|38BPWR|4ERES|5TLV|68CDMG|9RPLT|aRCR
92	22531 63224	7	   	274.64	DCR|4VULN|2DUR|2ASPD|2LIT	19ASPD|249aVULN|3FEWX|58LIT|6RCR|79DUR|9BPWR
93	62632 36111	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	138DMG|238VULN|38BPWR|4TLV|5LEGI|6CGEN|78CDMG|9BEXP|aRCR
94	62632 36131	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	138DMG|238VULN|38BPWR|4TLV|5LEGI|6CGEN|78CDMG|9LWND|aRCR
95	62633 21152	4	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ZMB|9RCR|aDUST
96	62633 21511	4	   	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	137DMG|237VULN|37BPWR|4LWND|5TLV|67CDMG|8ERES|9BEXP|aRCR
97	62651 21121	10	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9aTLV
98	62651 21123	9	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9aTLV
99	52632 32222	10	   	274.49	DCR|5VULN|2DMG	135ERES|23459VULN|359BPWR|69CGEN|7RCR|89DMG|aAART
100	62612 63111	5	   	274.37	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	138DMG|238VULN|38BPWR|4ERES|5SELL|6DUR|78TLV|9BEXP|aRCR
101	62612 63131	5	   	274.37	DCR|3VULN|3DMG|2TLV|1DUR|1SELL	138DMG|238VULN|38BPWR|4ERES|5SELL|6DUR|78TLV|9LWND|aRCR
102	22652 15112	7	   	274.30	DCR|5VULN|2ASPD|1DUR	13ASPD|23469VULN|3BPWR|5MLV|7AART|8DUR|aRCR
103	52632 12612	9	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	135ERES|23458VULN|35BPWR|6ASPD|7TLV|9DMG|aRCR
104	22661 31333	3	 * 	273.65	DCR|3VULN|2DMG|3ASPD|2CDMG	137ASPD|239VULN|379BPWR|4MBVNT|57CDMG|679CGEN|89DMG|aRCR
105	62633 14332	3	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	13DMG|235VULN|3BPWR|47TLV|6MLV|8aDUR|9RCR
106	22644 13233	6	   	273.36	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	13ASPD|236VULN|3BPWR|47DUR|5TLV|8CGEN|9RCR|aDMG
107	22641 62232	4	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2379VULN|3BPWR|4aDUR|5CDMG|6LHND|8RCR
108	22651 22232	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2349VULN|3BPWR|5aDUR|6CDMG|7LHND|8RCR
109	22651 24232	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2349VULN|3BPWR|5aDUR|6CDMG|7LWND|8RCR
110	22651 24232	7	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2349VULN|3BPWR|5aDUR|6CDMG|7LHND|8RCR
111	22651 62232	3	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2379VULN|3BPWR|4aDUR|5CDMG|6LHND|8RCR
112	22641 22232	4	   	273.24	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2379VULN|3BPWR|4aDUR|5CDMG|6DUST|8RCR
113	22651 22232	3	   	273.24	DCR|4VULN|2DUR|2ASPD|1CDMG	13ASPD|2379VULN|3BPWR|4aDUR|5CDMG|6DUST|8RCR
114	52632 32224	9	   	273.14	DCR|5VULN|2DMG	135ERES|23459VULN|359BPWR|69CGEN|7RCR|89DMG|aLIT
115	22536 23612	5	   	273.01	DCR|4VULN|3DUR|2ASPD	18ASPD|248aVULN|3FEWX|5MLV|678DUR|8BPWR|9RCR
116	62613 31531	4	   	272.94	DCR|5VULN|2DMG	13DMG|23579VULN|3BPWR|4ERES|6BBNT|8RCR|aLIT
117	22534 23612	4	   	272.91	DCR|4VULN|3DUR|2ASPD	18ASPD|248aVULN|3FEWX|5ERES|678DUR|8BPWR|9RCR
118	62641 33232	6	   	272.72	DCR|3VULN|3DMG|1DUR	139DMG|239VULN|39BPWR|4DUR|5LIT|689LWND|7AART|aRCR
119	62652 13233	6	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	13DMG|2346VULN|3BPWR|5MLV|7DUR|8CGEN|9RCR|aASPD
120	62651 13121	10	   	272.52	DCR|3VULN|3DMG|1DUR	136DMG|234VULN|3BPWR|5DUR|7LIT|8LHND|9RCR|aAART
121	22634 21351	5	   	272.21	DCR|3VULN|3ASPD|1DMG|2CDMG|1TLV	137ASPD|237VULN|37BPWR|4LWND|5TLV|67CDMG|8DMG|9RCR|aRMIN
122	22634 21353	5	   	272.21	DCR|3VULN|3ASPD|1DMG|2CDMG|1TLV	137ASPD|237VULN|37BPWR|4LWND|5TLV|67CDMG|8DMG|9RCR|aLHND
123	22634 21352	5	   	272.11	DCR|3VULN|3ASPD|1DMG|2CDMG|1TLV	137ASPD|237VULN|37BPWR|4LWND|5TLV|67CDMG|8DMG|9RCR|aDUST
124	22531 63221	7	   	272.06	DCR|3VULN|2DUR|2ASPD|1DMG|2LIT	19ASPD|249VULN|3FEWX|58LIT|6RCR|79DUR|9BPWR|aDMG
125	22643 12422	4	   	271.01	DCR|4VULN|2ASPD|1TLV|1DUR	13ASPD|2367VULN|3BPWR|4DUR|5RPLT|8AART|9TLV|aRCR
126	22653 12422	3	   	271.01	DCR|4VULN|2ASPD|1TLV|1DUR	13ASPD|2367VULN|3BPWR|4DUR|5RPLT|8AART|9TLV|aRCR
127	62651 21111	10	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9ZMB|aTLV
128	62651 21113	9	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9ZMB|aTLV
129	62651 21123	10	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9TLV|aLHND
130	62651 22133	5	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	139DMG|234VULN|3BPWR|5DUR|6ZMB|7TLV|8FEWX|aRCR
131	62651 21121	9	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9TLV|aERES
132	62651 21122	9	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	137DMG|234VULN|3BPWR|5DUR|6DMSP|8RCR|9TLV|aBBNT
133	62633 14333	3	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	13DMG|235VULN|3BPWR|47TLV|6MLV|8DUR|9RCR|aASPD
134	62621 61321	4	   	269.85	DCR|4VULN|2DMG|1TLV	13DMG|236aVULN|3BPWR|48CGEN|5LIT|7TLV|9RCR
135	22624 16231	8	   	269.83	DCR|3VULN|2DMG|3ASPD|1TLV	138ASPD|238VULN|38BPWR|4CGEN|5TLV|68DMG|7RCVC|9RPLT|aRCR
136	62631 61222	3	   	269.75	DCR|4VULN|2DMG|1TLV	13DMG|2369VULN|3BPWR|4TLV|5LIT|7TBNT|8BELT|aRCR
137	62653 11222	6	   	269.75	DCR|4VULN|2DMG|1TLV	13DMG|2349VULN|3BPWR|5LIT|6TLV|7TBNT|8BELT|aRCR
138	62623 23223	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|23aVULN|3BPWR|48LHND|5TLV|69DUR|7RCR
139	62621 11332	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|236VULN|3BPWR|45CGEN|7TLV|8aDUR|9RCR
140	62621 13432	6	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|236VULN|3BPWR|45CGEN|7aDUR|8TLV|9RCR
141	62623 41332	4	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|235VULN|3BPWR|4CGEN|6RCVC|7TLV|8aDUR|9RCR
142	62633 13332	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|235VULN|3BPWR|4TLV|6MLV|7DMSP|8aDUR|9RCR
143	62633 43232	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|235VULN|3BPWR|4TLV|6RCVC|7aDUR|8CGEN|9RCR
144	62652 13332	5	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	13DMG|234VULN|3BPWR|5MLV|6TLV|7DMSP|8aDUR|9RCR
145	62622 21351	5	   	269.47	DCR|3VULN|3DMG|2CDMG|1ASPD	137DMG|237VULN|37BPWR|4CGEN|5LWND|67CDMG|8ASPD|9RCR|aRMIN
146	62622 21353	5	   	269.47	DCR|3VULN|3DMG|2CDMG|1ASPD	137DMG|237VULN|37BPWR|4CGEN|5LWND|67CDMG|8ASPD|9RCR|aLHND
147	62621 13215	10	   	269.47	DCR|3VULN|3DMG|2CDMG|1ASPD	138DMG|236VULN|38BPWR|458CGEN|78CDMG|9RCR|aASPD
148	62642 33333	7	   	269.38	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	137DMG|23VULN|3BPWR|49DUR|5ASPD|6DUST|8TLV|aRCR
149	62622 21352	5	   	269.37	DCR|3VULN|3DMG|2CDMG|1ASPD	137DMG|237VULN|37BPWR|4CGEN|5LWND|67CDMG|8ASPD|9RCR|aDUST
150	62132 63123	2	 * 	269.24	DCR|3VULN|3DMG|2DUR	148DMG|248VULN|3BELT|48BPWR|5DMSP|6TBNT|78DUR|9CGEN|aRCR
151	63332 63123	2	   	269.24	DCR|3VULN|3DMG|2DUR	148DMG|2BELT|348VULN|48BPWR|5DMSP|6TBNT|78DUR|9CGEN|aRCR
152	22122 14653	8	   	269.14	DCR|3VULN|3DMG|3ASPD	148ASPD|26aVULN|38LHND|578DMG|8BPWR|9RCR
153	22611 14252	8	   	269.14	DCR|3VULN|3DMG|3ASPD	138ASPD|238VULN|38BPWR|4ERES|5CGEN|678DMG|9RCR|aRPLT
154	22222 14652	8	   	269.04	DCR|3VULN|3DMG|3ASPD	148ASPD|268VULN|3LEGI|578DMG|8BPWR|9RCR|aRPLT
155	22611 14214	8	   	269.04	DCR|3VULN|3DMG|3ASPD	138ASPD|238VULN|38BPWR|4ERES|5CGEN|678DMG|9BBNT|aRCR
156	52232 26622	8	   	268.92	DCR|5VULN|2DUR|1ASPD	157ERES|24578VULN|3DMSP|57BPWR|67DUR|9ASPD|aRCR
157	62612 61213	5	   	268.79	DCR|3VULN|3DMG|2DUR|1SELL	137DMG|238VULN|37BPWR|479ERES|5SELL|67DUR|aRCR
158	22642 14313	10	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	13ASPD|236VULN|3BPWR|4DUR|57DMG|8LIT|9LHND|aRCR
159	22651 14313	10	   	268.42	DCR|3VULN|2DMG|2ASPD|1DUR	13ASPD|234VULN|3BPWR|5DUR|67DMG|8LIT|9LHND|aRCR
160	62136 61213	2	 * 	268.33	DCR|2VULN|3DMG|2DUR|3CDMG	149DMG|24VULN|3BELT|49BPWR|579CDMG|69DUR|8TBNT|aRCR
161	63336 61213	2	   	268.33	DCR|2VULN|3DMG|2DUR|3CDMG	149DMG|2BELT|34VULN|49BPWR|579CDMG|69DUR|8TBNT|aRCR
162	22642 12123	6	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	13aASPD|236VULN|3BPWR|4DUR|5DMG|7TLV|8FEWX|9RCR
163	22651 12123	6	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	13aASPD|234VULN|3BPWR|5DUR|6DMG|7TLV|8FEWX|9RCR
164	22624 42322	5	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	139ASPD|237aVULN|3BPWR|4CGEN|5TLV|6RCR|8CDMG
165	22626 42322	4	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	139ASPD|237aVULN|3BPWR|4CGEN|5TLV|6RCR|8CDMG
166	22641 62233	4	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2379VULN|3BPWR|4DUR|5CDMG|6LHND|8RCR
167	22651 22233	6	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2349VULN|3BPWR|5DUR|6CDMG|7LHND|8RCR
168	22651 24233	7	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	13aASPD|2349VULN|3BPWR|5DUR|6CDMG|7LHND|8RCR
