0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33423 63225	3	 * 	302.90	DCR|5VULN|3DMG|1TLV	179LWND|2AART|379DMG|45789VULN|6RCR|79BPWR|aTLV
68	12534 21121	4	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34BEXP|4aBPWR|56DMG|7aCDMG|9RCR
69	12534 21121	5	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34BEXP|4aBPWR|56DMG|7aCDMG|9RCR
70	12324 21621	2	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	13aVULN|28aDUR|4BEXP|56DMG|7aCDMG|9RCR|aBPWR
71	12134 21121	4	   	275.71	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34DUST|4aBPWR|56DMG|7aCDMG|9RCR
72	12134 21121	5	   	275.71	DCR|3VULN|3DUR|2DMG|2CDMG	18aVULN|24aDUR|34DUST|4aBPWR|56DMG|7aCDMG|9RCR
73	11234 51142	9	   	275.47	DCR|4VULN|1TLV|1DMG|1DUR	1456VULN|2ASPD|3AART|7DMG|8DUR|9TLV|aRCR
74	11411 23435	5	   	275.24	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	17VULN|2ASPD|37TLV|4CGEN|5DUR|678DMG|7BPWR|9CDMG|aRCR
75	11423 23435	5	   	275.24	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	17VULN|2ASPD|37TLV|4DUR|5CGEN|678DMG|7BPWR|9CDMG|aRCR
76	12463 33412	3	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1469VULN|2DUR|35DMG|7RCR|8RPLT|aTLV
77	12663 33412	1	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1469VULN|25DMG|3DUR|7RCR|8RPLT|aTLV
78	13413 53122	6	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1679VULN|2AART|39DMG|4ZMB|5DUR|89ASPD|9BPWR|aRCR
79	13413 54122	7	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1679VULN|2AART|39DMG|4ZMB|5DUR|89ASPD|9BPWR|aRCR
80	13431 43122	5	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1579VULN|2AART|39DMG|4DUR|6ZMB|89ASPD|9BPWR|aRCR
81	13432 53122	6	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1679VULN|2AART|39DMG|4DUR|5ZMB|89ASPD|9BPWR|aRCR
82	13432 54122	7	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1679VULN|2AART|39DMG|4DUR|5ZMB|89ASPD|9BPWR|aRCR
83	13433 43122	4	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1579VULN|2AART|39DMG|4DUR|6ZMB|89ASPD|9BPWR|aRCR
84	13433 43122	3	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	1579VULN|2AART|39DMG|4DUR|6ZMB|89ASPD|9BPWR|aRCR
85	12363 64133	8	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	168aVULN|2DUR|3LIT|4MBVNT|56TLV|6BPWR|7RCR|9DMG
86	11234 52251	10	   	273.75	DCR|5VULN|1TLV|1DUR	14567VULN|2ASPD|3AART|8TLV|9RCR|aDUR
87	13462 63233	2	 * 	273.72	DCR|5VULN|2TLV|1DUR	13789VULN|2AART|37BPWR|47LWND|57TLV|6RCR|aDUR
88	13462 63233	1	   	273.72	DCR|5VULN|2TLV|1DUR	13789VULN|2AART|37BPWR|47LWND|57TLV|6RCR|aDUR
89	12443 31273	1	   	273.51	DCR|3VULN|3DMG|1TLV|3LIT	138VULN|238DMG|38BPWR|4BELT|58aLIT|6MBVNT|7RCR|9TLV
90	21424 33631	10	 * 	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	146DUR|2aASPD|3TLV|5aVULN|7RCR|8aDMG|9LEGI|aBPWR
91	13243 28222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1789VULN|2AART|3RCVC|4MBVNT|59DMG|69DUR|9BPWR|aRCR
92	13243 88222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1689VULN|2AART|3RCVC|4MBVNT|59DMG|79DUR|9BPWR|aRCR
93	13643 28222	1	   	273.23	DCR|4VULN|2DMG|2DUR	1789VULN|2AART|3RCVC|4MBVNT|59DMG|69DUR|9BPWR|aRCR
94	13643 28222	2	   	273.23	DCR|4VULN|2DMG|2DUR	1789VULN|2AART|3RCVC|4MBVNT|59DMG|69DUR|9BPWR|aRCR
95	43323 28222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1DMSP|2MBVNT|3AART|4789VULN|59DMG|69DUR|9BPWR|aRCR
96	43323 88222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1DMSP|2MBVNT|3AART|4689VULN|59DMG|79DUR|9BPWR|aRCR
97	43334 28222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1DMSP|2MBVNT|3AART|49DMG|5789VULN|69DUR|9BPWR|aRCR
98	43334 88222	3	   	273.23	DCR|4VULN|2DMG|2DUR	1DMSP|2MBVNT|3AART|49DMG|5689VULN|79DUR|9BPWR|aRCR
99	43363 28222	4	   	273.23	DCR|4VULN|2DMG|2DUR	1DMSP|2MBVNT|3AART|4789VULN|59DMG|69DUR|9BPWR|aRCR
