0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41153 11115	10	 * 	285.21	DCR|3VULN|2DMG|2TLV|2DUR	19DUR|289VULN|3aDMG|4LIT|5RPLT|6RCR|79TLV|9BPWR
39	41153 11611	9	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|29VULN|38DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLHND
40	41153 11611	10	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|29VULN|38DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aBELT
41	41153 11612	9	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|29VULN|38DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLWND
42	41153 11612	10	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|29VULN|38DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aDUST
43	41251 21331	10	 * 	259.57	DCR|4VULN|1DMG|2CDMG|1DUR	1DUR|268aVULN|3ERES|4LIT|56CDMG|6BPWR|7DMG|9RCR
44	41153 11124	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|289VULN|3DMG|4LIT|5RPLT|6RCR|7TLV
45	41531 12633	3	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|245VULN|3DLOT|5BPWR|6DMG|7ZMB|8ASPD|9RCR|aTLV
46	41621 61113	8	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	19DUR|25aVULN|3RPLT|4TLV|6DMG|7ASPD|8RCR
47	41151 25322	6	 * 	259.24	DCR|3VULN|2DUR|3CDMG|1DMG	18DUR|267VULN|3DMG|4LIT|569CDMG|6BPWR|aRCR
48	41116 42311	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|47CGEN|5aTLV|6BBNT|8RCR|aBPWR
49	41116 61311	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|46CGEN|5aTLV|7TBNT|8RCR|aBPWR
50	41116 63311	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|46CGEN|5aTLV|7BBNT|8RCR|aBPWR
51	41216 42311	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|47CGEN|5aTLV|6BBNT|8RCR|aBPWR
52	41216 61311	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|46CGEN|5aTLV|7TBNT|8RCR|aBPWR
53	41216 63311	2	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1aDUR|29aVULN|3DMG|46CGEN|5aTLV|7BBNT|8RCR|aBPWR
54	33146 36131	8	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|28DUR|3DMG|4CGEN|58TLV|6ERES|78aVULN|8BPWR|9RCR
55	33166 16131	8	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|28DUR|3DMG|4ERES|58TLV|6CGEN|78aVULN|8BPWR|9RCR
56	42333 22553	7	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT|1NUKE	169DUR|2RPLT|3NUKE|4TLV|59aVULN|79LIT|8RCR|9BPWR
57	44326 22121	4	   	259.06	DCR|3VULN|3DUR|1TLV|2LIT	134DUR|23LIT|3BPWR|568VULN|7TLV|9RCR|aBBNT
58	33416 33163	7	   	258.05	DCR|3VULN|3DUR|1TLV|1CDMG	1aBEXP|27aDUR|3CDMG|4TLV|59aVULN|6RCR|8RPLT|aBPWR
59	42111 43333	10	   	258.05	DCR|2VULN|3DUR|2TLV|1CDMG	139DUR|2RPLT|49TLV|5CDMG|6LIT|7RCR|89VULN|9BPWR|aASPD
60	42113 53333	10	   	258.05	DCR|2VULN|3DUR|2TLV|1CDMG	139DUR|2RPLT|49TLV|5LIT|6CDMG|7RCR|89VULN|9BPWR|aASPD
61	41312 24314	5	 * 	258.01	DCR|3DMG|3DUR|1VULN|1TLV|2LIT	138DUR|2VULN|4RPLT|589DMG|68LIT|7RCR|8BPWR|aTLV
62	42122 24314	5	   	258.01	DCR|3DMG|3DUR|1VULN|1TLV|2LIT	138DUR|2RPLT|4VULN|589DMG|68LIT|7RCR|8BPWR|aTLV
63	33416 33223	7	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1BEXP|278DUR|3CDMG|4TLV|59aVULN|6RCR
64	53416 33223	7	   	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1FEWX|278DUR|3CDMG|4TLV|59aVULN|6RCR
65	31153 11116	9	 * 	257.84	DCR|4VULN|2TLV|1DMG	19BEXP|289aVULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR
66	31322 15342	6	   	257.84	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1BEXP|27aVULN|3DUR|4CDMG|5aDMG|6LWND|8aASPD|9RCR|aBPWR
67	31322 43342	5	   	257.84	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1BEXP|26aVULN|3DUR|4CDMG|5aDMG|7LHND|8aASPD|9RCR|aBPWR
68	31322 45342	5	   	257.84	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1BEXP|26aVULN|3DUR|4CDMG|5aDMG|7LWND|8aASPD|9RCR|aBPWR
69	31322 36342	5	   	257.74	DCR|3VULN|2DMG|1DUR|2ASPD|1CDMG	1BEXP|28aVULN|3DUR|4CDMG|5aDMG|6DUST|7aASPD|9RCR|aBPWR
70	31322 46342	6	   	257.74	DCR|3VULN|2DMG|1DUR|2ASPD|1CDMG	1BEXP|28aVULN|3DUR|4CDMG|5aDMG|6DUST|7aASPD|9RCR|aBPWR
71	41311 23333	4	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4aRPLT|8BPWR|9RCR
72	41311 23336	4	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLHND
73	41313 23333	5	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4aRPLT|8BPWR|9RCR
74	41313 23333	6	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4aRPLT|8BPWR|9RCR
75	41313 23336	5	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLHND
76	41313 23336	6	   	257.49	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aLHND
77	41641 23333	4	   	257.49	DCR|5VULN|3DUR	148DUR|25678VULN|3aRPLT|8BPWR|9RCR
78	41643 23333	6	   	257.49	DCR|5VULN|3DUR	148DUR|25678VULN|3aRPLT|8BPWR|9RCR
79	41643 23333	5	   	257.49	DCR|5VULN|3DUR	148DUR|25678VULN|3aRPLT|8BPWR|9RCR
80	42121 23333	4	   	257.49	DCR|5VULN|3DUR	138DUR|2aRPLT|45678VULN|8BPWR|9RCR
81	42121 23336	4	   	257.49	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLHND
82	42123 23333	5	   	257.49	DCR|5VULN|3DUR	138DUR|2aRPLT|45678VULN|8BPWR|9RCR
83	42123 23333	6	   	257.49	DCR|5VULN|3DUR	138DUR|2aRPLT|45678VULN|8BPWR|9RCR
84	42123 23336	5	   	257.49	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLHND
85	42123 23336	6	   	257.49	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aLHND
86	41153 12611	7	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	1aDUR|289VULN|3aDMG|4aLIT|5RPLT|6RCR|7BELT|aBPWR
87	41122 31661	10	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2789VULN|3DMG|4DUST|5CGEN|6RCR|aTLV
88	41311 23331	4	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aBBNT
89	41311 23334	4	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aERES
90	41313 23331	6	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aBBNT
91	41313 23331	5	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aBBNT
92	41313 23334	6	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aERES
93	41313 23334	5	   	257.39	DCR|5VULN|3DUR	138DUR|25678VULN|4RPLT|8BPWR|9RCR|aERES
94	41641 23331	4	   	257.39	DCR|5VULN|3DUR	148DUR|25678VULN|3RPLT|8BPWR|9RCR|aBBNT
95	41643 23331	6	   	257.39	DCR|5VULN|3DUR	148DUR|25678VULN|3RPLT|8BPWR|9RCR|aBBNT
96	41643 23331	5	   	257.39	DCR|5VULN|3DUR	148DUR|25678VULN|3RPLT|8BPWR|9RCR|aBBNT
97	42121 23331	4	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aBBNT
98	42121 23334	4	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aERES
99	42123 23331	6	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aBBNT
100	42123 23331	5	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aBBNT
101	42123 23334	6	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aERES
102	42123 23334	5	   	257.39	DCR|5VULN|3DUR	138DUR|2RPLT|45678VULN|8BPWR|9RCR|aERES
103	32121 63141	7	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	18BEXP|2RPLT|38aDUR|4TLV|57VULN|68DMG|8BPWR|9RCR
104	33621 63141	7	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	18BEXP|28aDUR|3RPLT|4TLV|57VULN|68DMG|8BPWR|9RCR
105	52121 63141	7	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	18FEWX|2RPLT|38aDUR|4TLV|57VULN|68DMG|8BPWR|9RCR
106	41121 31661	10	   	257.30	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2789VULN|3DMG|4DUST|5ERES|6RCR|aTLV
107	41153 16321	6	   	256.74	DCR|2VULN|3DMG|2DUR|2LIT	18DUR|29VULN|378DMG|48LIT|5RPLT|6RCR|8BPWR|aASPD
108	42111 43336	9	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	139DUR|2RPLT|49TLV|5CDMG|6aLIT|7RCR|89VULN|9BPWR
109	42113 53336	9	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	139DUR|2RPLT|49TLV|5aLIT|6CDMG|7RCR|89VULN|9BPWR
110	41151 21131	10	   	256.21	DCR|3VULN|2DMG|2CDMG|1DUR	1DUR|26aVULN|37DMG|4LIT|56CDMG|6BPWR|8CGEN|9RCR
111	41153 11352	7	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	189DUR|29VULN|3DMG|4LIT|5RPLT|6RCR|79TLV|9BPWR|aLWND
112	41251 21332	10	   	256.11	DCR|3VULN|2DMG|2CDMG|1DUR	1DUR|268VULN|3ERES|4LIT|56CDMG|6BPWR|7aDMG|9RCR
113	31362 31643	8	 * 	255.68	DCR|5VULN|1TLV|1DUR	1BEXP|2789aVULN|3DUR|4ERES|5TLV|6RCR
114	41212 31643	8	   	255.68	DCR|5VULN|1TLV|1DUR	1DUR|2789aVULN|3ERES|4FEWX|5TLV|6RCR
115	41343 31352	8	   	255.65	DCR|3VULN|3DUR|2DMG	13aDUR|27aVULN|4LHND|5DUST|6RCR|8aDMG|9BBNT|aBPWR
116	41222 31643	8	   	255.58	DCR|5VULN|1TLV|1DUR	1DUR|2789aVULN|3ERES|4DUST|5TLV|6RCR
