0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11384 73184	7	 * 	298.08	DCR|4VULN|3DMG|3ASPD|1DUR	189ASPD|2MBVNT|3DUR|4589VULN|6AART|789DMG|89BPWR|aRCR
23	14131 62421	2	 * 	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	18ASPD|238VULN|4DMG|5TBNT|69TLV|78DUR|8BPWR|aRCR
24	21184 61322	8	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	19ZMB|2MBVNT|349aVULN|5DUR|6TLV|79DMG|8RCR|9BPWR
25	11388 61323	8	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19ASPD|2MBVNT|359DUR|45VULN|59BPWR|6TLV|79DMG|8RCR|aBEXP
26	11388 61324	8	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19ASPD|2MBVNT|359DUR|45VULN|59BPWR|6TLV|79DMG|8RCR|aDUST
27	21388 61331	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2MBVNT|35DUR|459aVULN|5BPWR|6TLV|7DMG|8RCR
28	21388 61332	9	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2MBVNT|35DUR|459aVULN|5BPWR|6TLV|7DMG|8RCR
29	11184 43828	10	 * 	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	1aASPD|2MBVNT|349VULN|56aDUR|7RCR|8aDMG|aBPWR
30	14135 22423	2	 * 	271.88	DCR|3VULN|2DMG|2TLV|2ASPD	19ASPD|239VULN|47DMG|5MLV|6RCR|89TLV|9BPWR|aAART
31	11181 13386	7	   	270.44	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1aASPD|2MBVNT|34aVULN|5AART|6DUR|7DMG|8RCR|9aTLV|aBPWR
32	11512 13386	7	   	270.44	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR	1aASPD|2MBVNT|3AART|45aVULN|6DUR|7DMG|8RCR|9aTLV|aBPWR
33	11182 54321	10	   	270.44	DCR|4VULN|2DUR|1DMG|2ASPD	1aASPD|2MBVNT|347aVULN|5LIT|6DMG|8RCR|9aDUR|aBPWR
34	11184 61321	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aCGEN
35	11184 61325	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aFEWX
36	11184 61326	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aLHND
37	11184 61327	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aMLV
38	11184 61328	8	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	19ASPD|2MBVNT|349VULN|5DUR|6TLV|79DMG|8RCR|9BPWR|aBELT
39	14115 21143	3	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|29aVULN|3TLV|45DMG|5BPWR|6RCR|7DUR|8CGEN
40	14315 21143	2	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|29aVULN|3TLV|45DMG|5BPWR|6RCR|7DUR|8CGEN
41	14115 31621	3	   	270.19	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|268VULN|3TLV|45DMG|5BPWR|7TBNT|9DUR|aRCR
42	14315 31621	2	   	270.19	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	15ASPD|268VULN|3TLV|45DMG|5BPWR|7TBNT|9DUR|aRCR
43	11186 41324	9	 * 	269.60	DCR|5VULN|1DMG|2CDMG|2ASPD	17ASPD|2MBVNT|34578VULN|67CDMG|7BPWR|9DMG|aRCR
44	14135 22312	2	 * 	268.95	DCR|4VULN|2DMG|2CDMG|2ASPD	1aASPD|239aVULN|47DMG|5MLV|6RCR|8aCDMG|aBPWR
45	21384 61322	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19ZMB|2MBVNT|39DUR|45aVULN|6TLV|79DMG|8RCR|9BPWR
46	11184 44417	9	 * 	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	17ASPD|2MBVNT|347VULN|567DUR|7BPWR|89TLV|aRCR
47	11384 44417	9	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	17ASPD|2MBVNT|367DUR|457VULN|7BPWR|89TLV|aRCR
48	11384 61324	8	   	268.49	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2MBVNT|39DUR|45VULN|6TLV|79DMG|8RCR|9BPWR|aLIT
49	14133 45221	10	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	17ASPD|279aVULN|3TLV|4DUST|57DUR|6RCR|7BPWR|8RCVC
