0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61243 31163	6	 * 	263.67	DCR|4VULN|2DMG|2DUR	17LHND|2RMIN|3aDMG|47DUR|5678VULN|7BPWR|9RCR
18	23426 51233	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2LHND|3DUR|47DMG|589VULN|6RCR|aTLV
19	52233 31163	2	 * 	253.64	DCR|3VULN|3DMG|1TLV	17FEWX|2DMSP|37aDMG|4LHND|5TLV|678VULN|7BPWR|9RCR
20	22233 31163	2	   	253.44	DCR|3VULN|3DMG|1TLV	17DUST|2DMSP|37aDMG|4LHND|5TLV|678VULN|7BPWR|9RCR
21	31254 35223	5	 * 	252.90	DCR|4VULN|2DMG|3LIT	19aLWND|2RMIN|34DMG|569aVULN|7RCR|89aLIT|9aBPWR
22	51253 35223	4	   	252.90	DCR|4VULN|2DMG|3LIT	19aFEWX|2RMIN|34DMG|569aVULN|7RCR|89aLIT|9aBPWR
23	22233 35453	2	 * 	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1DUST|2DMSP|39DMG|4LHND|5TLV|69VULN|7ASPD|89DUR|9BPWR|aRCR
24	22134 53123	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	17DUST|27VULN|36DMG|4FEWX|57DUR|7BPWR|8ASPD|9TLV|aRCR
25	62212 24353	1	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LHND|259VULN|3CDMG|4DMG|6TLV|7ASPD|8AART|aRCR
26	44225 23231	9	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1CGEN|2LWND|39DMG|4CDMG|567VULN|8TLV|aRCR
27	36123 35136	2	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12LWND|2BPWR|3TLV|468VULN|5DMG|7RCR|9aDUR
28	22212 42536	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|258VULN|3CDMG|4DMG|6RCR|7DUR|9RMIN|aTLV
29	22212 45226	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|259VULN|3CDMG|4DMG|6RCR|7ZMB|8DUR|aTLV
30	22212 46326	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|259VULN|3CDMG|4DMG|6RCR|7CGEN|8DUR|aTLV
31	22212 42526	1	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|258VULN|3CDMG|4DMG|6RCR|7DUR|9ERES|aTLV
32	53122 31162	6	   	249.09	DCR|4VULN|2DMG|1DUR	17FEWX|2LHND|3678VULN|47DMG|5RMIN|7BPWR|9RCR|aDUR
33	53121 51235	10	   	248.89	DCR|4VULN|2DMG|1DUR	1FEWX|2LHND|389aVULN|47DMG|5DUR|6RCR
34	23122 31166	6	   	248.89	DCR|4VULN|2DMG|1DUR	17DUST|2LHND|3678VULN|47DMG|5RMIN|7BPWR|9RCR|aDUR
35	23122 31163	6	 * 	248.29	DCR|4VULN|3DMG	17DUST|2LHND|3678VULN|47aDMG|5RMIN|7BPWR|9RCR
36	23126 41163	6	   	248.29	DCR|4VULN|3DMG	17DUST|2LHND|3578VULN|47aDMG|6RMIN|7BPWR|9RCR
37	52212 13541	1	 * 	248.00	DCR|3VULN|2DMG|2CDMG|1DUR	17FEWX|258VULN|37CDMG|47DMG|6RCVC|7BPWR|9DUR|aRCR
38	53132 35231	3	   	247.84	DCR|5VULN|1TLV	1FEWX|2LHND|3456aVULN|7RCR|8LIT|9TLV
39	22212 13541	1	   	247.80	DCR|3VULN|2DMG|2CDMG|1DUR	17DUST|258VULN|37CDMG|47DMG|6RCVC|7BPWR|9DUR|aRCR
40	23132 35231	3	   	247.74	DCR|5VULN|1TLV	1DUST|2LHND|3456aVULN|7RCR|8LIT|9TLV
41	32212 23415	1	 * 	246.51	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	19LWND|25VULN|39CDMG|4DMG|6TLV|79DUR|8BELT|9BPWR|aRCR
42	62212 23415	1	   	246.51	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	19LHND|25VULN|39CDMG|4DMG|6TLV|79DUR|8BELT|9BPWR|aRCR
43	53122 31163	6	   	246.49	DCR|4VULN|2DMG|1CDMG	17FEWX|2LHND|3678VULN|47DMG|5RMIN|7BPWR|9RCR|aCDMG
44	31254 35231	5	   	246.10	DCR|3VULN|2DMG|1TLV	1LWND|2RMIN|34DMG|56aVULN|7RCR|8LIT|9TLV
45	51253 35231	4	   	246.10	DCR|3VULN|2DMG|1TLV	1FEWX|2RMIN|34DMG|56aVULN|7RCR|8LIT|9TLV
46	52513 35223	3	 * 	246.08	DCR|4VULN|2DUR|3LIT	19aFEWX|2DMSP|34DUR|569aVULN|7RCR|89aLIT|9aBPWR
47	52531 35223	3	   	246.08	DCR|4VULN|2DUR|3LIT	19aFEWX|2DMSP|35DUR|469aVULN|7RCR|89aLIT|9aBPWR
48	61243 31161	6	   	246.08	DCR|4VULN|2DUR|1DMG	17LHND|2RMIN|3DMG|47DUR|5678VULN|7BPWR|9RCR|aFEWX
49	61243 31162	6	   	246.08	DCR|4VULN|2DUR|1DMG	17LHND|2RMIN|3DMG|47DUR|5678VULN|7BPWR|9RCR|aMLV
50	61151 31163	4	   	246.07	DCR|3VULN|2DMG|2TLV	17LHND|2RMIN|37TLV|4aDMG|5ZMB|678VULN|7BPWR|9RCR
51	21254 35231	5	   	246.00	DCR|3VULN|2DMG|1TLV	1DUST|2RMIN|34DMG|56aVULN|7RCR|8LIT|9TLV
52	23116 35353	6	   	246.00	DCR|3VULN|2DMG|1TLV	19DUST|2LHND|359VULN|4TLV|6ASPD|79DMG|8LEGI|9BPWR|aRCR
53	22415 35231	3	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2DMSP|356aVULN|4DUR|7RCR|8LIT|9TLV
54	22443 35231	5	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2DMSP|356aVULN|4DUR|7RCR|8LIT|9TLV
55	22535 35231	3	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2DMSP|3DUR|456aVULN|7RCR|8LIT|9TLV
56	32132 14335	3	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4CGEN|5LIT|689DMG|7TBNT|89BPWR|aRCR
57	32132 14335	4	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4MLV|5LIT|689DMG|7BBNT|89BPWR|aRCR
58	32132 45335	3	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4CGEN|5LIT|6TBNT|789DMG|89BPWR|aRCR
59	32132 45335	4	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4MLV|5LIT|6BBNT|789DMG|89BPWR|aRCR
60	32332 14335	2	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4CGEN|5LIT|689DMG|7TBNT|89BPWR|aRCR
61	32332 45335	2	   	245.51	DCR|3VULN|3DMG|1AART	189LWND|2AART|389VULN|4CGEN|5LIT|6TBNT|789DMG|89BPWR|aRCR
62	54132 13335	3	   	245.51	DCR|3VULN|3DMG|1AART	189FEWX|2AART|389VULN|4LIT|5CGEN|689DMG|7TBNT|89BPWR|aRCR
63	32212 42315	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|259aVULN|3CDMG|4DMG|6RCR|7DUR|8TBNT
64	32212 42415	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1LWND|259aVULN|3CDMG|4DMG|6RCR|7DUR|8BBNT
65	52212 42315	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1FEWX|259aVULN|3CDMG|4DMG|6RCR|7DUR|8TBNT
66	62212 42315	1	   	244.85	DCR|4VULN|1DMG|1DUR|1CDMG	1LHND|259aVULN|3CDMG|4DMG|6RCR|7DUR|8TBNT
67	22212 42315	1	   	244.75	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|259aVULN|3CDMG|4DMG|6RCR|7DUR|8TBNT
68	22212 42415	1	   	244.75	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|259aVULN|3CDMG|4DMG|6RCR|7DUR|8BBNT
69	52232 32536	1	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	1FEWX|258VULN|3CDMG|4CGEN|67DUR|9RCR|aTLV
70	36121 32562	2	 * 	244.40	DCR|3VULN|3DUR|1TLV	128LWND|28BPWR|3TLV|489VULN|5RPLT|6RCR|78aDUR
71	53152 31135	6	   	244.40	DCR|3VULN|3DUR|1TLV	147FEWX|2LHND|367VULN|57aDUR|7BPWR|8TLV|9RCR
72	33421 54213	2	   	244.29	DCR|3VULN|2DMG|2ASPD|1DUR	148LWND|2BELT|36DMG|568VULN|68BPWR|78ASPD|9DUR|aRCR
73	23131 61135	3	   	244.10	DCR|3VULN|3DUR|1TLV	167DUST|2LHND|347VULN|57aDUR|7BPWR|8TLV|9RCR
74	23121 51256	8	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	19DUST|29LHND|38VULN|47DMG|59DUR|6RCR|9BPWR|aTLV
75	41253 31163	5	   	243.69	DCR|3VULN|3DMG|1DUR	17CGEN|27LHND|34aDMG|5DUR|678VULN|7BPWR|9RCR
76	41213 31163	3	   	243.69	DCR|3VULN|3DMG|1DUR	17CGEN|27LHND|35aDMG|4DUR|678VULN|7BPWR|9RCR
77	41243 31163	4	   	243.69	DCR|3VULN|3DMG|1DUR	17CGEN|27LHND|35aDMG|4DUR|678VULN|7BPWR|9RCR
78	31125 21153	8	   	243.51	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LWND|2RMIN|3TLV|4CDMG|569VULN|7DMG|8AART|aRCR
79	62212 22353	1	   	243.51	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LHND|259VULN|3CDMG|4DMG|6TLV|7RMIN|8AART|aRCR
80	62212 24343	1	   	243.38	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1LHND|25VULN|3CDMG|4DMG|6TLV|7ASPD|8AART|9DUR|aRCR
81	62212 42123	1	   	243.38	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1LHND|25VULN|3CDMG|4DMG|6RCR|7DUR|8LIT|9TLV|aAART
82	31125 23411	8	   	243.15	DCR|4VULN|1TLV|1CDMG	1LWND|2RMIN|3TLV|4CDMG|5678VULN|9ASPD|aRCR
83	53121 51224	10	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|2LHND|38VULN|47DMG|5DUR|6RCR|9TLV|aCDMG
84	53121 13134	10	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1FEWX|2LHND|37VULN|49DMG|5DUR|6CDMG|8RCR|aTLV
85	23121 51224	10	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|2LHND|38VULN|47DMG|5DUR|6RCR|9TLV|aCDMG
86	23121 13134	10	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|2LHND|37VULN|49DMG|5DUR|6CDMG|8RCR|aTLV
87	23426 13134	10	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|2LHND|3DUR|49DMG|57VULN|6CDMG|8RCR|aTLV
88	61213 31161	3	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aFEWX
89	61213 31162	3	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aMLV
90	61213 31164	3	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aLWND
91	61213 31165	3	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aBEXP
92	61243 31161	4	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aFEWX
93	61243 31162	4	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|2RMIN|35DMG|47DUR|678VULN|7BPWR|9RCR|aMLV
94	62111 51161	1	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|278VULN|36DMG|4CGEN|57DUR|7BPWR|9RCR|aBEXP
95	62111 51162	1	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|278VULN|36DMG|4CGEN|57DUR|7BPWR|9RCR|aMLV
96	41213 31166	3	   	242.62	DCR|3VULN|2DMG|2DUR	17CGEN|27LHND|35DMG|4aDUR|678VULN|7BPWR|9RCR
97	41211 31163	3	   	242.62	DCR|3VULN|2DMG|2DUR	17CGEN|27LHND|3aDMG|45DUR|678VULN|7BPWR|9RCR
98	41241 31163	4	   	242.62	DCR|3VULN|2DMG|2DUR	17CGEN|27LHND|3aDMG|45DUR|678VULN|7BPWR|9RCR
99	62111 41163	1	   	242.62	DCR|3VULN|2DMG|2DUR	17LHND|278VULN|3aDMG|46CGEN|57DUR|7BPWR|9RCR
100	61243 33163	6	   	242.42	DCR|3VULN|2DMG|2DUR	1LHND|2RMIN|3aDMG|47DUR|568VULN|9RCR
101	23121 51235	10	   	242.32	DCR|3VULN|2DMG|2DUR	1DUST|2LHND|389VULN|47DMG|5aDUR|6RCR
102	32216 64422	1	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|279VULN|3CDMG|4DMG|5TLV|6MBVNT|8RCR|aLIT
103	52216 64423	1	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1FEWX|279VULN|3CDMG|4DMG|5TLV|6MBVNT|8RCR|aLIT
104	62216 64422	1	   	242.06	DCR|3VULN|1TLV|1DMG|1CDMG	1LHND|279VULN|3CDMG|4DMG|5TLV|6MBVNT|8RCR|aLIT
105	62212 42125	1	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|25VULN|3CDMG|4DMG|6RCR|7DUR|8LIT|9TLV|aASPD
106	31125 23231	9	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	1LWND|2RMIN|38TLV|4CDMG|567VULN|9DMG|aRCR
107	44125 23231	9	   	241.93	DCR|3VULN|2TLV|1DMG|1CDMG	1CGEN|2LWND|38TLV|4CDMG|567VULN|9DMG|aRCR
108	22212 42563	1	   	241.77	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1DUST|258VULN|3CDMG|4DMG|6RCR|7DUR|9LIT|aAART
109	53121 51235	9	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|2LHND|389VULN|47DMG|5DUR|6RCR|aCDMG
110	53121 51236	10	   	241.49	DCR|3VULN|2DMG|1DUR|1CDMG	1FEWX|2LHND|389VULN|47DMG|5DUR|6RCR|aCDMG
111	23121 51235	9	   	241.39	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|2LHND|389VULN|47DMG|5DUR|6RCR|aCDMG
112	53132 32366	3	   	241.15	DCR|4VULN|1TLV|1DMG	1FEWX|2LHND|3456VULN|7ERES|8DMG|9RCR|aTLV
113	62112 36323	1	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|2689VULN|3DMG|4CGEN|5BBNT|7RCR|aTLV
114	62151 36323	1	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|2689VULN|3DMG|4BBNT|5CGEN|7RCR|aTLV
115	62332 32366	1	   	241.15	DCR|4VULN|1TLV|1DMG	1LHND|2456VULN|3BEXP|7ERES|8DMG|9RCR|aTLV
116	23132 32366	3	   	241.05	DCR|4VULN|1TLV|1DMG	1DUST|2LHND|3456VULN|7ERES|8DMG|9RCR|aTLV
117	62332 35363	1	   	240.94	DCR|4VULN|2DMG	1LHND|2456VULN|3BEXP|7ASPD|8aDMG|9RCR
118	53152 31131	6	   	240.83	DCR|3VULN|2DUR|1TLV|1AART	147FEWX|2LHND|367VULN|57DUR|7BPWR|8TLV|9RCR|aAART
119	53453 31131	6	   	240.83	DCR|3VULN|2DUR|1TLV|1AART	147FEWX|2LHND|37DUR|567VULN|7BPWR|8TLV|9RCR|aAART
120	32121 65633	3	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1LWND|2AART|345VULN|6LHND|7aDUR|8RCR|9TLV
121	32321 65633	2	   	240.63	DCR|3VULN|2DUR|1TLV|1AART	1LWND|2AART|345VULN|6LHND|7aDUR|8RCR|9TLV
122	22411 35136	3	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1DUST|2DMSP|368VULN|45DUR|7RCR|9AART|aTLV
123	22531 35136	3	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	1DUST|2DMSP|35DUR|468VULN|7RCR|9AART|aTLV
124	23131 61131	3	   	240.53	DCR|3VULN|2DUR|1TLV|1AART	167DUST|2LHND|347VULN|57DUR|7BPWR|8TLV|9RCR|aAART
125	32212 43165	1	   	240.19	DCR|3VULN|2DMG|2LIT|1CDMG	19LWND|259VULN|3CDMG|4aDMG|6RCR|79LIT|8TBNT|9BPWR
126	23126 51215	8	 * 	240.17	DCR|3VULN|1TLV|2CDMG|1DMG	19DUST|2LHND|359VULN|4DMG|6BELT|7TLV|89CDMG|9BPWR|aRCR
127	32212 42256	1	   	239.99	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LWND|25VULN|3CDMG|4DMG|6RCR|79DUR|8RCVC|aTLV
128	53132 35263	3	   	239.61	DCR|4VULN|1DMG|1DUR	1FEWX|2LHND|3456VULN|7RCR|8LIT|9DUR|aDMG
129	53132 35112	3	   	239.53	DCR|5VULN|1TLV	1FEWX|2LHND|34568VULN|7RCR|9RMIN|aTLV
130	23132 35266	3	   	239.51	DCR|4VULN|1DMG|1DUR	1DUST|2LHND|3456VULN|7RCR|8LIT|9DUR|aDMG
131	52243 31234	6	   	239.48	DCR|3VULN|2DUR|1TLV	17FEWX|2DMSP|3BEXP|47DUR|567VULN|7BPWR|8LIT|9TLV|aRCR
132	51512 31132	2	 * 	239.45	DCR|3VULN|2TLV|2DUR	157FEWX|2RMIN|3aCGEN|47DUR|67aVULN|7aBPWR|8aTLV|9RCR
133	23132 35112	3	   	239.43	DCR|5VULN|1TLV	1DUST|2LHND|34568VULN|7RCR|9RMIN|aTLV
134	53132 35126	3	   	239.43	DCR|5VULN|1TLV	1FEWX|2LHND|34568VULN|7RCR|9ERES|aTLV
135	23132 35126	3	   	239.33	DCR|5VULN|1TLV	1DUST|2LHND|34568VULN|7RCR|9ERES|aTLV
136	52411 35231	3	   	239.28	DCR|3VULN|2DUR|1TLV	1FEWX|2DMSP|36aVULN|45DUR|7RCR|8LIT|9TLV
137	52513 35231	3	   	239.28	DCR|3VULN|2DUR|1TLV	1FEWX|2DMSP|34DUR|56aVULN|7RCR|8LIT|9TLV
138	52531 35231	3	   	239.28	DCR|3VULN|2DUR|1TLV	1FEWX|2DMSP|35DUR|46aVULN|7RCR|8LIT|9TLV
139	32332 23634	1	   	239.28	DCR|3VULN|2DUR|1TLV	1LWND|245VULN|3BEXP|6LIT|78DUR|9TLV|aRCR
140	36121 32561	2	   	239.25	DCR|3VULN|2TLV|2DUR	128LWND|28BPWR|3aTLV|489VULN|5RPLT|6RCR|78DUR
141	36126 35132	2	   	239.25	DCR|3VULN|2TLV|2DUR	12aLWND|2aBPWR|3aTLV|468VULN|5CGEN|7RCR|9aDUR
142	21143 33635	10	   	239.18	DCR|3VULN|2DUR|1TLV	1DUST|2RMIN|3TLV|4aDUR|567VULN|8ASPD|9RCR
143	22411 35231	3	   	239.18	DCR|3VULN|2DUR|1TLV	1DUST|2DMSP|36aVULN|45DUR|7RCR|8LIT|9TLV
144	22441 35231	4	   	239.18	DCR|3VULN|2DUR|1TLV	1DUST|2DMSP|36aVULN|45DUR|7RCR|8LIT|9TLV
145	22442 35231	5	   	239.18	DCR|3VULN|2DUR|1TLV	1DUST|2DMSP|36aVULN|45DUR|7RCR|8LIT|9TLV
146	22531 35231	3	   	239.18	DCR|3VULN|2DUR|1TLV	1DUST|2DMSP|35DUR|46aVULN|7RCR|8LIT|9TLV
147	26411 35231	3	   	239.08	DCR|3VULN|2DUR|1TLV	12DUST|2BPWR|36aVULN|45DUR|7RCR|8LIT|9TLV
148	26531 35231	3	   	239.08	DCR|3VULN|2DUR|1TLV	12DUST|2BPWR|35DUR|46aVULN|7RCR|8LIT|9TLV
149	26121 32561	2	   	238.95	DCR|3VULN|2TLV|2DUR	128DUST|28BPWR|3aTLV|489VULN|5RPLT|6RCR|78DUR
150	23111 51246	10	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|2LHND|39VULN|4TLV|5DUR|6RCR|7aDMG|8AART
151	23121 51223	10	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|2LHND|38VULN|47DMG|5DUR|6RCR|9TLV|aAART
152	23426 51223	10	   	238.91	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|2LHND|3DUR|47DMG|58VULN|6RCR|9TLV|aAART
153	32212 42552	1	   	238.48	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|258VULN|3CDMG|4DMG|6RCR|79DUR|aCGEN
154	22212 43256	1	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1DUST|25aVULN|3CDMG|4DMG|6RCR|7BEXP|89DUR
155	32212 42553	1	   	238.38	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|258VULN|3CDMG|4DMG|6RCR|79DUR|aERES
156	52212 12241	1	   	238.36	DCR|4VULN|1DMG|1CDMG|1AART	1FEWX|258aVULN|3CDMG|4DMG|6RCVC|7AART|9RCR
157	22212 12241	1	   	238.26	DCR|4VULN|1DMG|1CDMG|1AART	1DUST|258aVULN|3CDMG|4DMG|6RCVC|7AART|9RCR
158	41211 31166	3	   	238.26	DCR|3VULN|3DUR|1DMG	17CGEN|27LHND|3DMG|45aDUR|678VULN|7BPWR|9RCR
159	21143 33635	9	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|2RMIN|3TLV|4DUR|567VULN|8ASPD|9RCR|aCDMG
160	31143 64221	7	 * 	238.24	DCR|3DMG|1VULN|2DUR|1TLV	1aLWND|2RMIN|3TLV|4aDUR|5VULN|6LIT|7RCR|89aDMG|aBPWR
161	24163 31633	9	   	238.16	DCR|4VULN|1DMG|1CDMG|1AART	1DUST|2AART|3678VULN|4ERES|5DMG|9CDMG|aRCR
162	36133 31624	2	   	238.14	DCR|3VULN|2TLV|1DMG|1AART	127LWND|27BPWR|37TLV|4LHND|5DMG|679VULN|8AART|aRCR
163	32113 21262	8	 * 	238.04	DCR|3VULN|2TLV|2CDMG|1AART	146LWND|2AART|39aVULN|5aCDMG|7RCR|8aTLV|aBPWR
164	21143 64221	7	   	238.04	DCR|3DMG|1VULN|2DUR|1TLV	1aDUST|2RMIN|3TLV|4aDUR|5VULN|6LIT|7RCR|89aDMG|aBPWR
165	52233 31161	2	   	237.99	DCR|3VULN|2DMG|1TLV	17FEWX|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aBEXP
166	52233 31162	2	   	237.99	DCR|3VULN|2DMG|1TLV	17FEWX|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aMLV
167	52233 31164	2	   	237.99	DCR|3VULN|2DMG|1TLV	17FEWX|2DMSP|37DMG|4aLHND|5TLV|678VULN|7BPWR|9RCR
168	52233 31165	2	   	237.99	DCR|3VULN|2DMG|1TLV	17FEWX|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aCGEN
169	42123 35136	1	   	237.94	DCR|3VULN|2TLV|1DMG|1AART	1CGEN|2RMIN|3aTLV|468VULN|5DMG|7RCR|9AART
170	52212 13151	1	 * 	237.89	DCR|2VULN|2DMG|2DUR|2CDMG	17FEWX|25VULN|37CDMG|47DMG|6RCVC|7BPWR|89DUR|aRCR
171	52233 31166	2	   	237.89	DCR|3VULN|2DMG|1TLV	17FEWX|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aTBNT
172	22233 31161	2	   	237.79	DCR|3VULN|2DMG|1TLV	17DUST|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aFEWX
173	22233 31162	2	   	237.79	DCR|3VULN|2DMG|1TLV	17DUST|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aMLV
174	22233 31164	2	   	237.79	DCR|3VULN|2DMG|1TLV	17DUST|2DMSP|37DMG|4aLHND|5TLV|678VULN|7BPWR|9RCR
175	22233 31165	2	   	237.79	DCR|3VULN|2DMG|1TLV	17DUST|2DMSP|37DMG|4LHND|5TLV|678VULN|7BPWR|9RCR|aCGEN
176	22123 36362	2	   	237.79	DCR|3VULN|2DMG|1TLV	1aDUST|2DMSP|3TLV|46aVULN|5MLV|7ZMB|8aDMG|9RCR|aBPWR
177	36123 35143	2	   	237.79	DCR|3VULN|2DMG|1TLV	12LWND|2BPWR|3TLV|468VULN|5aDMG|7RCR|9LHND
