0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14231 42622	9	 * 	289.21	DCR|5VULN|3DUR|1AART	1AART|2678aVULN|3LIT|4aERES|56aDUR|6aBPWR|9RCR
39	14143 31226	7	   	271.00	DCR|4VULN|2DMG|1TLV|1NUKE|1AART	1AART|239aVULN|3BPWR|4NUKE|57DMG|6RCR|8TLV
40	32212 36651	5	 * 	270.43	DCR|3VULN|3DUR|2ASPD|3LIT	179LIT|278DUR|3aLWND|49ASPD|579VULN|6RCR|79BPWR
41	32212 36652	5	   	270.43	DCR|3VULN|3DUR|2ASPD|3LIT	179LIT|278DUR|3LWND|49ASPD|579VULN|6RCR|79BPWR|aRPLT
42	32212 36653	5	   	270.33	DCR|3VULN|3DUR|2ASPD|3LIT	179LIT|278DUR|3LWND|49ASPD|579VULN|6RCR|79BPWR|aTBNT
43	14322 34124	4	   	269.86	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2459VULN|34LWND|4BPWR|6DUR|7DMG|8RCR|aTLV
44	14112 34124	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2359VULN|3BPWR|4LHND|6DUR|7DMG|8RCR|aTLV
45	14122 34124	4	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2359VULN|3BPWR|4LWND|6DUR|7DMG|8RCR|aTLV
46	14132 26124	4	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2359VULN|3BPWR|4DUR|6DMG|7LWND|8RCR|aTLV
47	35142 31243	6	   	269.75	DCR|4VULN|2DMG|1TLV	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7ZMB|8RCR|9TLV
48	14132 21124	4	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2359VULN|3BPWR|4DUR|6DMG|7LEGI|8RCR|aTLV
49	35141 31221	9	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	17LIT|27aVULN|367DMG|4LEGI|5BELT|7BPWR|8RCR|9DUR
50	35141 31222	10	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	17LIT|27aVULN|367DMG|4LEGI|5BELT|7BPWR|8RCR|9DUR
51	35142 31225	6	   	269.15	DCR|4VULN|3DMG	1LIT|256aVULN|369DMG|4LEGI|6BPWR|7ZMB|8RCR
52	35142 35231	10	   	269.15	DCR|4VULN|3DMG	1LIT|2569VULN|36aDMG|4LEGI|6BPWR|7RCR|8ZMB
53	35142 35122	7	   	269.05	DCR|4VULN|3DMG	1LIT|256aVULN|369DMG|4LEGI|6BPWR|7RCR|8ERES
54	41111 12166	5	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17LHND|2RPLT|37DUR|4TLV|5CDMG|6789VULN|7BPWR|aRCR
55	41112 12166	4	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17LHND|2RPLT|37DUR|4TLV|5CDMG|6789VULN|7BPWR|aRCR
56	11213 42621	10	   	268.47	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|26LIT|3DUR|4MLV|5678VULN|6BPWR|9RCR|aDMG
57	11233 42621	10	   	268.47	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|26LIT|3DUR|4CGEN|5678VULN|6BPWR|9RCR|aDMG
58	14212 32621	10	   	268.47	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|2478VULN|34LIT|4BPWR|5CGEN|6DUR|9RCR|aDMG
59	14215 21121	10	   	268.47	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|2457VULN|34LIT|4BPWR|6DUR|8ZMB|9RCR|aDMG
60	14214 12621	10	   	268.37	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|2478VULN|34LIT|4BPWR|5DUR|6ERES|9RCR|aDMG
61	14216 32621	10	   	268.37	DCR|4VULN|1DMG|1DUR|2LIT|1AART	1AART|2478VULN|34LIT|4BPWR|5ERES|6DUR|9RCR|aDMG
62	14326 62121	7	 * 	268.30	DCR|4VULN|2DUR|2TLV|1AART	1AART|2489VULN|34LWND|48BPWR|58TLV|6RCR|78DUR|aFEWX
63	14326 62122	7	   	268.30	DCR|4VULN|2DUR|2TLV|1AART	1AART|2489VULN|34LWND|48BPWR|58TLV|6RCR|78DUR|aDMSP
64	14326 62123	7	   	268.30	DCR|4VULN|2DUR|2TLV|1AART	1AART|2489VULN|34LWND|48BPWR|58TLV|6RCR|78DUR|aLHND
65	14126 62121	7	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|4LWND|58TLV|6RCR|78DUR|aFEWX
66	14126 62122	7	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|4LWND|58TLV|6RCR|78DUR|aDMSP
67	14126 62123	7	   	268.20	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|4LWND|58TLV|6RCR|78DUR|aLHND
68	14322 34116	4	   	268.20	DCR|4VULN|2DUR|1DMG|1AART	1AART|245aVULN|34LWND|4BPWR|69DUR|7DMG|8RCR
69	14132 22166	4	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1AART|235aVULN|3BPWR|49DUR|6DMG|7BEXP|8RCR
70	14132 26116	4	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1AART|235aVULN|3BPWR|49DUR|6DMG|7LWND|8RCR
71	14136 62121	7	   	268.10	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|48DUR|58TLV|6RCR|7LEGI|aFEWX
72	14136 62122	7	   	268.10	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|48DUR|58TLV|6RCR|7LEGI|aDMSP
73	14136 62123	7	   	268.10	DCR|4VULN|2DUR|2TLV|1AART	1AART|2389VULN|38BPWR|48DUR|58TLV|6RCR|7LEGI|aLHND
74	14112 34116	3	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1AART|235aVULN|3BPWR|4LHND|69DUR|7DMG|8RCR
75	14122 34116	4	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1AART|235aVULN|3BPWR|4LWND|69DUR|7DMG|8RCR
76	23462 42823	5	   	268.05	DCR|4VULN|3DUR|1TLV	179LWND|279DUR|3MBVNT|4DUST|5TLV|679aVULN|79BPWR|8RCR
77	23462 42823	6	   	268.05	DCR|4VULN|3DUR|1TLV	179LWND|279DUR|3MBVNT|4DUST|5TLV|679aVULN|79BPWR|8RCR
78	14132 21116	4	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	1AART|235aVULN|3BPWR|49DUR|6DMG|7LEGI|8RCR
79	14122 31426	3	 * 	268.00	DCR|4VULN|3ASPD|1DMG|1AART	1AART|2357VULN|35BPWR|459ASPD|6BBNT|8DMG|aRCR
80	14215 23533	9	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24589VULN|34LIT|4BPWR|6DUR|7FEWX|aRCR
81	14215 41333	9	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6FEWX|8DUR|aRCR
82	14215 61331	9	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8DUR|aLHND
83	14215 61331	10	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8DUR|aBEXP
84	14215 61332	9	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8DUR|aFEWX
85	14215 61333	10	   	267.95	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8DUR|aRCVC
86	14131 12622	9	   	267.85	DCR|5VULN|1DUR|2LIT|1AART	1AART|2378aVULN|3aBPWR|4DUR|5aLIT|6aERES|9RCR
87	14215 61332	10	   	267.85	DCR|5VULN|1DUR|2LIT|1AART	1AART|24579VULN|34LIT|4BPWR|6RCR|8DUR|aDUST
88	35142 35311	10	 * 	267.72	DCR|3VULN|3DMG|2ASPD	1LIT|256VULN|36aDMG|4LEGI|6BPWR|7RCR|89ASPD
89	35142 33133	10	   	267.15	DCR|4VULN|2DMG|1CDMG	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7CDMG|8RCR|9RPLT
90	35142 34122	9	   	267.15	DCR|4VULN|2DMG|1CDMG	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8CDMG|9RCR|aRCVC
91	35142 34123	10	   	267.15	DCR|4VULN|2DMG|1CDMG	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8CDMG|9RCR|aDMSP
92	35142 34121	10	   	267.05	DCR|4VULN|2DMG|1CDMG	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8CDMG|9RCR|aERES
93	35142 34121	9	   	267.05	DCR|4VULN|2DMG|1CDMG	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8CDMG|9RCR|aBBNT
94	14251 42321	10	   	266.88	DCR|4VULN|2ASPD|1DMG|1AART	1AART|2678VULN|3LIT|4FEWX|56ASPD|6BPWR|9RCR|aDMG
95	14221 42321	10	   	266.78	DCR|4VULN|2ASPD|1DMG|1AART	1AART|2678VULN|3LIT|4DUST|56ASPD|6BPWR|9RCR|aDMG
96	35515 21313	8	   	266.46	DCR|4VULN|3DUR|2LIT	14LIT|2457VULN|3DLOT|4BPWR|689DUR|aRCR
97	23511 22563	1	   	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	19LWND|289VULN|3TLV|4ASPD|5RPLT|6RCR|79aDMG|9BPWR
98	23462 42822	5	 * 	265.47	DCR|3VULN|3DUR|1DMG|1TLV	179LWND|279DUR|3MBVNT|4DUST|5TLV|679VULN|79BPWR|8RCR|aDMG
99	23462 42822	6	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	179LWND|279DUR|3MBVNT|4DUST|5TLV|679VULN|79BPWR|8RCR|aDMG
100	14216 63223	3	 * 	265.42	DCR|3VULN|3ASPD|3LIT|1DMG|1AART	1AART|289VULN|356LIT|456ASPD|56BPWR|7RCR|aDMG
101	14261 32621	10	   	264.77	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1AART|278VULN|3LIT|46DUR|5ASPD|9RCR|aDMG
102	14132 22124	4	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|235VULN|3BPWR|4DUR|69DMG|7BEXP|8RCR|aTLV
103	14132 24124	4	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|235VULN|3BPWR|4DUR|69DMG|7FEWX|8RCR|aTLV
104	14123 34126	3	   	264.52	DCR|4VULN|1DMG|1DUR|1ASPD|1AART	1AART|239aVULN|3BPWR|4ASPD|5CGEN|6DUR|7DMG|8RCR
105	35142 31263	6	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7ZMB|8RCR|9ASPD
106	35142 31633	6	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7ZMB|8ASPD|9RCR
107	35142 35213	9	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7RCR|8ZMB|9ASPD
108	35142 35323	10	   	264.50	DCR|4VULN|2DMG|1ASPD	1LIT|256aVULN|36DMG|4LEGI|6BPWR|7RCR|8ASPD|9BEXP
109	14232 32622	9	   	264.11	DCR|4VULN|2DUR|2AART	15AART|278aVULN|3LIT|4aERES|6aDUR|9RCR|aBPWR
110	32113 33213	7	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|278DUR|3DMG|4RPLT|5LHND|689VULN|8BPWR|aRCR
111	32116 33213	7	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|278DUR|3DMG|4RPLT|5LWND|689VULN|8BPWR|aRCR
112	35115 22253	4	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|258VULN|3DMG|4RPLT|6LWND|789DUR|8BPWR|aRCR
113	35116 32253	6	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|268VULN|3DMG|4RPLT|5LWND|789DUR|8BPWR|aRCR
114	35622 11133	8	   	263.26	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|247aVULN|34MLV|4BPWR|5DUR|6ASPD|8DMG|9RCR
115	35626 11223	8	   	263.26	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|247aVULN|34MLV|4BPWR|5ASPD|6RCR|8DUR|9DMG
116	35626 11233	9	   	263.26	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|247aVULN|34MLV|4BPWR|5ASPD|6RCR|8DUR|9DMG
117	35626 21133	8	   	263.26	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|246aVULN|34MLV|4BPWR|5ASPD|7DUR|8DMG|9RCR
118	14132 63351	4	   	263.25	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2359VULN|3BPWR|4DUR|6TBNT|7TLV|8RCR|aCDMG
119	14321 64233	9	   	263.19	DCR|4VULN|2DUR|2LIT|1AART	1AART|247aVULN|349LWND|4aBPWR|5aLIT|6RCR|8aDUR
120	14224 42322	10	   	263.16	DCR|4VULN|2DMG|1AART	1AART|2678VULN|3LIT|4DUST|56DMG|6BPWR|9RCR|aFEWX
121	35142 34222	10	   	263.16	DCR|4VULN|2DMG|1AART	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8AART|9RCR|aFEWX
122	14251 42323	9	   	263.07	DCR|4VULN|2ASPD|1DUR|1AART	1AART|2678VULN|3LIT|4FEWX|56ASPD|6BPWR|9RCR|aDUR
123	14224 42321	9	   	263.06	DCR|4VULN|2DMG|1AART	1AART|2678VULN|3LIT|4DUST|56DMG|6BPWR|9RCR|aERES
124	14224 42322	9	   	263.06	DCR|4VULN|2DMG|1AART	1AART|2678VULN|3LIT|4DUST|56DMG|6BPWR|9RCR|aMBVNT
125	14224 42323	10	   	263.06	DCR|4VULN|2DMG|1AART	1AART|2678VULN|3LIT|4DUST|56DMG|6BPWR|9RCR|aERES
126	35142 34221	9	   	263.06	DCR|4VULN|2DMG|1AART	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8AART|9RCR|aERES
127	35142 34222	9	   	263.06	DCR|4VULN|2DMG|1AART	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8AART|9RCR|aMBVNT
128	35142 34223	10	   	263.06	DCR|4VULN|2DMG|1AART	1LIT|2567VULN|36DMG|4LEGI|6BPWR|8AART|9RCR|aERES
129	22164 31521	2	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|2ASPD|357VULN|46DUR|8RCR|9TLV|aDMG
130	22166 21521	2	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1LWND|2ASPD|367VULN|45DUR|8RCR|9TLV|aDMG
131	11213 42625	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|26LIT|3aDUR|4MLV|5678VULN|6BPWR|9RCR
132	11233 42625	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|26LIT|3aDUR|4CGEN|5678VULN|6BPWR|9RCR
133	11325 32622	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|2aLIT|3DMSP|4ERES|578aVULN|6aDUR|9RCR|aBPWR
134	14212 32625	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|2478VULN|34LIT|4BPWR|5CGEN|6aDUR|9RCR
135	14215 21125	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	1AART|2457VULN|34LIT|4BPWR|6aDUR|8ZMB|9RCR
136	14221 42323	9	   	262.97	DCR|4VULN|2ASPD|1DUR|1AART	1AART|2678VULN|3LIT|4DUST|56ASPD|6BPWR|9RCR|aDUR
137	14221 42363	8	   	262.97	DCR|4VULN|2ASPD|1DUR|1AART	1AART|2678VULN|3LIT|4DUST|56ASPD|6BPWR|9RCR|aDUR
138	22111 26523	2	 * 	262.92	DCR|3VULN|3ASPD|2DUR|1TLV	17LWND|24aASPD|367VULN|57DUR|7BPWR|8RCR|9TLV
139	22163 26523	2	   	262.92	DCR|3VULN|3ASPD|2DUR|1TLV	17LWND|25aASPD|367VULN|47DUR|7BPWR|8RCR|9TLV
140	11266 12622	9	   	262.89	DCR|4VULN|2DUR|2LIT|1AART	1AART|2aLIT|34DUR|5aERES|678aVULN|9RCR|aBPWR
141	14122 34432	3	   	262.89	DCR|4VULN|3ASPD|2LIT|1AART	1AART|2359VULN|359BPWR|459ASPD|6BBNT|7TBNT|89LIT|aRCR
142	14263 12522	9	   	262.89	DCR|4VULN|2DUR|2LIT|1AART	1AART|257aVULN|38LIT|4aDUR|6aERES|9RCR|aBPWR
143	35111 55232	4	   	262.76	DCR|3VULN|3DMG|1DUR	1LIT|268VULN|356DMG|4RPLT|6BPWR|7RCR|9TBNT|aDUR
144	14215 61213	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8LHND|9CDMG|aDUR
145	14215 62333	8	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2459VULN|34LIT|4BPWR|6RCR|7LWND|8CDMG|aDUR
146	11213 42622	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|26LIT|3DUR|4MLV|5678VULN|6BPWR|9RCR|aCDMG
147	11233 42622	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|26LIT|3DUR|4CGEN|5678VULN|6BPWR|9RCR|aCDMG
148	14212 32622	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2478VULN|34LIT|4BPWR|5CGEN|6DUR|9RCR|aCDMG
149	14215 21122	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6DUR|8ZMB|9RCR|aCDMG
150	14215 61311	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9CDMG|aBELT
151	14215 61312	10	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9CDMG|aLHND
152	14215 61323	8	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9LWND|aCDMG
153	14215 63233	9	   	262.06	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2459VULN|34LIT|4BPWR|6RCR|7FEWX|8DUR|aCDMG
154	14136 22521	10	   	261.98	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1AART	1AART|237VULN|3BPWR|4DUR|5TLV|68LIT|9RCR|aDMG
155	14215 61311	10	   	261.96	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9CDMG|aERES
156	14215 61312	9	   	261.96	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9CDMG|aERES
157	14215 61313	10	   	261.96	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9CDMG|aLEGI
158	14215 61333	8	   	261.96	DCR|4VULN|1DUR|2LIT|1CDMG|1AART	1AART|2457VULN|34LIT|4BPWR|6RCR|8DUR|9DUST|aCDMG
159	14326 22621	10	   	261.92	DCR|4VULN|1DMG|1TLV|1AART	1AART|2478VULN|34LWND|4BPWR|5TLV|6LIT|9RCR|aDMG
160	14131 52621	10	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1AART|2378VULN|3BPWR|4DUR|5LIT|6MLV|9RCR|aDMG
161	14133 22621	10	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1AART|2378VULN|3BPWR|4DUR|5ZMB|6LIT|9RCR|aDMG
162	14115 22621	10	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1AART|2378VULN|3BPWR|4CGEN|5DUR|6LIT|9RCR|aDMG
163	14126 22621	10	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1AART|2378VULN|3BPWR|4LWND|5TLV|6LIT|9RCR|aDMG
164	14322 34114	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|245VULN|34LWND|4BPWR|69DUR|7DMG|8RCR|aTLV
165	14131 12621	10	   	261.72	DCR|4VULN|1DMG|1DUR|1AART	1AART|2378VULN|3BPWR|4DUR|5LIT|6ERES|9RCR|aDMG
166	14263 12621	10	   	261.72	DCR|4VULN|1DMG|1DUR|1AART	1AART|2578VULN|3LIT|4DUR|6ERES|9RCR|aDMG
167	14132 22164	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|235VULN|3BPWR|49DUR|6DMG|7BEXP|8RCR|aTLV
168	14132 26114	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|235VULN|3BPWR|49DUR|6DMG|7LWND|8RCR|aTLV
169	14112 34114	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|235VULN|3BPWR|4LHND|69DUR|7DMG|8RCR|aTLV
170	14122 34114	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|235VULN|3BPWR|4LWND|69DUR|7DMG|8RCR|aTLV
171	14132 21114	4	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|235VULN|3BPWR|49DUR|6DMG|7LEGI|8RCR|aTLV
