0	Index      	 *	Score 	Summary	Detail	
1	43623 32513	 * 	281.93	橙橙2易伤1伤害1平台	1基地爆炸2平台34易伤5低血量敌人6雷电7时间8a核9伤害
20	46233 11643	   	255.09	橙橙1易伤1伤害1矿等	1基地爆炸2伤害3加一4易伤5双倍秒伤6矿等7a核8敌人爆炸9立即金币
21	46233 11723	   	255.09	橙橙1易伤1伤害1矿等	18基地爆炸2伤害3加一4易伤5双倍秒伤6矿等7a核9敌人爆炸
22	46234 34813	   	255.09	橙橙1易伤1伤害1矿等	17基地爆炸2伤害3加一4易伤5等级6矿等8a核9掉矿
23	54218 11223	   	255.09	橙橙1易伤1伤害1矿等	1伤害2基地爆炸3加一4双倍秒伤5易伤6矿等7a核8双倍矿9敌人爆炸
24	54233 11223	   	255.09	橙橙1易伤1伤害1矿等	1伤害2基地爆炸3加一4易伤5双倍秒伤6矿等7a核8双倍矿9敌人爆炸
25	54233 11643	   	255.09	橙橙1易伤1伤害1矿等	1伤害2基地爆炸3加一4易伤5双倍秒伤6矿等7a核8敌人爆炸9立即金币
26	54233 11723	   	255.09	橙橙1易伤1伤害1矿等	1伤害28基地爆炸3加一4易伤5双倍秒伤6矿等7a核9敌人爆炸
27	54234 34813	   	255.09	橙橙1易伤1伤害1矿等	1伤害27基地爆炸3加一4易伤5等级6矿等8a核9掉矿
28	55234 32813	   	255.09	橙橙1易伤1伤害1矿等	1伤害27低血量敌人3加一4易伤5等级6矿等8a核9掉矿
29	41234 34853	   	255.09	橙橙1易伤1伤害1矿等	17基地爆炸2金币生成3加一4易伤5技能点6矿等8a核9伤害
30	14234 34853	   	254.99	橙橙1易伤1伤害1矿等	1掉矿27基地爆炸3加一4易伤5技能点6矿等8a核9伤害
31	15234 11853	   	254.99	橙橙1易伤1伤害1矿等	1掉矿2低血量敌人3加一4易伤5技能点6立即金币7矿等8a核9伤害
32	15234 32853	   	254.99	橙橙1易伤1伤害1矿等	1掉矿27低血量敌人3加一4易伤5技能点6矿等8a核9伤害
33	26218 11213	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4双倍秒伤5易伤6矿等7a核8双倍矿9基地爆炸
34	26218 11233	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4双倍秒伤5易伤6矿等7a核8双倍矿9敌人爆炸
35	26218 11643	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4双倍秒伤5易伤6矿等7a核8敌人爆炸9立即金币
36	26218 11743	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4双倍秒伤5易伤6矿等7a核8基地爆炸9立即金币
37	26233 11213	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4易伤5双倍秒伤6矿等7a核8双倍矿9基地爆炸
38	26233 11233	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4易伤5双倍秒伤6矿等7a核8双倍矿9敌人爆炸
39	26233 11643	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4易伤5双倍秒伤6矿等7a核8敌人爆炸9立即金币
40	26233 11743	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4易伤5双倍秒伤6矿等7a核8基地爆炸9立即金币
41	26233 11753	   	254.99	橙橙1易伤1伤害1矿等	1挖尘2伤害3加一4易伤5双倍秒伤6矿等7a核89基地爆炸
42	54232 25423	 * 	252.99	橙3易伤2伤害3攻速	1a伤害2基地爆炸3加一48a易伤5技能6核79a攻速a序列升级
