0	Index      	 *	Score 	Summary	Detail	
1	61244 28151	 * 	268.79	DCR|DCR|2VULN|1TLV|1DUR	1MBVNT|2TLV|35VULN|4LIT|6BEXP|7aRCR|8TBNT|9DUR
59	61373 43363	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8DUR|aBEXP
60	61373 43364	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8DUR|aRCVC
61	61743 18131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LWND|4LIT|5FEWX|6MDPS|7DUR|8VULN|9aRCR
62	61744 11731	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LWND|4LIT|5VULN|6MDPS|7LHND|8DUR|9aRCR
63	64112 24131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5TLV|6LHND|7LWND|8VULN|9aRCR
64	64112 24741	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5TLV|6LHND|7LWND|8aRCR|9VULN
65	64112 41741	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5TLV|6BEXP|7LHND|8aRCR|9VULN
66	64113 81131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5FEWX|6TLV|7LHND|8VULN|9aRCR
67	64113 81741	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5FEWX|6TLV|7LHND|8aRCR|9VULN
68	64212 48741	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3FEWX|4LIT|5TLV|6BEXP|7DUR|8aRCR|9VULN
69	64216 81131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3FEWX|4LIT|5DUR|6TLV|7LHND|8VULN|9aRCR
70	64312 44131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3LHND|4LIT|5TLV|6DUR|7LWND|8VULN|9aRCR
71	64312 44741	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3LHND|4LIT|5TLV|6DUR|7LWND|8aRCR|9VULN
72	64316 74131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3LHND|4LIT|5DUR|6TLV|7LWND|8VULN|9aRCR
73	65122 11131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2DUR|3FEWX|4TLV|5BOSS|6MDPS|7LHND|8VULN|9aRCR
74	65122 62131	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2DUR|37FEWX|4TLV|5BOSS|6TBNT|8VULN|9aRCR
75	16222 48181	   	242.49	DCR|DCR|2VULN|1DUR	1ERES|2DUR|38VULN|4MBVNT|5BOSS|6BEXP|7aRCR|9BBNT
76	32131 25255	   	242.49	DCR|DCR|2VULN|1DUR|1AAC	1BEXP|2BLASTR|3DUR|4BBNT|56VULN|79RCR|8AAC|aAEFRZ
77	16225 23281	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2DUR|3VULN|4MBVNT|5RMIN|6TLV|7LIT|8aRCR|9BBNT
78	61182 11131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3DUST|4DUR|5BOSS|6MDPS|7LHND|8VULN|9aRCR
79	61253 64131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4BBNT|5DUST|6DUR|78LIT|9aRCR
80	61266 43131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4AME|5BOSS|6TBNT|7DUR|8CGEN|9aRCR
81	61272 13831	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4DUR|5BOSS|6MDPS|7DUST|8LWND|9aRCR
82	61272 48241	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3VULN|4DUR|5BOSS|6BEXP|7aRCR|8MDPS|9DUST
83	61373 43171	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8AART|aAME
84	61373 43173	   	242.49	DCR|DCR|1VULN|1TLV|1AART|1MSE	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8AART|aMSE
85	61373 43174	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8AART|aAETHUN
86	61373 43361	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3LHND|4AIRBOS|5RMIN|69RCR|7VULN|8DUR|aTSLARM
87	61643 18131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3AETHUN|4LIT|5FEWX|6MDPS|7DUR|8VULN|9aRCR
88	61644 11731	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3AETHUN|4LIT|5VULN|6MDPS|7LHND|8DUR|9aRCR
89	61672 11131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3AETHUN|4DUR|5BOSS|6MDPS|7LHND|8VULN|9aRCR
90	64111 81131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5DUST|6TLV|7LHND|8VULN|9aRCR
91	64111 81741	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5DUST|6TLV|7LHND|8aRCR|9VULN
92	64112 43741	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5TLV|6BEXP|7DUST|8aRCR|9VULN
93	64113 83131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5FEWX|6TLV|7DUST|8VULN|9aRCR
94	64113 83741	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3DUR|4LIT|5FEWX|6TLV|7DUST|8aRCR|9VULN
95	64216 83131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2MDPS|3FEWX|4LIT|5DUR|6TLV|7DUST|8VULN|9aRCR
96	65122 13131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2DUR|3FEWX|4TLV|5BOSS|6MDPS|7DUST|8VULN|9aRCR
97	68222 11131	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2AETHUN|3DUR|4TLV|5BOSS|6MDPS|7LHND|8VULN|9aRCR
98	56313 23143	 * 	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2MBVNT|3ERES|4TBNT|58DUR|6aRCR|7CDMG|9VULN
99	56353 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2MBVNT|3ERES|4BBNT|58DUR|6aRCR|7CDMG|9VULN
100	56521 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2MBVNT|3TBNT|48DUR|5ERES|6aRCR|7CDMG|9VULN
101	61132 18131	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3DUST|4LEGI|5BOSS|6MDPS|7DUR|8VULN|9aRCR
102	65411 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|28DUR|3RPLT|4BBNT|5ERES|6aRCR|7CDMG|9VULN
103	65441 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|28DUR|3RPLT|4ERES|5BBNT|6aRCR|7CDMG|9VULN
104	68122 18131	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2AETHUN|3DUST|4TLV|5BOSS|6MDPS|7DUR|8VULN|9aRCR
105	52521 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2TBNT|3VULN|4MBVNT|5ERES|6aRCR|7CDMG|89DUR
106	56315 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2MBVNT|3ERES|4TBNT|5VULN|6aRCR|7CDMG|89DUR
107	56341 23143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1RPLT|2MBVNT|3ERES|4VULN|5BBNT|6aRCR|7CDMG|89DUR
108	61672 13131	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2TLV|3AETHUN|4DUR|5BOSS|6MDPS|7DUST|8VULN|9aRCR
109	65424 25143	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1MBVNT|29DUR|3RPLT|4CDMG|5TBNT|6VULN|7aRCR|8ERES
110	68222 13131	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MBVNT|2AETHUN|3DUR|4TLV|5BOSS|6MDPS|7DUST|8VULN|9aRCR
111	23316 21123	 * 	241.59	ACR|DCR|2VULN|1TLV|2CDMG	138RAT|29RCR|47RMIN|58CDMG|68VULN|8BPWR|aTLV
112	23411 65123	   	241.59	ACR|DCR|2VULN|1TLV|2CDMG	158RAT|29RCR|34VULN|68CDMG|78CGEN|8BPWR|aTLV
113	61271 24834	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1MBVNT|2TLV|37aVULN|4DUR|5BEXP|6MLV|8RCR|9DMG
114	68464 32411	 * 	240.58	DCR|3VULN|2FLTARM|2DUR	1MBVNT|2AETHUN|379VULN|4LHND|59FLTARM|6RPLT|89DUR|9BPWR|aRCR
115	31312 65251	   	240.49	DCR|DCR|2DMG|1VULN	1BEXP|26DMG|3LWND|4LHND|5MGNSTR|7BBNT|89RCR|aVULN
116	61817 41131	   	239.37	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|567LWND|8VULN|9aRCR
117	61148 23131	   	239.27	DCR|DCR|2TLV|1VULN	1MBVNT|27TLV|37DUST|4TBNT|5BOSS|67FEWX|7BPWR|8VULN|9aRCR
118	61811 71131	   	239.27	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5BBNT|6LWND|7LHND|8VULN|9aRCR
119	61811 21131	   	239.17	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5BBNT|6LEGI|7LHND|8VULN|9aRCR
120	61811 73131	   	239.17	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5BBNT|6LWND|7DUST|8VULN|9aRCR
121	61815 21131	   	239.17	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5TBNT|6LEGI|7LHND|8VULN|9aRCR
122	61862 24131	   	239.17	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4TBNT|5MDPS|6VULN|78LIT|9aRCR
123	61811 23131	   	239.07	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5BBNT|6LEGI|7DUST|8VULN|9aRCR
124	61815 23131	   	239.07	DCR|DCR|2TLV|1VULN	1MBVNT|23TLV|3BPWR|4BOSS|5TBNT|6LEGI|7DUST|8VULN|9aRCR
