0	Index      	 *	Score 	Summary	Detail	
1	16346 82212	 * 	246.32	ACR|DCR|2VULN|2DMG|1CDMG	1AEFRZ|2MBVNT|3aRCR|46DMG|5CDMG|78VULN|9RPLT
21	31533 33266	   	229.74	DCR|DCR|1VULN|1AART|1DUR	1ERES|2DUR|3VULN|4AEBURN|5TBNT|6AART|7aRCR|8DUST|9LSRICY
22	32233 33266	   	229.74	DCR|DCR|1VULN|1AART|1DUR	1ERES|2AEPOI|3DUR|4VULN|5TBNT|6AART|7aRCR|8DUST|9LSRICY
23	16346 22722	   	228.73	ACR|DCR|2VULN|1DMG|1CDMG	1AEFRZ|2MBVNT|3aRCR|4DMG|5CDMG|6RPLT|79VULN|8DMSP
24	24521 34132	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1DUST|2TLV|3VULN|4DUR|59RCR|6LHND|7DMG|8ERES|aLWND
25	16346 74212	   	228.63	ACR|DCR|2VULN|1DMG|1CDMG	1AEFRZ|2MBVNT|3aRCR|4DMG|5CDMG|68VULN|7AEPOI|9RPLT
26	16342 13341	   	228.63	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1AEFRZ|2MBVNT|38RCR|4DMG|5AIRHEA|6VULN|7BOSS|9TLV|aDUR
27	24521 34131	   	228.63	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1SELL	1DUST|2TLV|3VULN|4DUR|59RCR|6LHND|7DMG|8ERES|aSELL
28	16581 44232	 * 	228.60	DCR|DCR|1VULN|1TLV|1SELL	1AEFRZ|2MBVNT|3MULHEA|4VULN|5SELL|6aRCR|7TLV|8LIT|9ZMB
29	33365 12263	 * 	226.15	ACR|ACR|2DMG|1VULN|1TLV|1DUR|1CDMG	1ERES|28DMG|34RCR|5CDMG|6FEWX|7VULN|9DUR|aTLV
30	33365 32263	   	226.15	ACR|ACR|2DMG|1VULN|1TLV|1DUR|1CDMG	1ERES|28DMG|34RCR|5CDMG|6BEXP|7VULN|9DUR|aTLV
31	16342 13343	   	225.32	ACR|DCR|2TLV|1VULN|1DMG	1AEFRZ|2MBVNT|38RCR|4DMG|5AIRHEA|6VULN|7BOSS|9aTLV
32	16341 12653	   	224.97	ACR|DCR|1VULN|1DMG|1MLV|1AART	1AEFRZ|2MBVNT|39RCR|4DMG|5MLV|6ASPD|7ERES|8AART|aVULN
33	21521 36141	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUST|2MLV|37VULN|4DUR|59RCR|6BBNT|8BEXP|aLWND
34	21521 36143	   	224.28	ACR|DCR|2VULN|1MLV|1DUR	1DUST|2MLV|37VULN|4DUR|59RCR|6BBNT|8BEXP|aRPLT
35	31161 21541	   	224.28	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3aLWND|4VULN|59RCR|6TLV|7TBNT|8MLV
36	31161 33542	   	224.28	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3LWND|4VULN|59RCR|6BBNT|7CGEN|8MLV|aTLV
37	31261 21541	   	224.28	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3BEXP|4VULN|59RCR|6TLV|7TBNT|8MLV|aLWND
38	31261 21543	   	224.28	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3BEXP|4VULN|59RCR|6TLV|7TBNT|8MLV|aRPLT
39	21521 36142	   	224.18	ACR|DCR|2VULN|1MLV|1DUR	1DUST|2MLV|37VULN|4DUR|59RCR|6BBNT|8BEXP|aSPLARM
40	21521 21641	   	224.18	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUST|2MLV|3VULN|4DUR|59RCR|6TLV|7TBNT|8ERES|aLWND
41	21521 21643	   	224.18	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUST|2MLV|3VULN|4DUR|59RCR|6TLV|7TBNT|8ERES|aRPLT
42	31161 21542	   	224.18	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3LWND|4VULN|59RCR|6TLV|7TBNT|8MLV|aBBNT
43	31161 21543	   	224.18	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3LWND|4VULN|59RCR|6TLV|7TBNT|8MLV|aMULHEA
44	31261 21542	   	224.18	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1ERES|2DUR|3BEXP|4VULN|59RCR|6TLV|7TBNT|8MLV|aAIRARM
45	21521 21642	   	224.08	ACR|DCR|1VULN|1TLV|1MLV|1DUR	1DUST|2MLV|3VULN|4DUR|59RCR|6TLV|7TBNT|8ERES|aAIRARM
46	31161 26336	   	222.42	ACR|DCR|1VULN|1TLV|1DUR|1AART	1ERES|2DUR|3LWND|4VULN|59RCR|6TLV|7ZMB|8BEXP|aAART
47	24221 51512	   	222.22	ACR|DCR|1VULN|1TLV|1AART|1DUR	1DUST|2TLV|3BEXP|4DUR|58RCR|6BBNT|7AART|9ERES|aVULN
48	21121 31344	 * 	221.97	ACR|DCR|3DUR|1VULN|1MLV	1DUST|2MLV|3LWND|47aDUR|59RCR|6BBNT|8VULN
49	21521 31144	   	221.97	ACR|DCR|3DUR|1VULN|1MLV	1DUST|2MLV|3VULN|47aDUR|59RCR|6BBNT|8BEXP
50	11235 42342	 * 	221.76	DCR|2VULN|1TLV|1DMG|1DUR|1NUKE	15AEFRZ|2ASPD|3DUR|45VULN|5BPWR|6LIT|7DMG|8RCR|9TLV|aNUKE
51	24121 51341	 * 	221.12	ACR|DCR|1VULN|2DUR|1TLV	1DUST|2TLV|3aLWND|47DUR|59RCR|6BBNT|8VULN
52	24121 51343	   	221.12	ACR|DCR|1VULN|2DUR|1TLV	1DUST|2TLV|3LWND|47DUR|59RCR|6BBNT|8VULN|aVENTOX
53	31141 31346	   	221.12	ACR|DCR|1VULN|2DUR|1TLV	1ERES|27DUR|3LWND|4FEWX|59RCR|6BBNT|8VULN|aTLV
54	31161 31146	   	221.12	ACR|DCR|1VULN|2DUR|1TLV	1ERES|27DUR|3LWND|4VULN|59RCR|6BBNT|8BEXP|aTLV
55	31161 33344	   	221.12	ACR|DCR|1VULN|2DUR|1TLV	1ERES|2aDUR|3LWND|4VULN|59RCR|6BBNT|7CGEN|8TLV
56	24121 51342	   	221.02	ACR|DCR|1VULN|2DUR|1TLV	1DUST|2TLV|3LWND|47DUR|59RCR|6BBNT|8VULN|aTBNT
57	36121 31346	   	221.02	ACR|DCR|1VULN|2DUR|1TLV	1ERES|2DUST|3LWND|47DUR|59RCR|6BBNT|8VULN|aTLV
58	16342 13333	   	220.02	ACR|DCR|2DMG|1VULN|1DUR	1AEFRZ|2MBVNT|38RCR|49DMG|5AIRHEA|6VULN|7BOSS|aDUR
59	16473 41542	   	219.86	DCR|DCR|1DMG|1MLV|1AAC	1AEFRZ|2MBVNT|3RCVC|4CGEN|5MLV|69RCR|7SPLJET|8DMG|aAAC
60	31161 26331	   	219.77	ACR|DCR|1VULN|1TLV|1DUR|1NUKE	1ERES|2DUR|3LWND|4VULN|59RCR|6TLV|7ZMB|8BEXP|aNUKE
61	33534 13362	 * 	219.24	DCR|3VULN|1FLTARM|1DMG	1ERES|2DMG|3ASPD|46aVULN|5CGEN|7RMIN|8RCR|9FLTARM
62	31161 33342	   	219.00	ACR|DCR|2TLV|1VULN|1DUR	1ERES|2DUR|3LWND|4VULN|59RCR|6BBNT|7CGEN|8aTLV
63	31161 53342	   	219.00	ACR|DCR|2TLV|1VULN|1DUR	1ERES|2DUR|3LWND|4VULN|59RCR|6TBNT|7CGEN|8aTLV
64	43523 62132	   	218.98	ACR|DCR|1VULN|1DMG|1MSLTOX|1DUR	1BEXP|2LHND|39RCR|4DMG|5FEWX|6DUR|7VULN|8CGEN|aMSLTOX
65	21161 64132	   	218.14	ACR|DCR|1VULN|1DMG|1MLV|1DUR	1DUST|2MLV|3aLWND|4VULN|59RCR|6DUR|7DMG|8ERES
66	21161 64131	   	218.04	ACR|DCR|1VULN|1DMG|1MLV|1DUR|1SELL	1DUST|2MLV|3LWND|4VULN|59RCR|6DUR|7DMG|8ERES|aSELL
67	16341 64822	 * 	217.83	ACR|DCR|3DMG|2MLV	1AEFRZ|2MBVNT|38RCR|49aDMG|57MLV|6ERES
68	21161 26232	   	217.66	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD|aRPLT
69	21161 26235	   	217.66	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD|aBOSS
70	21541 26232	   	217.66	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3VULN|4FEWX|59RCR|6TLV|7CGEN|8ASPD|aRPLT
71	41531 26232	   	217.66	ACR|DCR|1VULN|1TLV|1MLV	1BEXP|2MLV|3VULN|4DUST|59RCR|6TLV|7CGEN|8ASPD|aRPLT
72	21161 26231	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD|aVENFST
73	21161 26233	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD|aERES
74	21161 26234	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3LWND|4VULN|59RCR|6TLV|7CGEN|8ASPD|aAETHUN
75	21541 26231	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3VULN|4FEWX|59RCR|6TLV|7CGEN|8ASPD|aVENFST
76	21541 26233	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1DUST|2MLV|3VULN|4FEWX|59RCR|6TLV|7CGEN|8ASPD|aERES
77	41531 26231	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1BEXP|2MLV|3VULN|4DUST|59RCR|6TLV|7CGEN|8ASPD|aVENFST
78	41531 26233	   	217.56	ACR|DCR|1VULN|1TLV|1MLV	1BEXP|2MLV|3VULN|4DUST|59RCR|6TLV|7CGEN|8ASPD|aERES
79	42235 42311	 * 	217.54	DCR|3VULN|3DUR|2ASPD	139BEXP|25ASPD|459VULN|59BPWR|679DUR|8BELT|aRCR
80	11235 42333	   	217.36	DCR|2VULN|1TLV|1DMG|2ASPD|1DUR	15AEFRZ|29ASPD|3DUR|45VULN|5BPWR|6LIT|7DMG|8RCR|aTLV
81	22335 42311	   	217.24	DCR|3VULN|3DUR|2ASPD	139DUST|25ASPD|459VULN|59BPWR|679DUR|8BELT|aRCR
82	31525 32123	   	217.24	DCR|3VULN|3DUR|1AART|1AAC	1ERES|245DUR|359VULN|5BPWR|6TSLARM|7AART|8AAC|aRCR
83	32364 12432	   	216.81	DCR|DCR|1TLV|1DMG	1ERES|2AEPOI|34CGEN|5DMG|69RCR|7BBNT|8TLV|aRPLT
84	33416 16112	   	216.81	DCR|DCR|1TLV|1DMG	1ERES|2DMG|3MGNBOS|4RAT|5TLV|6BELT|7FEWX|8FLTHEA|9aRCR
85	33416 16212	   	216.81	DCR|DCR|1TLV|1DMG	1ERES|2DMG|3MGNBOS|4RAT|5TLV|6BELT|7FEWX|8SPLJET|9aRCR
86	16274 21724	   	216.71	DCR|DCR|1TLV|1DMG	1AEFRZ|2MBVNT|3AME|4RAT|5MDPS|6TLV|7BELT|8aRCR|9DMG
87	32364 12431	   	216.71	DCR|DCR|1TLV|1DMG	1ERES|2AEPOI|34CGEN|5DMG|69RCR|7BBNT|8TLV|aAIRBOS
88	32364 12433	   	216.71	DCR|DCR|1TLV|1DMG	1aERES|2AEPOI|34CGEN|5DMG|69RCR|7BBNT|8TLV
