0	Index      	 *	Score 	Summary	Detail	
1	12126 46138	 * 	257.76	DCR|DCR|1TLV|1DMG|1DUR|1AART|1CDMG	1ERES|2CDMG|3AEWIND|4DMG|5MBVNT|6TLV|7aRCR|8DUR|9AART
50	23433 12624	   	241.43	ACR|4VULN|2FLTARM|1TLV|1MLV|1SELL	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aSELL
51	23433 12626	   	241.43	ACR|4VULN|2FLTARM|1TLV|1MLV	1489VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|9BPWR|aDUST
52	33423 13263	 * 	239.44	ACR|ACR|3VULN|1TLV|1MSLTOX|1DUR	1FEWX|25RCR|3TLV|4MSLTOX|6DUST|7DUR|89aVULN
53	53423 31433	   	239.44	ACR|ACR|3VULN|1TLV|1MSLTOX|1DUR	1DUR|25RCR|3TLV|4MSLTOX|6RAT|79aVULN|8BBNT
54	26623 11533	 * 	239.30	DCR|4VULN|2MLV|1TLV	1459VULN|2AME|37MLV|6RMIN|8TLV|aRCR
55	23122 26662	 * 	239.19	ACR|4VULN|2MLV|1TLV|1DMG|2ASPD	138aVULN|2RCR|4FLTHEA|5aASPD|6DMG|7TLV|9aMLV|aBPWR
56	53421 11334	 * 	239.09	ACR|DCR|1TLV|2DUR|1DMG|1MSLTOX|1CDMG	19DUR|28RCR|3TLV|4MSLTOX|5LSRREG|6CDMG|7BEXP|aDMG
57	41251 23613	   	238.80	DCR|4VULN|1TLV|1AART|1CDMG	17RPLT|2AART|3468VULN|5CDMG|9TLV|aRCR
58	53421 11361	   	238.57	ACR|DCR|1VULN|1TLV|1MSLTOX|1DUR|1CDMG	1DUR|28RCR|3TLV|4MSLTOX|5LSRREG|6CDMG|7BEXP|9AME|aVULN
59	53423 31632	   	237.37	ACR|ACR|2VULN|1TLV|1DMG|1MSLTOX|1DUR	1DUR|25RCR|3TLV|4MSLTOX|6RAT|79VULN|8CANARM|aDMG
60	23223 25366	   	236.93	ACR|DCR|2VULN|1TLV|1MLV	14VULN|2aRCR|34CGEN|4BPWR|5TLV|6RAT|7ERES|8MLV|9DLOT
61	23233 25366	   	236.83	ACR|DCR|2VULN|1TLV|1MLV	14VULN|2aRCR|3CGEN|5TLV|6RAT|7ERES|8MLV|9DLOT
62	23424 33341	 * 	236.42	ACR|DCR|4VULN	149aVULN|28RCR|34AME|4BPWR|5BELT|6FEWX|7LWND
63	23434 33341	   	236.42	ACR|DCR|4VULN	149aVULN|28RCR|3AME|5BELT|6FEWX|7LWND
64	23223 12323	   	236.32	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	149VULN|2RCR|349CGEN|49BPWR|5TLV|6MLV|79FLTARM|8DMSP|aAAC
65	23163 12323	   	236.22	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	139VULN|2RCR|49CGEN|5TLV|6MLV|79FLTARM|8DMSP|9BPWR|aAAC
66	23233 12323	   	236.22	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	149VULN|2RCR|39CGEN|5TLV|6MLV|79FLTARM|8DMSP|9BPWR|aAAC
67	23253 12623	   	236.22	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	189VULN|2RCR|349CGEN|5TLV|6MLV|79FLTARM|9BPWR|aAAC
68	23663 12623	   	236.12	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	189VULN|2RCR|3AEWIND|49CGEN|5TLV|6MLV|79FLTARM|9BPWR|aAAC
69	23433 12323	   	236.02	ACR|3VULN|2FLTARM|1TLV|1MLV|1AAC	149VULN|2RCR|39AME|5TLV|6MLV|79FLTARM|8DMSP|9BPWR|aAAC
70	33151 36633	   	235.67	ACR|DCR|2VULN|1DMG|1AART	1FEWX|2aRCR|34VULN|5AART|6DUST|7BBNT|8ASPD|9DMG
71	23351 31433	   	235.57	ACR|DCR|2VULN|1DMG|1AART	14VULN|2aRCR|368DUST|5AART|7ASPD|9DMG
72	33121 64532	   	235.07	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|38VULN|4RMIN|5DUR|6RPLT|9BEXP|aTLV
73	33131 64511	   	234.97	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9BBNT|aRMIN
74	33131 64513	   	234.97	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9BBNT|aLHND
75	33141 64231	   	234.97	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|3aVULN|4BEXP|5TLV|6RPLT|8DUR|9TBNT
76	23522 25334	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG|1AAC	19VULN|2aRCR|3ZMB|4LSRHEA|5AAC|6TLV|7RAT|8CDMG
77	33131 64322	   	234.97	ACR|DCR|1VULN|2DUR|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59DUR|6RPLT|8CDMG|aRAT
78	33131 64326	   	234.97	ACR|DCR|1VULN|2DUR|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59DUR|6RPLT|8CDMG|aLWND
79	23116 35633	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	13VULN|2aRCR|4DUR|5AIRHEA|6BBNT|7RAT|8RMIN|9TLV
80	23121 35633	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	13VULN|2aRCR|4FLTHEA|5DUR|6BBNT|7RAT|8RMIN|9TLV
81	33131 64131	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|3aVULN|4TLV|5DUR|6RPLT|8LEGI|9TBNT
82	33131 64521	   	234.87	ACR|DCR|2VULN|1TLV|1DUR|1SELL	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9SELL|aAEWIND
83	33131 64522	   	234.87	ACR|DCR|2VULN|1TLV|1DUR|1SELL	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9SELL|aRAT
84	33131 64531	   	234.87	ACR|DCR|2VULN|1TLV|1DUR|2MSE	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9aMSE
85	33131 64532	   	234.87	ACR|DCR|2VULN|1TLV|1DUR|1MSE	1FEWX|27RCR|38VULN|4TLV|5DUR|6RPLT|9MSE|aERES
86	33131 64533	 * 	234.87	ACR|DCR|2VULN|2DUR|1TLV|1MSE	1FEWX|27RCR|38VULN|4TLV|5aDUR|6RPLT|9MSE
87	33135 64231	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1FEWX|27RCR|3aVULN|4TLV|5DUST|6RPLT|8DUR|9TBNT
88	53132 16136	   	234.87	ACR|DCR|2VULN|1TLV|1DUR	1DUR|2aRCR|37VULN|4TLV|5BBNT|6RPLT|8FEWX|9MBVNT
89	33131 64321	   	234.87	ACR|DCR|1VULN|2DUR|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59DUR|6RPLT|8CDMG|aAEWIND
90	33131 64324	   	234.87	ACR|DCR|1VULN|2DUR|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59DUR|6RPLT|8CDMG|aMBVNT
91	33131 64325	   	234.87	ACR|DCR|1VULN|2DUR|1TLV|1CDMG	1FEWX|27RCR|3VULN|4TLV|59DUR|6RPLT|8CDMG|aERES
92	23116 25423	   	234.77	ACR|DCR|2VULN|1TLV|1DUR	13VULN|2aRCR|4DUR|5AIRHEA|6TLV|7RAT|8BBNT|9ERES
93	23121 25423	   	234.77	ACR|DCR|2VULN|1TLV|1DUR	13VULN|2aRCR|4FLTHEA|5DUR|6TLV|7RAT|8BBNT|9ERES
94	22552 35231	 * 	234.15	DCR|3VULN|2DUR|1TLV|1MLV	136VULN|29LHND|4LIT|56DUR|6BPWR|7MLV|8TLV|aRCR
95	33423 61323	   	233.81	ACR|ACR|1VULN|1TLV|1DMG|1MSLTOX|1MLV|1CDMG	1FEWX|25RCR|3TLV|4MSLTOX|6CDMG|7ASPD|8DMG|9VULN|aMLV
96	23423 12324	   	233.37	ACR|3VULN|2FLTARM|1TLV|1MLV|1NUKE	149VULN|2RCR|349AME|49BPWR|5TLV|6MLV|79FLTARM|8DMSP|aNUKE
97	41251 22431	   	233.19	DCR|3VULN|1TLV|1DUR|1AART|1CDMG	1RPLT|2AART|346VULN|5CDMG|7TBNT|8DUR|9TLV|aRCR
98	23223 12643	   	233.14	ACR|4VULN|1FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|34CGEN|4BPWR|5TLV|6MLV|7FLTARM|aAAC
99	23163 12643	   	233.04	ACR|4VULN|1FLTARM|1TLV|1MLV|1AAC	1389VULN|2RCR|4CGEN|5TLV|6MLV|7FLTARM|aAAC
100	23233 12643	   	233.04	ACR|4VULN|1FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|3CGEN|5TLV|6MLV|7FLTARM|aAAC
101	23423 12643	   	232.94	ACR|4VULN|1FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|34AME|4BPWR|5TLV|6MLV|7FLTARM|aAAC
102	23433 12643	   	232.94	ACR|4VULN|1FLTARM|1TLV|1MLV|1AAC	1489VULN|2RCR|3AME|5TLV|6MLV|7FLTARM|aAAC
103	33131 64353	   	232.85	ACR|DCR|2TLV|1VULN|1DUR|1CDMG	1FEWX|27RCR|3VULN|4aTLV|5DUR|6RPLT|8CDMG|9RAT
104	33131 64362	   	232.85	ACR|DCR|2TLV|1VULN|1DUR|1CDMG	1FEWX|27RCR|3VULN|49TLV|5DUR|6RPLT|8CDMG|aRAT
105	53423 12135	   	232.81	ACR|ACR|2VULN|1TLV|1MSLTOX|1MLV|1DUR	1DUR|25RCR|3TLV|4MSLTOX|6DUST|7FLTHEA|89VULN|aMLV
106	53421 11323	   	232.78	ACR|DCR|1FLTARM|1TLV|1MSLTOX|1DUR|1CDMG	1DUR|28RCR|3TLV|4MSLTOX|5LSRREG|6CDMG|79BEXP|aFLTARM
107	33131 64361	   	232.75	ACR|DCR|2TLV|1VULN|1DUR|1CDMG	1FEWX|27RCR|3VULN|49TLV|5DUR|6RPLT|8CDMG|aAEWIND
108	33131 64126	   	231.76	ACR|DCR|2TLV|1VULN|2DUR	19aFEWX|27RCR|3VULN|4aTLV|5aDUR|6RPLT|8LEGI|aBPWR
109	23116 22662	 * 	231.68	ACR|4VULN|2MLV|2DUR|1TLV	138aVULN|2RCR|4aDUR|5AIRHEA|6TLV|7DMSP|9aMLV|aBPWR
110	33423 13264	   	230.95	ACR|ACR|2VULN|1TLV|1MSLTOX|1DUR|1AAC	1FEWX|25RCR|3TLV|4MSLTOX|6DUST|7DUR|89VULN|aAAC
111	23424 33342	   	230.91	ACR|DCR|3VULN|1DUR	149VULN|28RCR|34AME|4BPWR|5BELT|6FEWX|7LWND|aDUR
112	23434 33342	   	230.91	ACR|DCR|3VULN|1DUR	149VULN|28RCR|3AME|5BELT|6FEWX|7LWND|aDUR
113	53423 12134	   	230.85	ACR|ACR|2VULN|1TLV|1MSLTOX|1DUR|1AAC	1DUR|25RCR|3TLV|4MSLTOX|6DUST|7FLTHEA|89VULN|aAAC
114	23223 12222	 * 	230.72	ACR|3VULN|2TLV|1FLTARM|1DMG|1MLV	149VULN|2RCR|34CGEN|49BPWR|59TLV|6MLV|7FLTARM|89DUST|aDMG
115	23163 12222	   	230.62	ACR|3VULN|2TLV|1FLTARM|1DMG|1MLV	139VULN|2RCR|4CGEN|59TLV|6MLV|7FLTARM|89DUST|9BPWR|aDMG
116	23233 12222	   	230.62	ACR|3VULN|2TLV|1FLTARM|1DMG|1MLV	149VULN|2RCR|3CGEN|59TLV|6MLV|7FLTARM|89DUST|9BPWR|aDMG
117	23423 12222	   	230.52	ACR|3VULN|2TLV|1FLTARM|1DMG|1MLV	149VULN|2RCR|34AME|49BPWR|59TLV|6MLV|7FLTARM|89DUST|aDMG
118	23433 12222	   	230.52	ACR|3VULN|2TLV|1FLTARM|1DMG|1MLV	149VULN|2RCR|3AME|59TLV|6MLV|7FLTARM|89DUST|9BPWR|aDMG
119	12112 61636	 * 	229.92	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1ERES|2CDMG|39AEWIND|49VULN|5LHND|69DUR|7TLV|8DMG|9BPWR|aRCR
120	53423 21261	 * 	229.79	ACR|ACR|3DUR|1VULN|2MSLTOX|1TLV	18aDUR|25RCR|3TLV|48MSLTOX|6TBNT|78LWND|8BPWR|9VULN
121	53423 31432	 * 	229.76	ACR|ACR|2VULN|2DUR|1TLV|1MSLTOX	1aDUR|25RCR|3TLV|4MSLTOX|6RAT|79VULN|8BBNT
122	53423 31633	   	229.76	ACR|ACR|2VULN|2DUR|1TLV|1MSLTOX	1aDUR|25RCR|3TLV|4MSLTOX|6RAT|79VULN|8CANARM
123	22155 51313	   	229.04	DCR|DCR|2VULN	16VULN|2LHND|3RAT|4RCVC|56FEWX|6BPWR|7aRCR|8SNIFST|9TBNT
124	25213 51313	   	229.04	DCR|DCR|2VULN	16VULN|25FEWX|3LHND|46RAT|6BPWR|7aRCR|8SNIFST|9TBNT
125	25214 51313	   	229.04	DCR|DCR|2VULN	16VULN|2FEWX|35LHND|46RAT|6BPWR|7aRCR|8SNIFST|9TBNT
126	25216 51313	   	229.04	DCR|DCR|2VULN	16VULN|2FEWX|3LHND|46RAT|5RCVC|6BPWR|7aRCR|8SNIFST|9TBNT
127	25313 51313	   	229.04	DCR|DCR|2VULN	16VULN|25FEWX|3LWND|46RAT|6BPWR|7aRCR|8SNIFST|9TBNT
128	22155 41313	   	228.94	DCR|DCR|2VULN	16VULN|2LHND|3RAT|4RCVC|5FEWX|7aRCR|8SNIFST|9TBNT
129	25213 41313	   	228.94	DCR|DCR|2VULN	16VULN|25FEWX|3LHND|4RAT|7aRCR|8SNIFST|9TBNT
130	25214 41313	   	228.94	DCR|DCR|2VULN	16VULN|2FEWX|35LHND|4RAT|7aRCR|8SNIFST|9TBNT
131	25216 41313	   	228.94	DCR|DCR|2VULN	16VULN|2FEWX|3LHND|4RAT|5RCVC|7aRCR|8SNIFST|9TBNT
132	25313 41313	   	228.94	DCR|DCR|2VULN	16VULN|25FEWX|3LWND|4RAT|7aRCR|8SNIFST|9TBNT
133	32513 41313	   	228.94	DCR|DCR|2VULN	15FEWX|2LWND|36VULN|4RAT|7aRCR|8SNIFST|9TBNT
134	22523 46132	   	228.85	DCR|4VULN|1MSLTOX|1DUR|1CDMG	1345VULN|2LHND|6DUR|7RAT|8CDMG|9MSLTOX|aRCR
135	31513 41313	   	228.84	DCR|DCR|2VULN	15FEWX|2DUST|36VULN|4RAT|7aRCR|8SNIFST|9TBNT
136	24316 41133	   	228.83	ACR|DCR|2VULN|1DMG|1AART	19VULN|2ZMB|3AART|4TBNT|5aRCR|6FEWX|7BEXP|8DMG
137	34316 51133	   	228.83	ACR|DCR|2VULN|1DMG|1AART	1FEWX|2ZMB|3AART|4TBNT|5aRCR|69VULN|7BEXP|8DMG
138	33131 64212	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1FEWX|27RCR|3VULN|4TLV|5DUR|6RPLT|8RCVC|9BBNT|aDMG
139	23551 51213	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2aRCR|3ZMB|4CGEN|5AART|6TBNT|7TLV|8DMG|9FEWX
140	53132 12115	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2aRCR|3VULN|4TLV|5BBNT|6RPLT|7ZMB|8DMG|9LWND
141	53231 12425	   	228.83	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2aRCR|3TBNT|4LHND|5DMG|6RPLT|7ZMB|8TLV|9VULN
142	23363 25133	   	228.73	ACR|DCR|2VULN|1DMG|1AART	19VULN|2aRCR|3DUST|4TBNT|5BEXP|6ZMB|7AART|8DMG
143	24316 31133	   	228.73	ACR|DCR|2VULN|1DMG|1AART	19VULN|2ZMB|3AART|4TBNT|5aRCR|6DUST|7BEXP|8DMG
144	24316 36133	   	228.73	ACR|DCR|2VULN|1DMG|1AART	19VULN|2ZMB|3AART|4TBNT|5aRCR|6DUST|7LWND|8DMG
145	15123 32346	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1ERES|2TLV|3LWND|4BELT|58RCR|6AME|7DUR|9VULN|aDMG
146	24316 21213	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2ZMB|3AART|4TBNT|5aRCR|6ERES|7TLV|8DMG|9FEWX
147	24316 21263	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2ZMB|3AART|4TBNT|5aRCR|6ERES|7TLV|8DMG|9LHND
148	33131 64313	 * 	228.73	ACR|DCR|1VULN|1TLV|2CDMG|1DUR	1FEWX|27RCR|3VULN|4TLV|5DUR|6RPLT|8aCDMG|9MDPS
149	23541 21213	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2aRCR|3ZMB|4TLV|5AART|6ERES|7BBNT|8DMG|9FEWX
150	23541 21263	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2aRCR|3ZMB|4TLV|5AART|6ERES|7BBNT|8DMG|9LHND
151	53211 12425	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2aRCR|3TBNT|4DUST|5DMG|6RPLT|7ZMB|8TLV|9VULN
152	53221 12425	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1DUR	1DUR|2aRCR|3TBNT|4LEGI|5DMG|6RPLT|7ZMB|8TLV|9VULN
153	53423 13243	   	228.65	ACR|ACR|3DUR|1VULN|1TLV|1MSLTOX|1CDMG	178DUR|25RCR|3TLV|4MSLTOX|6DUST|9VULN|aCDMG
154	22523 42334	 * 	228.30	DCR|5VULN|2DUR	13459VULN|2LHND|67DUR|8RCVC|aRCR
155	33453 61322	   	228.06	ACR|ACR|2VULN|1TLV|1DMG|1CDMG	1FEWX|24RCR|3TLV|5CANSTR|6CDMG|7ASPD|8DMG|9aVULN
156	23111 26641	 * 	227.77	ACR|4VULN|2TLV|2DUR|1AART	138aVULN|2RCR|4aDUR|5AART|6ERES|7LIT|9aTLV|aBPWR
