0	Index      	 *	Score 	Summary	Detail	
1	23621 32342	 * 	270.65	DCR|DCR|2VULN|1TLV|1MLV	1CGEN|24VULN|3ERES|5MLV|6TLV|7TBNT|8BBNT|9aRCR
34	23162 13342	   	244.44	DCR|DCR|2VULN|1MLV	1CGEN|24VULN|3MDPS|5MLV|6TBNT|7LHND|8DUST|9aRCR
35	32213 36342	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3TLV|4MDPS|5BEXP|6VULN|7CGEN|8AME|9aRCR
36	32213 36542	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3TLV|4MDPS|5BEXP|6VULN|7CGEN|8ERES|9aRCR
37	32215 36342	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3TLV|4MDPS|5LWND|6VULN|7CGEN|8AME|9aRCR
38	32344 12342	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3RCVC|4ERES|5CGEN|6TLV|7VULN|8TBNT|9aRCR
39	32361 11542	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3RCVC|4CGEN|5TBNT|6TLV|7VULN|8ERES|9aRCR
40	32363 12342	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3RCVC|4CGEN|5ERES|6TLV|7VULN|8TBNT|9aRCR
41	33562 23342	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2RMIN|3VULN|4MDPS|5MLV|6TLV|7CGEN|8DUST|9aRCR
42	34262 22342	   	244.34	DCR|DCR|2VULN|1MLV	1BBNT|23VULN|4CGEN|5DUST|6AEFRZ|7MLV|8TBNT|9aRCR
43	21143 32442	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2AETHUN|3MDPS|4ERES|5TLV|6VULN|7MLV|8TBNT|9aRCR
44	21511 21642	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2AETHUN|3AME|4MDPS|5BBNT|6TLV|7VULN|8MLV|9aRCR
45	21513 11642	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2AETHUN|3AME|4MDPS|5TLV|6TBNT|7VULN|8MLV|9aRCR
46	21513 32442	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2AETHUN|3AME|4MDPS|5TLV|6VULN|7MLV|8TBNT|9aRCR
47	21613 32442	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2AETHUN|3ERES|4MDPS|5TLV|6VULN|7MLV|8TBNT|9aRCR
48	23661 32342	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1CGEN|2VULN|3ERES|4AEBURN|5MLV|6TLV|7TBNT|8BBNT|9aRCR
49	32241 21542	   	244.34	DCR|DCR|1VULN|1TLV|1MLV	1BBNT|2MLV|3TLV|4AEBURN|5TBNT|6CGEN|7VULN|8ERES|9aRCR
50	11124 32632	   	242.69	DCR|DCR|2VULN|1DUR	1LWND|26VULN|3CGEN|4FEWX|5DUR|7aRCR|8BBNT|9BEXP
51	11614 32632	   	242.69	DCR|DCR|2VULN|1DUR	1LWND|26VULN|3FEWX|4CGEN|5DUR|7aRCR|8BBNT|9BEXP
52	46132 11263	   	242.69	DCR|DCR|2VULN|1DUR	1RPLT|2RAT|3CANTOX|46VULN|5LIT|7aRCR|8RMIN|9DUR
53	23222 33451	   	242.69	DCR|DCR|2VULN|1DUR	14CGEN|29VULN|3LSRHEA|5BEXP|6BOSS|7aRCR|8DUR
54	23222 63451	   	242.69	DCR|DCR|2VULN|1DUR	14CGEN|29VULN|3LSRHEA|5BEXP|6LIT|7aRCR|8DUR
55	11321 23242	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2VULN|3BEXP|4LHND|5BBNT|6TLV|7CGEN|8DUR|9aRCR
56	11341 23242	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2VULN|3BEXP|4FEWX|5BBNT|6TLV|7CGEN|8DUR|9aRCR
57	11621 23242	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2VULN|3FEWX|4LHND|5BBNT|6TLV|7CGEN|8DUR|9aRCR
58	11641 23242	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2VULN|3FEWX|4BEXP|5BBNT|6TLV|7CGEN|8DUR|9aRCR
59	16351 23242	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2FEWX|3BEXP|4VULN|5BBNT|6TLV|7CGEN|8DUR|9aRCR
60	11623 32662	   	242.59	DCR|DCR|2VULN|1DUR	1LWND|26VULN|3FEWX|4LHND|5ERES|7aRCR|8BBNT|9DUR
61	11663 32632	   	242.59	DCR|DCR|2VULN|1DUR	1LWND|26VULN|3FEWX|4DUR|5ERES|7aRCR|8BBNT|9BEXP
62	23212 33451	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|29VULN|3LSRHEA|4AEFBLL|5BEXP|6BOSS|7aRCR|8DUR
63	23212 63451	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|29VULN|3LSRHEA|4AEFBLL|5BEXP|6LIT|7aRCR|8DUR
64	11361 23642	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2VULN|3BEXP|4DUR|5BBNT|6TLV|7CGEN|8DUST|9aRCR
65	22626 12632	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2ERES|3FEWX|4VULN|5DUR|6TLV|7aRCR|8BBNT|9BEXP
66	23462 22342	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	16CGEN|2VULN|3DUR|4RCVC|5TLV|7TBNT|8BBNT|9aRCR
67	23463 32342	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2VULN|3DUR|4RCVC|5DMSP|6TLV|7TBNT|8BBNT|9aRCR
68	11212 51262	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|27VULN|3BBNT|4AME|5LHND|6DUST|8aRCR|9DUR
69	12523 12632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|25AEWIND|3DUR|4VULN|6TLV|7aRCR|8BBNT|9BEXP
70	12562 12632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2AEWIND|3DUR|4AETHUN|5VULN|6TLV|7aRCR|8BBNT|9BEXP
71	21624 12632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3ERES|4VULN|5TLV|6DUR|7aRCR|8BBNT|9BEXP
72	12623 12662	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1LWND|25AEWIND|3FEWX|4VULN|6TLV|7aRCR|8BBNT|9DUR
73	21525 12632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2AETHUN|3AME|4VULN|5DUR|6TLV|7aRCR|8BBNT|9BEXP
74	33622 34324	   	242.45	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1BBNT|2RMIN|3LHND|4SELL|5DUR|68RCR|7LWND|9VULN|aTLV
75	34131 33642	   	242.39	DCR|DCR|2VULN|1DUR	1BBNT|24VULN|34ERES|4BPWR|5MDPS|6DUR|7CGEN|8DUST|9aRCR
76	12123 12662	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LWND|25AEWIND|3DUST|4VULN|6TLV|7aRCR|8BBNT|9DUR
77	12162 12662	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1LWND|2AEWIND|3DUST|4AETHUN|5VULN|6TLV|7aRCR|8BBNT|9DUR
78	22211 31342	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2ERES|3TBNT|4MDPS|5TLV|6DUR|7VULN|8AME|9aRCR
79	22231 31342	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2ERES|3TBNT|4TLV|5MDPS|6DUR|7VULN|8AME|9aRCR
80	22511 21342	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|4MDPS|5BBNT|6TLV|7VULN|8AME|9aRCR
81	22513 11342	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|4MDPS|5TLV|6TBNT|7VULN|8AME|9aRCR
