0	Index      	 *	Score 	Summary	Detail	
1	22532 62263	 * 	275.12	橙橙1易伤2攻速1伤害	15最后敌人2金币生成3伤害45攻速5序列升级6a核7激光对冰8易伤9时间
16	26151 31214	   	248.53	橙橙2易伤	12最后敌人3雷电45易伤6a核7双倍秒伤8等级9基地爆炸
17	26151 31224	   	248.43	橙橙2易伤	12最后敌人3雷电45易伤6a核7双倍秒伤8等级9挖青
18	15152 14225	   	248.33	橙橙2易伤	1掉矿2额外掉落35易伤4导弹对毒6加一7a核8赏金邻近9低血量敌人
19	15152 14245	   	248.33	橙橙2易伤	1掉矿2额外掉落35易伤4导弹对毒6加一7a核8赏金邻近9基地爆炸
20	43132 32311	   	248.18	橙橙1易伤1全技能1平台	1a技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能
21	43132 32313	   	248.18	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a赏金塔
22	43132 32316	   	248.18	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a额外掉落
23	33224 51235	   	248.09	紫橙2易伤1伤害	1赏金塔2时间3等级4金币生成56核7低血量敌人8a易伤9伤害
24	21224 52235	   	248.09	紫橙2易伤1伤害	1最后敌人2随机矿3赏金塔4金币生成56核7时间8a易伤9伤害
25	22214 52235	   	248.09	紫橙2易伤1伤害	1最后敌人2金币生成3赏金塔4等级56核7时间8a易伤9伤害
26	23224 52235	   	248.09	紫橙2易伤1伤害	1最后敌人2赏金塔3等级4金币生成56核7时间8a易伤9伤害
27	24256 33311	   	248.08	橙橙1易伤1全技能1平台	1最后敌人2时间3a技能4平台5易伤69核7掉矿8全技能
28	24256 33313	   	248.08	橙橙1易伤1全技能1平台	1最后敌人2时间3技能4平台5易伤69核7掉矿8全技能a赏金塔
29	43132 32312	   	248.08	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a挖青
30	43132 32314	   	248.08	橙橙1易伤1全技能1平台	1技能2平台3时间4易伤5金币生成69核7低血量敌人8全技能a爆破对壮
31	24256 33312	   	247.98	橙橙1易伤1全技能1平台	1最后敌人2时间3技能4平台5易伤69核7掉矿8全技能a挖青
32	43223 62224	   	247.74	橙橙1易伤1矿等1平台	1技能2平台3随机矿4矿等5雷电6a核7赏金邻近8易伤9基地爆炸
33	43223 62253	   	247.74	橙橙1易伤1矿等1平台	1技能2平台3随机矿4矿等5雷电6a核7赏金邻近8易伤9低血量敌人
34	25222 24533	 * 	247.47	紫橙1易伤2攻速1伤害1全技能	1最后敌人2全技能36敌人爆炸4伤害5a核78攻速9易伤
35	13624 51232	   	246.82	紫橙2易伤1矿等1全技能	1掉矿2矿等3赏金塔4最后敌人56核7低血量敌人89易伤a全技能
36	13513 36114	   	246.29	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8最后敌人9基地爆炸
37	13513 36314	   	246.29	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8敌人爆炸9基地爆炸
38	33115 12212	   	246.29	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9最后敌人
39	33115 12232	   	246.29	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9基地爆炸
40	33115 12242	   	246.29	橙橙1易伤1矿等	1赏金塔2时间3技能4赏金邻近5矿等6双倍秒伤7a核8易伤9敌人爆炸
41	13513 36324	   	246.19	橙橙1易伤1矿等	1掉矿2矿等3金币生成4雷电5时间6易伤7a核8敌人爆炸9挖青
42	21224 56312	   	246.03	紫橙2易伤2攻速	17a最后敌人2随机矿3赏金塔4金币生成56核8a攻速9a易伤a序列升级
43	13624 52231	   	245.46	紫橙2易伤1矿等	1掉矿2矿等3赏金塔4最后敌人56核7时间89易伤a额外掉落
44	13624 52232	   	245.46	紫橙2易伤1矿等	1掉矿2矿等3赏金塔4最后敌人56核7时间89易伤a双倍矿
45	13624 52233	   	245.46	紫橙2易伤1矿等	1掉矿2矿等3赏金塔4最后敌人56核7时间89易伤a等级
