0	Index      	 *	Score 	Summary	Detail	
1	24512 35221	 * 	271.40	紫橙2易伤1伤害1攻速1平台	1平台27易伤3a核4时间5最后敌人6赏金邻近8伤害9攻速
26	21612 12334	   	249.97	橙橙1易伤1伤害1平台	1平台2掉矿3电塔对黄4雷电5伤害6挖尘7a核8低血量敌人9易伤
27	42262 12334	   	249.97	橙橙1易伤1伤害1平台	1散射对绿2雷电3掉矿4平台5伤害6挖尘7a核8低血量敌人9易伤
28	24133 11653	   	249.93	橙橙1易伤1伤害1平台1策反	1平台2易伤3双倍秒伤4等级5金币生成6赏金邻近7a核8伤害9策反
29	32232 36351	   	249.93	橙橙1易伤1伤害1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6伤害7等级8平台9a核
30	32232 32251	   	249.83	橙橙1易伤1伤害1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6伤害7平台8掉矿9a核
31	24552 32121	   	249.10	紫橙2易伤1伤害1平台1策反	1平台25易伤3a核4策反6挖尘7伤害8低血量敌人9赏金塔
32	24553 32121	   	248.96	紫橙2易伤1伤害1平台2策反	1平台25易伤3a核45策反5序列升级6挖尘7伤害8低血量敌人9赏金塔
33	35211 31232	   	248.33	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a最后敌人89核a序列升级
34	35211 34232	   	248.33	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a低血量敌人89核a序列升级
35	35211 37232	   	248.33	橙橙2易伤	1a技能点2加一3电塔对甲4a易伤5多重对愈6雷电7a基地爆炸89核a序列升级
36	35211 31233	   	248.23	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7最后敌人89核
37	35211 34233	   	248.23	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7低血量敌人89核
38	35211 37233	   	248.23	橙橙2易伤	1技能点2加一3电塔对甲4a易伤5多重对愈6雷电7基地爆炸89核
39	35436 16233	   	248.23	橙橙2易伤	1技能点2加一3雷电4毒液对毒5敌人爆炸6a易伤7散射对甲89核
40	35436 18233	   	248.23	橙橙2易伤	1技能点2加一3雷电4毒液对毒5敌人爆炸6a易伤7喷火对黄89核
41	45311 32512	   	247.54	橙橙1易伤1矿等1平台	1散射对绿2平台3矿等4雷电5a敌人爆炸6易伤7掉矿89核
42	45311 32511	   	247.44	橙橙1易伤1矿等1平台	1散射对绿2平台3矿等4雷电5敌人爆炸6易伤7掉矿89核a挖尘
43	24116 62312	 * 	244.54	橙3易伤1伤害1矿等1攻速1平台	1平台278易伤3双倍秒伤4伤害5攻速6雷电9矿等a核
44	36325 33241	   	243.76	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8攻速9金币生成
45	31232 52321	   	243.66	橙橙1易伤1攻速1平台	1技能点2赏金邻近3最后敌人4掉矿5易伤6攻速7平台8技能9a核
46	36323 33241	   	243.66	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5掉矿6赏金塔7a核8攻速9金币生成
47	36325 33221	   	243.66	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5等级6赏金塔7a核8攻速9掉矿
48	21611 62225	   	243.66	橙橙1易伤1攻速1平台	1平台2掉矿3电塔对黄4雷电5敌人爆炸6攻速79核8额外掉落a易伤
49	21611 62334	   	243.66	橙橙1易伤1攻速1平台	1平台2掉矿3电塔对黄4雷电5敌人爆炸6攻速7a核8低血量敌人9易伤
50	36321 15321	   	243.66	橙橙1易伤1攻速1平台	1技能点2平台3赏金邻近4易伤5最后敌人6攻速7掉矿8技能9a核
51	32232 56351	   	243.52	橙橙1易伤1攻速1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6攻速7等级8平台9a核
52	24143 24161	   	243.51	橙橙1易伤2平台	17平台2易伤3双倍秒伤4加一5低血量敌人6时间8敌人爆炸9a核
53	32232 52251	   	243.42	橙橙1易伤1攻速1平台1策反	1技能点2策反3赏金邻近4基地爆炸5易伤6攻速7平台8掉矿9a核
54	24512 31221	   	243.33	紫橙1易伤1伤害1攻速1平台	1平台2易伤3a核4时间5最后敌人6赏金邻近7立即金币8伤害9攻速
55	26514 31221	   	243.33	紫橙1易伤1伤害1攻速1平台	1平台2最后敌人3a核4时间5易伤6赏金邻近7立即金币8伤害9攻速
