0	Index      	 *	Score 	Summary	Detail	
1	11356 21522	 * 	282.49	橙橙1易伤1伤害1矿等1攻速1暴击	1技能点2矿等3激光对冰4伤害5攻速68核7易伤9赏金塔a暴击
43	27384 35212	 * 	262.65	橙3易伤3攻速2伤害1平台	1加一2随机矿379攻速4平台57伤害679易伤79序列升级89技能点a核
44	11312 21522	   	262.43	橙橙1易伤1矿等1攻速1暴击	1技能点2矿等3激光对冰4攻速5技能68核7易伤9赏金塔a暴击
45	11312 21556	   	262.43	橙橙1易伤1矿等1攻速1暴击	1技能点2矿等3激光对冰4攻速5技能68核7易伤9敌人爆炸a暴击
46	14312 21516	   	262.33	橙橙1易伤1矿等1攻速1暴击	1技能点2掉矿3激光对冰4攻速5技能68核7易伤9矿等a暴击
47	26245 27324	 * 	262.05	橙2易伤3伤害2矿等2暴击	1加一245伤害3赏金塔69易伤79矿等89暴击9序列升级a核
48	21336 21654	   	261.46	橙橙2易伤1平台	1加一2激光减费35导弹对毒4时间68核7a易伤9平台
49	21322 21646	   	261.13	橙橙2易伤1矿等	1加一2激光减费3导弹对毒4低血量敌人5双倍矿68核79易伤a矿等
50	21514 21646	   	261.13	橙橙2易伤1矿等	1加一2激光减费3立即金币4基地爆炸5基础对愈68核79易伤a矿等
51	21326 21646	   	261.03	橙橙2易伤1矿等	1加一2激光减费35导弹对毒4低血量敌人68核79易伤a矿等
52	14312 21561	   	260.87	橙橙1易伤1伤害1攻速1平台	1技能点2掉矿3激光对冰4攻速5技能68核7易伤9伤害a平台
53	43312 21561	   	260.87	橙橙1易伤1伤害1攻速1平台	1最后敌人2激光减费3导弹对毒4攻速5技能68核7易伤9伤害a平台
54	14312 21563	   	259.51	橙橙1易伤1伤害1攻速	1技能点2掉矿3激光对冰4攻速5技能68核7易伤9伤害a时间
55	43312 21563	   	259.51	橙橙1易伤1伤害1攻速	1最后敌人2激光减费3导弹对毒4攻速5技能68核7易伤9伤害a时间
56	25131 44548	   	259.51	橙橙1易伤1伤害1攻速	1加一2立即金币3攻速4时间5伤害6最后敌人7a核8导弹对绿9易伤
57	26431 44548	   	259.41	橙橙1易伤1伤害1攻速	1加一2伤害3激光减费4时间5攻速6最后敌人7a核8导弹对绿9易伤
58	21111 52178	   	259.41	橙橙1易伤1伤害1攻速	1加一2激光减费3最后敌人4伤害5攻速6易伤7时间8加农对毒9a核
59	11312 21521	   	258.44	橙橙1易伤1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9赏金塔a平台
60	11312 21545	   	258.44	橙橙1易伤1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9平台a敌人爆炸
61	11312 21546	   	258.44	橙橙1易伤1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9平台a随机矿
62	11312 21541	   	258.34	橙橙1易伤1矿等1攻速1平台1挖怪	1技能点2矿等3激光对冰4攻速5技能68核7易伤9平台a挖怪
63	11312 21542	   	258.34	橙橙1易伤1矿等1攻速1平台	1技能点2矿等3激光对冰4攻速5技能68核7易伤9平台a掉矿
64	14312 21511	   	258.34	橙橙1易伤1矿等1攻速1平台	1技能点2掉矿3激光对冰4攻速5技能68核7易伤9矿等a平台
65	11312 21523	   	257.08	橙橙1易伤1矿等1攻速	1技能点2矿等3激光对冰4攻速5技能68核7易伤9赏金塔a时间
66	14312 21513	   	256.98	橙橙1易伤1矿等1攻速	1技能点2掉矿3激光对冰4攻速5技能68核7易伤9矿等a时间
67	21336 21671	   	255.32	橙橙1易伤1伤害1平台	1加一2激光减费35导弹对毒4时间68核7易伤9伤害a平台
68	11352 21524	   	255.19	橙橙1易伤1伤害1矿等	1技能点2矿等3激光对冰4伤害5a技能68核7易伤9赏金塔
69	11352 21551	   	255.19	橙橙1易伤1伤害1矿等	1技能点2矿等3激光对冰4伤害5技能68核7易伤9敌人爆炸a雷电
70	11352 21552	   	255.19	橙橙1易伤1伤害1矿等	1技能点2矿等3激光对冰4伤害5技能68核7易伤9敌人爆炸a立即金币
71	11352 21511	   	255.09	橙橙1易伤1伤害1矿等	19技能点2矿等3激光对冰4伤害5技能68核7易伤a低血量敌人
72	11352 21512	   	255.09	橙橙1易伤1伤害1矿等	19技能点2矿等3激光对冰4伤害5技能68核7易伤a敌人爆炸
73	11352 21513	   	255.09	橙橙1易伤1伤害1矿等	19技能点2矿等3激光对冰4伤害5技能68核7易伤a基地爆炸
74	11352 21514	   	255.09	橙橙1易伤1伤害1矿等	19技能点2矿等3激光对冰4伤害5技能68核7易伤a赏金邻近
75	11352 21516	   	255.09	橙橙1易伤1伤害1矿等	19技能点2矿等3激光对冰4伤害5技能68核7易伤a随机矿
76	11352 21525	   	255.09	橙橙1易伤1伤害1矿等	1技能点2矿等3激光对冰4伤害5技能68核7易伤9赏金塔a挖尘
77	14352 21512	   	255.09	橙橙1易伤1伤害1矿等	1技能点2掉矿3激光对冰4伤害5技能68核7易伤9矿等a低血量敌人
78	11352 21531	   	254.99	橙橙1易伤1伤害1矿等1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9挖怪a雷电
79	11352 21532	   	254.99	橙橙1易伤1伤害1矿等1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9挖怪a立即金币
80	11352 21533	   	254.99	橙橙1易伤1伤害1矿等1攻速1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9挖怪a攻速
81	11352 21534	   	254.99	橙橙1易伤1伤害1矿等1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9挖怪a掉矿
82	11352 21535	 * 	254.99	橙橙2易伤1伤害1矿等1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7a易伤9挖怪
83	11352 21536	   	254.99	橙橙1易伤1伤害1矿等1暴击1挖怪	1技能点2矿等3激光对冰4伤害5技能68核7易伤9挖怪a暴击
84	21341 12646	 * 	254.36	紫橙3易伤1矿等	1加一2激光减费3导弹对毒48核579易伤6基地爆炸a矿等
85	21341 82646	   	254.26	紫橙3易伤1矿等	1加一2激光减费3导弹对毒48核579易伤6挖尘a矿等
86	22415 67444	   	253.56	橙橙2易伤1平台	1加一2a敌人爆炸3掉矿4a寒冰对冰5平台68核7a易伤9赏金塔a序列升级
87	22415 67441	   	253.36	橙橙2易伤1平台	1加一2敌人爆炸3掉矿4寒冰对冰5平台68核7a易伤9赏金塔
88	22774 23621	   	253.36	橙橙2易伤1平台	1加一26敌人爆炸3导弹对绿45易伤78核9技能a平台
89	22774 23611	   	253.26	橙橙2易伤1平台	1加一26敌人爆炸3导弹对绿45易伤78核9技能点a平台
90	24713 67423	   	252.89	橙橙1易伤1矿等1平台	1加一2挖尘3导弹对绿4平台5矿等68核7易伤9金币生成a时间
91	24713 67413	   	252.79	橙橙1易伤1矿等1平台	1加一2挖尘3导弹对绿4平台5矿等68核7易伤9核弹a时间
92	24713 67433	   	252.65	橙橙1易伤1矿等1平台1策反	1加一2挖尘3导弹对绿4平台5矿等68核7易伤9策反a时间
