0	Index      	 *	Score 	Summary	Detail	
1	23631 33234	 * 	301.51	橙橙3易伤1伤害	1平台2挖尘359易伤456技能点5序列升级78核a伤害
30	22443 43232	   	277.32	橙橙3矿等1易伤	1平台235矿等45敌人爆炸5序列升级6挖青78核9易伤a掉矿
31	22443 43233	   	277.32	橙橙3矿等1易伤	1平台235矿等45敌人爆炸5序列升级6挖青78核9易伤a挖尘
32	23511 22153	   	276.80	橙橙1易伤2矿等1攻速	1平台2挖尘3攻速4低血量敌人5电塔对甲6易伤79矿等8a核
33	23521 24353	   	276.80	橙橙1易伤2矿等1攻速	1平台2挖尘3攻速4敌人爆炸5电塔对甲6易伤7a核89矿等
34	23541 22153	   	276.80	橙橙1易伤2矿等1攻速	1平台2挖尘3攻速4最后敌人5电塔对甲6易伤79矿等8a核
35	25444 61451	   	276.01	橙橙1易伤1伤害1矿等	1平台2加一3a基地爆炸4矿等5时间6易伤7伤害89核
36	25444 61454	   	276.01	橙橙1易伤1伤害1矿等	1平台2加一3基地爆炸4矿等5时间6易伤7伤害89核a双倍矿
37	23241 53224	   	275.91	橙橙1易伤1伤害1矿等	1平台29挖尘3基地爆炸4时间5矿等6易伤78核a伤害
38	25444 61452	   	275.91	橙橙1易伤1伤害1矿等	1平台2加一3基地爆炸4矿等5时间6易伤7伤害89核a掉矿
39	25444 61453	   	275.91	橙橙1易伤1伤害1矿等	1平台2加一3基地爆炸4矿等5时间6易伤7伤害89核a挖尘
40	22512 63216	   	272.91	橙橙1易伤2矿等	1平台2a矿等3挖尘4低血量敌人5敌人爆炸6易伤78核9全技能
41	23511 24633	   	271.64	橙橙2易伤1攻速	1平台2挖尘3攻速4低血量敌人5电塔对甲68易伤7a核9掉矿
42	23631 33246	   	271.64	橙橙2易伤1暴击	1平台2挖尘35易伤456技能点5序列升级78核9随机矿a暴击
43	23241 53261	   	271.56	橙橙1易伤2矿等	1平台2挖尘3基地爆炸4时间59矿等6易伤78核a金币生成
44	22231 25153	   	271.56	橙橙1易伤2矿等	1平台29矿等3技能4加农对甲5易伤6敌人爆炸7时间8a核
45	22231 36153	   	271.56	橙橙1易伤2矿等	1平台29矿等3技能4加农对甲5易伤6低血量敌人7时间8a核
46	22231 66153	   	271.56	橙橙1易伤2矿等	1平台29矿等3技能4加农对甲5易伤6最后敌人7时间8a核
47	22235 16153	   	271.56	橙橙1易伤2矿等	1平台29矿等3技能4加农对甲5低血量敌人6易伤7时间8a核
