0	Index      	 *	Score 	Summary	Detail	
1	41411 62132	 * 	284.45	橙3易伤3伤害3矿等	178矿等278伤害3导弹对绿4双倍物品5基地爆炸678易伤78序列升级9金币生成a核
27	31162 52613	   	269.02	橙橙1易伤1伤害2时间1攻速	1攻速2伤害35时间4易伤6a核7双倍秒伤8最后敌人9敌人爆炸
28	31162 52382	   	268.92	橙橙1易伤1伤害2时间1攻速	1攻速2伤害35时间4易伤6a核7双倍秒伤8加一9赏金邻近
29	31162 52513	   	268.92	橙橙1易伤1伤害2时间1攻速	1攻速2伤害35时间4易伤6a核7双倍秒伤8挖尘9敌人爆炸
30	31162 52523	   	268.92	橙橙1易伤1伤害2时间1攻速	1攻速2伤害35时间4易伤6a核7双倍秒伤8挖尘9最后敌人
31	54131 32336	   	267.61	橙橙1易伤1伤害1矿等1全技能	1核弹2赏金塔3全技能4伤害5矿等69核7掉矿8基地爆炸a易伤
32	41332 12412	   	266.35	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6时间78核9基地爆炸a易伤
33	41332 12432	   	266.35	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6时间78核9最后敌人a易伤
34	41332 12452	   	266.35	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6时间78核9敌人爆炸a易伤
35	43351 23215	 * 	266.06	橙橙2易伤1矿等	1矿等2额外掉落3敌人爆炸47易伤5双倍秒伤6a核8低血量敌人9赏金邻近
36	21523 14214	   	266.00	紫3易伤3伤害2矿等2平台1全技能	127伤害37a易伤4核57矿等69平台7序列升级8全技能
37	35521 33353	 * 	265.89	紫橙2易伤2攻速2暴击	18攻速27立即金币38易伤4a核5赏金邻近68暴击8序列升级9寒冰对黄
38	43153 25223	   	265.81	橙橙2易伤1矿等1策反	1矿等2额外掉落34易伤5最后敌人6a核7雷电8机枪对壮9策反
39	36521 33353	   	265.79	紫橙2易伤2攻速2暴击	18攻速2激光减费38易伤4a核5赏金邻近68暴击7立即金币8序列升级9寒冰对黄
40	21523 14322	 * 	265.41	紫3易伤3伤害3矿等1平台	127伤害37a易伤4核57a矿等6平台7a序列升级8赏金邻近9a低血量敌人
41	21523 14332	   	265.41	紫3易伤3伤害3矿等1平台	127伤害37a易伤4核57a矿等6平台7a序列升级8赏金邻近9a基地爆炸
42	21523 53612	   	263.85	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9敌人爆炸a时间
43	21523 53632	   	263.75	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9挖尘a时间
44	31265 32623	   	262.47	橙橙1易伤1伤害1攻速	1攻速2伤害3敌人爆炸4易伤5立即金币6a核7双倍秒伤8最后敌人9时间
45	31265 32523	   	262.37	橙橙1易伤1伤害1攻速	1攻速2伤害3敌人爆炸4易伤5立即金币6a核7双倍秒伤8挖尘9时间
46	23621 53323	   	261.54	紫橙2易伤1伤害1暴击	1伤害2时间3敌人爆炸4a核5暴击6挖尘79易伤8激光对愈
47	31132 63414	   	260.88	橙3易伤2伤害1矿等1攻速	1攻速29伤害3时间4矿等56a易伤7敌人爆炸8核
48	21523 14231	   	260.80	紫3易伤3伤害2矿等1全技能1平台	127伤害379易伤4核57矿等6平台7序列升级8全技能a等级
49	21523 14232	   	260.80	紫3易伤3伤害2矿等1全技能1平台	127伤害379易伤4核57矿等6平台7序列升级8全技能a金币生成
50	21523 14233	   	260.80	紫3易伤3伤害2矿等1全技能1平台	127伤害379易伤4核57矿等6平台7序列升级8全技能a立即金币
51	21523 14236	   	260.80	紫3易伤3伤害2矿等1全技能1平台	127伤害379易伤4核57矿等6平台7序列升级8全技能a最后敌人
52	21521 31363	   	260.38	紫橙2伤害1易伤1矿等1暴击	12伤害3易伤4a核5赏金邻近6暴击7基地爆炸8导弹对毒9矿等
53	21525 31363	   	260.38	紫橙2伤害1易伤1矿等1暴击	12伤害3易伤4a核5赏金塔6暴击7基地爆炸8导弹对毒9矿等
54	31132 24356	 * 	259.73	橙2易伤2伤害2攻速1矿等1平台	19攻速29伤害3时间4矿等59易伤6赏金塔7技能8核9序列升级a平台
55	21523 14251	   	259.71	紫2易伤3伤害3矿等1全技能1平台	127伤害37易伤4核57a矿等6平台7序列升级8全技能9时间
56	21523 14252	   	259.30	紫2易伤3伤害2矿等1暴击1全技能1平台	127伤害37易伤4核57矿等6平台7序列升级8全技能9时间a暴击
57	31132 12464	   	258.90	橙3易伤2矿等1伤害1攻速	1攻速2伤害3时间47矿等59a易伤6基地爆炸8核
58	41322 12432	   	258.05	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4赏金塔5技能点6立即金币78核9低血量敌人a易伤
59	41322 12452	   	258.05	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4赏金塔5技能点6立即金币78核9基地爆炸a易伤
60	41332 22412	   	258.05	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6敌人爆炸78核9基地爆炸a易伤
61	41332 22432	   	258.05	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6敌人爆炸78核9最后敌人a易伤
62	41332 22462	   	258.05	橙橙1易伤1伤害1矿等	1矿等2伤害3雷电4等级5双倍秒伤6敌人爆炸78核9低血量敌人a易伤
63	21521 21432	   	257.37	紫橙2易伤2伤害	12伤害3a易伤48核5赏金邻近67雷电9低血量敌人
64	21521 21452	   	257.37	紫橙2易伤2伤害	12伤害3a易伤48核5赏金邻近67雷电9基地爆炸
65	21521 25421	   	257.37	紫橙2易伤2伤害	12伤害37易伤48核5赏金邻近69雷电a金币生成
66	21521 25433	   	257.37	紫橙2易伤2伤害	12伤害37易伤48核5赏金邻近6雷电9低血量敌人a额外掉落
67	21525 21432	   	257.37	紫橙2易伤2伤害	12伤害3a易伤48核5赏金塔67雷电9低血量敌人
68	21521 25422	   	257.27	紫橙2易伤2伤害	12伤害37易伤48核5赏金邻近69雷电a双倍秒伤
69	21521 25423	   	257.27	紫橙2易伤2伤害	12伤害37易伤48核5赏金邻近69雷电a挖尘
70	21521 25431	   	257.27	紫橙2易伤2伤害1卖塔	12伤害37易伤48核5赏金邻近6雷电9低血量敌人a卖塔
71	21521 25411	   	257.17	紫橙2易伤2伤害1卖塔1挖怪	12伤害37易伤48核5赏金邻近6雷电9挖怪a卖塔
72	21521 25412	   	257.17	紫橙3易伤2伤害1挖怪	12伤害37a易伤48核5赏金邻近6雷电9挖怪
73	21521 25413	   	257.17	紫橙2易伤2伤害1挖怪	12伤害37易伤48核5赏金邻近6雷电9挖怪a立即金币
74	63252 62231	 * 	257.15	橙4易伤3伤害1策反	17最后敌人267伤害3457易伤7序列升级8技能9策反a核
75	31132 24355	   	256.62	橙2易伤2伤害2攻速1矿等2时间	19攻速29伤害3a时间4矿等59易伤6赏金塔7技能8核9序列升级
76	21241 35322	   	256.58	橙2易伤3伤害2矿等1平台	124伤害3a最后敌人5平台6核7赏金塔8a易伤9a矿等a序列升级
77	21523 47114	   	256.39	紫橙2伤害1易伤1矿等1全技能	12伤害3易伤4a核5矿等6加一7敌人爆炸8全技能9金币生成
78	21223 48114	   	256.39	紫橙2伤害1易伤1矿等1全技能	12伤害3最后敌人4a核5矿等6加一7易伤8全技能9金币生成
79	21541 35122	   	256.38	橙2易伤3伤害2矿等1平台	124伤害3a易伤5平台6核7赏金塔8加一9a矿等a序列升级
80	21523 14215	   	256.19	紫2易伤3伤害2矿等2平台1暴击1全技能	127伤害37易伤4核57矿等69平台7序列升级8全技能a暴击
81	41621 12364	   	256.15	橙2易伤3矿等1伤害2时间1暴击	139矿等2伤害4赏金邻近59易伤6加一79时间8核9序列升级a暴击
82	64232 33223	   	256.06	橙橙1易伤1攻速1暴击	1最后敌人2随机矿3易伤4攻速5时间6激光对绿7a核8等级9暴击
83	21223 63632	   	255.75	紫3易伤3伤害3矿等	128伤害3a最后敌人4核58a矿等69立即金币78a易伤8a序列升级
84	31132 63463	 * 	255.74	橙3易伤2攻速1伤害1矿等	1a攻速2伤害3时间4矿等569易伤7敌人爆炸8核
85	21523 53611	   	255.55	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9敌人爆炸a最后敌人
86	21523 53613	   	255.55	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9a敌人爆炸
87	21523 53621	   	255.55	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9低血量敌人a最后敌人
88	21523 53622	   	255.55	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9低血量敌人a立即金币
89	21523 53623	   	255.45	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9低血量敌人a狙击对毒
90	21523 53631	   	255.45	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9挖尘a最后敌人
91	21523 53633	   	255.45	紫3易伤3伤害3矿等	128伤害378易伤4核568矿等8序列升级9挖尘a敌人爆炸
92	21523 14351	   	255.40	紫2易伤3伤害3矿等1暴击1平台	127伤害37易伤4核579矿等6平台7序列升级8赏金邻近a暴击
93	33115 31233	 * 	254.64	橙2易伤2矿等2攻速1伤害2时间	1a攻速2额外掉落39易伤4a矿等5伤害6金币生成7a时间8核a序列升级
