0	Index      	 *	Score 	Summary	Detail	
1	35421 11633	 * 	289.52	橙橙3易伤1矿等	124易伤2序列升级3双倍秒伤5雷电6赏金塔7a核8矿等9低血量敌人
16	31613 35324	   	272.13	橙橙1易伤1伤害1攻速1平台	1易伤2挖尘3伤害4时间5攻速6基地爆炸7平台8a核9赏金塔
17	22232 24356	   	271.84	橙橙2易伤1暴击1平台	1雷电2基地爆炸38易伤4最后敌人5平台6挖尘79核a暴击
18	52523 14332	   	270.95	橙橙1易伤1矿等1攻速1全技能1平台	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a低血量敌人
19	11512 25243	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台	1金币生成2易伤3激光对绿4矿等5平台6a核7导弹对毒8全技能9攻速
20	11522 25243	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台	1金币生成2易伤3激光对绿4平台5矿等6a核7导弹对毒8全技能9攻速
21	52523 14331	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a挖尘
22	52523 14333	   	270.85	橙橙1易伤1矿等1攻速1全技能1平台1挖怪	1基地爆炸2激光减费3平台4易伤5矿等6攻速7全技能89核a挖怪
23	21261 11134	   	270.48	橙橙2易伤1攻速	1雷电2等级3攻速4时间5赏金塔68易伤7a核9双倍秒伤
24	21262 11134	   	270.48	橙橙2易伤1攻速	1雷电2等级3攻速4时间5赏金邻近68易伤7a核9双倍秒伤
25	21265 11134	   	270.48	橙橙2易伤1攻速	1雷电2等级3攻速4时间58易伤6赏金塔7a核9双倍秒伤
26	33563 35332	   	267.46	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a低血量敌人
27	33563 35334	   	267.46	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a基地爆炸
28	33563 35331	   	267.36	橙橙1易伤1伤害1矿等1全技能1卖塔	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a挖尘
29	33563 35333	   	267.36	橙橙1易伤1伤害1矿等1全技能1卖塔1挖怪	1易伤2卖塔3伤害4矿等5加一6敌人爆炸7全技能89核a挖怪
30	56136 11132	 * 	267.01	橙3易伤3矿等2攻速1全技能	127基地爆炸35a易伤45a矿等5a序列升级6a攻速8全技能9核
31	23514 11124	   	266.35	橙橙1易伤1伤害1矿等	1雷电2挖尘3矿等4基地爆炸5伤害6赏金邻近7a核8易伤9时间
32	25114 11124	   	266.35	橙橙1易伤1伤害1矿等	1雷电2矿等3挖尘4基地爆炸5伤害6赏金邻近7a核8易伤9时间
33	51421 11124	   	266.35	橙橙1易伤1伤害1矿等	1基地爆炸2挖尘3赏金塔4矿等5伤害6雷电7a核8易伤9时间
34	23211 61633	   	266.06	橙橙2易伤1矿等	1雷电2挖尘34易伤5赏金塔6敌人爆炸7a核8矿等9低血量敌人
35	23212 61633	   	266.06	橙橙2易伤1矿等	1雷电2挖尘34易伤5赏金邻近6敌人爆炸7a核8矿等9低血量敌人
36	23214 11633	   	266.06	橙橙2易伤1矿等	1雷电2挖尘34易伤5敌人爆炸6赏金塔7a核8矿等9低血量敌人
37	31511 61633	   	266.06	橙橙2易伤1矿等	14易伤2挖尘3雷电5赏金塔6敌人爆炸7a核8矿等9低血量敌人
38	31512 61633	   	266.06	橙橙2易伤1矿等	14易伤2挖尘3雷电5赏金邻近6敌人爆炸7a核8矿等9低血量敌人
39	31514 11633	   	266.06	橙橙2易伤1矿等	14易伤2挖尘3雷电5敌人爆炸6赏金塔7a核8矿等9低血量敌人
40	32625 11633	   	266.06	橙橙2易伤1矿等	14易伤2赏金邻近3双倍秒伤5立即金币6雷电7a核8矿等9低血量敌人
41	34421 11633	   	266.06	橙橙2易伤1矿等	14易伤2双倍矿3双倍秒伤5雷电6赏金塔7a核8矿等9低血量敌人
42	25323 22111	   	265.91	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5最后敌人6额外掉落79核
43	25324 12111	   	265.91	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5额外掉落6最后敌人79核
44	25324 62111	   	265.91	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5额外掉落6基地爆炸79核
45	25321 22111	   	265.81	橙橙2易伤1矿等1卖塔	18雷电2矿等3卖塔4a易伤5挖青6额外掉落79核
46	31641 22342	   	263.82	橙橙1易伤1伤害1暴击1平台	1易伤2挖尘3伤害467敌人爆炸5暴击8a核9平台
47	13526 22111	   	262.28	橙橙2易伤1暴击	1金币生成2暴击3a易伤4最后敌人58雷电6额外掉落79核
48	22231 45337	   	262.08	橙橙2易伤1暴击	1雷电2基地爆炸36易伤4最后敌人5加一7暴击8a核9技能点
49	23231 45337	   	261.98	橙橙2易伤1暴击	1雷电2挖尘36易伤4最后敌人5加一7暴击8a核9技能点
50	31531 45337	   	261.98	橙橙2易伤1暴击	16易伤2挖尘3雷电4最后敌人5加一7暴击8a核9技能点
51	35231 32631	 * 	261.60	橙4易伤2伤害2暴击	127a易伤2a序列升级3a伤害4毒液对毒56雷电8核9a暴击
52	35313 52631	 * 	261.57	橙5易伤1伤害2暴击	1247a易伤2a序列升级3a基础对愈5伤害6雷电8核9a暴击
53	25231 61124	   	260.04	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5赏金塔6敌人爆炸7a核8易伤9时间
54	25232 61124	   	260.04	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5赏金邻近6敌人爆炸7a核8易伤9时间
55	25234 11124	   	260.04	橙橙1易伤1矿等1攻速	1雷电2矿等3攻速4低血量敌人5敌人爆炸6赏金邻近7a核8易伤9时间
