0	Index      	 *	Score 	Summary	Detail	
1	56113 53313	 * 	280.44	紫橙3易伤2暴击1矿等1卖塔	14暴击26a易伤37核5卖塔8矿等9金币生成
41	12416 11331	   	253.39	橙橙1易伤2矿等1挖怪	14矿等2技能34掉矿4序列升级5易伤69核7雷电8技能点a挖怪
42	12416 11332	   	253.39	橙橙1易伤2矿等	14矿等2技能34a掉矿4序列升级5易伤69核7雷电8技能点
43	11313 51443	 * 	253.06	紫橙2易伤2矿等	17矿等27低血量敌人3a核4基地爆炸5最后敌人67易伤7序列升级8双倍矿9赏金塔
44	11314 21543	   	253.06	紫橙2易伤2矿等	17矿等27低血量敌人3a核4基地爆炸58易伤67敌人爆炸7序列升级9赏金塔
45	12531 61243	   	252.94	橙橙1易伤1矿等2时间	1矿等27技能3雷电4易伤58时间69核a低血量敌人
46	12531 61241	   	252.84	橙橙1易伤1矿等2时间1挖怪	1矿等27技能3雷电4易伤58时间69核a挖怪
47	12531 61242	   	252.84	橙橙1易伤1矿等2时间	1矿等27技能3雷电4易伤58时间69核a掉矿
48	13232 34254	 * 	252.51	橙2伤害1易伤2矿等2攻速1暴击1全技能	18矿等2挖尘3额外掉落48攻速5暴击6易伤78伤害8序列升级9核a全技能
49	13623 35231	 * 	252.47	橙3易伤2伤害1矿等1暴击	1矿等25挖尘35伤害4赏金邻近5序列升级67a易伤8暴击9核
50	21425 32151	   	252.17	橙橙1易伤1暴击1全技能	1基地爆炸2全技能3雷电4最后敌人5时间67核8暴击9随机矿a易伤
51	21152 21155	   	252.01	紫橙2易伤2全技能2时间	1基地爆炸23全技能4赏金塔58核67时间9a易伤
52	21425 32121	   	251.92	橙橙1易伤1暴击1全技能1策反	1基地爆炸2全技能3雷电4最后敌人5时间67核8暴击9策反a易伤
53	21454 32121	   	251.92	橙橙1易伤1暴击1全技能1策反	1基地爆炸2全技能3雷电4时间5低血量敌人67核8暴击9策反a易伤
54	36435 32121	   	251.92	橙橙1易伤1暴击1全技能1策反	1低血量敌人2全技能3雷电4敌人爆炸5时间67核8暴击9策反a易伤
55	61425 32121	   	251.82	橙橙1易伤1暴击1全技能1策反	1挖尘2全技能3雷电4最后敌人5时间67核8暴击9策反a易伤
56	12226 12231	   	251.73	橙橙1易伤1矿等1暴击	1矿等2技能3立即金币47金币生成5易伤6a核8赏金邻近9暴击
57	12226 16421	   	251.73	橙橙1易伤1矿等1暴击	1矿等2技能3立即金币49金币生成5易伤6a核7赏金塔8暴击
58	12226 13431	   	251.63	橙橙1易伤1矿等1暴击	1矿等2技能3立即金币4金币生成5易伤6a核7双倍秒伤8低血量敌人9暴击
59	11334 31533	   	250.70	紫橙2易伤1矿等1攻速	1矿等2低血量敌人38核4掉矿5敌人爆炸6基础对冰79易伤a攻速
60	11335 31533	   	250.70	紫橙2易伤1矿等1攻速	1矿等2低血量敌人38核4掉矿5基地爆炸6基础对冰79易伤a攻速
61	11336 61533	   	250.70	紫橙2易伤1矿等1攻速	1矿等2低血量敌人38核4掉矿5毒液对毒6基地爆炸79易伤a攻速
62	13621 63231	 * 	250.49	橙3易伤2矿等1伤害1暴击	17矿等2挖尘3伤害4赏金邻近56a易伤8暴击9核
