0	Index      	 *	Score 	Summary	Detail	
1	15113 33355	 * 	254.07	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|2AART|37DMG|47TLV|579VULN|6TBNT|7BPWR|8ZMB|aRCR
31	51223 65322	   	230.26	DCR|DCR|2DUR|1DMG|1AAC	1AEBURN|2AETHUN|3MDPS|47DUR|5DMG|68RCR|9AAC|aRAT
32	51223 65323	   	230.26	DCR|DCR|2DUR|1DMG|1AAC	1AEBURN|2AETHUN|3MDPS|47DUR|5DMG|68RCR|9AAC|aRCVC
33	15112 63362	   	229.85	DCR|2VULN|2TLV|1DMG|1MLV|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DMSP|aMLV
34	33511 23612	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2BOSS|3AAC|4VULN|57BEXP|6aRCR|8FEWX|9TLV
35	33511 25612	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1DUST|27BOSS|3AAC|4VULN|5BEXP|6aRCR|8FEWX|9TLV
36	33531 23412	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2BOSS|3AAC|4FEWX|57BEXP|6aRCR|8VULN|9TLV
37	11126 36214	 * 	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|46DUR|5BEXP|79RCR|8CGEN|aVULN
38	11126 36314	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|46DUR|5BEXP|79RCR|8RMIN|aVULN
39	11162 36214	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|4BEXP|56DUR|79RCR|8CGEN|aVULN
40	11162 36314	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|4BEXP|56DUR|79RCR|8RMIN|aVULN
41	11322 16214	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6FEWX|79RCR|8CGEN|aVULN
42	11322 16314	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6FEWX|79RCR|8RMIN|aVULN
43	13226 36214	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|46DUR|5BEXP|79RCR|8CGEN|aVULN
44	13226 36314	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|46DUR|5BEXP|79RCR|8RMIN|aVULN
45	13262 36214	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|4BEXP|56DUR|79RCR|8CGEN|aVULN
46	13262 36314	   	228.94	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|4BEXP|56DUR|79RCR|8RMIN|aVULN
47	33511 22612	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2BOSS|3AAC|4VULN|5BEXP|6aRCR|7AEPOI|8FEWX|9TLV
48	33511 26322	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2BOSS|3AAC|4VULN|58BEXP|6aRCR|7AETHUN|9TLV
49	33511 26422	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1DUST|28BOSS|3AAC|4VULN|5BEXP|6aRCR|7AETHUN|9TLV
50	11122 36214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|45DUR|6DUST|79RCR|8CGEN|aVULN
51	11122 36314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|45DUR|6DUST|79RCR|8RMIN|aVULN
52	11322 16614	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6FEWX|79RCR|8ERES|aVULN
53	11322 36214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6DUST|79RCR|8CGEN|aVULN
54	11322 36314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6DUST|79RCR|8RMIN|aVULN
55	11612 36214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|4BEXP|56DUR|79RCR|8CGEN|aVULN
56	11612 36314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|4BEXP|56DUR|79RCR|8RMIN|aVULN
57	11622 16214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|45DUR|6FEWX|79RCR|8CGEN|aVULN
58	11622 16314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|45DUR|6FEWX|79RCR|8RMIN|aVULN
59	11622 26214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|45DUR|6BEXP|79RCR|8CGEN|aVULN
60	11622 26314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3DUST|45DUR|6BEXP|79RCR|8RMIN|aVULN
61	13222 36214	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|45DUR|6DUST|79RCR|8CGEN|aVULN
62	13222 36314	   	228.84	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|45DUR|6DUST|79RCR|8RMIN|aVULN
63	33312 61622	   	228.84	DCR|DCR|1VULN|1TLV	1DUST|2BOSS|3AEBURN|4VULN|5ZMB|6aRCR|7AETHUN|8FEWX|9TLV
64	11122 36614	   	228.74	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3FEWX|45DUR|6DUST|79RCR|8ERES|aVULN
65	11322 36614	   	228.74	DCR|DCR|1VULN|2DUR	1RCVC|2MDPS|3BEXP|45DUR|6DUST|79RCR|8ERES|aVULN
66	13222 36614	   	228.74	DCR|DCR|1VULN|2DUR	1RCVC|2FEWX|3MDPS|45DUR|6DUST|79RCR|8ERES|aVULN
67	35212 36214	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|4BEXP|56DUR|79RCR|8CGEN|aVULN
68	35212 36314	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|4BEXP|56DUR|79RCR|8RMIN|aVULN
69	35222 16214	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|45DUR|6FEWX|79RCR|8CGEN|aVULN
70	35222 16314	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|45DUR|6FEWX|79RCR|8RMIN|aVULN
71	35222 26214	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|45DUR|6BEXP|79RCR|8CGEN|aVULN
72	35222 26314	   	228.74	DCR|DCR|1VULN|2DUR	12DUST|3MDPS|45DUR|6BEXP|79RCR|8RMIN|aVULN
73	31123 63416	 * 	228.36	DCR|DCR|3DUR|1DMG	1DUST|2LWND|3FEWX|478DUR|5DMG|6aRCR|9CGEN
74	31223 63416	   	228.36	DCR|DCR|3DUR|1DMG	1DUST|2LWND|3BEXP|478DUR|5DMG|6aRCR|9CGEN
75	31123 63436	   	228.26	DCR|DCR|3DUR|1DMG	1DUST|2LWND|3FEWX|478DUR|5DMG|6aRCR|9AME
76	31223 63436	   	228.26	DCR|DCR|3DUR|1DMG	1DUST|2LWND|3BEXP|478DUR|5DMG|6aRCR|9AME
77	15112 63152	   	227.90	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|6aVULN|7RCR|8CGEN|9DUR
78	15112 63311	   	227.90	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aBEXP
79	15112 63313	   	227.90	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aBOSS
80	15112 63252	   	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|6aVULN|7RCR|8ERES|9DUR
81	15112 63315	   	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aAEBURN
82	15112 63316	   	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART	1RCVC|2AART|3DMG|45TLV|68VULN|7RCR|9DUR|aAEFRZ
83	15263 63322	 * 	227.71	DCR|2VULN|3AART|1TLV|1DMG	1RCVC|239AART|4AME|5DMG|68VULN|7RCR|aTLV
84	15112 63323	   	226.70	DCR|2VULN|2TLV|2AART|1DMG	1RCVC|29AART|3DMG|45TLV|68VULN|7RCR|aLIT
85	15112 63324	   	226.70	DCR|2VULN|2TLV|2AART|1DMG	1RCVC|29AART|3DMG|45TLV|68VULN|7RCR|aFRZARM
86	15112 63325	   	226.70	DCR|2VULN|2TLV|2AART|1DMG	1RCVC|29AART|3DMG|45TLV|68VULN|7RCR|aRPLT
87	15112 63321	   	226.60	DCR|2VULN|2TLV|2AART|1DMG	1RCVC|29AART|3DMG|45TLV|68VULN|7RCR|aBBNT
88	15522 21522	 * 	226.05	DCR|3VULN|2DUR|2CDMG|1AART	1RCVC|2AART|36aVULN|4RMIN|5FEWX|7aDUR|8RCR|9aCDMG|aBPWR
89	45312 47232	   	225.12	DCR|2VULN|2DMG|2TLV	1RAT|29VULN|3LWND|4BLASTR|5MBVNT|69DMG|7ASPD|89TLV|9BPWR|aRCR
90	33624 53311	   	224.45	DCR|2DMG|1VULN|1TLV|1MLV|1AART|1CDMG	1DUST|2BOSS|3TLV|48DMG|5MLV|6CDMG|7AART|9RCR|aVULN
