0	Index      	 *	Score 	Summary	Detail	
1	13556 23212	 * 	249.20	DCR|DCR|2VULN|1DMG|1AAC	1RPLT|27BEXP|3aVULN|4LHND|5DMG|68RCR|9AAC
18	24311 31532	   	233.14	DCR|DCR|1TLV|1MLV|1DUR	1CGEN|2LIT|3MDPS|4ASPD|5BOSS|6TLV|7aRCR|8DUR|9MLV
19	14123 53223	   	232.19	DCR|DCR|1VULN|1MLV|1DUR|1AAC	1RPLT|2AAC|3LIT|4VULN|5BOSS|6LHND|7DUR|8MLV|9aRCR
20	14123 43223	   	232.09	DCR|DCR|1VULN|1MLV|1DUR|1AAC	1RPLT|2AAC|3LIT|4VULN|5BOSS|6DUST|7DUR|8MLV|9aRCR
21	13533 44213	 * 	232.03	DCR|3VULN|2TLV|1MLV|1AART	1RPLT|2BEXP|35aVULN|45TLV|5BPWR|6AART|7RCR|8DMSP|9MLV
22	36112 32244	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	1RCVC|2LWND|3BELT|4BEXP|5CDMG|6DUST|79RCR|8DUR|aVULN
23	13533 44111	   	230.07	DCR|3VULN|2TLV|1AART|1AAC	1RPLT|2BEXP|359VULN|45TLV|5BPWR|6AART|7RCR|8LIT|aAAC
24	36142 32242	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1RCVC|2LWND|3BELT|4LEGI|5CDMG|6DUST|79RCR|8DUR|aVULN
25	14123 51123	   	229.14	DCR|DCR|1VULN|1TLV|1AAC	1RPLT|2AAC|3LIT|4VULN|5BOSS|6LHND|7TLV|8FEWX|9aRCR
26	13613 15323	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1RPLT|2BEXP|3BOSS|4LIT|5DUST|6TLV|7VULN|8AAC|9aRCR
27	14123 41123	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1RPLT|2AAC|3LIT|4VULN|5BOSS|6DUST|7TLV|8FEWX|9aRCR
28	23114 12341	 * 	225.74	DCR|3TLV|3DUR|1VULN|1AART|1CDMG	1CGEN|25aDUR|3AART|456TLV|5BPWR|7VULN|8RCR|9CDMG
29	11426 22431	   	225.02	ACR|DCR|2VULN|1MSLTOX|1AART	12RPLT|36VULN|4aRCR|5DMSP|7BASICY|8AART|9MSLTOX
30	11426 23431	   	225.02	ACR|DCR|2VULN|1MSLTOX|1AART	12RPLT|36VULN|4aRCR|5DMSP|7BASHEA|8AART|9MSLTOX
31	32426 22431	   	225.02	ACR|DCR|2VULN|1MSLTOX|1AART	1RCVC|2RPLT|36VULN|4aRCR|5DMSP|7BASICY|8AART|9MSLTOX
32	32426 23431	   	225.02	ACR|DCR|2VULN|1MSLTOX|1AART	1RCVC|2RPLT|36VULN|4aRCR|5DMSP|7BASHEA|8AART|9MSLTOX
33	51122 21245	 * 	223.95	DCR|DCR|1TLV|1DMG|1AAC	1AAC|2ASPD|3RCVC|4RAT|5DMG|6RMIN|7aRCR|8DUST|9TLV
34	51222 21245	   	223.85	DCR|DCR|1TLV|1DMG|1AAC	1AAC|2ASPD|3AEBURN|4RAT|5DMG|6RMIN|7aRCR|8DUST|9TLV
35	13533 24531	 * 	223.29	DCR|2VULN|3TLV|1MLV|1CDMG	1RPLT|2BEXP|35VULN|459TLV|5BPWR|6ASPD|7RCR|8MLV|aCDMG
36	13533 43216	   	223.26	DCR|3VULN|2TLV|1AART	1RPLT|2BEXP|357VULN|45TLV|5BPWR|6AART|8ASPD|9MBVNT|aRCR
37	13556 23223	   	223.00	DCR|DCR|1VULN|1DMG	1RPLT|27BEXP|3VULN|4LHND|5DMG|68RCR|9CGEN|aRMIN
38	34322 34361	 * 	222.95	DCR|DCR|2AART|1FLTARM	1RCVC|27AART|3AME|4ZMB|5CGEN|6aRCR|8AEFBLL|9FLTARM
39	13556 23221	   	222.90	DCR|DCR|1VULN|1DMG	1RPLT|27BEXP|3VULN|4LHND|5DMG|68RCR|9CGEN|aBBNT
40	13533 13535	 * 	222.84	DCR|3VULN|2TLV|1DMG	1RPLT|2BEXP|358VULN|45TLV|5BPWR|6CGEN|7BOSS|9DMG|aRCR
41	43255 32131	   	222.42	ACR|DCR|2VULN|1AART|1CDMG	1BOSS|26VULN|3ERES|4AART|59RCR|7BELT|8CDMG|aRMIN
42	43255 32132	   	222.32	ACR|DCR|2VULN|1AART|1CDMG	1BOSS|26VULN|3ERES|4AART|59RCR|7BELT|8CDMG|aAEFBLL
43	43255 32133	   	222.32	ACR|DCR|2VULN|1AART|1CDMG	1BOSS|26VULN|3ERES|4AART|59RCR|7BELT|8CDMG|aAME
44	31233 16312	   	221.49	DCR|3VULN|1TLV|1MLV|1CDMG	1aRCVC|2BBNT|346VULN|5TLV|7MLV|8CDMG|9RCR
45	31233 51312	   	221.49	DCR|3VULN|1TLV|1MLV|1CDMG	1aRCVC|2BBNT|347VULN|5TLV|6MLV|8CDMG|9RCR
46	11422 12222	   	221.42	ACR|DCR|2VULN|1TLV|1AAC	12RPLT|3aVULN|48RCR|5FEWX|6AAC|7LHND|9TLV
47	11422 46222	   	221.42	ACR|DCR|2VULN|1TLV|1AAC	12RPLT|3aVULN|48RCR|5FEWX|6BEXP|7AAC|9TLV
48	32422 12222	   	221.42	ACR|DCR|2VULN|1TLV|1AAC	1RCVC|2RPLT|3aVULN|48RCR|5FEWX|6AAC|7LHND|9TLV
49	32422 46222	   	221.42	ACR|DCR|2VULN|1TLV|1AAC	1RCVC|2RPLT|3aVULN|48RCR|5FEWX|6BEXP|7AAC|9TLV
50	31233 16311	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|346VULN|5TLV|7MLV|8CDMG|9RCR|aDUST
51	31233 16313	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|346VULN|5TLV|7MLV|8CDMG|9RCR|aSPLARM
52	31233 16314	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|346VULN|5TLV|7MLV|8CDMG|9RCR|aAME
53	31233 51311	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|347VULN|5TLV|6MLV|8CDMG|9RCR|aDUST
54	31233 51313	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|347VULN|5TLV|6MLV|8CDMG|9RCR|aSPLARM
55	31233 51314	   	221.39	DCR|3VULN|1TLV|1MLV|1CDMG	1RCVC|2BBNT|347VULN|5TLV|6MLV|8CDMG|9RCR|aAME
56	13533 24411	   	221.33	DCR|2VULN|3TLV|1DUR|1CDMG	1RPLT|2BEXP|35VULN|458TLV|5BPWR|6ASPD|7RCR|9DUR|aCDMG
57	11422 14222	   	221.32	ACR|DCR|2VULN|1TLV|1AAC	12RPLT|3aVULN|48RCR|5FEWX|6AAC|7DUST|9TLV
58	32422 14222	   	221.32	ACR|DCR|2VULN|1TLV|1AAC	1RCVC|2RPLT|3aVULN|48RCR|5FEWX|6AAC|7DUST|9TLV
59	11423 11223	   	221.08	ACR|DCR|2VULN|1TLV|1SELL	12RPLT|38VULN|49RCR|5MDPS|6SELL|7RAT|aTLV
60	32423 11223	   	221.08	ACR|DCR|2VULN|1TLV|1SELL	1RCVC|2RPLT|38VULN|49RCR|5MDPS|6SELL|7RAT|aTLV
61	23114 12316	 * 	220.71	DCR|3TLV|1VULN|2DUR|1DMG|1AART	1CGEN|25DUR|3AART|456TLV|5BPWR|7VULN|8RCR|9LHND|aDMG
62	34112 25313	   	220.61	DCR|2VULN|1DMG|1MLV|1DUR|1AART|1CDMG	1RCVC|2AART|3DUR|4LHND|5CDMG|6RCR|7aVULN|8DMG|9MLV
63	34132 25313	   	220.61	DCR|2VULN|1DMG|1MLV|1DUR|1AART|1CDMG	1RCVC|2AART|3DUR|4LWND|5CDMG|6RCR|7aVULN|8DMG|9MLV
64	34122 12514	 * 	220.39	DCR|2VULN|2TLV|2DUR|1AART	1RCVC|2AART|37DUR|4TBNT|57LIT|67TLV|7BPWR|8RCR|9aVULN
65	41211 11113	   	220.06	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3LWND|4LHND|5LIT|6DUR|7aRCR|8DMG|9TBNT
66	41211 11133	   	220.06	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3LWND|4LHND|5LIT|6DUR|7aRCR|8DMG|9BBNT
67	41411 11113	   	220.06	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3BEXP|4LHND|5LIT|6DUR|7aRCR|8DMG|9TBNT
68	41411 11133	   	220.06	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3BEXP|4LHND|5LIT|6DUR|7aRCR|8DMG|9BBNT
69	41421 11113	   	219.96	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3BEXP|4LEGI|5LIT|6DUR|7aRCR|8DMG|9TBNT
70	41421 11133	   	219.96	DCR|DCR|1DMG|1MLV|1DUR	1BOSS|2MLV|3BEXP|4LEGI|5LIT|6DUR|7aRCR|8DMG|9BBNT
71	31231 55333	   	219.94	DCR|2VULN|1TLV|1MLV|1AART|1CDMG	1RCVC|2BBNT|34VULN|5ASPD|6MLV|7TLV|8RCR|9AART|aCDMG
72	24311 31462	   	219.49	DCR|DCR|1TLV|1MLV	1CGEN|2LIT|3MDPS|4ASPD|5BOSS|6TLV|7aRCR|8LWND|9MLV
73	24311 53223	   	219.49	DCR|DCR|1TLV|1MLV	1CGEN|2LIT|3MDPS|4ASPD|5BOSS|6RPLT|7TLV|8MLV|9aRCR
74	31233 15315	   	219.44	DCR|3VULN|1TLV|1CDMG|1AAC	1RCVC|2BBNT|346VULN|5TLV|7ERES|8CDMG|9RCR|aAAC
75	31233 27365	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1RCVC|2BBNT|34aVULN|5TLV|6MBVNT|7CDMG|8DUR|9RCR
