0	Index      	 *	Score 	Summary	Detail	
1	23235 32612	 * 	283.34	DCR|DCR|2VULN|2MLV|2DUR	17VULN|2RMIN|3RCVC|4LHND|57DUR|67MLV|7BPWR|8aRCR|9RAT
22	22262 23226	   	262.85	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2RPLT|3DUR|4CGEN|5ZMB|6aRCR|7TLV|8DMG|9RAT
23	54112 32223	   	262.65	DCR|DCR|2VULN|1DMG|2ASPD	1DMG|23ASPD|4aVULN|5LHND|68RCR|7MBVNT|9BEXP
24	54112 32213	   	262.55	DCR|DCR|2VULN|1DMG|2ASPD	1DMG|23ASPD|4aVULN|5LHND|68RCR|7MBVNT|9AETHUN
25	54112 32283	   	262.55	DCR|DCR|2VULN|1DMG|2ASPD	1DMG|23ASPD|4aVULN|5LHND|68RCR|7MBVNT|9DUST
26	23221 34612	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	17VULN|2RMIN|3RCVC|4DUR|5BEXP|6MLV|8aRCR|9RAT
27	23235 34612	   	258.39	DCR|DCR|2VULN|1MLV|1DUR	17VULN|2RMIN|3RCVC|4LHND|5DUR|6MLV|8aRCR|9RAT
28	23231 32612	   	257.24	DCR|DCR|2VULN|2MLV	17VULN|2RMIN|3RCVC|4LHND|57BEXP|67MLV|7BPWR|8aRCR|9RAT
29	23416 12612	   	257.24	DCR|DCR|2VULN|2MLV	17VULN|26RMIN|3FEWX|47MLV|57LHND|7BPWR|8aRCR|9RAT
30	23516 12612	   	257.24	DCR|DCR|2VULN|2MLV	17VULN|2RMIN|35LHND|47MLV|67BEXP|7BPWR|8aRCR|9RAT
31	23541 32612	   	257.24	DCR|DCR|2VULN|2MLV	17VULN|2RMIN|34LHND|57BEXP|67MLV|7BPWR|8aRCR|9RAT
32	23616 12612	   	257.24	DCR|DCR|2VULN|2MLV	17VULN|26RMIN|3BEXP|47MLV|57LHND|7BPWR|8aRCR|9RAT
33	13516 32612	   	257.04	DCR|DCR|2VULN|2MLV	17DUST|2RMIN|35LHND|47MLV|67VULN|7BPWR|8aRCR|9RAT
34	16113 34612	   	256.94	DCR|DCR|2VULN|2MLV	1DUST|2BEXP|34MLV|5RMIN|67VULN|8aRCR|9RAT
35	13216 34612	   	256.94	DCR|DCR|2VULN|2MLV	1DUST|2RMIN|37VULN|46MLV|5LHND|8aRCR|9RAT
36	13215 36612	 * 	256.84	DCR|DCR|1VULN|2MLV|1TLV	1DUST|2RMIN|3VULN|46MLV|5AME|7TLV|8aRCR|9RAT
37	54422 32221	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9BEXP|aRPLT
38	54422 32224	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9BEXP|aFEWX
39	54522 32223	   	256.04	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3FEWX|4TLV|5CGEN|68RCR|7MBVNT|9BEXP|aVULN
40	54422 32211	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9AEPOI|aRPLT
41	54422 32212	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9AEPOI|aFEWX
42	54422 32222	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9BEXP|aMULHEA
43	54422 32233	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9CANTOX|aLWND
44	54422 32244	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9ERES|aRCVC
45	54423 32221	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9BEXP|aRPLT
46	54423 32224	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9BEXP|aFEWX
47	54522 32213	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3FEWX|4TLV|5CGEN|68RCR|7MBVNT|9AETHUN|aVULN
48	54523 32223	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3FEWX|4TLV|5ERES|68RCR|7MBVNT|9BEXP|aVULN
49	54422 32241	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9ERES|aDUST
50	54422 32242	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5CGEN|68RCR|7MBVNT|9aERES
51	54423 32211	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9AEPOI|aRPLT
52	54423 32212	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9AEPOI|aFEWX
53	54423 32222	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9BEXP|aMULHEA
54	54423 32233	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|5ERES|68RCR|7MBVNT|9CANTOX|aLWND
55	54423 32241	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|59ERES|68RCR|7MBVNT|aRPLT
56	54423 32242	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3VULN|4TLV|59ERES|68RCR|7MBVNT|aFEWX
57	54523 32213	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ASPD|3FEWX|4TLV|5ERES|68RCR|7MBVNT|9AETHUN|aVULN
58	23232 42612	   	255.44	DCR|DCR|2VULN|2DUR	17VULN|2RMIN|3RCVC|4LHND|57CGEN|67DUR|7BPWR|8aRCR|9RAT
59	23234 36612	   	255.44	DCR|DCR|2VULN|1TLV	15VULN|2RMIN|3RCVC|45LHND|5BPWR|6BEXP|7TLV|8aRCR|9RAT
60	26243 12612	   	255.44	DCR|DCR|2VULN|2DUR	17VULN|2BEXP|37DUR|46RMIN|57CGEN|7BPWR|8aRCR|9RAT
61	23224 34612	   	255.34	DCR|DCR|2VULN|2DUR	15VULN|2RMIN|3RCVC|45DUR|5BPWR|6BEXP|7CGEN|8aRCR|9RAT
62	23224 33612	   	255.24	DCR|DCR|2VULN|2DUR	15VULN|2RMIN|3RCVC|45DUR|5BPWR|6BEXP|7ERES|8aRCR|9RAT
63	23233 42612	   	255.24	DCR|DCR|2VULN|2DUR	17VULN|2RMIN|3RCVC|4LHND|57ERES|67DUR|7BPWR|8aRCR|9RAT
64	23225 36612	   	255.24	DCR|DCR|1VULN|2DUR|1TLV	1VULN|2RMIN|3RCVC|45DUR|6BEXP|7TLV|8aRCR|9RAT
65	31252 42253	   	254.94	DCR|DCR|2VULN|1TLV	1TBNT|2TLV|3AEFRZ|45VULN|6aRCR|7DUST|8AME|9BELT
66	31252 43253	   	254.94	DCR|DCR|2VULN|1TLV	1TBNT|2TLV|3AEFRZ|45VULN|6aRCR|7ERES|8DUST|9BELT
