0	Index      	 *	Score 	Summary	Detail	
1	13233 36524	 * 	254.14	DCR|DCR|2DMG|1VULN|1CDMG	1FEWX|23RAT|4VULN|5ERES|6CDMG|7aRCR|89DMG
24	54312 61332	   	238.40	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9RPLT|aDUST
25	54312 61321	   	238.30	DCR|DCR|1VULN|1DMG|1MLV|1AAC	1DMG|2AAC|3MDPS|4VULN|5BOSS|6MLV|78RCR|9AETHUN|aAEPOI
26	51121 32661	   	236.45	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aERES
27	51121 32662	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aAME
28	51121 32663	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aMSE
29	51121 33561	   	236.45	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aERES
30	51121 33562	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aAME
31	51121 33563	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DMG|2BBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aMSE
32	52121 32661	   	236.45	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aERES
33	52121 32662	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aAME
34	52121 32663	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|7VULN|89RCR|aMSE
35	52121 33561	   	236.45	DCR|DCR|1VULN|1DMG|1AAC|1DUR	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aERES
36	52121 33562	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aAME
37	52121 33563	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC|1MSE	1DMG|2TBNT|3RCVC|4DUR|5LIT|6AAC|79RCR|8VULN|aMSE
38	53625 21221	 * 	235.63	DCR|3DMG|2TLV|1VULN|2MLV	168DMG|2LWND|38TLV|4FEWX|5CANARM|78MLV|8BPWR|9VULN|aRCR
39	22112 43663	 * 	235.14	DCR|DCR|3MLV|1DUR|1CDMG	13RMIN|246MLV|5CDMG|79RCR|8CGEN|aDUR
40	54322 13431	 * 	231.93	DCR|2VULN|2DMG|2TLV|1DUR|1AAC	19DMG|2AAC|3MDPS|4DUR|5BOSS|69VULN|79TLV|8RCR|9BPWR|aFEWX
41	54322 13433	   	231.93	DCR|2VULN|2DMG|2TLV|1DUR|1AAC	19DMG|2AAC|3MDPS|4DUR|5BOSS|69VULN|79TLV|8RCR|9BPWR|aLHND
42	54322 13432	   	231.83	DCR|2VULN|2DMG|2TLV|1DUR|1AAC	19DMG|2AAC|3MDPS|4DUR|5BOSS|69VULN|79TLV|8RCR|9BPWR|aAETHUN
43	53612 12133	 * 	231.47	DCR|4VULN|1TLV|1DMG	1DMG|2LWND|3TLV|4MDPS|5BOSS|6789VULN|aRCR
44	25353 12342	   	231.09	DCR|DCR|1TLV|1DUR|1CDMG	1RMIN|2BBNT|3CDMG|4ASPD|5ZMB|68RCR|7DUR|9TBNT|aTLV
45	25431 13413	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1RMIN|2BBNT|3RAT|4VULN|5CGEN|6AART|7DUR|8aRCR|9LHND
46	25431 13423	   	230.14	DCR|DCR|1VULN|1DUR|1AART	1RMIN|2BBNT|3RAT|4VULN|5CGEN|6AART|7DUR|8aRCR|9LWND
47	53611 11133	 * 	229.89	DCR|3VULN|2DMG|1TLV	15DMG|2LWND|3TLV|4MDPS|689VULN|7LIT|aRCR
48	53611 16133	   	229.89	DCR|3VULN|2DMG|1TLV	15DMG|2LWND|3TLV|4MDPS|689VULN|7BOSS|aRCR
49	42122 25231	 * 	229.33	DCR|3VULN|3MLV|2DUR	18DUR|2TBNT|346VULN|589MLV|78LIT|8BPWR|aRCR
50	16334 32216	 * 	228.80	DCR|DCR|1VULN|1TLV|1SELL	1FEWX|2LIT|3BEXP|4VULN|5SELL|6aRCR|7TLV|8BELT|9TBNT
51	56312 12133	   	227.81	DCR|3VULN|1TLV|1DMG|1MLV	1DMG|2AME|3MDPS|469VULN|5BOSS|7MLV|8TLV|aRCR
52	56312 62133	   	227.81	DCR|3VULN|1TLV|1DMG|1MLV	1DMG|2AME|3MDPS|489VULN|5BOSS|6MLV|7TLV|aRCR
53	54322 61333	   	227.00	DCR|DCR|1DMG|1MLV|1AAC|1DUR	1DMG|2AAC|3MDPS|4DUR|5BOSS|6MLV|78RCR|9RPLT|aASPD
54	42122 62631	   	226.55	DCR|2VULN|1TLV|1MLV|1DUR|1AART|1CDMG	1DUR|2TBNT|34VULN|5MLV|6SNITOX|7TLV|8CDMG|9AART|aRCR
55	22121 51563	 * 	226.20	DCR|DCR|2DUR|1MLV|1CDMG	13RMIN|2MLV|4aDUR|5CDMG|69RCR|7LWND|8CGEN
56	22121 63563	   	226.20	DCR|DCR|2DUR|1MLV|1CDMG	13RMIN|2MLV|4aDUR|5CDMG|6LWND|79RCR|8CGEN
57	22121 55263	   	226.10	DCR|DCR|2DUR|1MLV|1CDMG	13RMIN|2MLV|4aDUR|5CDMG|69RCR|7AME|8BEXP
58	55111 33522	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1DMG|2DUR|3TBNT|48aVULN|5CGEN|6RCR|7LIT|9TLV
59	25353 12343	   	224.95	DCR|DCR|1DMG|1DUR|1CDMG	1RMIN|2BBNT|3CDMG|4ASPD|5ZMB|68RCR|7DUR|9TBNT|aDMG
60	42142 63123	 * 	224.85	DCR|4VULN|2DUR|1CDMG	19DUR|2TBNT|3689VULN|4CDMG|5AEBURN|79BASICY|9BPWR|aRCR
