0	Index      	 *	Score 	Summary	Detail	
1	11226 13224	 * 	252.95	DCR|4VULN|2MLV|1TLV|1DUR	1DUST|29MLV|3457VULN|6TLV|8DUR|aRCR
45	11243 14152	   	238.59	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUST|2MLV|3VULN|4DUR|5ASPD|6SELL|7aRCR|8BBNT|9AIRARM
46	23226 11134	   	238.51	DCR|4VULN|1TLV|1DMG	1ASPD|2LWND|3459VULN|6TLV|7DMG|8FEWX|aRCR
47	42331 62422	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7AME|8LHND|9BOSS
48	42331 65212	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7LIT|8LWND|9AME
49	42331 61125	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7SNITOX|8ZMB|9MDPS
50	42331 63212	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7DUST|8LIT|9AME
51	42331 63262	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7DUST|8LIT|9ERES
52	42331 63522	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RCVC|3DMG|4RAT|5VULN|6aRCR|7DUST|8ERES|9BOSS
53	43331 62422	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7AME|8LHND|9BOSS
54	43331 65212	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7LIT|8LWND|9AME
55	43331 61125	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7SNITOX|8ZMB|9MDPS
56	43331 63212	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7DUST|8LIT|9AME
57	43331 63262	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7DUST|8LIT|9ERES
58	43331 63522	   	238.30	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2AEPOI|3DMG|4RAT|5VULN|6aRCR|7DUST|8ERES|9BOSS
59	11224 31434	 * 	238.24	DCR|3VULN|2TLV|1DMG|1MLV	1DUST|2MLV|349VULN|56TLV|7DMG|8FEWX|aRCR
60	11226 11424	   	238.24	DCR|3VULN|2TLV|1DMG|1MLV	1DUST|2MLV|345VULN|69TLV|7DMG|8FEWX|aRCR
61	11226 11355	   	238.24	DCR|3VULN|2TLV|1DMG|1MLV	1DUST|2MLV|345VULN|6aTLV|7DMG|8RAT|9RCR
62	23226 11324	 * 	236.93	DCR|3VULN|2DMG|1TLV	1ASPD|2LWND|345VULN|6TLV|78DMG|9BEXP|aRCR
63	23226 11334	   	236.93	DCR|3VULN|2DMG|1TLV	1ASPD|2LWND|345VULN|6TLV|78DMG|9FEWX|aRCR
64	22432 13222	   	236.88	DCR|DCR|1VULN|1DUR|1CDMG	1ASPD|2BLASTR|3BBNT|4RMIN|5CDMG|6VULN|7DUR|8DUST|9aRCR
65	24432 13222	   	236.88	DCR|DCR|1VULN|1DUR|1CDMG	1ASPD|2CANSTR|3BBNT|4RMIN|5CDMG|6VULN|7DUR|8DUST|9aRCR
66	63332 14335	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1BELT|2RAT|3DMG|4ERES|5CDMG|6RMIN|7VULN|8LWND|9aRCR
67	32512 21143	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RPLT|2BELT|3MDPS|4DUR|5VULN|6DMG|7BBNT|8BOSS|9aRCR
68	63222 62135	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1BELT|2RAT|3VULN|4AEFBLL|5CDMG|6MDPS|7BEXP|8DMG|9aRCR
69	33242 15231	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1RPLT|2AART|3LHND|4BBNT|5DMG|6TBNT|7VULN|8aRCR|9DUST
70	33341 43231	 * 	236.07	ACR|DCR|1VULN|1TLV|1DUR|1AART|1AAC	1RPLT|2AART|3DUR|4BBNT|59RCR|6TLV|7VULN|8RAT|aAAC
71	36362 52311	   	235.98	DCR|DCR|2VULN	1RPLT|2RCVC|3BELT|49VULN|5AME|6aRCR|7ASPD|8RAT
72	31113 63415	   	235.98	DCR|DCR|1VULN|2DUR|1AAC	13RPLT|28DUR|4AAC|5ASPD|6aRCR|7VULN|9LIT
73	12623 12522	   	235.53	DCR|DCR|1VULN|1TLV|1SELL	1DUST|2BEXP|3TLV|4VULN|5ASPD|6SELL|7CANSTR|8BBNT|9aRCR
74	12623 14152	   	235.53	DCR|DCR|1VULN|1TLV|1SELL	1DUST|2BEXP|3TLV|4VULN|5ASPD|6SELL|7aRCR|8BBNT|9AIRARM
75	15623 12522	   	235.53	DCR|DCR|1VULN|1TLV|1SELL	1DUST|2LWND|3TLV|4VULN|5ASPD|6SELL|7CANSTR|8BBNT|9aRCR
76	23224 23324	   	234.95	DCR|3VULN|1TLV|1DMG|1MLV	1ASPD|2LWND|347VULN|5TLV|6RMIN|8DMG|9MLV|aRCR
77	33341 43233	 * 	234.87	ACR|DCR|1VULN|2AART|1TLV|1DUR	1RPLT|2aAART|3DUR|4BBNT|59RCR|6TLV|7VULN|8RAT
78	11226 13344	   	233.95	DCR|4VULN|1TLV|1MLV	1DUST|2MLV|3457VULN|6TLV|8LWND|9ASPD|aRCR
79	23226 13514	   	233.95	DCR|4VULN|1TLV|1MLV	1ASPD|2LWND|3457VULN|6TLV|8ERES|9MLV|aRCR
80	32323 61245	   	233.61	DCR|DCR|1DMG|1MLV|1AART|1CDMG	1RPLT|2BELT|3DMG|4AART|5MLV|6BBNT|7aRCR|8CDMG|9MDPS
81	33322 26214	 * 	233.05	DCR|2VULN|3DUR|2DMG|1AART	1RPLT|2AART|38aDUR|4ZMB|58VULN|6RMIN|78DMG|8BPWR|9RCR
82	11624 16136	   	233.04	DCR|DCR|1TLV|1MLV|1AART	1DUST|2MLV|3AART|4MBVNT|5ASPD|6RPLT|7aRCR|8RAT|9TLV
83	21164 33324	   	232.97	DCR|2VULN|1TLV|1DMG|1MLV|2ASPD|1DUR	12ASPD|3ERES|4DUR|57VULN|6TLV|8DMG|9MLV|aRCR
84	42312 21131	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2aRCVC|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV
85	42312 21132	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aLHND
86	42312 21134	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aCGEN
87	42611 21131	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2aRCVC|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV
88	42611 21132	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aLHND
89	42611 21134	   	232.52	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aCGEN
90	42311 21131	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2aRCVC|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV
91	42311 21132	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aLHND
92	42311 21134	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aCGEN
93	42311 21136	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aZMB
94	42312 21133	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3DMG|4AEBURN|5AAC|69RCR|7aERES|8TLV
95	42312 21136	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aDUST
96	42511 21131	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2aRCVC|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV
97	42511 21132	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aLHND
98	42511 21134	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aCGEN
99	42511 21136	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aZMB
100	42611 21133	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3AAC|4AEBURN|5DMG|69RCR|7aERES|8TLV
101	42611 21136	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2RCVC|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aDUST
102	43312 21131	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aRCVC
103	43312 21132	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aLHND
104	43312 21134	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aCGEN
105	43611 21131	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aRCVC
106	43611 21132	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aLHND
107	43611 21134	   	232.42	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aCGEN
108	43311 21131	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aRCVC
109	43311 21132	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aLHND
110	43311 21134	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aCGEN
111	43311 21136	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7ERES|8TLV|aZMB
112	43511 21131	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aRCVC
113	43511 21132	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aLHND
114	43511 21134	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aCGEN
115	43511 21136	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7ERES|8TLV|aZMB
116	42311 21133	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3DMG|4AEBURN|5NUKE|69RCR|7aERES|8TLV
117	42511 21133	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2RCVC|3NUKE|4AEBURN|5DMG|69RCR|7aERES|8TLV
118	43312 21133	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3DMG|4AEBURN|5AAC|69RCR|7aERES|8TLV
119	43312 21136	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3DMG|4AEBURN|5AAC|69RCR|7ERES|8TLV|aDUST
120	43611 21133	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3AAC|4AEBURN|5DMG|69RCR|7aERES|8TLV
121	43611 21136	   	232.32	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1MLV|2AEPOI|3AAC|4AEBURN|5DMG|69RCR|7ERES|8TLV|aDUST
122	43311 21133	   	232.22	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3DMG|4AEBURN|5NUKE|69RCR|7aERES|8TLV
123	43511 21133	   	232.22	DCR|DCR|1TLV|1DMG|1MLV|1NUKE	1MLV|2AEPOI|3NUKE|4AEBURN|5DMG|69RCR|7aERES|8TLV
124	11212 54131	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2MLV|3VULN|4VENTOX|5BEXP|6CDMG|7CGEN|8RAT|9aRCR
125	13226 13244	   	231.99	DCR|4VULN|1TLV|1DUR|1AAC	1DUST|2AAC|3457VULN|6TLV|8DUR|9ASPD|aRCR
126	21131 62422	   	231.99	DCR|DCR|1VULN|1MLV|2ASPD	12ASPD|3ERES|4RAT|5VULN|6aRCR|7MLV|8LHND|9BOSS
127	21131 62442	   	231.99	DCR|DCR|1VULN|1MLV|2ASPD	12ASPD|3ERES|4RAT|5VULN|6aRCR|7MLV|8LHND|9LIT
128	21431 62422	   	231.99	DCR|DCR|1VULN|1MLV|2ASPD	12ASPD|3AME|4RAT|5VULN|6aRCR|7MLV|8LHND|9BOSS
129	11211 54131	   	231.99	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2MLV|3VULN|4VENTOX|5AETHUN|6CDMG|7CGEN|8RAT|9aRCR
130	11215 54131	   	231.99	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2MLV|3VULN|4VENTOX|5LEGI|6CDMG|7CGEN|8RAT|9aRCR
131	11216 31255	   	231.99	DCR|DCR|1VULN|1MLV|1DUR|1AAC	1DUST|2MLV|3VULN|4VENTOX|5AAC|6DUR|7LIT|8BBNT|9aRCR
132	33326 63214	 * 	231.93	DCR|2VULN|3DUR|2TLV|1AART|1AAC	1RPLT|2AART|38aDUR|4ZMB|58TLV|6AAC|78VULN|8BPWR|9RCR
133	11213 24131	   	231.85	DCR|DCR|1VULN|1MLV|1DUR|1SELL	1DUST|2MLV|3VULN|4VENTOX|5SELL|6DUR|7CGEN|8RAT|9aRCR
134	34243 33631	   	231.73	DCR|2VULN|3DUR|2TLV|1AART	1RPLT|27TLV|3TBNT|468DUR|56VULN|6BPWR|9RCR|aAART
135	34433 33631	   	231.73	DCR|2VULN|3DUR|2TLV|1AART	1RPLT|27TLV|368DUR|4BBNT|56VULN|6BPWR|9RCR|aAART
136	11241 12522	   	231.55	DCR|DCR|1VULN|1MLV|1DUR|1NUKE|1SELL	1DUST|2MLV|3VULN|4DUR|5NUKE|6SELL|7CANSTR|8BBNT|9aRCR
137	42342 22122	 * 	230.89	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2RCVC|3DMG|4aRCR|5TLV|6RAT|7FEWX|8VULN|9BOSS
138	42342 22142	   	230.89	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2RCVC|3DMG|4aRCR|5TLV|6RAT|7FEWX|8VULN|9LIT
139	43342 22122	   	230.79	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2AEPOI|3DMG|4aRCR|5TLV|6RAT|7FEWX|8VULN|9BOSS
140	43342 22142	   	230.79	ACR|DCR|1VULN|1TLV|1DMG|1MLV	1MLV|2AEPOI|3DMG|4aRCR|5TLV|6RAT|7FEWX|8VULN|9LIT
141	63352 33111	   	230.66	DCR|DCR|1TLV|1DMG|1CDMG	1BELT|2RAT|3DMG|4TLV|5CDMG|6VENTOX|7aRCR|8BLAICY|9FEWX
142	63352 33161	   	230.66	DCR|DCR|1TLV|1DMG|1CDMG	1BELT|2RAT|3DMG|4TLV|5CDMG|6VENTOX|7aRCR|8BLAICY|9BEXP
143	63352 33151	   	230.56	DCR|DCR|1TLV|1DMG|1CDMG	1BELT|2RAT|3DMG|4TLV|5CDMG|6VENTOX|7aRCR|8BLAICY|9LEGI
144	11224 33624	   	230.47	DCR|3VULN|2TLV|2MLV	1DUST|28MLV|347VULN|56TLV|9LHND|aRCR
145	21413 21131	   	230.36	DCR|DCR|1TLV|1DMG|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7ERES|8TLV|aRCVC
146	21413 21132	   	230.36	DCR|DCR|1TLV|1DMG|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7ERES|8TLV|aLHND
147	21413 21134	   	230.36	DCR|DCR|1TLV|1DMG|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7ERES|8TLV|aCGEN
148	21413 21136	   	230.36	DCR|DCR|1TLV|1DMG|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7ERES|8TLV|aZMB
149	11633 14224	 * 	230.33	ACR|DCR|1VULN|2MLV|1DMG|1AART	1DUST|25MLV|3AART|4aRCR|6DLOT|7DMG|8MDPS|9VULN
150	21413 21133	   	230.26	DCR|DCR|1TLV|1DMG|2ASPD	12ASPD|3AME|4AEBURN|5DMG|69RCR|7aERES|8TLV
151	11331 16116	 * 	230.13	DCR|2DMG|1VULN|2MLV|1TLV|1CDMG	17DUST|27MLV|3RMIN|4CDMG|5ASPD|67DMG|7BPWR|8TLV|9RCR|aVULN
152	33662 12261	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1RPLT|2AART|3BBNT|4ZMB|5VULN|6TBNT|7DUR|8aRCR|9LHND
153	33662 13221	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1RPLT|2AART|3BBNT|4ZMB|5VULN|6TBNT|7LHND|8aRCR|9DUR
154	33662 14221	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1RPLT|2AART|3BBNT|4ZMB|5VULN|6TBNT|7LWND|8aRCR|9DUR
155	21131 66212	   	229.94	DCR|DCR|1VULN|2ASPD|1DUR	12ASPD|3ERES|4RAT|5VULN|6aRCR|7DUR|8LIT|9AME
156	21431 63234	   	229.94	DCR|DCR|1VULN|2ASPD|1CDMG	12ASPD|3AME|4RAT|5VULN|6aRCR|7DUST|8LIT|9CDMG
157	23224 33244	   	229.87	DCR|3VULN|2TLV|2ASPD|1DUR	19ASPD|2LWND|347VULN|56TLV|8DUR|aRCR
158	23226 11124	   	229.67	DCR|3VULN|2TLV|1DMG	1ASPD|2LWND|345VULN|69TLV|7DMG|8FEWX|aRCR
159	23224 31134	   	229.67	DCR|3VULN|2TLV|1DMG	1ASPD|2LWND|349VULN|56TLV|7DMG|8FEWX|aRCR
160	13211 31255	   	228.74	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2AAC|3VULN|4FRZFST|5AETHUN|6TLV|7LIT|8BBNT|9aRCR
161	12355 11531	 * 	228.70	DCR|DCR|1VULN|1FLTARM|1SELL	1DUST|2BEXP|3ERES|4SELL|5RAT|6CGEN|7FLTARM|8VULN|9aRCR
162	61126 21352	   	228.64	DCR|DCR|1VULN|2DUR	1BELT|2DUST|3BLAICY|4VULN|58DUR|6aRCR|7AME|9BBNT
