0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36224 26112	8	 * 	297.16	橙4易伤3伤害2暴击1等级	1双倍物品2378易伤38序列升级48暴击568伤害9核a等级
33	36226 36331	6	 * 	278.50	橙4易伤2时间2等级2暴击	1双倍物品236a易伤36a序列升级46暴击5随机矿7核8a等级9a时间
34	41252 24122	2	 * 	275.93	橙5易伤2伤害1攻速	1346a易伤2a基地爆炸5金币生成7核8攻速9a伤害a序列升级
35	42252 24122	1	   	275.93	橙5易伤2伤害1攻速	1346a易伤2a基地爆炸5金币生成7核8攻速9a伤害a序列升级
36	41253 14122	2	   	275.83	橙5易伤2伤害1攻速	1345a易伤2a基地爆炸6掉矿7核8攻速9a伤害a序列升级
37	42253 14122	1	   	275.83	橙5易伤2伤害1攻速	1345a易伤2a基地爆炸6掉矿7核8攻速9a伤害a序列升级
38	42243 25173	6	 * 	274.62	紫4易伤3伤害3雷电1时间	1789易伤2加一3全技能4核578雷电678伤害789序列升级a时间
39	42263 22174	2	   	272.95	橙5易伤1伤害1时间	13457易伤2加一6时间8全技能9核a伤害
40	42431 42372	2	   	272.79	橙3易伤2伤害2时间1攻速	158易伤2加一38伤害4雷电6攻速78时间8序列升级9敌人爆炸a核
41	46131 24132	4	   	272.64	橙4易伤2伤害1时间1攻速	146a易伤2a金币生成3时间5立即金币7核8攻速9a伤害a序列升级
42	36224 26313	6	 * 	271.92	橙3易伤3伤害2等级1暴击	1双倍物品239易伤39序列升级4暴击569伤害7核89等级a矿等
43	36224 26312	6	   	271.82	橙3易伤3伤害2等级1暴击	1双倍物品239易伤39序列升级4暴击569伤害7核89等级a挖尘
44	42272 16314	8	   	271.45	橙3易伤2伤害2时间	159易伤2加一3全技能4平台69时间7核89伤害9序列升级a雷电
45	42512 16314	8	   	271.45	橙3易伤2伤害2时间	159易伤2加一3平台4全技能69时间7核89伤害9序列升级a雷电
46	54121 11243	8	 * 	271.44	橙5易伤3时间	129敌人爆炸3平台49a时间5679a易伤8核9a序列升级
47	21224 32343	8	 * 	271.34	紫3易伤3伤害3时间2攻速1卖塔	1卖塔249时间3核59a易伤6低血量敌人7a攻速89a伤害9a序列升级
48	21224 52343	8	 * 	271.34	紫3易伤3伤害3时间2攻速1卖塔	1卖塔249时间3核59a易伤6最后敌人7a攻速89a伤害9a序列升级
49	36226 36311	6	 * 	269.96	橙4易伤3暴击2等级1时间	1双倍物品2369易伤369序列升级469暴击5随机矿7核89等级a时间
50	42438 42338	2	 * 	269.74	橙2易伤2伤害2时间2攻速1暴击	18易伤2加一38伤害4雷电56攻速78时间8序列升级9暴击a核
51	41213 65223	2	 * 	269.44	橙4易伤2时间1伤害1攻速	135a易伤2基地爆炸48时间6伤害7核9攻速
52	42213 65223	1	   	269.44	橙4易伤2时间1伤害1攻速	135a易伤2基地爆炸48时间6伤害7核9攻速
53	21463 13714	7	   	269.33	橙4易伤2时间1等级2雷电1卖塔	1卖塔28时间38雷电4589易伤6核7加一8序列升级a等级
54	36261 33152	6	   	268.34	橙3易伤2伤害2时间2雷电	1双倍物品238易伤38序列升级48伤害59时间6低血量敌人78雷电a核
55	36343 14112	5	 * 	268.30	橙3易伤3时间3攻速	1双倍物品278易伤378时间4低血量敌人5雷电678攻速78序列升级9基地爆炸a核
56	42243 25151	6	   	268.23	紫3易伤3伤害3雷电1等级1时间	178易伤2加一3全技能4核578雷电678伤害78序列升级9等级a时间
57	36313 14112	5	   	268.20	橙3易伤3时间3攻速	1双倍物品278易伤378时间4挖尘5雷电678攻速78序列升级9基地爆炸a核
58	36313 14162	5	   	268.20	橙3易伤3时间3攻速	1双倍物品278易伤378时间4挖尘5雷电678攻速78序列升级9低血量敌人a核
