0	Index      	 *	Score 	Summary	Detail	
1	23165 22142	 * 	291.85	橙橙3易伤1伤害	1立即金币236易伤4激光对愈5伤害7a核89掉矿
38	33121 32256	   	262.40	橙橙1易伤1矿等2平台1全技能	1矿等2立即金币3掉矿45平台6全技能7易伤8a核9挖尘
39	14212 31212	   	262.37	橙橙1易伤1伤害1攻速	1时间2等级3伤害48掉矿5攻速69核7最后敌人a易伤
40	14212 34212	   	262.37	橙橙1易伤1伤害1攻速	1时间2等级3伤害48掉矿5攻速69核7低血量敌人a易伤
41	14212 36211	   	262.37	橙橙1易伤1伤害1攻速	1时间2等级3伤害48掉矿5攻速69核7易伤a基地爆炸
42	14212 36213	   	262.37	橙橙1易伤1伤害1攻速	1时间2a等级3伤害48掉矿5攻速69核7易伤
43	14212 36214	   	262.37	橙橙1易伤1伤害1攻速	1时间2等级3伤害48掉矿5攻速69核7易伤a低血量敌人
44	54212 35212	   	262.37	橙橙1易伤1伤害1攻速	1低血量敌人2等级3伤害48掉矿5攻速69核7时间a易伤
45	14212 36215	   	262.27	橙橙1易伤1伤害1攻速1策反	1时间2等级3伤害48掉矿5攻速69核7易伤a策反
46	14212 36216	   	262.27	橙橙1易伤1伤害1攻速	1时间2等级3伤害48a掉矿5攻速69核7易伤
47	46522 32112	   	262.08	橙橙2易伤1攻速	1掉矿27技能3技能点4a易伤5攻速69核8最后敌人
48	46522 31212	   	261.98	橙橙2易伤1攻速	18掉矿2技能3技能点4a易伤5攻速69核7低血量敌人
49	46522 33112	   	261.98	橙橙2易伤1攻速	1掉矿2技能3技能点4a易伤5攻速69核7激光减费8最后敌人
