0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61261 33233	3	 * 	275.75	橙5易伤1等级1伤害1时间	13掉矿23478易伤3序列升级5伤害6等级9核a时间
140	21324 33236	5	   	247.64	橙5易伤1等级	1攻速2a掉矿34578易伤6等级9核
141	61224 33231	5	   	247.64	橙5易伤1等级	13掉矿23578易伤3序列升级4攻速6等级9核a挖尘
142	61224 33234	5	   	247.64	橙5易伤1等级	13掉矿23578易伤3序列升级4攻速6等级9核a赏金邻近
143	61224 33236	5	   	247.64	橙5易伤1等级	13a掉矿23578易伤3序列升级4攻速6等级9核
144	31243 41214	4	 * 	247.62	橙3易伤2等级2暴击	13金币生成236易伤36序列升级4平台56等级7核8雷电9a暴击
145	31243 41221	4	   	247.62	橙3易伤2等级1伤害	13金币生成236易伤36序列升级4平台56等级7核8雷电9挖尘a伤害
146	31243 41533	4	 * 	247.62	橙3易伤3等级1伤害	13金币生成236易伤36序列升级4平台568等级7核9雷电a伤害
147	31253 43226	2	   	247.52	橙2易伤3伤害2等级1卖塔	1金币生成28易伤3卖塔479伤害56等级a核
148	61221 11423	8	   	247.32	橙3易伤2等级1伤害	135掉矿236易伤3序列升级4攻速79等级8核a伤害
149	21324 44113	4	   	246.88	橙3易伤2时间1等级2攻速1卖塔	18攻速2掉矿348易伤5赏金邻近68时间7卖塔8序列升级9等级a核
150	31242 41433	5	   	246.30	橙3易伤2伤害1等级	138金币生成236易伤36序列升级4平台56伤害7核9攻速a等级
151	31242 41522	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9攻速a敌人爆炸
152	31242 41532	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9策反a雷电
153	31242 41633	5	   	246.30	橙3易伤2伤害1等级	13金币生成236易伤36序列升级48平台56伤害7核9攻速a等级
154	55343 23133	9	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8低血量敌人9攻速a核
155	55343 23233	9	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8最后敌人9攻速a核
156	55343 23311	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a矿等
157	55343 23312	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a基地爆炸
158	55343 23313	7	   	246.25	橙5易伤2雷电1全技能	14雷电2全技能34567易伤4序列升级8攻速9核a随机矿
159	31242 41521	5	   	246.20	橙3易伤2伤害1等级	13金币生成236易伤36序列升级4平台56伤害7核8等级9攻速a加一
160	31242 43433	8	   	246.20	橙3易伤2伤害1等级	13金币生成236易伤3序列升级4平台58伤害7核9攻速a等级
161	31121 32312	4	   	246.11	橙3易伤1等级2暴击1时间1全技能	1a金币生成25a易伤3时间4等级6挖青7全技能8a暴击9核a序列升级
162	31121 32312	5	   	246.11	橙3易伤1等级2暴击1时间1全技能	1a金币生成25a易伤3时间4等级6挖青7全技能8a暴击9核a序列升级
163	11142 53325	7	   	246.01	橙3易伤1等级1伤害1时间1全技能	1基地爆炸2挖尘37a易伤4伤害5全技能6核8时间9等级
164	31242 43151	10	   	245.98	橙4易伤2时间1伤害	13金币生成2369易伤3序列升级4平台5伤害7核8a时间
165	61131 32312	3	   	245.91	橙3易伤1等级2暴击1时间1全技能	1a掉矿24a易伤3时间5等级6挖青7全技能8a暴击9核a序列升级
166	34351 31513	4	   	245.76	橙2易伤2等级2伤害1暴击	1金币生成2策反39易伤4a伤害58等级6暴击7核
167	31121 13414	7	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8双倍矿9攻速a核
168	31121 13414	6	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8双倍矿9攻速a核
169	31121 13614	8	   	245.75	橙4易伤1等级1时间	1金币生成2567易伤3时间4等级8立即金币9攻速a核
