0	Index      	 *	Score 	Summary	Detail	
1	63153 48141	 * 	314.66	DCR|DCR|3VULN|1TLV	1DUR|2TLV|3BBNT|4MBVNT|589VULN|6aRCR|7RPLT
16	63352 51321	 * 	299.65	DCR|DCR|2DMG|1TLV|1LIT|1CDMG	1DUR|2TLV|35DMG|4CDMG|6CANHEL|78RCR|9FEWX|aLIT
17	63352 51311	   	299.55	DCR|DCR|2DMG|1TLV|1LIT|1CDMG	1DUR|2TLV|35DMG|4CDMG|6CANHEL|78RCR|9DUST|aLIT
18	23256 36323	   	296.96	DCR|DCR|2TLV|1VULN|1RPLT	1LWND|25TLV|3RPLT|4BBNT|68RCR|7DUR|9AAC|aVULN
19	23311 15636	 * 	296.79	DCR|DCR|2TLV|2DMG|1VULN	1LWND|29TLV|35DMG|4ERES|6VULN|7aRCR|8SPLARM
20	23266 32316	   	296.75	DCR|DCR|2TLV|1VULN|1RPLT|1CDMG	1LWND|25TLV|3RPLT|4TBNT|68RCR|7CDMG|9MBVNT|aVULN
21	63353 51321	   	296.25	DCR|DCR|1TLV|1LIT|2CDMG|1DMG|2DUR	15DUR|2TLV|3DMG|45CDMG|5BPWR|6CANHEL|78RCR|9FEWX|aLIT
22	63353 51311	   	296.15	DCR|DCR|1TLV|1LIT|2CDMG|1DMG|2DUR	15DUR|2TLV|3DMG|45CDMG|5BPWR|6CANHEL|78RCR|9DUST|aLIT
23	23345 23533	 * 	294.42	DCR|2VULN|2TLV|2MLV|2DMG	18LWND|26TLV|38DMG|4aVULN|5DUR|78MLV|8BPWR|9RCR
24	23266 36323	   	292.86	DCR|DCR|2TLV|1VULN|1RPLT	1LWND|25TLV|3RPLT|4TBNT|68RCR|7DUR|9AAC|aVULN
25	63616 32221	 * 	291.79	DCR|2VULN|2TLV|2LIT|1DMG|2DUR	17DUR|29TLV|37LIT|4DMG|5FEWX|67VULN|7BPWR|8LWND|aRCR
26	33222 44351	   	290.49	DCR|DCR|1TLV|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5TLV|6BEXP|7DUR|8DMG|9aRCR
27	33223 44351	   	290.39	DCR|DCR|1TLV|2ASPD|1DMG|1RPLT	1BBNT|24ASPD|3RPLT|5DUST|6TLV|7DUR|8DMG|9aRCR
28	23254 32325	   	290.07	DCR|DCR|1TLV|1VULN|1RPLT|1CDMG	15LWND|2TLV|3RPLT|4BBNT|68RCR|7CDMG|9DUR|aVULN
29	62611 41321	   	289.84	DCR|DCR|1TLV|1LIT|1DMG|2DUR|1CDMG	12DUR|2BPWR|3TLV|4DMG|5MSLFST|6CDMG|78RCR|9FEWX|aLIT
30	63321 41321	   	289.84	DCR|DCR|1TLV|1LIT|1DMG|2DUR|1CDMG	15DUR|2TLV|3DMG|4SNIFST|6CDMG|78RCR|9FEWX|aLIT
31	62611 41311	   	289.74	DCR|DCR|1TLV|1LIT|1DMG|2DUR|1CDMG	12DUR|2BPWR|3TLV|4DMG|5MSLFST|6CDMG|78RCR|9DUST|aLIT
32	63321 41311	   	289.74	DCR|DCR|1TLV|1LIT|1DMG|2DUR|1CDMG	15DUR|2TLV|3DMG|4SNIFST|6CDMG|78RCR|9DUST|aLIT
33	63321 41361	   	289.74	DCR|DCR|1TLV|1VULN|1DMG|2DUR|1CDMG	15DUR|2TLV|3DMG|4SNIFST|6CDMG|78RCR|9CANHEL|aVULN
34	31252 21251	   	289.42	DCR|DCR|1TLV|1VULN|2RPLT|1DMG	1BBNT|2ZMB|34RPLT|5TLV|6DMG|7VULN|8LHND|9aRCR
35	31252 21651	   	289.42	DCR|DCR|1TLV|1VULN|2RPLT|1DMG	1BBNT|2ZMB|34RPLT|5TLV|6DMG|7VULN|8FEWX|9aRCR
36	31252 21151	   	289.32	DCR|DCR|1TLV|1VULN|2RPLT|1DMG	1BBNT|2ZMB|34RPLT|5TLV|6DMG|7VULN|8DUST|9aRCR
37	31252 21351	   	289.32	DCR|DCR|1TLV|1VULN|2RPLT|1DMG	1BBNT|2ZMB|34RPLT|5TLV|6DMG|7VULN|8LEGI|9aRCR
38	23256 33134	 * 	286.64	DCR|DCR|3TLV|1VULN|1RPLT	1LWND|257TLV|3RPLT|4BBNT|6aRCR|8VULN|9BASHEA
39	23264 32325	   	285.97	DCR|DCR|1TLV|1VULN|1RPLT|1CDMG	15LWND|2TLV|3RPLT|4TBNT|68RCR|7CDMG|9DUR|aVULN
40	33312 52551	 * 	285.78	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1BBNT|2ASPD|3CGEN|4RPLT|5MLV|6AAC|7TLV|8VULN|9aRCR
41	23345 23333	 * 	285.73	DCR|3VULN|2TLV|1MLV|1DMG	1LWND|26TLV|3DMG|48aVULN|5DUR|7MLV|9RCR
42	63352 51331	   	285.53	DCR|DCR|2DMG|1TLV|1CDMG	1DUR|2TLV|35DMG|4CDMG|6CANHEL|78RCR|9BBNT|aAART
