0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21653 22135	10	 * 	298.21	DCR|3VULN|3DMG|2DUR|1ASPD	138DMG|28DUR|4ASPD|5AART|6LIT|78aVULN|8BPWR|9RCR
26	22113 42642	3	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	158DMG|2DMSP|3RCVC|459VULN|5BPWR|6TLV|7DUR|aRCR
27	22113 42642	4	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	158DMG|2DMSP|3RCVC|459VULN|5BPWR|6TLV|7DUR|aRCR
28	21363 22333	10	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	168DMG|2DUR|3TLV|459VULN|7LWND|aRCR
29	21363 23642	7	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	168DMG|2DUR|3TLV|459VULN|7RCVC|aRCR
30	21363 25333	10	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	168DMG|2DUR|3TLV|459VULN|7LHND|aRCR
31	21316 52314	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2DUR|3TLV|4LHND|5AART|678aVULN|9RCR
32	21366 12314	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2DUR|3TLV|478aVULN|5AART|6BEXP|9RCR
33	21366 32314	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR	1DMG|2DUR|3TLV|478aVULN|5AART|6LWND|9RCR
34	21363 65321	9	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|27DUR|3TLV|45aVULN|6LWND|9RCR
35	22113 11563	4	   	269.14	DCR|3VULN|3DMG|2DUR	158DMG|2DMSP|3RCVC|458VULN|58BPWR|6TBNT|78DUR|9BBNT|aRCR
36	22113 11563	3	   	269.14	DCR|3VULN|3DMG|2DUR	158DMG|2DMSP|3RCVC|458VULN|58BPWR|6TBNT|78DUR|9BBNT|aRCR
37	21253 22113	8	   	268.87	DCR|2VULN|3DUR|2DMG|1ASPD	18DMG|238DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9CGEN|aRCR
38	21253 22152	10	   	268.87	DCR|2VULN|3DUR|2DMG|1ASPD	18DMG|238DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9DMSP|aRCR
39	21253 22163	8	   	268.87	DCR|2VULN|3DUR|2DMG|1ASPD	18DMG|238DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9MLV|aRCR
40	21253 22163	9	   	268.77	DCR|2VULN|3DUR|2DMG|1ASPD	18DMG|238DUR|4ASPD|5AART|6LIT|78VULN|8BPWR|9ERES|aRCR
41	21316 22235	8	   	268.24	DCR|2VULN|3DMG|2DUR|1TLV	169DMG|29DUR|3TLV|4LHND|5AART|7RCVC|89VULN|9BPWR|aRCR
42	21316 25235	8	   	268.24	DCR|2VULN|3DMG|2DUR|1TLV	169DMG|29DUR|3TLV|47LHND|5AART|89VULN|9BPWR|aRCR
