0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21136 43421	9	 * 	291.87	DCR|5VULN|3DUR|2TLV	12458VULN|389DUR|6RPLT|78TLV|8BPWR|aRCR
58	26112 22411	3	   	272.77	DCR|5VULN|2DUR|2LIT|1CDMG	1689aVULN|28DUR|3CDMG|4DUST|58LIT|7RCR|8BPWR
59	31121 64331	2	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|24DUR|3468VULN|4BPWR|5CGEN|7RCR|9DMG|aLWND
60	31121 64333	2	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|24DUR|3468VULN|4BPWR|5CGEN|7RCR|9DMG|aFEWX
61	31121 64334	2	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|24DUR|3468VULN|4BPWR|5CGEN|7RCR|9DMG|aLHND
62	31121 64336	2	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|24DUR|3468VULN|4BPWR|5CGEN|7RCR|9DMG|aRPLT
63	23623 11125	5	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	159aVULN|2BELT|35DUR|4LEGI|5BPWR|6RCR|7DMG|8TLV
64	31121 64332	2	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1TLV|24DUR|3468VULN|4BPWR|5CGEN|7RCR|9DMG|aERES
65	21122 61265	6	 * 	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE|1AART	129VULN|3DUR|4RPLT|59DMG|69TLV|7NUKE|8RCR|9BPWR|aAART
66	21584 27313	1	   	271.78	DCR|3VULN|2DMG|2TLV|1DUR|1AART	14aVULN|2AART|3MBVNT|5DUR|6aTLV|7aDMG|8BBNT|9RCR|aBPWR
67	23623 11342	5	 * 	270.89	DCR|3VULN|2DMG|2DUR|2CDMG	159VULN|2BELT|35DUR|4LEGI|59BPWR|6RCR|79DMG|89CDMG|aASPD
68	21131 61463	4	   	270.57	DCR|5VULN|2DUR|1TLV	12489VULN|39DUR|5MLV|6TLV|79LHND|9BPWR|aRCR
69	21133 61463	5	   	270.57	DCR|5VULN|2DUR|1TLV	12489VULN|39DUR|5CGEN|6TLV|79LHND|9BPWR|aRCR
70	21162 52363	4	   	270.57	DCR|5VULN|2DUR|1TLV	12789VULN|39DUR|4TLV|5BEXP|69CGEN|9BPWR|aRCR
71	21122 61263	6	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	129VULN|3DUR|4RPLT|59DMG|69TLV|7NUKE|8RCR|9BPWR|aLIT
72	21162 31463	6	   	270.47	DCR|5VULN|2DUR|1TLV	12689VULN|39DUR|4TLV|5ERES|79LHND|9BPWR|aRCR
73	21662 32363	7	   	270.47	DCR|5VULN|2DUR|1TLV	12689VULN|39LWND|4TLV|5ERES|79DUR|9BPWR|aRCR
74	21162 42363	4	   	270.37	DCR|5VULN|2DUR|1TLV	12689VULN|39DUR|4TLV|5BEXP|79ERES|9BPWR|aRCR
75	31121 66326	2	   	270.09	DCR|4VULN|2DUR|1TLV|1AART	1TLV|24DUR|3469VULN|4BPWR|5CGEN|7ASPD|8AART|aRCR
76	21133 36522	4	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	1245VULN|356DUR|5BPWR|7DMG|8AART|9FEWX|aRCR
77	21133 36532	4	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	1245VULN|356DUR|5BPWR|7DMG|8AART|9LHND|aRCR
78	21133 36551	4	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	1245VULN|356DUR|5BPWR|7DMG|8AART|9CGEN|aRCR
79	21133 36562	4	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	1245VULN|356DUR|5BPWR|7DMG|8AART|9BEXP|aRCR
80	23623 11135	5	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	15aVULN|2BELT|35DUR|4LEGI|5BPWR|6RCR|79DMG|8TLV
81	31125 24321	2	   	268.51	DCR|4VULN|2TLV|2DUR	15TLV|24DUR|348aVULN|4BPWR|6CGEN|7RCR|9LIT
82	31125 54321	2	   	268.41	DCR|4VULN|2TLV|2DUR	15TLV|24DUR|348aVULN|4BPWR|6ERES|7RCR|9LIT
83	21211 31531	10	 * 	268.27	DCR|4VULN|2DUR|3CDMG|2ASPD	127aVULN|35ASPD|45aCDMG|5aBPWR|6aDUR|8RPLT|9RCR
84	36133 11536	7	   	267.46	DCR|3VULN|3DUR|1TLV|2LIT	1TLV|24LIT|348DUR|4BPWR|569VULN|7ASPD|aRCR
85	36133 15326	9	   	266.98	DCR|4VULN|2DUR|1TLV|2LIT	1TLV|24LIT|34DUR|4BPWR|569aVULN|7RPLT|8RCR
86	21122 33511	5	 * 	266.53	DCR|3VULN|3DUR|2CDMG|1DMG	128VULN|38aDUR|4RPLT|5DMG|6LIT|78CDMG|8BPWR|9RCR
87	11142 22416	4	   	266.15	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	18FEWX|2689VULN|3CDMG|4DUR|58LIT|7RCR|8BPWR|aTLV
88	11162 22416	3	   	266.15	DCR|4VULN|1TLV|1DUR|2LIT|1CDMG	18FEWX|2689VULN|3CDMG|4DUR|58LIT|7RCR|8BPWR|aTLV
89	23344 12111	5	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	178VULN|2BELT|3MLV|48TLV|589DUR|6RCR|8BPWR|aCDMG
90	21133 24321	4	   	266.12	DCR|5VULN|2DUR|1CDMG	12458VULN|35DUR|5BPWR|6DUST|7RCR|9CDMG|aLIT
91	21563 24321	4	   	266.12	DCR|5VULN|2DUR|1CDMG	12358VULN|35BPWR|45DUR|6DUST|7RCR|9CDMG|aLIT
92	21142 14253	3	   	266.10	DCR|5VULN|3DUR	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aLIT
93	21242 14253	2	   	266.10	DCR|5VULN|3DUR	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aLIT
94	22242 14253	1	   	266.10	DCR|5VULN|3DUR	12789VULN|379DUR|479LHND|5BELT|6RCR|79BPWR|aLIT
95	23611 14253	5	   	266.10	DCR|5VULN|3DUR	15789VULN|2BELT|379DUR|479LHND|6RCR|79BPWR|aLIT
96	36133 12164	10	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1TLV|24LIT|34DUR|4BPWR|568VULN|7DMG|9BELT|aRCR
97	36133 15322	10	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1TLV|24LIT|34DUR|4BPWR|569VULN|7RPLT|8RCR|aDMG
98	21533 35336	3	   	265.81	DCR|5VULN|1TLV|1AART	12368VULN|3BPWR|4LIT|5AART|7TLV|9RCR|aASPD
99	23621 14253	5	   	265.80	DCR|5VULN|3DUR	15789VULN|2BELT|379DUR|4LEGI|6RCR|79BPWR|aLIT
100	23623 12253	5	   	265.80	DCR|5VULN|3DUR	15789VULN|2BELT|359DUR|4LEGI|59BPWR|6RCR|aLIT
101	22131 64361	4	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1489VULN|2DMSP|3DUR|59MLV|69TLV|7RCR|9BPWR|aDMG
102	22133 64361	5	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	1489VULN|2DMSP|3DUR|59CGEN|69TLV|7RCR|9BPWR|aDMG
103	21162 36125	10	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1268VULN|38DUR|4TLV|5ERES|78CGEN|8BPWR|9CDMG|aRCR
104	21162 52125	10	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1278VULN|38DUR|4TLV|5ERES|68MLV|8BPWR|9CDMG|aRCR
105	21162 24361	6	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1289VULN|3DUR|49TLV|59ERES|6RCVC|7RCR|9BPWR|aDMG
106	22162 34361	6	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1689VULN|2DMSP|3DUR|49TLV|59ERES|7RCR|9BPWR|aDMG
107	21131 64161	4	   	265.45	DCR|4VULN|3DUR|1TLV	1249VULN|39aDUR|5MLV|6TLV|7RCR|89LHND|9BPWR
108	21133 64161	5	   	265.45	DCR|4VULN|3DUR|1TLV	1249VULN|39aDUR|5CGEN|6TLV|7RCR|89LHND|9BPWR
109	21133 35643	4	   	265.35	DCR|4VULN|3DUR|1TLV	1245VULN|356DUR|5BPWR|7TLV|8CGEN|9BEXP|aRCR
110	21133 35663	4	   	265.35	DCR|4VULN|3DUR|1TLV	1245VULN|356DUR|5BPWR|7TLV|8CGEN|9FEWX|aRCR
111	21162 32163	7	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|5ERES|89LHND|9BPWR|aRCR
112	21162 32163	8	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|5ERES|89BEXP|9BPWR|aRCR
113	21162 32363	8	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|5ERES|89LHND|9BPWR|aRCR
114	21162 32563	7	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|5ERES|89LWND|9BPWR|aRCR
115	21162 34161	6	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|39aDUR|4TLV|5ERES|7RCR|89LHND|9BPWR
116	21162 62163	8	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|56ERES|69BPWR|89BEXP|aRCR
117	21162 62163	7	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|56ERES|69BPWR|89LHND|aRCR
118	21162 62363	8	   	265.35	DCR|4VULN|3DUR|1TLV	1269VULN|379DUR|4TLV|56ERES|69BPWR|89LHND|aRCR
119	23623 14251	5	   	265.35	DCR|4VULN|3DUR|1TLV	157aVULN|2BELT|357DUR|4LEGI|57BPWR|6RCR|8LHND|9TLV
120	31121 64311	2	   	265.35	DCR|4VULN|3DUR|1TLV	1TLV|24aDUR|3468VULN|4BPWR|5CGEN|7RCR|9LHND
121	31121 64341	2	   	265.35	DCR|4VULN|3DUR|1TLV	1TLV|24aDUR|3468VULN|4BPWR|5CGEN|7RCR|9FEWX
122	21133 35143	4	   	265.25	DCR|4VULN|3DUR|1TLV	1245VULN|356DUR|5BPWR|7TLV|8FEWX|9ERES|aRCR
123	21133 35343	4	   	265.25	DCR|4VULN|3DUR|1TLV	1245VULN|356DUR|5BPWR|7TLV|8LWND|9ERES|aRCR
124	31121 13552	2	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1TLV|247DUR|348VULN|4BPWR|5CGEN|6BELT|9DMG|aRCR
125	21133 66225	4	 * 	264.33	DCR|5VULN|2DUR|2CDMG	12459VULN|35DUR|59BPWR|69MLV|7TBNT|89CDMG|aRCR
126	21133 12243	10	   	264.23	DCR|5VULN|2DUR|1DMG	12467VULN|3aDUR|5CGEN|8RCR|9DMG
127	21136 32243	10	   	264.23	DCR|5VULN|2DUR|1DMG	12457VULN|3aDUR|6MLV|8RCR|9DMG
128	21563 12243	10	   	264.23	DCR|5VULN|2DUR|1DMG	12367VULN|3BPWR|4aDUR|5CGEN|8RCR|9DMG
129	23623 12252	8	   	264.23	DCR|5VULN|2DUR|1DMG	15678VULN|2BELT|35DUR|4LEGI|5BPWR|9DMG|aRCR
130	21132 12243	10	   	264.13	DCR|5VULN|2DUR|1DMG	12467VULN|3aDUR|5ERES|8RCR|9DMG
131	21562 12243	10	   	264.13	DCR|5VULN|2DUR|1DMG	12367VULN|3BPWR|4aDUR|5ERES|8RCR|9DMG
132	21131 64325	4	   	264.09	DCR|5VULN|1TLV|1DUR	1248aVULN|3DUR|5MLV|6TLV|7RCR|9LIT
133	21133 64321	5	   	264.09	DCR|5VULN|1TLV|1DUR	1248aVULN|3DUR|5CGEN|6TLV|7RCR|9LIT
134	21161 34325	6	   	264.09	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4TLV|5RMIN|7RCR|9LIT
135	21161 64321	4	   	264.09	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4TLV|5CGEN|7RCR|9LIT
136	21335 64321	3	   	264.09	DCR|5VULN|1TLV|1DUR	1268aVULN|3CGEN|4DUR|5TLV|7RCR|9LIT
137	21131 64362	4	   	264.06	DCR|5VULN|2TLV|1DUR	12489VULN|3DUR|59MLV|69TLV|7RCR|9BPWR|aCGEN
138	21131 64363	4	   	264.06	DCR|5VULN|2TLV|1DUR	12489VULN|3DUR|59MLV|69TLV|7RCR|9BPWR|aRMIN
139	21133 64362	5	   	264.06	DCR|5VULN|2TLV|1DUR	12489VULN|3DUR|59aCGEN|69TLV|7RCR|9BPWR
140	21333 45363	3	   	264.06	DCR|5VULN|2TLV|1DUR	12689VULN|39CGEN|4DUR|5LWND|79TLV|9BPWR|aRCR
141	21115 64321	3	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4ERES|5TLV|7RCR|9LIT
142	21162 34321	6	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4TLV|5ERES|7RCR|9LIT
143	21162 64321	6	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4TLV|56ERES|6BPWR|7RCR|9LIT
144	21162 64321	5	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4TLV|5ERES|7RCR|9LIT
145	21215 64321	2	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4ERES|5TLV|7RCR|9LIT
146	22215 64321	1	   	263.99	DCR|5VULN|1TLV|1DUR	1268aVULN|3DUR|4ERES|5TLV|7RCR|9LIT
147	21131 64361	4	   	263.96	DCR|5VULN|2TLV|1DUR	12489VULN|3DUR|59MLV|69TLV|7RCR|9BPWR|aDUST
148	21133 64361	5	   	263.96	DCR|5VULN|2TLV|1DUR	12489VULN|3DUR|59CGEN|69TLV|7RCR|9BPWR|aDUST
149	21162 34362	6	   	263.86	DCR|5VULN|2TLV|1DUR	12689VULN|3DUR|49TLV|59ERES|7RCR|9BPWR|aCGEN
150	21162 34363	6	   	263.86	DCR|5VULN|2TLV|1DUR	12689VULN|3DUR|49TLV|59ERES|7RCR|9BPWR|aRMIN
151	21122 21635	4	 * 	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1269VULN|3DUR|4RPLT|59LIT|79DMG|8TBNT|9BPWR|aRCR
152	21131 21635	6	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1249VULN|3DUR|59LIT|6RPLT|79DMG|8TBNT|9BPWR|aRCR
153	21131 31635	5	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1249VULN|3DUR|59LIT|6RPLT|79DMG|8TBNT|9BPWR|aRCR
154	21132 21635	3	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1269VULN|3DUR|49LIT|5RPLT|79DMG|8TBNT|9BPWR|aRCR
155	21135 31635	3	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1259VULN|3DUR|49LIT|6RPLT|79DMG|8TBNT|9BPWR|aRCR
156	21232 21635	2	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1269VULN|3DUR|49LIT|5RPLT|79DMG|8TBNT|9BPWR|aRCR
157	21235 31635	2	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1259VULN|3DUR|49LIT|6RPLT|79DMG|8TBNT|9BPWR|aRCR
158	22232 21635	1	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1269VULN|3DUR|49LIT|5RPLT|79DMG|8TBNT|9BPWR|aRCR
159	22235 31635	1	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1259VULN|3DUR|49LIT|6RPLT|79DMG|8TBNT|9BPWR|aRCR
160	26332 21635	2	   	263.84	DCR|4VULN|2DMG|1DUR|2LIT	1369VULN|2DUR|49LIT|5RPLT|79DMG|8TBNT|9BPWR|aRCR
161	21162 34361	6	   	263.76	DCR|5VULN|2TLV|1DUR	12689VULN|3DUR|49TLV|59ERES|7RCR|9BPWR|aDUST
162	21534 23343	3	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1239VULN|3BPWR|4LIT|5CDMG|6RCR|7CGEN|8DMG|aTLV
163	21552 23343	3	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1239VULN|3BPWR|4CDMG|5LIT|6RCR|7CGEN|8DMG|aTLV
164	21132 15261	10	   	263.19	DCR|5VULN|1DMG|1DUR|1CDMG	1246aVULN|3DUR|5ERES|7CDMG|8DMG|9RCR
165	36133 12325	8	   	262.83	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1TLV|24LIT|349DUR|4BPWR|56VULN|7DMG|8ASPD|aRCR
166	36133 12345	9	   	262.83	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1TLV|24LIT|349DUR|4BPWR|56VULN|7DMG|8ASPD|aRCR
167	36133 25225	8	   	262.83	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1TLV|24LIT|349DUR|4BPWR|58VULN|6ASPD|7DMG|aRCR
168	23623 11344	5	   	262.58	DCR|3VULN|2DMG|2DUR|2CDMG	159VULN|2BELT|35DUR|4LEGI|59BPWR|6RCR|79DMG|89CDMG|aLWND
169	23623 11345	5	   	262.58	DCR|3VULN|2DMG|2DUR|2CDMG	159VULN|2BELT|35DUR|4LEGI|59BPWR|6RCR|79DMG|89CDMG|aCGEN
170	23623 11341	5	   	262.48	DCR|3VULN|2DMG|2DUR|2CDMG	159VULN|2BELT|35DUR|4LEGI|59BPWR|6RCR|79DMG|89CDMG|aDUST
171	23623 11343	5	   	262.48	DCR|3VULN|2DMG|2DUR|2CDMG	159VULN|2BELT|35DUR|4LEGI|59BPWR|6RCR|79DMG|89CDMG|aTBNT
172	11522 11535	6	   	262.47	DCR|3VULN|3DUR|1TLV|1AART	18FEWX|268VULN|368DUR|4RMIN|5AART|68BPWR|7RCR|9ASPD|aTLV
173	11533 11535	6	   	262.47	DCR|3VULN|3DUR|1TLV|1AART	18FEWX|268VULN|368DUR|4AART|5RMIN|68BPWR|7RCR|9ASPD|aTLV
174	21124 64121	6	   	262.27	DCR|3VULN|3DUR|1TLV|1AART	126VULN|369DUR|4RPLT|5AART|6BPWR|7RCR|8TLV|aLIT
175	21122 61261	6	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	129VULN|3DUR|4RPLT|59DMG|69TLV|7NUKE|8RCR|9BPWR|aZMB
176	21122 61262	6	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	129VULN|3DUR|4RPLT|59DMG|69TLV|7NUKE|8RCR|9BPWR|aBEXP
177	21246 62332	7	   	262.17	DCR|3VULN|3DUR|1TLV|1AART	126VULN|3ASPD|4ERES|569DUR|6BPWR|7TLV|8AART|aRCR
178	21122 61264	6	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	129VULN|3DUR|4RPLT|59DMG|69TLV|7NUKE|8RCR|9BPWR|aERES
