0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15111 62533	2	 * 	291.79	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aDUR|3FEWX|4CDMG|5aDMG|6RCR|7LIT|89aVULN|aBPWR
13	63611 41121	7	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	168VULN|2MLV|38DMG|4CGEN|59DUR|78CDMG|8BPWR|aRCR
14	63611 42121	6	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	168VULN|2MLV|38DMG|4CGEN|59DUR|78CDMG|8BPWR|aRCR
15	11223 31632	1	   	273.46	DCR|4VULN|2DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67DMG|7BPWR|9RCR|aBBNT
16	11223 31634	1	   	273.46	DCR|4VULN|2DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67DMG|7BPWR|9RCR|aERES
17	11223 31636	1	   	273.46	DCR|4VULN|2DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67DMG|7BPWR|9RCR|aDUST
18	11223 31645	1	   	273.46	DCR|4VULN|2DMG|2TLV|1NUKE	17TLV|2LIT|3478VULN|5NUKE|67DMG|7BPWR|9TBNT|aRCR
19	66323 31632	2	   	273.46	DCR|4VULN|2DMG|2TLV|1NUKE	1478VULN|2LIT|37TLV|5NUKE|67DMG|7BPWR|9RCR|aBBNT
20	14523 31631	1	   	273.12	DCR|3VULN|3DMG|2TLV|2LIT|1NUKE	17TLV|248VULN|37LIT|5NUKE|67aDMG|7BPWR|9RCR
21	66223 23421	10	 * 	271.76	DCR|4VULN|3DUR|3LIT	1789VULN|238LIT|46RMIN|589DUR|89BPWR|aRCR
22	11221 34132	1	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2LIT|3489VULN|5AART|6DUR|7RCR|aCDMG
23	11222 24132	1	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2LIT|3489VULN|5DUR|6AART|7RCR|aCDMG
24	14521 34132	1	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2489VULN|3LIT|5AART|6DUR|7RCR|aCDMG
25	14522 24132	1	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2489VULN|3LIT|5DUR|6AART|7RCR|aCDMG
26	66321 34132	2	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1489VULN|2LIT|3TLV|5AART|6DUR|7RCR|aCDMG
27	66322 24132	2	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1489VULN|2LIT|3TLV|5DUR|6AART|7RCR|aCDMG
28	11223 32631	1	   	269.65	DCR|4VULN|2DMG|1TLV|1NUKE	1TLV|2LIT|3478VULN|5NUKE|6aDMG|9RCR
29	14523 32631	1	   	269.65	DCR|4VULN|2DMG|1TLV|1NUKE	1TLV|2478VULN|3LIT|5NUKE|6aDMG|9RCR
30	66323 32631	2	   	269.65	DCR|4VULN|2DMG|1TLV|1NUKE	1478VULN|2LIT|3TLV|5NUKE|6aDMG|9RCR
31	15311 54121	2	 * 	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	18TLV|29DUR|368VULN|4CDMG|5DMG|78CGEN|8BPWR|aRCR
32	15311 56121	2	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	18TLV|29DUR|368VULN|4CDMG|5DMG|78MLV|8BPWR|aRCR
33	66622 33232	4	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	138VULN|23LIT|3BPWR|4RMIN|569DMG|7DUR|aRCR
34	66234 31232	2	   	269.35	DCR|4VULN|3DMG	1357VULN|2LIT|47BEXP|679DMG|7BPWR|8RMIN|aRCR
35	66234 31332	2	   	269.35	DCR|4VULN|3DMG	1357VULN|2LIT|47BEXP|679DMG|7BPWR|8CGEN|aRCR
36	66123 31631	2	   	269.25	DCR|4VULN|3DMG|1NUKE	1478VULN|2LIT|37MLV|5NUKE|67aDMG|7BPWR|9RCR
37	15316 21362	7	 * 	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	17TLV|237DUR|49CDMG|5CGEN|678VULN|7BPWR|aRCR
38	66213 31431	2	   	269.05	DCR|4VULN|3DMG|1NUKE	1378VULN|2LIT|47ERES|5NUKE|67aDMG|7BPWR|9RCR
39	15331 52215	2	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE|1AART	1aTLV|2DUR|39aVULN|4aDMG|5NUKE|6RPLT|7AART|8RCR|aBPWR
40	66333 53333	10	 * 	266.94	DCR|4VULN|2DUR|1DMG	1689VULN|2LIT|38DUR|4DMG|5LWND|78FEWX|8BPWR|aRCR
41	13521 26121	7	   	266.76	DCR|3VULN|2DUR|2TLV|2CDMG|1ASPD	18TLV|2ERES|378VULN|4ASPD|59DUR|68CDMG|8BPWR|aRCR
42	13521 41121	7	   	266.76	DCR|3VULN|2DUR|2TLV|2CDMG|1ASPD	18TLV|2ERES|368VULN|4ASPD|59DUR|78CDMG|8BPWR|aRCR
43	13521 43121	6	   	266.76	DCR|3VULN|2DUR|2TLV|2CDMG|1ASPD	18TLV|2ERES|368VULN|4ASPD|59DUR|78CDMG|8BPWR|aRCR
44	65322 44714	6	   	266.71	DCR|3VULN|3DUR|2DMG	19aVULN|267DUR|3aLWND|4aDMG|5MBVNT|8RCR|aBPWR
45	11223 31232	1	   	266.57	DCR|3VULN|3DMG|2TLV|1NUKE	17TLV|2LIT|347VULN|5NUKE|679DMG|7BPWR|8RMIN|aRCR
46	11223 31332	1	   	266.57	DCR|3VULN|3DMG|2TLV|1NUKE	17TLV|2LIT|347VULN|5NUKE|679DMG|7BPWR|8CGEN|aRCR
47	66323 31232	2	   	266.57	DCR|3VULN|3DMG|2TLV|1NUKE	147VULN|2LIT|37TLV|5NUKE|679DMG|7BPWR|8RMIN|aRCR
48	66323 31332	2	   	266.57	DCR|3VULN|3DMG|2TLV|1NUKE	147VULN|2LIT|37TLV|5NUKE|679DMG|7BPWR|8CGEN|aRCR
49	11223 31432	1	   	266.47	DCR|3VULN|3DMG|2TLV|1NUKE	17TLV|2LIT|347VULN|5NUKE|679DMG|7BPWR|8ERES|aRCR
50	66323 31432	2	   	266.47	DCR|3VULN|3DMG|2TLV|1NUKE	147VULN|2LIT|37TLV|5NUKE|679DMG|7BPWR|8ERES|aRCR
51	16634 21312	8	   	265.35	DCR|4VULN|2DMG|2TLV	19TLV|2RMIN|37RPLT|4589VULN|69DMG|9BPWR|aRCR
52	16634 22312	6	   	265.35	DCR|4VULN|2DMG|2TLV	19TLV|2RMIN|3RPLT|4579VULN|69DMG|8RCVC|9BPWR|aRCR
53	15111 62513	2	   	264.88	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aDUR|3FEWX|4CDMG|5aDMG|6RCR|7LIT|8aVULN|9DMSP|aBPWR
54	66321 34231	2	   	264.56	DCR|4VULN|1DUR|1TLV|2LIT|1AART	149aVULN|29LIT|3TLV|5AART|6DUR|7RCR|89ERES|9BPWR
55	66322 24231	2	   	264.56	DCR|4VULN|1DUR|1TLV|2LIT|1AART	149aVULN|29LIT|3TLV|5DUR|6AART|7RCR|89ERES|9BPWR
56	63623 16311	8	   	264.34	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	179VULN|29MLV|36DMG|4ASPD|59DUR|8SELL|9BPWR|aRCR
57	15342 31432	2	   	263.70	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|24DUR|345VULN|4BPWR|6DMSP|7AART|8LIT|9RCR|aCDMG
58	11221 34162	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|2LIT|348VULN|5AART|69DUR|7RCR|aCDMG
59	11221 34632	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|2LIT|349VULN|5AART|68DUR|7RCR|aCDMG
60	11222 24162	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|2LIT|348VULN|59DUR|6AART|7RCR|aCDMG
61	11222 24632	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|2LIT|349VULN|58DUR|6AART|7RCR|aCDMG
62	14312 21432	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1TLV|235VULN|46DUR|7AART|8LIT|9RCR|aCDMG
63	63152 21432	1	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	125VULN|2BPWR|36DUR|4TLV|7AART|8LIT|9RCR|aCDMG
64	14352 84241	1	 * 	263.29	DCR|5VULN|1DMG|1TLV	1TLV|23567VULN|4MBVNT|8RCR|9LHND|aDMG
65	14352 84231	1	   	263.19	DCR|5VULN|1DMG|1TLV	1TLV|23567VULN|4MBVNT|8RCR|9LEGI|aDMG
66	61421 21334	5	 * 	263.14	DCR|3VULN|2DMG|3ASPD|1AART	139VULN|2FEWX|489ASPD|5AART|6BELT|79DMG|9BPWR|aRCR
67	63331 52215	3	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	19aVULN|2MLV|3aDUR|4aDMG|5NUKE|6RPLT|7AART|8RCR|aBPWR
68	15312 66312	4	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|5MLV|678VULN|7BPWR|9RCVC|aRCR
69	15315 51322	7	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|589VULN|67CGEN|7BPWR|aRCR
70	15316 21163	9	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|5CGEN|67aVULN|7BPWR|8RMIN|9RCR
71	15316 21312	7	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|5CGEN|678VULN|7BPWR|9RCVC|aRCR
72	15316 21332	7	   	262.77	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|237DUR|4CDMG|59CGEN|678VULN|7BPWR|aRCR
73	64522 33232	2	   	262.76	DCR|3VULN|3DMG|1DUR	148VULN|2ZMB|3LIT|569DMG|7DUR|aRCR
74	66262 33232	2	   	262.76	DCR|3VULN|3DMG|1DUR	138VULN|2LIT|4ZMB|569DMG|7DUR|aRCR
75	63332 63411	1	 * 	262.67	DCR|4VULN|2ASPD|1DMG|1CDMG	1269VULN|29BPWR|3CDMG|49ASPD|5MLV|7DMG|89LHND|aRCR
76	66213 31632	2	   	262.66	DCR|3VULN|3DMG|1TLV|1NUKE	137VULN|2LIT|47ERES|5NUKE|679DMG|7BPWR|8TLV|aRCR
77	13231 26222	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2ERES|3ASPD|479VULN|5DUR|6CDMG|8RCR|aDMG
78	13521 26222	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2ERES|379VULN|4ASPD|5DUR|6CDMG|8RCR|aDMG
79	13231 41222	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2ERES|3ASPD|469VULN|5DUR|7CDMG|8RCR|aDMG
80	13521 41222	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2ERES|369VULN|4ASPD|5DUR|7CDMG|8RCR|aDMG
81	63356 21112	2	 * 	262.00	DCR|3VULN|2DUR|3CDMG|1DMG	139VULN|28MLV|479CDMG|59DUR|6RCR|9BPWR|aDMG
