0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23311 62663	7	 * 	272.47	DCR|3VULN|2DMG|2ASPD|2LIT|1CDMG	19LIT|2RPLT|346VULN|59ASPD|7RCR|89DMG|9BPWR|aCDMG
19	63324 11161	10	 * 	259.79	DCR|4VULN|2DUR|2ASPD	1RCVC|28FEWX|34DUR|5789VULN|68ASPD|8BPWR|aRCR
20	23311 62625	7	   	258.82	DCR|3VULN|2DMG|2ASPD|2LIT	1aLIT|2RPLT|346VULN|5aASPD|7RCR|8aDMG|9RMIN|aBPWR
21	23311 62661	7	   	258.82	DCR|3VULN|2DMG|2ASPD|2LIT	19LIT|2RPLT|346VULN|59ASPD|7RCR|89DMG|9BPWR|aDMSP
22	23311 62662	7	   	258.82	DCR|3VULN|2DMG|2ASPD|2LIT	19LIT|2RPLT|346VULN|59ASPD|7RCR|89DMG|9BPWR|aLWND
23	14216 12521	3	 * 	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2LIT|3CDMG|49aVULN|5DMG|68DUR|7RCR
24	14236 12521	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LHND|2LIT|3CDMG|49aVULN|5DMG|68DUR|7RCR
25	24216 12521	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2LHND|3CDMG|49aVULN|5DMG|68DUR|7RCR
26	24236 12521	4	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2LHND|3CDMG|49aVULN|5DMG|68DUR|7RCR
27	26216 12521	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2LWND|3CDMG|49aVULN|5DMG|68DUR|7RCR
28	34216 12521	3	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|2LIT|3CDMG|49aVULN|5DMG|68DUR|7RCR
29	23311 62251	9	   	257.68	DCR|4VULN|2DUR|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|89DUR
30	66312 16132	3	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1RCVC|2TLV|3489VULN|5TBNT|6RCR|7CDMG|aDMG
31	23311 63611	8	 * 	256.60	DCR|5VULN|2ASPD	1LIT|2RPLT|3467aVULN|59ASPD|8RCR
32	22532 14612	5	 * 	255.86	DCR|4VULN|2TLV|2LIT|1CDMG|1SELL	19LIT|2SELL|3479VULN|5DUST|6CDMG|89TLV|9BPWR|aRCR
33	36211 12165	3	 * 	255.76	DCR|2VULN|3DMG|3DUR	189LWND|2LHND|389DUR|4aVULN|5MLV|6RCR|789DMG|89BPWR
34	15423 25213	10	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1LHND|28DUR|3TLV|45aVULN|6CDMG|7AART|9RCR
35	23316 13265	6	   	255.02	DCR|3VULN|3DUR|2LIT|1ASPD	19LIT|25RPLT|349VULN|689DUR|7RCR|9BPWR|aASPD
36	11525 12136	2	   	254.85	DCR|3VULN|3DMG|1DUR	18aLHND|2RMIN|38aVULN|4BEXP|5DUR|6RCR|78aDMG|8aBPWR|9BELT
37	11525 12162	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aFEWX
38	11525 12163	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aZMB
39	11535 12162	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4FEWX|5DUR|6RCR|789DMG|89BPWR|aBEXP
40	11535 12163	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4FEWX|5DUR|6RCR|789DMG|89BPWR|aZMB
41	31525 12163	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LWND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aFEWX
42	31535 12163	1	   	254.75	DCR|3VULN|3DMG|1DUR	189LWND|2ERES|389VULN|4aFEWX|5DUR|6RCR|789DMG|89BPWR
43	11525 12161	1	   	254.65	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aBBNT
44	11535 12161	1	   	254.65	DCR|3VULN|3DMG|1DUR	189LHND|2ERES|389VULN|4FEWX|5DUR|6RCR|789DMG|89BPWR|aBBNT
45	41533 12163	1	   	254.65	DCR|3VULN|3DMG|1DUR	189BEXP|2ERES|389VULN|4DUST|5LWND|6RCR|789DMG|89BPWR|aDUR
46	31525 12161	1	   	254.51	DCR|3VULN|3DMG|1DUR|1SELL	189LWND|2ERES|389VULN|4BEXP|5DUR|6RCR|789DMG|89BPWR|aSELL
47	31535 12161	1	   	254.51	DCR|3VULN|3DMG|1DUR|1SELL	189LWND|2ERES|389VULN|4FEWX|5DUR|6RCR|789DMG|89BPWR|aSELL
48	23311 62231	10	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2RPLT|346VULN|5ASPD|7RCR|8DUR|9CDMG|aDMG
49	66312 16112	3	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1RCVC|2TLV|348aVULN|5TBNT|6RCR|7CDMG|9DUR
50	23316 13425	6	   	253.43	DCR|4VULN|2DUR|2LIT	1aLIT|25RPLT|349aVULN|6aDUR|7RCR|8RMIN|aBPWR
51	53511 31216	1	 * 	253.28	DCR|3VULN|2DMG|2DUR	1CGEN|25DUR|38aVULN|49DMG|6RCR|7TBNT
52	22231 13561	10	   	252.98	DCR|4VULN|2ASPD|2LIT|1AART|2SELL	1aLIT|23SELL|478aVULN|5aASPD|6AART|9RCR|aBPWR
53	22231 63261	10	   	252.98	DCR|4VULN|2ASPD|2LIT|1AART|2SELL	1aLIT|23SELL|467aVULN|5aASPD|8AART|9RCR|aBPWR
54	23311 15156	5	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1LIT|2RPLT|347aVULN|5ASPD|6AART|8DUR|9RCR
55	23311 15156	6	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1LIT|2RPLT|347aVULN|5ASPD|6AART|8DUR|9RCR
56	23311 62216	9	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aAART
57	23311 62226	7	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aAART
58	23311 62226	8	   	252.76	DCR|4VULN|1DUR|1ASPD|1AART	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DUR|aAART
59	23131 56431	10	   	252.50	DCR|4VULN|1TLV|2LIT|1CDMG	17LIT|2RPLT|3CDMG|47LHND|5789VULN|6RCR|7BPWR|aTLV
60	23316 32211	9	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|25RPLT|349aVULN|6DMG|7RCR|8DUR
61	23316 32221	8	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|25RPLT|349aVULN|6DMG|7RCR|8DUR
62	23316 32221	7	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|25RPLT|349aVULN|6DMG|7RCR|8DUR
63	41533 12162	1	   	252.05	DCR|3VULN|3DMG|1CDMG	189BEXP|2ERES|389VULN|4DUST|5LWND|6RCR|789DMG|89BPWR|aCDMG
64	15621 53213	4	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|26DUR|3RMIN|468VULN|5BBNT|6BPWR|7TLV|9DMG|aRCR
65	35221 12166	3	   	252.00	DCR|4VULN|3DUR	189LWND|289DUR|3CGEN|4BEXP|589aVULN|6RCR|7RMIN|89BPWR
66	43317 31144	7	   	251.90	DCR|4VULN|3DUR	18aBEXP|2LWND|3MBVNT|4RCVC|58aDUR|6RCR|789aVULN|8aBPWR
67	43321 31166	7	   	251.90	DCR|4VULN|3DUR	158BEXP|29LWND|3MBVNT|489DUR|6RCR|789aVULN|89BPWR
68	43326 31144	7	   	251.90	DCR|4VULN|3DUR	18aBEXP|25LWND|3MBVNT|48aDUR|6RCR|789aVULN|8aBPWR
69	43377 31144	7	   	251.90	DCR|4VULN|3DUR	18aBEXP|2LWND|3MBVNT|4DMSP|58aDUR|6RCR|789aVULN|8aBPWR
70	45231 12163	3	   	251.90	DCR|4VULN|3DUR	189BEXP|289DUR|3CGEN|4DUST|589aVULN|6RCR|7RMIN|89BPWR
71	35344 31166	7	   	251.70	DCR|4VULN|3DUR	158LWND|289DUR|3MBVNT|4LEGI|6RCR|789aVULN|89BPWR
72	23316 14433	10	   	251.63	DCR|5VULN|1DUR	1LIT|25RPLT|34789VULN|6DUR|aRCR
73	23131 56611	10	   	251.26	DCR|3VULN|2DMG|2LIT|1CDMG	17LIT|2RPLT|3CDMG|47LHND|579VULN|6RCR|7BPWR|8aDMG
74	23216 52261	8	   	251.26	DCR|3VULN|2DMG|2LIT|1CDMG	19LIT|2RPLT|3LHND|49aVULN|5CDMG|6RCR|7CGEN|89DMG|9BPWR
75	35522 32411	10	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|27DUR|3LIT|4aDMG|5TLV|6RCR|89VULN
76	35338 31173	7	 * 	250.87	ACR|3VULN|3DUR|2DMG|1TLV	189LWND|289DUR|3MBVNT|4TLV|5RCR|6aDMG|789VULN|89BPWR
77	22536 53212	8	   	250.82	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG|1SELL	19LIT|2SELL|349VULN|5RMIN|6TLV|7CDMG|89ASPD|9BPWR|aRCR
78	23215 52413	7	   	250.75	DCR|3VULN|2DUR|1DMG|2LIT	1aLIT|2RPLT|3LHND|47aVULN|5DMG|6ERES|8RCR|9aDUR|aBPWR
79	64121 15133	9	   	250.37	DCR|3VULN|3DUR|2ASPD	1RCVC|268DUR|38ASPD|4MLV|5ZMB|789VULN|8BPWR|aRCR
80	23311 16262	9	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1LIT|2RPLT|34aVULN|5ASPD|6AART|7DMG|8DUR|9RCR
81	23131 56612	9	   	249.92	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	17LIT|2RPLT|3CDMG|47LHND|579VULN|6RCR|7BPWR|8DMG|aDUR
82	22624 14213	3	   	249.81	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1LIT|2SELL|36DUR|4AART|569VULN|6BPWR|7RCR|8DMSP|aTLV
83	22531 52121	9	   	249.60	DCR|4VULN|1TLV|2LIT|1ASPD|1SELL	19LIT|2SELL|349aVULN|5ASPD|6TLV|79CGEN|8RCR|9BPWR
84	22531 52151	8	   	249.60	DCR|4VULN|1TLV|2LIT|1ASPD|1SELL	19LIT|2SELL|349aVULN|5ASPD|6TLV|79CGEN|8RCR|9BPWR
85	35121 12163	4	 * 	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3LHND|4CGEN|589VULN|6RCR|7RMIN|89BPWR|aDMG
86	35123 12163	5	   	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3LHND|4CGEN|589VULN|6RCR|7RMIN|89BPWR|aDMG
87	35211 12163	4	   	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3CGEN|4LHND|589VULN|6RCR|7RMIN|89BPWR|aDMG
88	35213 12163	5	   	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3CGEN|4LHND|589VULN|6RCR|7RMIN|89BPWR|aDMG
89	35221 12163	3	   	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3CGEN|4BEXP|589VULN|6RCR|7RMIN|89BPWR|aDMG
90	35241 12163	4	   	249.42	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3CGEN|4BEXP|589VULN|6RCR|7RMIN|89BPWR|aDMG
91	22531 51121	9	   	249.40	DCR|4VULN|1TLV|2LIT|1ASPD|1SELL	19LIT|2SELL|349aVULN|5ASPD|6TLV|79ERES|8RCR|9BPWR
92	22531 51151	8	   	249.40	DCR|4VULN|1TLV|2LIT|1ASPD|1SELL	19LIT|2SELL|349aVULN|5ASPD|6TLV|79ERES|8RCR|9BPWR
93	64233 35132	9	   	249.33	DCR|2VULN|3DUR|3ASPD|1TLV	1RCVC|268DUR|35LHND|458ASPD|58BPWR|78VULN|9TLV|aRCR
94	35251 12163	4	   	249.32	DCR|3VULN|3DUR|1DMG	189LWND|289DUR|3CGEN|4DUST|589VULN|6RCR|7RMIN|89BPWR|aDMG
95	53112 41116	10	   	249.31	DCR|3VULN|3DMG|1ASPD	168CGEN|289DMG|3ASPD|4DUST|578VULN|8BPWR|aRCR
96	15124 32213	7	   	249.22	DCR|3VULN|3DUR|1DMG	137LHND|267DUR|4RCVC|578VULN|7BPWR|9DMG|aRCR
97	15164 32213	7	   	249.22	DCR|3VULN|3DUR|1DMG	137LHND|267DUR|4DMSP|578VULN|7BPWR|9DMG|aRCR
98	64224 32213	7	   	249.22	DCR|3VULN|3DUR|1DMG	14RCVC|267DUR|37LHND|578VULN|7BPWR|9DMG|aRCR
99	35344 31163	7	   	249.12	DCR|3VULN|3DUR|1DMG	158LWND|289DUR|3MBVNT|4LEGI|6RCR|789VULN|89BPWR|aDMG
100	63324 31223	8	 * 	249.12	DCR|3VULN|3DUR|2CDMG	1RCVC|28FEWX|346DUR|58aVULN|78CDMG|8BPWR|9RCR
101	63324 24213	5	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|2FEWX|347DUR|568VULN|9DMG|aRCR
102	64334 32213	7	   	249.02	DCR|3VULN|3DUR|1DMG	13RCVC|267DUR|4LEGI|578VULN|7BPWR|9DMG|aRCR
103	61238 16133	9	   	249.02	DCR|3VULN|3DUR|2TLV	1RCVC|2DMSP|3MBVNT|458DUR|68TLV|789VULN|8BPWR|aRCR
104	61238 16143	8	   	249.02	DCR|3VULN|3DUR|2TLV	1RCVC|2DMSP|3MBVNT|458DUR|68TLV|789VULN|8BPWR|aRCR
105	62333 24213	1	   	249.02	DCR|3VULN|3DUR|1DMG	1RCVC|268VULN|347DUR|5FEWX|9DMG|aRCR
106	62431 24213	1	   	248.92	DCR|3VULN|3DUR|1DMG	1RCVC|268VULN|3LEGI|457DUR|9DMG|aRCR
107	65324 31223	8	   	248.92	DCR|3VULN|3DUR|2CDMG	1RCVC|28DUST|346DUR|58aVULN|78CDMG|8BPWR|9RCR
108	66331 11161	10	 * 	248.81	DCR|4VULN|2ASPD|2TLV	1RCVC|28TLV|3789VULN|4LEGI|5RMIN|68ASPD|8BPWR|aRCR
109	14231 14521	6	   	248.69	DCR|3VULN|2DUR|1CDMG|1ASPD	1LHND|2LIT|3CDMG|49aVULN|5ASPD|68DUR|7RCR
110	14231 14521	5	   	248.69	DCR|3VULN|2DUR|1CDMG|1ASPD	1LHND|2LIT|3CDMG|49aVULN|5ASPD|68DUR|7RCR
111	24231 14521	6	   	248.69	DCR|3VULN|2DUR|1CDMG|1ASPD	1LIT|2LHND|3CDMG|49aVULN|5ASPD|68DUR|7RCR
112	24231 14521	5	   	248.69	DCR|3VULN|2DUR|1CDMG|1ASPD	1LIT|2LHND|3CDMG|49aVULN|5ASPD|68DUR|7RCR
113	21223 45323	1	   	248.53	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2DUST|3aVULN|4aDMG|5LHND|6aDUR|7CDMG|8CGEN|9RCR|aBPWR
114	21263 45323	2	   	248.53	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2BEXP|3aDMG|4aVULN|5LWND|6aDUR|7CDMG|8ERES|9RCR|aBPWR
115	22224 45323	1	   	248.53	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|2LWND|3aVULN|4aDMG|5FEWX|6aDUR|7CDMG|8ERES|9RCR|aBPWR
116	23623 16224	6	   	248.35	DCR|4VULN|1DUR|1TLV	1LIT|2RPLT|3TLV|4LHND|5679VULN|8DUR|aRCR
117	23633 16224	6	   	248.35	DCR|4VULN|1DUR|1TLV	1LIT|2RPLT|3TLV|4BEXP|5679VULN|8DUR|aRCR
118	43335 12163	1	 * 	247.71	DCR|2VULN|3DMG|3TLV|1DUR	189BEXP|2aVULN|389TLV|4DUST|5DUR|6RCR|789DMG|89BPWR
119	22433 35623	1	   	247.29	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG	1LIT|2LWND|3aDUR|4aVULN|5TLV|6aBEXP|7CDMG|8DMG|9RCR|aBPWR
120	23131 56413	8	   	247.25	DCR|4VULN|2LIT|1CDMG|1ASPD	17LIT|2RPLT|3CDMG|47LHND|5789VULN|6RCR|7BPWR|aASPD
121	23131 56433	9	   	247.25	DCR|4VULN|2LIT|1CDMG|1ASPD	17LIT|2RPLT|3CDMG|47LHND|5789VULN|6RCR|7BPWR|aASPD
122	33354 22163	7	 * 	247.24	DCR|5VULN|3TLV	127LWND|3RCVC|4579aVULN|679TLV|79BPWR|8RCR
123	26224 14213	3	   	247.19	DCR|3VULN|2AART|1TLV|2LIT|1CDMG	16LIT|2LWND|3CDMG|48AART|569VULN|6BPWR|7RCR|aTLV
124	13541 32361	8	   	247.04	DCR|3VULN|2DUR|1TLV|2LIT	19LHND|2LWND|39LIT|4TLV|58aVULN|69DUR|7RCR|9BPWR
125	23363 26413	4	   	247.04	DCR|3VULN|2DUR|1TLV|2LIT	1aLIT|2RPLT|37aVULN|4RMIN|5TLV|6LHND|8RCR|9aDUR|aBPWR
126	23363 36413	4	   	247.04	DCR|3VULN|2DUR|1TLV|2LIT	1aLIT|2RPLT|37aVULN|4RMIN|5TLV|6LWND|8RCR|9aDUR|aBPWR
127	23311 12421	4	 * 	246.94	DCR|5VULN|3LIT	178LIT|2RPLT|3467aVULN|5TBNT|7BPWR|9RCR
128	23316 13162	6	   	246.94	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|25RPLT|349VULN|69DUR|7RCR|8TBNT|9BPWR|aTLV
129	22531 53112	7	   	246.93	DCR|3VULN|2CDMG|1TLV|2LIT|1ASPD|1SELL	19LIT|2SELL|349VULN|5ASPD|6TLV|79CDMG|8RMIN|9BPWR|aRCR
130	22314 52222	2	   	246.92	DCR|3VULN|2DMG|2LIT|1AART|1SELL	19LIT|2SELL|349VULN|59DMG|6RPLT|7AART|8BBNT|9BPWR|aRCR
131	22514 52222	3	   	246.92	DCR|3VULN|2DMG|2LIT|1AART|1SELL	19LIT|2SELL|349VULN|59DMG|6RPLT|7AART|8BBNT|9BPWR|aRCR
132	22534 52222	4	   	246.92	DCR|3VULN|2DMG|2LIT|1AART|1SELL	19LIT|2SELL|349VULN|59DMG|6RPLT|7AART|8BBNT|9BPWR|aRCR
133	23311 62315	10	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8BEXP|aDMG
134	23311 62621	7	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|346aVULN|5ASPD|7RCR|8DMG|9RMIN
135	23311 62641	7	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DMG|aDMSP
136	23311 62642	7	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|3469VULN|5ASPD|7RCR|8DMG|aLWND
137	23355 11125	3	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|369aVULN|4BELT|5ASPD|7DMG|8RCR
138	23362 11125	3	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|369aVULN|4ASPD|5BELT|7DMG|8RCR
139	23362 61125	3	   	246.91	DCR|4VULN|1DMG|1ASPD	1LIT|2RPLT|379aVULN|4ASPD|5BELT|6DMG|8RCR
140	33114 12552	7	   	246.77	DCR|3VULN|3ASPD|2DUR	127LWND|367ASPD|4RMIN|579VULN|79BPWR|89DUR|aRCR
141	53511 26111	1	   	246.70	DCR|3VULN|2DUR|1DMG|1ASPD	1CGEN|25DUR|367VULN|4DMG|8DUST|9RCR|aASPD
142	22313 51285	2	   	246.69	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	19LIT|2SELL|349VULN|5TLV|6MBVNT|7FEWX|89DUR|9BPWR|aRCR
143	23532 44844	8	   	246.69	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1aLIT|2RPLT|3MBVNT|4SELL|5TLV|6aDUR|79aVULN|8RCR|aBPWR
144	23313 42521	4	   	246.68	DCR|4VULN|2DUR	1LIT|2RPLT|349aVULN|58DUR|6CGEN|7RCR
145	35522 32311	8	   	246.67	DCR|2VULN|3DUR|1DMG|1TLV	1LWND|278DUR|3LIT|4DMG|5TLV|6RCR|9aVULN
146	45522 32311	8	   	246.67	DCR|2VULN|3DUR|1DMG|1TLV	1BEXP|278DUR|3LIT|4DMG|5TLV|6RCR|9aVULN
147	35522 32412	9	   	246.67	DCR|2VULN|3DUR|1DMG|1TLV	1LWND|27aDUR|3LIT|4DMG|5TLV|6RCR|89VULN
148	62222 16338	1	   	246.61	DCR|3VULN|2DUR|2ASPD|1AART	1RCVC|23aVULN|3aBPWR|4TBNT|5aASPD|6RCR|7MBVNT|8AART|9aDUR
149	62222 36328	1	   	246.61	DCR|3VULN|2DUR|2ASPD|1AART	1RCVC|23aVULN|3aBPWR|4TBNT|5aASPD|6aDUR|7MBVNT|8AART|9RCR
150	23311 62311	9	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8BEXP
151	23311 62316	10	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8BEXP
152	23311 62321	7	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8FEWX
153	23311 62321	8	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3469aVULN|5ASPD|7RCR|8BEXP
154	23311 63161	7	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8BEXP|9RCR
155	23311 63611	9	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9LHND
156	23311 63621	8	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9LWND
157	23311 63625	10	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9MLV
158	23311 63641	9	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9BEXP
159	23311 63641	8	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9BEXP
160	23311 63651	9	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9FEWX
161	23311 63661	8	   	246.39	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9LHND
162	23311 63631	8	   	246.29	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9DUST
163	23311 63661	9	   	246.29	DCR|5VULN|1ASPD	1LIT|2RPLT|3467aVULN|5ASPD|8RCR|9DUST
164	63116 11531	3	   	245.77	DCR|3VULN|2ASPD|1DUR|1CDMG|1AART	1RCVC|2FEWX|35ASPD|456VULN|5BPWR|7DUR|8AART|9RCR|aCDMG
165	14233 36421	6	   	245.75	DCR|4VULN|1DUR|1CDMG	1LHND|2LIT|3CDMG|479aVULN|5CGEN|6RCR|8DUR
166	24233 36421	6	   	245.75	DCR|4VULN|1DUR|1CDMG	1LIT|2LHND|3CDMG|479aVULN|5CGEN|6RCR|8DUR
167	23313 63156	2	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	13LIT|2RPLT|48aVULN|5DUR|6AART|7DMG|9RCR
168	23313 63156	3	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	14LIT|2RPLT|38aVULN|5DUR|6AART|7DMG|9RCR
169	23313 63151	4	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	1aLIT|2RPLT|348VULN|5DUR|6AART|7DMG|9RCR
170	23313 63356	4	   	245.73	DCR|3VULN|1DMG|1DUR|2LIT|1AART	18LIT|2RPLT|34aVULN|5DUR|6AART|7DMG|9RCR
171	23312 63156	4	   	245.57	DCR|4VULN|1DMG|1AART	1LIT|2RPLT|348aVULN|5FEWX|6AART|7DMG|9RCR
172	23312 63156	5	   	245.57	DCR|4VULN|1DMG|1AART	1LIT|2RPLT|348aVULN|5FEWX|6AART|7DMG|9RCR
173	23311 52663	7	   	245.56	DCR|2VULN|2DMG|2ASPD|2LIT|1CDMG	19LIT|2RPLT|34VULN|59ASPD|6RCVC|7RCR|89DMG|9BPWR|aCDMG
174	22616 23121	3	   	245.42	DCR|3VULN|1DMG|1TLV|1DUR|1SELL	1LIT|2SELL|3DUR|49aVULN|5DMG|6ERES|7RCR|8TLV
