0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21232 14662	1	 * 	289.75	DCR|3VULN|2DMG|2DUR|2ASPD|2LIT|1NUKE	17aVULN|27ASPD|3NUKE|4aLIT|5LWND|67DMG|7aBPWR|8aDUR|9RCR
22	23333 43141	1	 * 	278.40	DCR|4VULN|2DUR|1DMG|2CDMG	1289VULN|3ERES|49CDMG|5MBVNT|6RCR|79DUR|9BPWR|aDMG
23	24633 43141	2	   	278.40	DCR|4VULN|2DUR|1DMG|2CDMG	1389VULN|2ERES|49CDMG|5MBVNT|6RCR|79DUR|9BPWR|aDMG
24	61615 13133	4	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2TLV|39DUR|459VULN|6BBNT|7RCR|8RMIN|9BPWR|aLIT
25	23232 13272	1	   	277.44	DCR|3VULN|3DMG|2DUR	12aVULN|3aDUR|4LIT|5LWND|68aDMG|7MBVNT|9RCR|aBPWR
26	22235 13434	4	   	276.16	DCR|4VULN|2DMG|2TLV|1ASPD	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aASPD
27	23232 14624	1	   	275.12	DCR|3VULN|3DUR|2DMG	127VULN|378DUR|4LIT|5LWND|67DMG|7BPWR|9FEWX|aRCR
28	23232 14634	1	   	275.12	DCR|3VULN|3DUR|2DMG	127VULN|378DUR|4LIT|5LWND|67DMG|7BPWR|9BEXP|aRCR
29	23232 14614	1	   	275.02	DCR|3VULN|3DUR|2DMG	127VULN|378DUR|4LIT|5LWND|67DMG|7BPWR|9DUST|aRCR
30	23412 16161	3	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	178aVULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9AART
31	22235 13435	4	   	274.81	DCR|4VULN|2DMG|2TLV|1AART	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aAART
32	23542 26232	2	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1459VULN|2BELT|34DUR|4BPWR|6DUST|7RCR|8TLV|aDMG
33	61233 32542	2	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1DMG|2TLV|37DUR|4LIT|5CDMG|6RCR|89aVULN
34	24531 32126	6	   	273.83	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	14aVULN|2ERES|3aDUR|5AART|6LIT|7DMG|8RCR|9aCDMG|aBPWR
35	23421 23441	7	 * 	273.75	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|2BELT|3aDMG|47DUR|5RMIN|67LHND|7aBPWR|8aCDMG|9RCR
36	23421 33441	7	   	273.75	DCR|3VULN|2DMG|2DUR|2CDMG	17aVULN|2BELT|3aDMG|47DUR|5RMIN|67BEXP|7aBPWR|8aCDMG|9RCR
37	23223 35441	4	   	273.65	DCR|3VULN|2DMG|2DUR|2CDMG	16aVULN|2BELT|3ZMB|4aDUR|56DMG|6aBPWR|7LHND|8aCDMG|9RCR
38	23223 31441	4	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	16aVULN|2BELT|3ZMB|4aDUR|56DMG|6aBPWR|7DUST|8aCDMG|9RCR
39	22235 13431	4	   	273.46	DCR|4VULN|2DMG|2TLV	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aLIT
40	22245 13431	3	   	273.46	DCR|4VULN|2DMG|2TLV	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aLIT
41	22366 13431	3	   	273.46	DCR|4VULN|2DMG|2TLV	1389VULN|2DUST|4BBNT|59TLV|69DMG|7RCR|9BPWR|aLIT
42	22426 13431	2	   	273.46	DCR|4VULN|2DMG|2TLV	1489VULN|2DUST|3BBNT|59TLV|69DMG|7RCR|9BPWR|aLIT
43	22143 23615	4	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	18aVULN|28DUST|3aTLV|4LWND|5BBNT|6RCR|78DMG|8aBPWR|9aDUR
44	22163 23615	4	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	18aVULN|28DUST|3aTLV|4LHND|5BBNT|6RCR|78DMG|8aBPWR|9aDUR
45	23231 42233	1	   	273.02	DCR|3VULN|2DMG|1TLV|1DUR|1AART	126VULN|3DUR|4LIT|5AART|7RCR|8TLV|9aDMG
46	23231 42244	1	   	272.79	DCR|4VULN|2DUR|1TLV|1AART	126aVULN|3aDUR|4LIT|5AART|7RCR|8TLV|9aLWND|aBPWR
47	22315 13512	6	 * 	272.77	DCR|5VULN|2DUR|2LIT|1NUKE	1345aVULN|25DUST|5aBPWR|6RCR|7aDUR|8NUKE|9aLIT
48	22315 14512	7	   	272.77	DCR|5VULN|2DUR|2LIT|1NUKE	1345aVULN|25DUST|5aBPWR|6RCR|7aDUR|8NUKE|9aLIT
49	22315 16512	6	   	272.77	DCR|5VULN|2DUR|2LIT|1NUKE	1345aVULN|25DUST|5aBPWR|6RCR|7NUKE|8aDUR|9aLIT
50	23231 42224	1	   	272.59	DCR|4VULN|2DUR|1TLV|1AART	126aVULN|3aDUR|4LIT|5AART|7RCR|8TLV|9aDUST|aBPWR
51	24531 32143	6	   	272.42	DCR|3VULN|3DMG|1DUR|1AART	149VULN|29ERES|3DUR|5AART|6LIT|79aDMG|8RCR|9BPWR
52	23231 12145	1	   	271.55	DCR|3VULN|2DMG|2DUR|1AART	129VULN|39DUR|4LIT|5AART|6CGEN|79DMG|8RCR|9BPWR|aLWND
53	22315 14312	8	   	271.46	DCR|5VULN|2DUR|1CDMG	13458VULN|25DUST|5BPWR|6RCR|79DUR|aCDMG
54	24531 32141	6	   	271.35	DCR|3VULN|2DMG|2DUR|1AART	149VULN|29ERES|3aDUR|5AART|6LIT|79DMG|8RCR|9BPWR
55	23412 16142	3	 * 	271.29	DCR|4VULN|2DMG|3CDMG	178aVULN|2BELT|37DMG|47aCDMG|5BBNT|6RCR|7aBPWR|9aERES
56	22315 14316	8	 * 	271.04	DCR|5VULN|3DUR	13458VULN|25DUST|5BPWR|6RCR|79aDUR
57	23435 13141	7	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	14aVULN|2BELT|3DMG|5aASPD|6BEXP|7CDMG|8aDUR|9RCR|aBPWR
58	23231 42231	1	   	270.01	DCR|3VULN|2DUR|1DMG|1TLV|1AART	126VULN|3aDUR|4LIT|5AART|7RCR|8TLV|9DMG
59	25322 15611	5	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	179VULN|2DMSP|37LIT|4MBVNT|57DMG|6RCR|7BPWR|8TLV|aDUR
60	63632 16323	8	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	19DMG|2CDMG|3467VULN|5MLV|8RCR|aASPD
61	22233 42626	4	   	269.77	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	18aVULN|2DUST|3aDMG|4TLV|5AART|6LHND|7RCR|9aASPD|aBPWR
62	61615 13131	4	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2TLV|39DUR|459VULN|6BBNT|7RCR|8RMIN|9BPWR|aLWND
63	61611 31532	6	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2TLV|39DUR|489VULN|5MBVNT|6DMSP|7BBNT|9BPWR|aRCR
64	61615 13132	4	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2TLV|39DUR|459VULN|6BBNT|7RCR|8RMIN|9BPWR|aERES
65	23132 14235	1	   	269.45	DCR|4VULN|3DMG	127aVULN|37aBEXP|4LIT|5LWND|67aDMG|7aBPWR|8BBNT|9RCR
66	22232 13431	4	   	269.17	DCR|3VULN|3DMG|2TLV|1ASPD	189VULN|2DUST|359DMG|49TLV|6BBNT|7RCR|9BPWR|aASPD
67	22242 13431	3	   	269.17	DCR|3VULN|3DMG|2TLV|1ASPD	189VULN|2DUST|359DMG|49TLV|6BBNT|7RCR|9BPWR|aASPD
68	22313 26422	8	   	269.15	DCR|4VULN|3DMG	134aVULN|2aDUST|5BEXP|6RCR|7LIT|89aDMG|aBPWR
69	22314 26422	8	   	269.15	DCR|4VULN|3DMG	134aVULN|2aDUST|5FEWX|6RCR|7LIT|89aDMG|aBPWR
70	22332 14235	3	   	269.15	DCR|4VULN|3DMG	137aVULN|27aDUST|4LIT|5LWND|67aDMG|7aBPWR|8BBNT|9RCR
71	22332 14235	4	   	269.15	DCR|4VULN|3DMG	137aVULN|27aDUST|4LIT|5LWND|67aDMG|7aBPWR|8BBNT|9RCR
72	22333 14235	5	   	269.15	DCR|4VULN|3DMG	137aVULN|27aDUST|4LIT|5LWND|67aDMG|7aBPWR|8BBNT|9RCR
73	22334 14235	5	   	269.15	DCR|4VULN|3DMG	137aVULN|27aDUST|4LIT|5FEWX|67aDMG|7aBPWR|8BBNT|9RCR
74	22532 14235	2	   	269.15	DCR|4VULN|3DMG	137aVULN|27aDUST|4LIT|5LWND|67aDMG|7aBPWR|8BBNT|9RCR
75	23333 43647	1	 * 	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	129VULN|3ERES|49CDMG|5MBVNT|6RCR|789DUR|9BPWR|aDMG
76	22223 24141	3	   	268.94	DCR|3VULN|3DMG|2DUR	14aVULN|25DUST|357DMG|5BPWR|69DUR|8RCR
77	22243 13433	2	 * 	268.78	DCR|4VULN|2ASPD|2TLV|1DMG	1589VULN|2DUST|39ASPD|49TLV|6BBNT|7RCR|9BPWR|aDMG
78	23643 52321	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1235VULN|4DUR|6ASPD|7DMG|8RCR|9BEXP|aCDMG
79	23643 52331	1	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1235VULN|4DUR|6ASPD|7DMG|8RCR|9LWND|aCDMG
80	25322 78122	5	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	16aVULN|2DMSP|37LIT|4MBVNT|5aDMG|8RCR|9aDUR|aBPWR
81	22332 22442	9	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	13aVULN|2DUST|4aLIT|56DMG|7BEXP|8aDUR|9RCR|aBPWR
82	22332 23442	9	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	13aVULN|2DUST|4aLIT|56DMG|7LWND|8aDUR|9RCR|aBPWR
83	25322 15131	5	 * 	267.93	DCR|3VULN|3DMG|3LIT|1AART	17aVULN|2DMSP|37aLIT|4MBVNT|579DMG|6RCR|7aBPWR|8AART
84	25322 15274	5	   	267.93	DCR|3VULN|3DMG|3LIT|1AART	179VULN|2DMSP|379LIT|4MBVNT|579DMG|6RCR|79BPWR|8BBNT|aAART
85	22315 16116	10	   	267.78	DCR|5VULN|1DUR|1TLV	13458VULN|25DUST|5BPWR|6RCR|7LIT|9DUR|aTLV
86	23231 42333	1	   	267.77	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	126VULN|3DUR|4LIT|5AART|7RCR|8ASPD|9aDMG
87	23411 43141	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	16aVULN|2BELT|3aDMG|4FEWX|5RMIN|7CDMG|8aDUR|9RCR|aBPWR
88	23431 53141	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	14aVULN|2BELT|3aDMG|5LWND|6RMIN|7CDMG|8aDUR|9RCR|aBPWR
89	23254 13141	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	15aVULN|2BELT|3ZMB|4aDMG|6BEXP|7CDMG|8aDUR|9RCR|aBPWR
90	23412 16152	3	   	267.17	DCR|3VULN|2DMG|2CDMG|1DUR	178VULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9DUR|aLIT
91	23332 16661	3	 * 	266.70	DCR|4VULN|2DMG|2ASPD	145aVULN|2BELT|34LWND|4aBPWR|6aASPD|7RCR|8RPLT|9aDMG
92	23232 16661	2	   	266.60	DCR|4VULN|2DMG|2ASPD	135aVULN|2BELT|4LWND|6aASPD|7RCR|8RPLT|9aDMG|aBPWR
93	22312 41241	5	   	266.54	DCR|5VULN|1DUR|1CDMG|1AART	13468VULN|26DUST|5AART|6BPWR|7CDMG|9RCR|aDUR
94	22312 51241	5	   	266.54	DCR|5VULN|1DUR|1CDMG|1AART	13468VULN|2DUST|5AART|7CDMG|9RCR|aDUR
95	22315 21241	6	   	266.54	DCR|5VULN|1DUR|1CDMG|1AART	13458VULN|25DUST|5BPWR|6AART|7CDMG|9RCR|aDUR
96	22315 24241	7	   	266.54	DCR|5VULN|1DUR|1CDMG|1AART	13458VULN|25DUST|5BPWR|6AART|7CDMG|9RCR|aDUR
97	23231 42236	1	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	126VULN|3DUR|4LIT|5AART|7RCR|8TLV|9DMG|aASPD
98	23231 42334	1	   	266.43	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	126VULN|3DUR|4LIT|5AART|7RCR|8ASPD|9DMG|aTLV
99	23231 12126	1	   	265.89	DCR|3VULN|2CDMG|1DMG|1DUR|2LIT|1AART	12aVULN|3DUR|4aLIT|5AART|6CGEN|7DMG|8RCR|9aCDMG|aBPWR
100	63532 11181	10	   	265.82	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	19DMG|2CDMG|3LEGI|49aVULN|59TLV|6MBVNT|7AART|8RCR|9BPWR
101	63532 11182	9	   	265.82	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	19DMG|2CDMG|3LEGI|49aVULN|59TLV|6MBVNT|7AART|8RCR|9BPWR
102	23412 43116	1	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG	128aVULN|3CDMG|4DMG|5MBVNT|6RCR|7DUR|9LIT
103	63632 43116	4	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG	1DMG|2CDMG|348aVULN|5MBVNT|6RCR|7DUR|9LIT
104	25341 33134	10	   	265.65	DCR|3VULN|2DUR|2ASPD|2LIT|1CDMG	14aVULN|2DMSP|3aLIT|58DUR|6CDMG|7aASPD|9RCR|aBPWR
105	23422 32336	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1245VULN|35CDMG|5BPWR|6RPLT|78DMG|9ZMB|aRCR
106	23422 32345	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1245VULN|35CDMG|5BPWR|6RPLT|78DMG|9BEXP|aRCR
107	23422 32355	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1245VULN|35CDMG|5BPWR|6RPLT|78DMG|9LWND|aRCR
108	23632 32336	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1235VULN|45CDMG|5BPWR|6RPLT|78DMG|9ZMB|aRCR
109	23632 32345	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1235VULN|45CDMG|5BPWR|6RPLT|78DMG|9BEXP|aRCR
110	23632 32355	1	   	265.25	DCR|4VULN|2DMG|2CDMG	1235VULN|45CDMG|5BPWR|6RPLT|78DMG|9LWND|aRCR
111	23412 16113	3	   	265.25	DCR|4VULN|2DMG|2CDMG	178aVULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9LWND
112	23412 16123	3	   	265.25	DCR|4VULN|2DMG|2CDMG	178aVULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9FEWX
113	23412 16133	3	   	265.25	DCR|4VULN|2DMG|2CDMG	178aVULN|2BELT|37DMG|47CDMG|5BBNT|6RCR|7BPWR|9LHND
114	61612 16113	1	   	265.25	DCR|4VULN|2DMG|2CDMG	17DMG|2BELT|378aVULN|47CDMG|5BBNT|6RCR|7BPWR|9LWND
115	61612 16123	1	   	265.25	DCR|4VULN|2DMG|2CDMG	17DMG|2BELT|378aVULN|47CDMG|5BBNT|6RCR|7BPWR|9FEWX
116	61612 16133	1	   	265.25	DCR|4VULN|2DMG|2CDMG	17DMG|2BELT|378aVULN|47CDMG|5BBNT|6RCR|7BPWR|9LHND
117	22315 14336	8	   	265.19	DCR|5VULN|1DUR|1CDMG	13458VULN|25DUST|5BPWR|6RCR|7DUR|9LIT|aCDMG
118	22315 15316	6	   	265.19	DCR|5VULN|1DUR|1CDMG	13459VULN|25DUST|5BPWR|6RCR|7LIT|8DUR|aCDMG
119	22315 15322	6	   	265.19	DCR|5VULN|1DUR|1CDMG	1345aVULN|25DUST|5BPWR|6RCR|7LIT|8DUR|9CDMG
120	22315 16116	9	   	265.19	DCR|5VULN|1DUR|1CDMG	13458VULN|25DUST|5BPWR|6RCR|7LIT|9DUR|aCDMG
121	22315 16316	7	   	265.19	DCR|5VULN|1DUR|1CDMG	13459VULN|25DUST|5BPWR|6RCR|7LIT|8DUR|aCDMG
122	22315 16322	7	   	265.19	DCR|5VULN|1DUR|1CDMG	1345aVULN|25DUST|5BPWR|6RCR|7LIT|8DUR|9CDMG
123	22316 32642	6	   	265.19	DCR|5VULN|1DUR|1CDMG	1349aVULN|2DUST|5LIT|6CDMG|7RCR|8DUR
124	22235 13432	4	   	265.15	DCR|4VULN|2DMG|2TLV	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aZMB
125	22245 13432	3	   	265.15	DCR|4VULN|2DMG|2TLV	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aZMB
126	22366 13432	3	   	265.15	DCR|4VULN|2DMG|2TLV	1389VULN|2DUST|4BBNT|59TLV|69DMG|7RCR|9BPWR|aZMB
127	22426 13432	2	   	265.15	DCR|4VULN|2DMG|2TLV	1489VULN|2DUST|3BBNT|59TLV|69DMG|7RCR|9BPWR|aZMB
128	22235 13436	4	   	265.05	DCR|4VULN|2DMG|2TLV	1589VULN|2DUST|39DMG|49TLV|6BBNT|7RCR|9BPWR|aTBNT
129	22235 13454	4	   	265.05	DCR|4VULN|2DMG|2TLV	158aVULN|2DUST|3aDMG|4aTLV|6BBNT|7RCR|9MBVNT|aBPWR
130	22366 52214	3	   	265.05	DCR|4VULN|2DMG|2TLV	136aVULN|2DUST|4BBNT|5aTLV|7RCR|8MBVNT|9aDMG|aBPWR
131	22426 52214	2	   	265.05	DCR|4VULN|2DMG|2TLV	146aVULN|2DUST|3BBNT|5aTLV|7RCR|8MBVNT|9aDMG|aBPWR
132	63432 35133	8	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	17DMG|247CDMG|3BELT|5RPLT|67aVULN|7BPWR|8TLV|9RCR
133	22233 22335	10	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18aVULN|2DUST|3aDMG|4TLV|5DUR|6aCGEN|7AART|9RCR|aBPWR
134	22233 42335	10	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18aVULN|2DUST|3aDMG|4TLV|5DUR|6aMLV|7AART|9RCR|aBPWR
135	61346 32112	9	   	264.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	15DMG|2TLV|3LIT|45VULN|5BPWR|6CDMG|7CGEN|89DUR|aRCR
136	23231 42331	1	   	264.77	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	126VULN|3aDUR|4LIT|5AART|7RCR|8ASPD|9DMG
137	25322 15811	5	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	179VULN|2DMSP|37LIT|4MBVNT|57DMG|6RCR|7BPWR|8ASPD|aDUR
138	22315 13441	6	   	264.59	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1345VULN|25DUST|5BPWR|6RCR|7DUR|8TLV|9ASPD|aCDMG
139	24531 32142	6	   	264.54	DCR|3VULN|2DMG|2AART|1DUR	149VULN|29ERES|3DUR|5aAART|6LIT|79DMG|8RCR|9BPWR
140	22312 43134	5	 * 	264.47	DCR|5VULN|2TLV|2AART	13468VULN|268DUST|5aAART|68BPWR|78TLV|9RCR
141	22315 23134	6	   	264.47	DCR|5VULN|2TLV|2AART	13458VULN|258DUST|58BPWR|6aAART|78TLV|9RCR
142	23333 43143	1	 * 	264.38	DCR|4VULN|2DUR|3CDMG	1289VULN|3ERES|49aCDMG|5MBVNT|6RCR|79DUR|9BPWR
143	24633 43143	2	   	264.38	DCR|4VULN|2DUR|3CDMG	1389VULN|2ERES|49aCDMG|5MBVNT|6RCR|79DUR|9BPWR
144	61613 13133	5	   	264.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|2TLV|359DUR|49VULN|6BBNT|7RCR|8RMIN|9BPWR|aLIT
145	23261 51472	1	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	128aVULN|3aDUR|4ASPD|5FEWX|6MBVNT|7aLIT|9RCR|aBPWR
146	23263 51472	1	   	264.33	DCR|4VULN|2DUR|2LIT|1ASPD	128aVULN|3aDUR|4ASPD|5LWND|6MBVNT|7aLIT|9RCR|aBPWR
147	23252 43222	1	   	264.01	DCR|3VULN|3DMG|1DUR|1AART	12aVULN|3DUR|4aDUST|59aDMG|6DLOT|7AART|8RCR|aBPWR
148	22332 43642	9	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	13aVULN|2DUST|4aLIT|5DMG|6LHND|78aDUR|9RCR|aBPWR
149	23435 23253	7	   	263.87	DCR|4VULN|2ASPD|1DMG|2LIT	149aVULN|26BELT|3DMG|59ASPD|7RCR|89LIT|9BPWR
150	23235 43252	7	   	263.87	DCR|4VULN|2ASPD|1DMG|2LIT	1469VULN|2BELT|3ZMB|59ASPD|7RCR|89LIT|9BPWR|aDMG
151	23412 45341	1	 * 	263.82	DCR|3VULN|2DMG|2ASPD|2CDMG	129VULN|39CDMG|4aDMG|5MBVNT|6RCR|7MLV|89ASPD|9BPWR
152	23422 24621	1	   	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1245VULN|35CDMG|5BPWR|6DUST|7DUR|8RCR|9CGEN|aDMG
153	23422 24633	1	   	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1245VULN|35CDMG|5BPWR|6DUST|7DUR|8RCR|9LWND|aDMG
154	23632 24621	1	   	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1235VULN|45CDMG|5BPWR|6DUST|7DUR|8RCR|9CGEN|aDMG
155	23632 24633	1	   	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1235VULN|45CDMG|5BPWR|6DUST|7DUR|8RCR|9LWND|aDMG
156	23231 32244	1	   	263.38	DCR|3VULN|3DUR|1TLV|1AART	12aVULN|36aDUR|4LIT|5AART|7RCR|8TLV|9aLWND|aBPWR
157	61346 21131	7	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	15DMG|2TLV|3LIT|459VULN|5BPWR|6BEXP|7DLOT|8RCR|aDUR
158	22313 24336	10	   	263.29	DCR|5VULN|1DMG|1TLV	13478VULN|2DUST|5BEXP|6RCR|9TLV|aDMG
159	22315 12216	8	   	263.29	DCR|5VULN|1DMG|1DUR	13458VULN|25DUST|5BPWR|6RCR|7CGEN|9DMG|aDUR
160	23231 42232	1	   	263.20	DCR|3VULN|1DMG|2AART|1TLV|1DUR	126VULN|3DUR|4LIT|5aAART|7RCR|8TLV|9DMG
161	23231 32224	1	   	263.18	DCR|3VULN|3DUR|1TLV|1AART	12aVULN|36aDUR|4LIT|5AART|7RCR|8TLV|9aDUST|aBPWR
162	23422 51262	1	   	263.16	DCR|4VULN|2CDMG|1DUR|1ASPD	1245VULN|35CDMG|5BPWR|6BEXP|7ASPD|8DUR|9LIT|aRCR
163	23632 51262	1	   	263.16	DCR|4VULN|2CDMG|1DUR|1ASPD	1235VULN|45CDMG|5BPWR|6BEXP|7ASPD|8DUR|9LIT|aRCR
164	23643 52322	1	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1235VULN|4DUR|6ASPD|7DMG|8RCR|9BEXP|aLIT
165	23643 52332	1	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1235VULN|4DUR|6ASPD|7DMG|8RCR|9LWND|aLIT
166	25154 13222	8	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17aVULN|2DMSP|3DLOT|4FEWX|5AART|6RCR|8aDMG|9aDUR|aBPWR
167	25164 13222	8	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	17aVULN|2DMSP|3DLOT|4LHND|5AART|6RCR|8aDMG|9aDUR|aBPWR
168	22315 16261	9	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1345VULN|25DUST|5BPWR|6RCR|7LIT|8DMG|9ASPD|aDUR
