0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12421 15361	2	 * 	291.58	DCR|4VULN|3DUR|3LIT|2TLV|1SELL	19aLIT|2SELL|35TLV|459aVULN|59aBPWR|69aDUR|7RCR|8TBNT
26	43321 25226	2	   	269.83	DCR|3VULN|3DUR|1TLV|2LIT|1AART	158DUR|289VULN|3ERES|4TLV|6AART|78LIT|8BPWR|aRCR
27	15331 23252	10	   	267.09	DCR|3VULN|3DUR|1DMG|1AART	1LIT|268DUR|3BELT|4AART|56aVULN|6BPWR|7RCR|9DMG
28	43623 12611	9	   	266.81	DCR|3VULN|3DUR|2DMG	189DUR|238VULN|4BEXP|5MLV|68DMG|7DMSP|8BPWR|aRCR
29	43623 13611	9	   	266.81	DCR|3VULN|3DUR|2DMG	189DUR|238VULN|4BEXP|5MLV|68DMG|7RCVC|8BPWR|aRCR
30	41121 43116	1	   	266.61	DCR|3VULN|3DUR|2DMG	178DUR|2TBNT|37DMG|4BELT|579VULN|6BBNT|7BPWR|aRCR
31	15311 62115	5	   	266.22	DCR|5VULN|2DUR	1LIT|25DUR|3BELT|4679aVULN|8RCR
32	15313 62115	4	   	266.22	DCR|5VULN|2DUR	1LIT|25DUR|3BELT|4679aVULN|8RCR
33	15323 62115	3	   	266.22	DCR|5VULN|2DUR	1LIT|25DUR|3BELT|4679aVULN|8RCR
34	43321 62115	5	   	266.22	DCR|5VULN|2DUR	15DUR|2679aVULN|3LIT|4BELT|8RCR
35	43323 62115	4	   	266.22	DCR|5VULN|2DUR	15DUR|2679aVULN|3LIT|4BELT|8RCR
36	43442 12313	6	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUR|257VULN|3LWND|4TLV|69DMG|8ASPD|aRCR
37	33542 12313	6	   	265.95	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUST|257VULN|3DUR|4TLV|69DMG|8ASPD|aRCR
38	33542 15313	7	   	265.95	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUST|257VULN|3DUR|4TLV|69DMG|8ASPD|aRCR
39	53243 63232	4	 * 	265.42	DCR|3VULN|2DUR|3LIT|2TLV|1AART	189ERES|2AART|358LIT|45TLV|589BPWR|69DUR|789VULN|aRCR
40	11312 12112	4	   	265.29	DCR|5VULN|1DUR|1CDMG	1LIT|24579VULN|3BELT|6DUR|8RCR|aCDMG
41	46332 12325	6	 * 	265.06	DCR|4VULN|2ASPD|1DMG|1DUR	1DUR|28ASPD|3579VULN|4LWND|6DMG|aRCR
42	15331 23226	9	   	264.68	DCR|3VULN|3DUR|2LIT|1ASPD|1AART	19LIT|268DUR|3BELT|4AART|569VULN|69BPWR|7RCR|aASPD
43	11134 15363	5	   	264.30	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	19LIT|269VULN|3ERES|4CDMG|59DUR|7RCR|8TBNT|9BPWR|aDMG
44	11115 15363	3	   	264.30	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	19LIT|249VULN|3ERES|5CDMG|69DUR|7RCR|8TBNT|9BPWR|aDMG
45	11362 52114	5	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|279VULN|3BELT|45DMG|6TLV|8RCR|aDUR
46	11312 25663	3	 * 	263.29	DCR|5VULN|3LIT|1DUR	148LIT|24568VULN|3BELT|48BPWR|7BBNT|9RCR|aDUR
47	43442 12323	6	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	19DUR|257VULN|3LWND|4TLV|6DMG|8ASPD|aRCR
48	15331 23323	9	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	18LIT|26DUR|3BELT|4AART|569aVULN|6BPWR|7RCR
49	15331 23323	10	   	262.99	DCR|4VULN|2DUR|2LIT|1AART	18LIT|26DUR|3BELT|4AART|569aVULN|6BPWR|7RCR
50	33542 12323	6	   	262.95	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1DUST|257VULN|39DUR|4TLV|6DMG|8ASPD|aRCR
51	33542 15323	7	   	262.95	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1DUST|257VULN|39DUR|4TLV|6DMG|8ASPD|aRCR
52	15311 62112	5	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|25DUR|3BELT|4679VULN|8RCR|aTLV
53	15313 62112	4	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|25DUR|3BELT|4679VULN|8RCR|aTLV
54	15323 62112	3	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|25DUR|3BELT|4679VULN|8RCR|aTLV
55	43321 62112	5	   	262.93	DCR|4VULN|2DUR|1TLV	15DUR|2679VULN|3LIT|4BELT|8RCR|aTLV
56	43323 62112	4	   	262.93	DCR|4VULN|2DUR|1TLV	15DUR|2679VULN|3LIT|4BELT|8RCR|aTLV
57	43625 32313	10	   	262.93	DCR|4VULN|2DUR|1TLV	19DUR|2356VULN|4BEXP|7LIT|8TLV|aRCR
58	43355 32332	9	 * 	262.79	ACR|3VULN|3DUR|2DMG|2TLV	159DUR|269VULN|3LIT|4RCR|7aDMG|89TLV|9BPWR
59	11134 25361	5	   	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|29aVULN|3ERES|4CDMG|59aDUR|6DMSP|7RCR|8TBNT|9aBPWR
60	13662 33161	1	   	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|29aDUR|3BBNT|4ERES|5CDMG|69aVULN|7RCR|8RCVC|9aBPWR
61	15135 33161	4	   	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|29aDUR|3ERES|4CDMG|5TBNT|69aVULN|7RCR|8RCVC|9aBPWR
62	11136 15361	5	   	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|29aVULN|3ERES|4CDMG|5RCVC|69aDUR|7RCR|8TBNT|9aBPWR
63	11136 15361	4	   	262.57	DCR|3VULN|3DUR|3LIT|1CDMG	19aLIT|29aVULN|35ERES|4CDMG|69aDUR|7RCR|8TBNT|9aBPWR
64	32162 61632	1	 * 	262.38	DCR|4VULN|2DMG|2AART|1SELL	19DUST|2579VULN|3SELL|46AART|89DMG|9BPWR|aRCR
65	33162 61632	2	 * 	262.38	DCR|4VULN|2DMG|2AART|1SELL	19DUST|2579VULN|3SELL|46AART|89DMG|9BPWR|aRCR
66	11153 16225	5	   	261.61	DCR|3VULN|2DUR|3LIT|1TLV|1AART	178LIT|289VULN|3ERES|4TLV|5AART|68DUR|8BPWR|aRCR
