0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31324 41326	8	 * 	292.30	DCR|5VULN|3DUR|1TLV	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aTLV
15	61324 41221	10	 * 	272.57	DCR|3VULN|3DUR|1TLV|1DMG	17DUST|2LIT|379DUR|457VULN|6RCR|7BPWR|8TLV|aDMG
16	11344 41316	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9CGEN|aRCR
17	11344 41364	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCVC|aRCR
18	11344 41372	9	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aLWND
19	11344 41373	9	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aDMSP
20	11344 41373	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aBEXP
21	11344 41374	9	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aLHND
22	11344 41374	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aCGEN
23	11344 41375	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aRCVC
24	11344 41376	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aLWND
25	11344 41386	10	   	270.24	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9MLV|aRCR
26	11344 41371	10	   	270.14	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aERES
27	11344 41371	9	   	270.14	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aDUST
28	11344 41378	9	   	270.14	DCR|3VULN|3DUR|3ASPD|1DMG	178ASPD|278DUR|3MBVNT|4LIT|5DMG|678VULN|78BPWR|9RCR|aTBNT
29	31324 41253	9	 * 	268.61	DCR|4VULN|2TLV|2DUR	17BEXP|2LIT|37DUR|4579VULN|6RCR|7BPWR|8aTLV
30	11231 46212	3	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1ASPD|2DUR|39aVULN|4AART|5TLV|6CDMG|7DMG|8RCR
31	31324 41312	9	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9LHND|aDMG
32	31324 41321	9	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9RCVC|aDMG
33	31324 41332	8	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9LHND|aDMG
34	31324 41352	8	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9FEWX|aDMG
35	31326 41321	8	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4789VULN|5DMSP|6RCR|78BPWR|aDMG
36	31326 41341	9	   	267.82	DCR|4VULN|3DUR|1DMG	178BEXP|2LIT|378DUR|4789VULN|5DMSP|6RCR|78BPWR|aDMG
37	31324 41336	10	   	267.57	DCR|4VULN|3DUR|1DMG|1SELL	178BEXP|2LIT|378DUR|4578VULN|6RCR|78BPWR|9SELL|aDMG
38	61324 41312	9	   	267.52	DCR|4VULN|3DUR|1DMG	178DUST|2LIT|378DUR|4578VULN|6RCR|78BPWR|9LHND|aDMG
39	61324 41321	9	   	267.52	DCR|4VULN|3DUR|1DMG	178DUST|2LIT|378DUR|4578VULN|6RCR|78BPWR|9RCVC|aDMG
40	61324 41332	8	   	267.52	DCR|4VULN|3DUR|1DMG	178DUST|2LIT|378DUR|4578VULN|6RCR|78BPWR|9LHND|aDMG
41	61326 41321	8	   	267.52	DCR|4VULN|3DUR|1DMG	178DUST|2LIT|378DUR|4789VULN|5DMSP|6RCR|78BPWR|aDMG
42	11344 44347	8	   	266.98	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|28DUR|3MBVNT|4LIT|57DMG|68aVULN|8BPWR|9RCR
43	31324 41315	9	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|4578aVULN|6RCR|78BPWR|9LHND
44	31324 41322	8	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aLWND
45	31324 41324	8	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aFEWX
46	31324 41325	8	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aLHND
47	31324 41335	8	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|4578aVULN|6RCR|78BPWR|9LHND
48	31324 41341	10	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aRPLT
49	31324 41342	9	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aLWND
50	31324 41343	10	   	266.10	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aFEWX
51	31324 41342	10	   	266.00	DCR|5VULN|3DUR	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aLEGI
52	31324 41332	9	   	265.85	DCR|5VULN|3DUR|1SELL	178BEXP|2LIT|378DUR|4578aVULN|6RCR|78BPWR|9SELL
53	31324 41323	8	   	265.85	DCR|5VULN|3DUR|1SELL	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aSELL
54	31324 41343	9	   	265.85	DCR|5VULN|3DUR|1SELL	178BEXP|2LIT|378DUR|45789VULN|6RCR|78BPWR|aSELL
55	61324 41322	8	   	265.80	DCR|5VULN|3DUR	178DUST|2LIT|378DUR|45789VULN|6RCR|78BPWR|aLWND
56	16231 21251	9	 * 	265.66	DCR|2VULN|2DMG|1TLV|2CDMG|2ASPD|1DUR	12ASPD|39DMG|4TLV|5DUR|69CDMG|7MLV|89VULN|9BPWR|aRCR
57	33336 42632	6	   	265.61	DCR|3VULN|3DUR|2DMG|1AART	126BEXP|37DMG|47aDUR|567VULN|67BPWR|8AART|9RCR
58	61324 41332	9	   	265.55	DCR|5VULN|3DUR|1SELL	178DUST|2LIT|378DUR|4578aVULN|6RCR|78BPWR|9SELL
59	61324 41323	8	   	265.55	DCR|5VULN|3DUR|1SELL	178DUST|2LIT|378DUR|45789VULN|6RCR|78BPWR|aSELL
60	11262 64131	4	   	265.06	DCR|4VULN|3DUR|2ASPD|1AART	19ASPD|289DUR|3469VULN|5RPLT|7AART|9BPWR|aRCR
61	31324 52512	5	   	264.68	DCR|3VULN|2DMG|2DUR|1CDMG	169BEXP|2LIT|39DUR|456VULN|69BPWR|7CDMG|89DMG|aRCR
62	31326 52512	4	   	264.68	DCR|3VULN|2DMG|2DUR|1CDMG	169BEXP|2LIT|39DUR|456VULN|69BPWR|7CDMG|89DMG|aRCR
63	31326 52512	3	   	264.68	DCR|3VULN|2DMG|2DUR|1CDMG	169BEXP|2LIT|39DUR|456VULN|69BPWR|7CDMG|89DMG|aRCR
64	11344 41556	10	   	264.13	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	17ASPD|278DUR|3MBVNT|4LIT|5DMG|67VULN|7BPWR|9RCR|aTLV
65	11225 46332	7	   	263.97	DCR|3VULN|3DUR|1DMG|2ASPD|1AART	17ASPD|245DUR|378VULN|6AART|7BPWR|9RCR|aDMG
66	11624 52212	4	 * 	263.06	DCR|3VULN|2DUR|1TLV|3ASPD	136ASPD|23DUR|36BPWR|4TLV|567VULN|8RMIN|9LIT|aRCR
