0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12345 33232	10	 * 	295.66	DCR|5VULN|2DMG|2DUR	1aDUR|2RPLT|3ERES|4789aVULN|5aDMG|6RCR|aBPWR
29	13322 24526	9	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aLHND
30	65212 43231	9	   	271.56	DCR|5VULN|2DUR|1CDMG	1DUST|26DUR|34689VULN|5RPLT|6BPWR|7RCR|aCDMG
31	13322 24521	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aDUST
32	13322 24522	9	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aERES
33	13322 24523	10	   	271.56	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aDUST
34	14132 13145	9	   	269.59	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	19DUR|2FEWX|3SELL|49DMG|5CGEN|6TLV|789VULN|9BPWR|aRCR
35	12344 33262	10	 * 	269.21	DCR|4VULN|3ASPD|2DUR	1aDUR|2RPLT|3ERES|478aVULN|59aASPD|6RCR|aBPWR
36	53632 33262	10	   	269.21	DCR|4VULN|3ASPD|2DUR	19aASPD|2ERES|3aDUR|478aVULN|5RPLT|6RCR|aBPWR
37	56212 33341	7	 * 	268.53	DCR|3VULN|3LIT|1DMG|1TLV|1DUR|1ASPD	1ASPD|246LIT|346VULN|46BPWR|5RMIN|7DMG|8DUR|9RCR|aTLV
38	13326 25522	10	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	1aDUR|2CDMG|346aVULN|5MLV|7TLV|8RCR|9aFEWX|aBPWR
39	13334 25422	10	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	1aDUR|2CDMG|356aVULN|4CGEN|7TLV|8aLWND|9RCR|aBPWR
40	33334 25122	10	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	1aLWND|2CDMG|356aVULN|4CGEN|7TLV|8aDUR|9RCR|aBPWR
41	13334 25222	10	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1aDUR|2CDMG|356aVULN|4CGEN|7TLV|8aDUST|9RCR|aBPWR
42	13334 25532	10	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1aDUR|2CDMG|3569VULN|4CGEN|7TLV|8RCR
43	13426 11353	2	 * 	267.52	5VULN|3DMG|3DUR|1CDMG|1AART	19aDUR|2CDMG|3AART|49aDMG|5679aVULN|8DMSP|9aBPWR
44	33335 44122	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1aLWND|2CDMG|37aVULN|4CGEN|56DMG|8aDUR|9RCR|aBPWR
45	13322 22525	10	   	267.17	DCR|3VULN|3DUR|1TLV|1CDMG	156DUR|2CDMG|348VULN|7RCR|9TLV|aLIT
46	13335 44222	10	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2CDMG|37aVULN|4CGEN|56DMG|8aDUST|9RCR|aBPWR
47	63332 44122	10	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUST|2CDMG|37aVULN|46DMG|5CGEN|8aDUR|9RCR|aBPWR
48	11512 22611	10	 * 	266.61	DCR|3VULN|3DUR|2DMG	12aDUR|2aBPWR|38aVULN|4ERES|5FEWX|6DLOT|7RCR|9aDMG
49	13322 14512	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2CDMG|347VULN|6FEWX|8RCR|9TLV|aDMG
50	13322 34512	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2CDMG|347VULN|6LHND|8RCR|9TLV|aDMG
