0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25412 22413	9	 * 	299.02	DCR|4VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|38CDMG|4TLV|5ASPD|6RCR|789aVULN|8BPWR
47	11263 46121	2	   	273.80	DCR|4VULN|2DMG|2LIT|1CDMG	1249VULN|24BPWR|34LIT|5BEXP|6RCR|78DMG|aCDMG
48	11261 46121	1	   	273.70	DCR|4VULN|2DMG|2LIT|1CDMG	1249VULN|34LIT|4BPWR|5DUST|6RCR|78DMG|aCDMG
49	11261 46121	2	   	273.70	DCR|4VULN|2DMG|2LIT|1CDMG	1249VULN|24BPWR|34LIT|5DUST|6RCR|78DMG|aCDMG
50	12163 25631	9	 * 	273.59	DCR|3VULN|2DMG|2ASPD|2TLV	157VULN|2FEWX|3AART|47ASPD|67TLV|7BPWR|8aDMG|9RCR
51	11531 11214	3	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|2aBPWR|3aASPD|4CDMG|5LHND|6RCR|8RPLT|9aDUR
52	11533 11214	3	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|2aBPWR|3aASPD|4CDMG|5LWND|6RCR|8RPLT|9aDUR
53	11534 11214	3	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|2aBPWR|3aASPD|4CDMG|5FEWX|6RCR|8RPLT|9aDUR
54	11136 13255	7	   	273.15	DCR|5VULN|1DMG|1TLV	12456VULN|24BPWR|34FEWX|7DMG|8TLV|9AART|aRCR
55	11135 46123	4	   	273.14	DCR|5VULN|2DMG	1249aVULN|24BPWR|34FEWX|5LIT|6RCR|78DMG
56	11135 46123	5	   	273.14	DCR|5VULN|2DMG	1249aVULN|24BPWR|34FEWX|5LIT|6RCR|78DMG
57	11136 16236	6	   	273.14	DCR|5VULN|2DMG	12456VULN|24BPWR|34FEWX|7LIT|8RCR|9aDMG
58	11136 36236	5	   	273.14	DCR|5VULN|2DMG	12456VULN|24BPWR|34FEWX|7LIT|8RCR|9aDMG
59	11451 22323	9	 * 	272.33	DCR|4VULN|2ASPD|1DMG|1CDMG	1278VULN|28BPWR|3CDMG|48ASPD|58CGEN|6RCR|9AART|aDMG
60	11451 22325	10	   	272.33	DCR|4VULN|2ASPD|1DMG|1CDMG	1278VULN|28BPWR|3CDMG|48ASPD|58CGEN|6RCR|9AART|aDMG
61	11141 11214	5	 * 	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	127aVULN|2aBPWR|3aFEWX|4DMG|5CDMG|6RCR|8RPLT|9aDUR
62	11241 11214	5	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	127aVULN|2aBPWR|3aLHND|4DMG|5CDMG|6RCR|8RPLT|9aDUR
63	21562 31413	10	 * 	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	18DUR|2MLV|358VULN|4LWND|6DMG|78CDMG|8BPWR|9TLV|aRCR
64	11141 11514	5	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1278VULN|2BPWR|3FEWX|4DMG|5CDMG|6RCR|9aDUR
65	11136 13152	9	   	271.90	DCR|5VULN|1DMG|1CDMG|1ASPD	12456VULN|24BPWR|34FEWX|7DMG|8CDMG|9RCR|aASPD
66	11136 13154	10	   	271.90	DCR|5VULN|1DMG|1CDMG|1ASPD	12456VULN|24BPWR|34FEWX|7DMG|8CDMG|9RCR|aASPD
67	11136 35352	9	   	271.90	DCR|5VULN|1DMG|1CDMG|1ASPD	12458VULN|24BPWR|34FEWX|6DMG|7CDMG|9RCR|aASPD
68	11451 22324	9	   	271.80	DCR|5VULN|2ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|48ASPD|58CGEN|6RCR|9AART
69	11135 46222	4	   	271.80	DCR|5VULN|1DMG|1DUR	12489VULN|24BPWR|34FEWX|5LIT|6RCR|7DMG|aDUR
70	11135 46222	5	   	271.80	DCR|5VULN|1DMG|1DUR	12489VULN|24BPWR|34FEWX|5LIT|6RCR|7DMG|aDUR
71	11136 16232	6	   	271.80	DCR|5VULN|1DMG|1DUR	12456VULN|24BPWR|34FEWX|7LIT|8RCR|9DMG|aDUR
72	11136 36232	5	   	271.80	DCR|5VULN|1DMG|1DUR	12456VULN|24BPWR|34FEWX|7LIT|8RCR|9DMG|aDUR
73	11141 11552	5	   	271.80	DCR|5VULN|1DMG|1CDMG|1ASPD	12789VULN|2BPWR|3FEWX|4DMG|5CDMG|6RCR|aASPD
74	11241 11626	5	   	271.80	DCR|5VULN|1DMG|1CDMG|1ASPD	1278aVULN|2BPWR|3LHND|4DMG|5CDMG|6RCR|9ASPD
75	11224 61451	4	 * 	271.76	DCR|4VULN|3DUR|2TLV	1279VULN|259BPWR|35LHND|459DUR|6MBVNT|89TLV|aRCR
76	11412 22324	8	   	271.66	DCR|5VULN|3ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|48MLV|589ASPD|6RCR
77	11412 22344	9	   	271.66	DCR|5VULN|3ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|48MLV|589ASPD|6RCR
78	11451 22324	8	   	271.66	DCR|5VULN|3ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|489ASPD|58CGEN|6RCR
79	11453 22324	8	   	271.46	DCR|5VULN|3ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|489ASPD|58ERES|6RCR
80	12161 36224	7	   	271.38	DCR|3VULN|3ASPD|2DUR|2LIT	17aVULN|27FEWX|3AART|457ASPD|6RCR|7aBPWR|8aDUR|9aLIT
81	11453 22362	8	   	270.77	DCR|4VULN|2ASPD|1DMG|1CDMG	1278VULN|28BPWR|3CDMG|48ASPD|58ERES|6RCR|9LIT|aDMG
82	11241 11661	5	   	270.45	DCR|5VULN|1DMG|1CDMG	1278aVULN|2BPWR|3LHND|4DMG|5CDMG|6RCR|9AART
83	11412 22363	8	   	270.45	DCR|5VULN|2ASPD|1CDMG	1278aVULN|28BPWR|3CDMG|48MLV|58ASPD|6RCR|9LIT
84	13252 31452	8	 * 	270.26	DCR|4VULN|3CDMG|1DMG|1DUR	1589VULN|2MLV|389LWND|4DUR|6DMG|789CDMG|89BPWR|aRCR
85	11135 43341	5	   	270.05	DCR|4VULN|2DMG|1DUR	124aVULN|24aBPWR|34aFEWX|5LIT|6RCR|7RPLT|8DUR|9aDMG
86	11135 43341	4	   	270.05	DCR|4VULN|2DMG|1DUR	124aVULN|24aBPWR|34aFEWX|5LIT|6RCR|7RPLT|8DUR|9aDMG
87	25412 22432	7	   	269.86	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	12aDUR|3CDMG|4TLV|5ASPD|6RCR|789VULN
88	25412 22313	9	   	269.86	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	128DUR|3CDMG|4TLV|5ASPD|6RCR|79aVULN
89	11241 11624	5	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	1278VULN|2BPWR|3LHND|4aDMG|5CDMG|6RCR|9ASPD
90	13141 46351	6	 * 	269.63	DCR|3VULN|2DMG|3ASPD|1DUR	169VULN|2MLV|389ASPD|49DMG|5MBVNT|7RCR|9BPWR|aDUR
91	11263 43121	1	 * 	269.54	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|34aLIT|4aBPWR|5BEXP|6RCR|7RPLT|8ASPD|9aDUR
92	11263 43121	2	   	269.54	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|24aBPWR|34aLIT|5BEXP|6RCR|7RPLT|8ASPD|9aDUR
93	11265 43121	1	   	269.54	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|34aLIT|4aBPWR|5FEWX|6RCR|7RPLT|8ASPD|9aDUR
94	11265 43121	2	   	269.54	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|24aBPWR|34aLIT|5FEWX|6RCR|7RPLT|8ASPD|9aDUR
95	11412 22451	7	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	1279VULN|29BPWR|39CDMG|4MLV|5ASPD|6RCR|89DUR|aLHND
96	11412 22453	7	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	1279VULN|29BPWR|39CDMG|4MLV|5ASPD|6RCR|89DUR|aCGEN
97	11451 11214	4	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3aCDMG|4ASPD|5LHND|6RCR|8RPLT|9aDUR
98	11453 11214	4	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3aCDMG|4ASPD|5LWND|6RCR|8RPLT|9aDUR
99	11461 11214	3	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3aCDMG|4ASPD|5LHND|6RCR|8RPLT|9aDUR
100	11463 11214	3	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3aCDMG|4ASPD|5LWND|6RCR|8RPLT|9aDUR
101	11261 43121	1	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|34aLIT|4aBPWR|5DUST|6RCR|7RPLT|8ASPD|9aDUR
102	11261 43121	2	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	124aVULN|24aBPWR|34aLIT|5DUST|6RCR|7RPLT|8ASPD|9aDUR
103	11412 52312	8	   	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	1268VULN|28BPWR|38CDMG|4MLV|5ASPD|78DUR|9BBNT|aRCR
104	11535 11421	3	   	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3ASPD|4aCDMG|5aDUR|6RCR|8BELT|9TBNT
105	11531 11421	5	   	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	127aVULN|2aBPWR|3ASPD|4aDUR|5aCDMG|6RCR|8BELT|9TBNT
106	11531 24131	6	   	269.44	DCR|4VULN|2DUR|2CDMG|1ASPD	129aVULN|2aBPWR|3ASPD|4aDUR|5aCDMG|6BELT|7RCR|8BBNT
107	11453 52312	8	   	269.34	DCR|4VULN|2DUR|2CDMG|1ASPD	1268VULN|28BPWR|38CDMG|4ASPD|5ERES|78DUR|9TBNT|aRCR
108	14436 11121	3	   	269.33	DCR|4VULN|2DUR|1TLV|2LIT|1SELL	147aVULN|2SELL|3aDUR|5TLV|6RCR|8DUST|9aLIT|aBPWR
109	24536 11121	3	   	269.33	DCR|4VULN|2DUR|1TLV|2LIT|1SELL	1aDUR|2SELL|347aVULN|5TLV|6RCR|8DUST|9aLIT|aBPWR
110	15262 22226	3	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	179VULN|269DUR|3BEXP|4TBNT|5DMG|89TLV|9BPWR|aRCR
111	21462 22226	1	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	169DUR|279VULN|3BEXP|4TBNT|5DMG|89TLV|9BPWR|aRCR
112	21562 22226	1	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	169DUR|279VULN|3FEWX|4TBNT|5DMG|89TLV|9BPWR|aRCR
113	26262 22226	3	   	269.09	DCR|3VULN|3DUR|2TLV|1DMG	169DUR|279VULN|3BEXP|4TBNT|5DMG|89TLV|9BPWR|aRCR
114	13141 46353	6	 * 	269.04	DCR|3VULN|3DMG|3ASPD	169VULN|2MLV|389ASPD|49aDMG|5MBVNT|7RCR|9BPWR
