0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32615 13522	5	 * 	303.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	1589VULN|2ASPD|38TLV|4DMG|6CDMG|78DUR|8BPWR|aRCR
27	32615 42232	10	   	284.60	DCR|5VULN|2ASPD|1DMG|1TLV	15789VULN|2aASPD|3TLV|4DMG|6RCR
28	35523 11313	1	 * 	284.43	DCR|4VULN|2DMG|2DUR	1478VULN|2LIT|38DMG|58DUR|6BBNT|8BPWR|9RMIN|aRCR
29	31533 44233	8	 * 	283.02	DCR|3VULN|3DMG|3TLV|1DUR	178VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|9LIT|aDUR
30	32634 11522	5	   	282.61	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1489VULN|28ASPD|3TLV|5FEWX|68DMG|7SELL|8BPWR|aRCR
31	32634 11522	4	   	282.61	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1489VULN|28ASPD|3TLV|5LWND|68DMG|7SELL|8BPWR|aRCR
32	32635 11522	5	   	282.61	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1489VULN|28ASPD|3TLV|5LHND|68DMG|7SELL|8BPWR|aRCR
33	32631 11522	5	   	282.51	DCR|4VULN|2DMG|2ASPD|1TLV|1SELL	1489VULN|28ASPD|3TLV|5DUST|68DMG|7SELL|8BPWR|aRCR
34	32612 42252	9	   	281.71	DCR|3VULN|3DMG|1TLV|1DUR|1ASPD	178VULN|2ASPD|3TLV|45aDMG|6RCR|9DUR
35	32612 43522	6	   	281.71	DCR|3VULN|3DMG|1TLV|1DUR|1ASPD	189VULN|2ASPD|3TLV|45aDMG|6RCR|7DUR
36	32522 31616	3	 * 	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	149VULN|29ASPD|3LIT|5DMG|69DUR|7RCR|8TBNT|9BPWR|aTLV
37	31533 44211	8	 * 	281.11	DCR|4VULN|3DMG|3TLV	1789VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|aCGEN
38	31533 44213	8	   	281.11	DCR|4VULN|3DMG|3TLV	1789VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|aZMB
39	31533 43215	10	   	281.01	DCR|4VULN|3DMG|2TLV	189aVULN|2FEWX|38TLV|478DMG|5RPLT|6RCR|8BPWR
40	31533 44212	8	   	281.01	DCR|4VULN|3DMG|3TLV	1789VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|aDUST
41	35351 38111	10	 * 	280.74	DCR|5VULN|2DMG|1TLV|1SELL	14679VULN|2SELL|37DMG|5MBVNT|7BPWR|8TLV|aRCR
42	32612 42251	9	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	178VULN|2ASPD|3TLV|45DMG|6RCR|9aDUR
43	32612 43521	6	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	189VULN|2ASPD|3TLV|45DMG|6RCR|7aDUR
44	32615 13532	5	   	280.51	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG|1ASPD	158VULN|2ASPD|38TLV|4DMG|6CDMG|78DUR|8BPWR|9TBNT|aRCR
45	32131 11352	1	   	280.49	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	129VULN|3SELL|49DUR|5TBNT|6TLV|7ASPD|89DMG|9BPWR|aRCR
46	32136 11352	1	   	280.49	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD|1SELL	129VULN|3SELL|49DUR|5BBNT|6TLV|7ASPD|89DMG|9BPWR|aRCR
47	32245 36222	1	 * 	280.17	DCR|4VULN|3DUR|1DMG	1238VULN|4LIT|568DUR|78ZMB|8BPWR|9DMG|aRCR
48	32224 33541	1	   	280.07	DCR|5VULN|2DUR|1CDMG	12348VULN|5CDMG|68FEWX|78DUR|8BPWR|9RCR|aLIT
49	32615 14222	5	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	159VULN|2ASPD|3TLV|47DMG|6CDMG|8DUR|aRCR
50	32513 23213	9	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4FEWX|56DUR|79DMG|8RCR|9BPWR
51	32513 23214	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4FEWX|56DUR|79DMG|8RCR|9BPWR
52	32513 43212	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	169VULN|2ASPD|39LIT|4FEWX|5aDUR|79DMG|8RCR|9BPWR
53	32533 23213	9	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4BEXP|56DUR|79DMG|8RCR|9BPWR
54	32533 23214	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4BEXP|56DUR|79DMG|8RCR|9BPWR
55	32533 43212	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	169VULN|2ASPD|39LIT|4BEXP|5aDUR|79DMG|8RCR|9BPWR
56	32563 43213	9	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|45DUR|6FEWX|79DMG|8RCR|9BPWR
57	32563 63213	9	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|45DUR|6BEXP|79DMG|8RCR|9BPWR
58	32516 13212	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4FEWX|6aDUR|79DMG|8RCR|9BPWR
59	32536 13212	10	   	279.44	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4BEXP|6aDUR|79DMG|8RCR|9BPWR
60	32553 23213	9	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4DUST|56DUR|79DMG|8RCR|9BPWR
61	32553 23214	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|4DUST|56DUR|79DMG|8RCR|9BPWR
62	32553 43212	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	169VULN|2ASPD|39LIT|4DUST|5aDUR|79DMG|8RCR|9BPWR
63	32556 13212	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4DUST|6aDUR|79DMG|8RCR|9BPWR
64	32563 33213	9	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|45DUR|6DUST|79DMG|8RCR|9BPWR
65	32563 33214	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	19aVULN|2ASPD|39LIT|45DUR|6DUST|79DMG|8RCR|9BPWR
66	32566 33212	10	   	279.34	DCR|3VULN|2DMG|2DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4aDUR|6DUST|79DMG|8RCR|9BPWR
67	35351 64144	8	   	279.15	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	148VULN|2SELL|38DMG|5MBVNT|6RCR|78DUR|8BPWR|9TLV|aAART
68	32221 23543	1	   	278.08	DCR|5VULN|2DUR|2CDMG	12348VULN|5BEXP|68CDMG|78DUR|8BPWR|9RCR|aLHND
69	32221 23544	1	   	278.08	DCR|5VULN|2DUR|2CDMG	12348VULN|5aBEXP|68CDMG|78DUR|8BPWR|9RCR
70	32221 23542	1	   	277.98	DCR|5VULN|2DUR|2CDMG	12348VULN|5BEXP|68CDMG|78DUR|8BPWR|9RCR|aDUST
71	32221 23545	1	   	277.98	DCR|5VULN|2DUR|2CDMG	12348VULN|5BEXP|68CDMG|78DUR|8BPWR|9RCR|aTBNT
72	35523 23431	1	 * 	277.44	DCR|3VULN|3DMG|2DUR	146VULN|2LIT|389DMG|56DUR|6BPWR|7RPLT|aRCR
73	32334 44222	8	   	276.68	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	178VULN|2ASPD|3RPLT|478CGEN|578DUR|6RCR|78BPWR|9DMG|aTLV
74	32612 42215	10	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	178VULN|29ASPD|3TLV|45DMG|6RCR|aDUR
75	35231 31246	4	 * 	276.23	DCR|3VULN|3DUR|2DMG|1SELL	178VULN|2SELL|3BEXP|479DUR|5AART|67DMG|7BPWR|aRCR
76	35313 26522	4	   	276.22	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	189VULN|2SELL|38DMG|4DUR|5RCVC|6TLV|78ASPD|8BPWR|aRCR
77	35321 13521	3	   	276.08	DCR|4VULN|2DMG|2DUR|1SELL	168aVULN|2SELL|3aDMG|4BEXP|56DUR|6aBPWR|7RCR|9aLHND
78	35321 13531	3	   	276.08	DCR|4VULN|2DMG|2DUR|1SELL	168aVULN|2SELL|3aDMG|4BEXP|56DUR|6aBPWR|7RCR|9aFEWX
79	32632 11522	5	   	276.01	DCR|4VULN|2DMG|2TLV|1ASPD|1SELL	1489VULN|2ASPD|38TLV|5LEGI|68DMG|7SELL|8BPWR|aRCR
80	35321 13511	3	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	168aVULN|2SELL|3aDMG|4BEXP|56DUR|6aBPWR|7RCR|9aDUST
81	32612 42253	9	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	178VULN|2ASPD|3TLV|45DMG|6RCR|9DUR|aAART
82	32612 43523	6	   	275.71	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	189VULN|2ASPD|3TLV|45DMG|6RCR|7DUR|aAART
83	32415 21521	6	 * 	275.69	DCR|5VULN|2DMG|1ASPD|1SELL	1589aVULN|2ASPD|38CGEN|48DMG|6RCR|7SELL|8BPWR
84	32522 31613	3	   	275.08	DCR|3VULN|2DUR|2ASPD|1DMG	149VULN|29ASPD|3LIT|5DMG|69DUR|7RCR|8TBNT|9BPWR|aAART
85	32513 53213	9	   	275.07	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	19aVULN|26ASPD|39LIT|4FEWX|5DUR|79DMG|8RCR|9BPWR
86	32513 53214	10	   	275.07	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	19aVULN|26ASPD|39LIT|4FEWX|5DUR|79DMG|8RCR|9BPWR
87	32533 53213	9	   	275.07	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	19aVULN|26ASPD|39LIT|4BEXP|5DUR|79DMG|8RCR|9BPWR
88	32533 53214	10	   	275.07	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	19aVULN|26ASPD|39LIT|4BEXP|5DUR|79DMG|8RCR|9BPWR
89	32553 53213	9	   	274.97	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	19aVULN|26ASPD|39LIT|4DUST|5DUR|79DMG|8RCR|9BPWR
90	31536 11235	10	   	274.89	DCR|4VULN|2DUR|1DMG|1TLV	1689VULN|28FEWX|3TLV|4DMG|58DUR|7RPLT|8BPWR|aRCR
91	31533 44212	10	   	274.72	DCR|3VULN|3DMG|3TLV|1DUR	178VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|9RCVC|aDUR
92	31533 44221	10	   	274.62	DCR|3VULN|3DMG|3TLV|1DUR	178VULN|2FEWX|378TLV|478DMG|5RPLT|6RCR|78BPWR|9ERES|aDUR
93	32513 43214	9	   	274.52	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	169VULN|2ASPD|39LIT|4FEWX|5DUR|79DMG|8RCR|9BPWR|aAART
94	32533 43214	9	   	274.52	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	169VULN|2ASPD|39LIT|4BEXP|5DUR|79DMG|8RCR|9BPWR|aAART
95	32516 13214	9	   	274.52	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4FEWX|6DUR|79DMG|8RCR|9BPWR|aAART
96	32536 13214	9	   	274.52	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	159VULN|2ASPD|39LIT|4BEXP|6DUR|79DMG|8RCR|9BPWR|aAART
97	32615 42122	9	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1579aVULN|2ASPD|3TLV|4DMG|6RCR|8RMIN
98	32615 42212	8	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	1578aVULN|2ASPD|3TLV|4DMG|6RCR|9MLV
99	32615 42231	10	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	15789VULN|2ASPD|3TLV|4DMG|6RCR|aLHND
100	32615 42231	9	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	15789VULN|2ASPD|3TLV|4DMG|6RCR|aBEXP
101	32615 42232	9	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	15789VULN|2ASPD|3TLV|4DMG|6RCR|aFEWX
102	32615 42233	9	   	274.40	DCR|5VULN|1DMG|1TLV|1ASPD	15789VULN|2ASPD|3TLV|4DMG|6RCR|aBELT
103	32612 42513	7	   	274.36	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	17aVULN|2ASPD|3TLV|45DMG|6RCR|8LIT|9DUR
104	32615 22125	10	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1579aVULN|2ASPD|3TLV|4DMG|6DUST|8RCR
105	32615 42222	8	   	274.30	DCR|5VULN|1DMG|1TLV|1ASPD	1578aVULN|2ASPD|3TLV|4DMG|6RCR|9ERES
106	31214 26522	5	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	189VULN|2FEWX|3RCVC|48DMG|5CDMG|6TLV|78ASPD|8BPWR|aRCR
107	31314 26522	5	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	189VULN|23FEWX|48DMG|5CDMG|6TLV|78ASPD|8BPWR|aRCR
108	32612 42215	9	   	273.66	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	178VULN|29ASPD|3TLV|45DMG|6RCR|aCDMG
109	32522 61623	3	   	273.62	DCR|4VULN|2TLV|1DMG|2LIT|1ASPD	149aVULN|2ASPD|39LIT|5DMG|6LWND|7RCR|89TLV|9BPWR
110	52612 23235	8	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1aTLV|2CGEN|39aVULN|45DMG|6RCR|7BEXP|8aDUR|aBPWR
111	33612 43235	8	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19aVULN|2ERES|3aTLV|45DMG|6RCR|7BEXP|8aDUR|aBPWR
112	35152 23512	6	   	273.30	DCR|3VULN|2DMG|2DUR|2TLV|1SELL	148VULN|2SELL|38TLV|59DMG|6ZMB|78DUR|8BPWR|aRCR
113	32412 23562	2	   	273.26	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV|1NUKE	138VULN|25ASPD|48CDMG|6NUKE|78DUR|8BPWR|9TLV|aRCR
114	33412 23562	1	   	273.26	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV|1NUKE	138VULN|25ASPD|48CDMG|6NUKE|78DUR|8BPWR|9TLV|aRCR
