0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26233 22453	6	 * 	282.24	DCR|3VULN|2DUR|1TLV|2CDMG|2ASPD|2LIT	18aVULN|28CDMG|3aLIT|4TLV|5MBVNT|68DUR|7RCR|8aBPWR|9aASPD
17	22333 22331	1	 * 	260.69	DCR|3VULN|3DUR|2TLV	129VULN|3ASPD|459DUR|6RMIN|7MBVNT|89TLV|9BPWR|aRCR
18	61451 22122	4	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|26LWND|38VULN|4aDUR|5LIT|78DMG|8BPWR|9RCR
19	62451 32122	4	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|26LHND|38VULN|4aDUR|5LIT|78DMG|8BPWR|9RCR
20	22131 66125	1	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	128VULN|3RMIN|48DUR|5BEXP|6TLV|78LIT|8BPWR|9RCR|aCDMG
21	26232 61523	7	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19aVULN|2CDMG|3aLIT|4TLV|5LHND|6RMIN|7RCR|8aDUR|aBPWR
22	23623 33416	6	 * 	259.60	DCR|5VULN|1TLV|1DMG	14578VULN|25MLV|3MBVNT|5BPWR|6DMG|9RCR|aTLV
23	23623 43416	5	   	259.60	DCR|5VULN|1TLV|1DMG	14578VULN|25MLV|3MBVNT|5BPWR|6DMG|9RCR|aTLV
24	21316 63334	10	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	139VULN|29FEWX|4LIT|5RMIN|6RCR|7DMG|89DUR|9BPWR|aTLV
25	51432 42123	7	   	259.54	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2FEWX|38CGEN|4LIT|5TLV|678VULN|8BPWR|9RCR|aDMG
26	26233 22418	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	18aVULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9ZMB
27	26233 22448	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	18aVULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9RMIN
28	26233 22823	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	19aVULN|2aCDMG|3LIT|4TLV|5MBVNT|6aDUR|7RCR|8RMIN|aBPWR
29	22313 25423	1	   	259.30	DCR|5VULN|1DMG|2ASPD|1AART	1257aVULN|35ASPD|4RCVC|5BPWR|6AART|8RCR|9DMG
30	26232 53254	2	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	137aVULN|2CDMG|4LIT|5MBVNT|6RCR|8DUR|9TLV
31	26233 22468	6	   	259.24	DCR|3VULN|2DUR|1TLV|2CDMG	18aVULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9ERES
32	61644 27111	1	 * 	259.02	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|29DUR|3MBVNT|4BBNT|57CDMG|678VULN|7BPWR|aRCR
33	62423 21253	8	 * 	258.94	DCR|4VULN|2DMG|1TLV	1TLV|25LHND|345aVULN|5BPWR|6LWND|78DMG|9RCR
34	63423 21253	8	   	258.94	DCR|4VULN|2DMG|1TLV	1TLV|25FEWX|345aVULN|5BPWR|6LWND|78DMG|9RCR
35	62351 24113	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2DMG|3ASPD|4BBNT|58aVULN|6CDMG|7RCR|9DUR
36	26232 53427	2	 * 	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	137aVULN|2CDMG|4aLIT|5MBVNT|6RCR|8RMIN|9aTLV|aBPWR
37	26224 11116	5	 * 	257.74	DCR|4VULN|2TLV|2CDMG	1589VULN|28CDMG|3LIT|4LHND|68TLV|7RPLT|8BPWR|aRCR
38	53423 33151	6	   	257.60	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|25MLV|3457VULN|5BPWR|6DMG|8BEXP|9RCR|aTLV
39	26233 22428	6	   	257.54	DCR|2VULN|3DUR|1TLV|2CDMG|1AART	18VULN|28CDMG|3LIT|4TLV|5MBVNT|68aDUR|7RCR|8BPWR|9AART
40	23423 33151	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1347VULN|2MLV|5DUR|6DMG|8BEXP|9RCR|aTLV
41	23423 61251	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1346VULN|2MLV|5DUR|7LHND|8DMG|9RCR|aTLV
42	23465 22122	3	   	257.48	DCR|3VULN|2DMG|2DUR|2LIT	138VULN|2MLV|48LIT|5LHND|6aDUR|78DMG|8BPWR|9RCR
43	23423 33651	6	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1347VULN|2MLV|5DUR|6DMG|8DUST|9RCR|aTLV
44	23423 63251	7	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1346VULN|2MLV|5DUR|7DUST|8DMG|9RCR|aTLV
45	16222 22135	7	 * 	256.63	ACR|3VULN|3DUR|1TLV|1DMG|2ASPD	1RCR|28ASPD|38aDUR|4LIT|5TLV|678VULN|8BPWR|9DMG
46	22523 24111	7	   	255.69	DCR|3VULN|2DUR|1TLV|2LIT|1AART	178VULN|28LHND|3AART|4TLV|59LIT|68DUR|8BPWR|aRCR
47	22523 53215	3	 * 	255.64	DCR|4VULN|2DUR|1DMG|1AART	147aVULN|2aLHND|3AART|5ERES|6RCR|8DMG|9aDUR|aBPWR
48	22521 23625	7	 * 	255.63	DCR|3VULN|2DMG|2TLV|1AART	15aVULN|27LHND|3AART|4aTLV|6LEGI|8RCR|9aDMG|aBPWR
49	26232 53641	2	   	255.25	DCR|5VULN|1DMG|1CDMG	13789VULN|2CDMG|4LIT|5MBVNT|6RCR|aDMG
50	63423 33242	9	   	255.00	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|25FEWX|3459VULN|5BPWR|6DMG|7CGEN|8RCR|aCDMG
51	26233 76343	5	   	254.95	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1aVULN|2CDMG|3aLIT|4TLV|5MBVNT|6DMG|7RCR|8DMSP|9aDUR|aBPWR
52	63423 32242	9	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|25FEWX|3459VULN|5BPWR|6DMG|7ERES|8RCR|aCDMG
53	26233 22432	6	 * 	254.71	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	18VULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9BEXP|aDMG
54	26233 22472	6	   	254.71	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	18VULN|28CDMG|3LIT|4TLV|5MBVNT|68DUR|7RCR|8BPWR|9LHND|aDMG
55	62313 26233	1	 * 	254.62	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1aTLV|25DMG|35aASPD|4RCVC|5aBPWR|6AART|7RCR|8aVULN|9BBNT
56	62313 26613	1	   	254.62	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1aTLV|25DMG|35aASPD|4RCVC|5aBPWR|6AART|7RCR|8TBNT|9aVULN
57	61421 42121	3	   	254.38	DCR|3VULN|2DMG|2TLV	18TLV|2LWND|368VULN|4FEWX|5LIT|78DMG|8BPWR|9RCR|aBELT
58	61421 42123	3	   	254.38	DCR|3VULN|2DMG|2TLV	18TLV|2LWND|368VULN|4FEWX|5LIT|78DMG|8BPWR|9RCR|aBEXP
59	62421 42121	3	   	254.38	DCR|3VULN|2DMG|2TLV	18TLV|2LHND|368VULN|4FEWX|5LIT|78DMG|8BPWR|9RCR|aBELT
60	62421 42123	3	   	254.38	DCR|3VULN|2DMG|2TLV	18TLV|2LHND|368VULN|4FEWX|5LIT|78DMG|8BPWR|9RCR|aBEXP
61	22331 66121	1	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	128VULN|3ASPD|48DUR|5BEXP|6TLV|78LIT|8BPWR|9RCR|aBELT
62	22331 66123	1	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	128VULN|3ASPD|48DUR|5BEXP|6TLV|78LIT|8BPWR|9RCR|aFEWX
63	22331 66124	1	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	128VULN|3ASPD|48DUR|5aBEXP|6TLV|78LIT|8BPWR|9RCR
64	22331 66126	1	   	254.24	DCR|3VULN|2DUR|1TLV|2LIT	128VULN|3ASPD|48DUR|5BEXP|6TLV|78LIT|8BPWR|9RCR|aTBNT
65	53423 21324	7	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|25MLV|345VULN|5BPWR|6LWND|7aDMG|8TLV|9RCR
66	53423 21251	8	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|25MLV|345VULN|5BPWR|6LWND|78DMG|9RCR|aTLV
67	62423 33124	7	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|25LHND|345VULN|5BPWR|6aDMG|7CGEN|8DUR|9RCR
68	63423 33124	7	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|25FEWX|345VULN|5BPWR|6aDMG|7CGEN|8DUR|9RCR
69	16222 22114	7	   	254.05	ACR|4VULN|2DUR|1TLV|2ASPD|1AART	1RCR|28ASPD|38DUR|4LIT|5TLV|6789VULN|8BPWR|aAART
70	23421 34324	6	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5FEWX|6aDMG|7DUR|8TLV|9RCR
71	23421 41324	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5FEWX|6DUR|7aDMG|8TLV|9RCR
72	23422 41324	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5LWND|6DUR|7aDMG|8TLV|9RCR
73	23423 21324	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6LWND|7aDMG|8TLV|9RCR
74	23423 35324	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6aDMG|7LHND|8TLV|9RCR
75	23423 36324	7	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6aDMG|7LWND|8TLV|9RCR
76	23421 41251	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5FEWX|6DUR|78DMG|9RCR|aTLV
77	23422 41251	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5LWND|6DUR|78DMG|9RCR|aTLV
78	23423 21251	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6LWND|78DMG|9RCR|aTLV
79	23423 35251	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|68DMG|7LHND|9RCR|aTLV
80	23423 36251	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|68DMG|7LWND|9RCR|aTLV
81	23423 24224	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6LWND|7TLV|8aDMG|9RCR
82	23423 24234	9	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	134VULN|2MLV|5DUR|6LWND|7TLV|8aDMG|9RCR
83	16222 12346	9	   	253.75	ACR|3VULN|3DUR|1TLV|3ASPD|1AART	1RCR|28aASPD|38aDUR|4LIT|5TLV|6LEGI|78aVULN|8aBPWR|9AART
84	16422 32143	5	 * 	253.44	ACR|3VULN|3DMG|1TLV|3ASPD	1RCR|28aASPD|38aVULN|4LIT|5TLV|6RMIN|78aDMG|8aBPWR|9RPLT
85	26213 23532	2	 * 	253.36	DCR|5VULN|2CDMG|1DMG	1367aVULN|24CDMG|5CGEN|8DMG|9RCR
86	23623 88411	9	   	253.28	DCR|5VULN|1TLV|1CDMG	14568VULN|256MLV|3MBVNT|56BPWR|7RCR|9TLV|aCDMG
87	53232 42125	7	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	18DUR|2MLV|38BEXP|4LIT|5TLV|678VULN|8BPWR|9RCR|aCDMG
88	22511 35136	4	   	253.00	DCR|3VULN|2TLV|1DMG|2LIT|1AART	18aVULN|2LHND|3AART|4aLIT|5LWND|6RCR|7DMG|9aTLV|aBPWR
89	26231 15511	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	139VULN|2CDMG|4LIT|58DUR|6TLV|7RCR|aRPLT
90	26231 15512	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	139VULN|2CDMG|4LIT|58DUR|6TLV|7RCR|aBEXP
91	26231 15513	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	139VULN|2CDMG|4LIT|58DUR|6TLV|7RCR|aFEWX
92	63311 42123	7	   	252.84	DCR|3VULN|2TLV|1DMG|1DUR	18TLV|2FEWX|38ERES|4LIT|5DUR|678VULN|8BPWR|9RCR|aDMG
93	21316 63234	10	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	139VULN|2FEWX|49LIT|5RMIN|6RCR|79DMG|8LEGI|9BPWR|aTLV
94	53232 42122	7	   	252.71	DCR|3VULN|3DUR|1TLV	18aDUR|2MLV|38BEXP|4LIT|5TLV|678VULN|8BPWR|9RCR
95	26213 23536	2	 * 	252.60	DCR|4VULN|2DMG|2CDMG	1367VULN|24CDMG|5CGEN|8aDMG|9RCR
96	22451 52123	4	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|2LHND|38CGEN|46DUR|5LIT|78DMG|8BPWR|9RCR|aTLV
97	52421 42123	4	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2LHND|38CGEN|46VULN|5LIT|78DMG|8BPWR|9RCR|aTLV
98	52511 12123	2	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2LHND|38VULN|46CGEN|5LIT|78DMG|8BPWR|9RCR|aTLV
99	51511 12123	1	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2LEGI|38VULN|46CGEN|5LIT|78DMG|8BPWR|9RCR|aTLV
100	53412 32123	6	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2MLV|38VULN|4RMIN|5ERES|6LIT|78DMG|8BPWR|9RCR|aTLV
101	53412 33123	7	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2MLV|38VULN|4RMIN|5ERES|6LIT|78DMG|8BPWR|9RCR|aTLV
