0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26123 46113	10	 * 	290.26	DCR|3VULN|3DUR|2DMG|3CDMG	18aDUR|28aVULN|3DUST|4LIT|568CDMG|7RCR|8aBPWR|9aDMG
14	26224 32213	2	   	273.56	DCR|4VULN|3DUR|1TLV	16aDUR|245aVULN|3ASPD|7TLV|8aDUST|9RCR|aBPWR
15	26524 32213	3	   	273.56	DCR|4VULN|3DUR|1TLV	16aDUR|245aVULN|3ASPD|7TLV|8aDUST|9RCR|aBPWR
16	26421 21622	3	   	273.28	DCR|3VULN|3DUR|2DMG|2AART	18aDUR|248VULN|38DMG|57AART|6RPLT|8BPWR|9RCR
17	26313 66123	10	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	13aDUR|24aVULN|5MLV|6RCR|7DMG|8RMIN|9aTLV|aBPWR
18	26224 42213	2	   	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	19aDUR|245VULN|39ASPD|6RCR|7BELT|89DMG|9BPWR
19	21631 15133	8	 * 	270.10	DCR|3VULN|3DUR|3ASPD|1DMG|1SELL	189DUR|2DMG|389ASPD|4SELL|5FEWX|6LIT|789VULN|89BPWR|aRCR
20	21633 15163	8	 * 	270.10	DCR|3VULN|3DUR|3ASPD|1DMG|1SELL	189DUR|2DMG|389ASPD|4SELL|5LHND|6LIT|789VULN|89BPWR|aRCR
21	26224 22633	2	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	17DUR|2457VULN|37ASPD|6TBNT|7BPWR|8RCR|9MLV|aTLV
22	21541 13242	1	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|2TBNT|3CDMG|4TLV|56DMG|7RCR|89aVULN
23	21116 52341	5	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	178DUR|27DMG|3LWND|4MLV|57VULN|6AART|7BPWR|9TLV|aRCR
24	21116 62341	6	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	178DUR|27DMG|3LWND|4MLV|57VULN|6AART|7BPWR|9TLV|aRCR
25	21136 62341	2	   	267.02	DCR|2VULN|3DUR|2DMG|1TLV|1AART	178DUR|27DMG|3AART|4LHND|5MLV|67VULN|7BPWR|9TLV|aRCR
26	22313 11123	6	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	139DUR|2BEXP|49aVULN|5LWND|6CDMG|7RCR|89TLV|9BPWR
27	22313 21123	5	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	139DUR|2BEXP|49aVULN|5LWND|6CDMG|7RCR|89TLV|9BPWR
28	26326 34213	2	   	265.87	DCR|4VULN|2DUR|1TLV|1CDMG	18DUR|2478VULN|3CGEN|5TLV|68BEXP|8BPWR|9RCR|aCDMG
29	22311 44162	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUR|2BEXP|4679VULN|57CGEN|7BPWR|8TLV|aRCR
30	22316 14162	6	   	265.45	DCR|4VULN|3DUR|1TLV	137DUR|2BEXP|4579VULN|67CGEN|7BPWR|8TLV|aRCR
31	22316 24162	5	   	265.45	DCR|4VULN|3DUR|1TLV	137DUR|2BEXP|4579VULN|67CGEN|7BPWR|8TLV|aRCR
32	22316 33662	7	   	265.45	DCR|4VULN|3DUR|1TLV	137DUR|27BEXP|4579VULN|6RMIN|7BPWR|8TLV|aRCR
33	26312 62312	7	   	265.35	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCR|9TLV|aLWND
34	26312 62314	7	   	265.35	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCR|9TLV|aCGEN
35	26312 62315	7	   	265.35	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCR|9TLV|aBEXP
36	26312 62341	10	   	265.35	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCVC|9RCR|aTLV
37	26314 12162	6	   	265.35	DCR|4VULN|3DUR|1TLV	135DUR|2459VULN|5BPWR|6CGEN|7BEXP|8TLV|aRCR
38	26311 33662	7	   	265.25	DCR|4VULN|3DUR|1TLV	137DUR|2479VULN|57DUST|6RMIN|7BPWR|8TLV|aRCR
39	26312 61311	7	   	265.25	DCR|4VULN|3DUR|1TLV	137DUR|246aVULN|5BELT|8RCR|9TLV
40	26312 62313	7	   	265.25	DCR|4VULN|3DUR|1TLV	137DUR|2467VULN|5BELT|7BPWR|8RCR|9TLV|aDUST
41	21212 22364	2	 * 	265.24	DCR|2VULN|3DUR|2DMG|3TLV	157DUR|2aDMG|3BBNT|47ERES|67aTLV|7aBPWR|8RCR|9aVULN
42	21212 25364	2	   	265.24	DCR|2VULN|3DUR|2DMG|2TLV	157DUR|2aDMG|3BBNT|4ERES|6aTLV|8RCR|9aVULN|aBPWR
43	26313 66321	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	13DUR|24aVULN|5MLV|6RCR|7DMG|8TLV|9CDMG
44	26313 66331	9	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	13DUR|24aVULN|5MLV|6RCR|7DMG|8TLV|9CDMG
45	26313 66331	10	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	13DUR|24aVULN|5MLV|6RCR|7DMG|8TLV|9CDMG
46	21541 23242	1	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	16DUR|2TBNT|3CDMG|4TLV|5DMG|7RCR|89aVULN
47	25325 32213	2	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	12aDUR|35aVULN|4DMSP|6DMG|7TLV|8aDUST|9RCR|aBPWR
48	26325 32213	1	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	12aDUR|2aBPWR|35aVULN|4DMSP|6DMG|7TLV|8aDUST|9RCR
49	26325 32213	3	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aDUR|25aVULN|4DMSP|6DMG|7TLV|8aDUST|9RCR|aBPWR
50	21116 21265	6	 * 	263.57	DCR|4VULN|2DMG|2DUR	1aDUR|2aDMG|3LWND|4MLV|579aVULN|6RCR|8TBNT|aBPWR
51	21423 34324	2	 * 	263.42	DCR|2VULN|3DMG|3DUR	134DUR|234DMG|34BPWR|5RPLT|68VULN|7LIT|9ASPD|aRCR
52	26314 23163	9	   	262.46	DCR|4VULN|3DUR|1CDMG|1AART	135DUR|2458VULN|5BPWR|6RMIN|7CDMG|9AART|aRCR
53	21116 22255	8	   	262.32	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|29DMG|3LWND|4MLV|59aVULN|6RCR|7ZMB|89TLV|9BPWR
54	31116 22251	8	   	261.82	DCR|3VULN|3DMG|3TLV	1LWND|29aDMG|3LHND|4MLV|59aVULN|6RCR|7ZMB|89aTLV|9aBPWR
55	51116 22251	8	   	261.82	DCR|3VULN|3DMG|3TLV	1FEWX|29aDMG|3LWND|4MLV|59aVULN|6RCR|7ZMB|89aTLV|9aBPWR
56	31636 22251	8	   	261.72	DCR|3VULN|3DMG|3TLV	1LWND|29aDMG|3ERES|4FEWX|59aVULN|6RCR|7ZMB|89aTLV|9aBPWR
57	62216 14122	5	   	261.72	DCR|3VULN|3DMG|2TLV	17TLV|29BEXP|378DMG|457VULN|6RMIN|7BPWR|aRCR
58	62216 33122	7	   	261.72	DCR|3VULN|3DMG|2TLV	17TLV|29BEXP|378DMG|457VULN|6RMIN|7BPWR|aRCR
59	62216 34122	6	   	261.72	DCR|3VULN|3DMG|2TLV	17TLV|29BEXP|378DMG|457VULN|6RMIN|7BPWR|aRCR
60	25215 21123	4	   	261.50	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	129DUR|3FEWX|49VULN|5LHND|6CDMG|7RCR|89TLV|9BPWR|aDMG
61	26121 33133	8	 * 	261.43	ACR|4VULN|3DUR|3CDMG|1DMG	189DUR|2789VULN|3DUST|4LIT|5RCR|689CDMG|89BPWR|aDMG
62	25411 25221	5	   	261.42	DCR|3VULN|3DUR|1DMG|2LIT	127DUR|37LIT|4ZMB|5DMG|679VULN|7BPWR|8RCR|aASPD
63	25313 21123	2	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	129DUR|39VULN|4BEXP|5LEGI|6CDMG|7RCR|89TLV|9BPWR|aDMG
64	26313 21123	3	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	139DUR|29VULN|4BEXP|5LEGI|6CDMG|7RCR|89TLV|9BPWR|aDMG
65	26313 21123	1	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	129DUR|29BPWR|39VULN|4BEXP|5LEGI|6CDMG|7RCR|89TLV|aDMG
66	26133 21123	3	   	261.30	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	149DUR|29VULN|3DUST|5LEGI|6CDMG|7RCR|89TLV|9BPWR|aDMG
67	26153 21123	4	   	261.30	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	149DUR|29VULN|3DUST|5LEGI|6CDMG|7RCR|89TLV|9BPWR|aDMG
68	21123 44151	2	 * 	261.00	DCR|3DMG|3DUR|1VULN|2TLV|1AART	148DUR|248DMG|3AART|48BPWR|5BELT|68TLV|7RMIN|9VULN|aRCR
69	26524 32213	4	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	16aDUR|25aVULN|34ASPD|7TLV|8aDUST|9RCR|aBPWR
