0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33323 28372	1	 * 	269.76	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356aVULN|46LIT|6BPWR|7RCR|8TLV|9DMG
48	32212 63236	2	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1CDMG|2TLV|347VULN|5ERES|6RCR|89DUR|aASPD
49	33348 41341	1	   	252.70	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3568VULN|45aDUR|5BPWR|7CGEN|9RCR
50	33348 81341	1	   	252.70	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3578VULN|45aDUR|5BPWR|6CGEN|9RCR
51	33348 43275	1	   	252.60	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3567VULN|458DUR|5BPWR|9ERES|aRCR
52	33348 43541	1	   	252.60	DCR|4VULN|3DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45aDUR|5BPWR|8ERES|9RCR
53	32216 61331	2	   	252.56	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|34VULN|5BBNT|6RCR|78DMG|9AART|aDUR
54	32216 61363	2	   	252.56	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|34VULN|5BBNT|6RCR|78DMG|9DUR|aAART
55	44321 23231	9	   	252.38	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	15ERES|2aDMG|3CGEN|45TLV|5aBPWR|6aVULN|7DUR|8aLIT|9RCR
56	23211 42126	10	 * 	252.28	DCR|3VULN|2DMG|2DUR|1AART	145FEWX|2aDMG|3aDUR|6RCR|78aVULN|9AART|aBPWR
57	13152 25252	2	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LHND|2DMG|38aVULN|4AART|5TLV|6RCR|7LIT|9CDMG
58	32263 22612	8	   	251.21	DCR|3VULN|1TLV|2CDMG|1DUR|2LIT	13CDMG|2TLV|4aLIT|568VULN|7DUR|9RCR
59	43162 31311	1	   	251.20	DCR|2VULN|2DMG|1TLV|2ASPD|1CDMG	17ERES|2LIT|37ASPD|4TLV|5CDMG|67DMG|7BPWR|89VULN|aRCR
60	23223 31455	7	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1FEWX|26DMG|3DUR|48VULN|5CDMG|7aTLV|9RCR
61	23223 31655	8	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1FEWX|26DMG|3DUR|48VULN|5CDMG|7aTLV|9RCR
62	31213 42331	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2ERES|3468VULN|5TLV|7DUR|9FEWX|aRCR
63	32212 42331	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3468VULN|5ERES|7DUR|9FEWX|aRCR
64	31213 61344	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2ERES|3489VULN|5TLV|6RCR|7CGEN|aDUR
65	32212 61344	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3489VULN|5ERES|6RCR|7CGEN|aDUR
66	31213 42311	2	   	250.89	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2ERES|3468VULN|5TLV|7DUR|9LEGI|aRCR
67	32212 42311	2	   	250.89	DCR|4VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3468VULN|5ERES|7DUR|9LEGI|aRCR
68	32263 22615	8	 * 	250.70	DCR|3VULN|3CDMG|1TLV|1DUR	13aCDMG|2TLV|4LIT|568VULN|7DUR|9RCR
69	51516 23111	5	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1RMIN|279VULN|3LIT|4DMG|5TLV|6ASPD|8CDMG|aRCR
70	31213 15111	2	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1CDMG|2ERES|349VULN|5TLV|6LIT|7DMG|8ASPD|aRCR
71	32212 15111	2	   	250.37	DCR|3VULN|1TLV|1DMG|1CDMG	1CDMG|2TLV|349VULN|5ERES|6LIT|7DMG|8ASPD|aRCR
72	31213 62361	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2ERES|34aVULN|5TLV|6RCR|7BEXP|8DUR|9DMG
73	31213 66361	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2ERES|34aVULN|5TLV|6RCR|7LHND|8DUR|9DMG
74	32212 62361	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|34aVULN|5ERES|6RCR|7BEXP|8DUR|9DMG
75	32212 66361	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|34aVULN|5ERES|6RCR|7LHND|8DUR|9DMG
76	33323 81664	1	   	249.97	DCR|4VULN|2CDMG|1DMG|2LIT	17CDMG|2MBVNT|3567VULN|47LIT|7BPWR|8DMG|9RCR|aLHND
77	32216 61143	2	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2TLV|34aVULN|5BBNT|6RCR|7DMG|8ERES|9DUR
78	33323 26466	1	   	249.87	DCR|4VULN|1DMG|2CDMG|2LIT	1aCDMG|2MBVNT|3568VULN|46LIT|6BPWR|7DMG|9RCR
79	33323 81661	1	   	249.87	DCR|4VULN|2CDMG|1DMG|2LIT	17CDMG|2MBVNT|3567VULN|47LIT|7BPWR|8DMG|9RCR|aLEGI
80	33323 81663	1	   	249.87	DCR|4VULN|1DMG|2CDMG|2LIT	17CDMG|2MBVNT|3567VULN|47LIT|7BPWR|8DMG|9RCR|aERES
81	33323 28324	1	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|356aVULN|46LIT|6BPWR|7RCR|8TLV|9CGEN
82	33323 28334	1	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV|aLHND
83	33323 28337	1	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV|aFEWX
84	33323 28338	1	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV|aLWND
85	33323 28355	1	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|356aVULN|46LIT|6BPWR|7RCR|8TLV|9ZMB
86	31113 51631	1	   	249.69	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR|1AART	16CDMG|2AART|3DUR|4ERES|56VULN|6BPWR|7DMG|8TLV|9LIT|aRCR
87	33323 28331	1	   	249.60	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV|aLEGI
88	33323 28333	1	   	249.60	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7RCR|8TLV|aERES
89	33323 88332	1	   	249.60	DCR|4VULN|1TLV|2LIT|1CDMG	1CDMG|2MBVNT|3569VULN|4aLIT|7RCR|8TLV
90	23223 21451	7	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aCGEN
91	23223 21456	7	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1aFEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR
92	23223 21651	8	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aCGEN
93	23223 21656	8	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1aFEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR
94	23223 24451	6	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aCGEN
95	32263 22314	6	   	249.36	DCR|4VULN|1TLV|2CDMG	13CDMG|2TLV|4LIT|569aVULN|7RCR|8ERES
96	33323 88336	1	   	249.36	DCR|4VULN|1TLV|2CDMG	1aCDMG|2MBVNT|3569VULN|4LIT|7RCR|8TLV
97	33323 88416	1	   	249.36	DCR|4VULN|1TLV|2CDMG	18CDMG|2MBVNT|3569VULN|4LIT|7RCR|aTLV
98	23223 21453	7	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aBBNT
99	23223 21454	7	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aDUST
100	23223 21455	6	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7ERES|9RCR|aTLV
101	23223 21653	8	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aBBNT
102	23223 21654	8	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aDUST
103	23223 24453	6	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1FEWX|26DMG|3DUR|48VULN|56CDMG|6BPWR|7TLV|9RCR|aBBNT
104	33348 23518	1	   	249.13	DCR|4VULN|2DUR|1CDMG|1AART	1CDMG|2MBVNT|358aVULN|45DUR|5BPWR|6RPLT|7RCR|9AART
105	26643 22211	4	 * 	248.91	DCR|3VULN|2TLV|2DUR|1AART	1aFEWX|2AART|357VULN|4aTLV|6RCR|8RCVC|9aDUR|aBPWR
106	33323 28371	1	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7RCR|8TLV|9DMG|aZMB
107	33323 28374	1	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7RCR|8TLV|9DMG|aLWND
108	33323 28378	1	   	248.71	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7RCR|8TLV|9DMG|aRCVC
109	33323 28373	1	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7RCR|8TLV|9DMG|aERES
110	33323 28376	1	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7RCR|8TLV|9DMG|aDUST
111	33323 26462	1	   	248.56	DCR|4VULN|3LIT|1DMG|1CDMG	1CDMG|2MBVNT|3568VULN|46aLIT|6BPWR|7DMG|9RCR
112	32263 22262	6	   	248.47	DCR|3VULN|1TLV|1DMG|2CDMG	13CDMG|2TLV|4LIT|56aVULN|7RCR|8LWND|9DMG
113	31263 22615	6	   	248.37	DCR|3VULN|1TLV|1DMG|2CDMG	13CDMG|2ERES|4LIT|569VULN|7RCR|8DMG|aTLV
114	32263 22662	6	   	248.37	DCR|3VULN|1TLV|1DMG|2CDMG	13CDMG|2TLV|4LIT|56aVULN|7RCR|8DUST|9DMG
115	33323 81512	1	 * 	248.25	DCR|5VULN|2CDMG|2LIT	17CDMG|2MBVNT|35679VULN|47LIT|7BPWR|8LWND|aRCR
116	33323 28415	1	   	248.15	DCR|5VULN|2CDMG|2LIT	18CDMG|2MBVNT|3569aVULN|46LIT|6BPWR|7RCR
117	23254 42233	10	   	247.88	DCR|2VULN|3DUR|1TLV|1DMG	1FEWX|2DMG|345DUR|6RCR|7aVULN|8TLV|9LIT
118	23254 42232	6	   	247.88	DCR|2VULN|3DUR|1TLV|1DMG	1FEWX|2DMG|345DUR|6RCR|7LIT|89VULN|aTLV
119	34211 13111	1	   	247.81	DCR|4VULN|2CDMG|1DUR|1NUKE	15CDMG|2NUKE|3459VULN|5BPWR|6LIT|7DUR|8ASPD|aRCR
120	33341 84874	1	   	247.80	DCR|3VULN|2DMG|2CDMG|1DUR	18CDMG|2MBVNT|378VULN|4DUR|5DUST|68DMG|8BPWR|9ZMB|aRCR
121	33348 28424	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3578VULN|45DUR|5BPWR|6RPLT|9RCR|aLIT
122	33348 41347	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3568VULN|45DUR|5BPWR|7CGEN|9RCR|aASPD
123	33348 43442	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ASPD|9RCR|aRCVC
124	33348 43443	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ASPD|9RCR|aMLV
125	33348 43448	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ASPD|9RCR|aLWND
126	33348 46424	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3568VULN|45DUR|5BPWR|7RPLT|9RCR|aLIT
127	33348 81347	1	   	247.78	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3578VULN|45DUR|5BPWR|6CGEN|9RCR|aASPD
128	23254 42122	9	   	247.72	DCR|3VULN|3DUR|1DMG|1AART	1FEWX|2DMG|345DUR|6RCR|78aVULN|9AART
129	33348 43444	1	   	247.68	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ASPD|9RCR|aDUST
130	33348 43547	1	   	247.68	DCR|4VULN|2DUR|1CDMG	1CDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ERES|9RCR|aASPD
131	51366 33114	9	   	247.46	DCR|3VULN|2TLV|2DUR	1RMIN|28aVULN|3MBVNT|4aDUR|5BEXP|6RCR|7ASPD|9aTLV|aBPWR
132	51224 21412	2	   	247.46	DCR|3VULN|2TLV|2DUR	1RMIN|248VULN|3RPLT|58DUR|6TBNT|78TLV|8BPWR|9LIT|aRCR
133	23223 21533	7	 * 	247.37	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1FEWX|26DMG|389DUR|4VULN|56CDMG|6BPWR|7TLV|aRCR
134	23223 24533	6	   	247.37	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1FEWX|26DMG|389DUR|4VULN|56CDMG|6BPWR|7TLV|aRCR
135	23653 21533	7	   	247.37	DCR|3DUR|1VULN|2DMG|1TLV|2CDMG	1FEWX|26DMG|3VULN|489DUR|56CDMG|6BPWR|7TLV|aRCR
136	33323 26181	1	   	247.06	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG	1CDMG|2MBVNT|356VULN|46LIT|6BPWR|7DMG|8ASPD|9DUR|aRCR
137	23132 12126	10	   	246.79	DCR|2VULN|3DMG|2TLV|1AART	145FEWX|25aDMG|3RMIN|5aBPWR|6aVULN|7RCR|8aTLV|9AART
138	23422 12366	10	 * 	246.69	DCR|2VULN|3DMG|3TLV|1AART	13aFEWX|256DMG|45aTLV|5aBPWR|7AART|8aVULN|9RCR
139	51542 31112	4	   	246.61	DCR|3VULN|2DMG|2CDMG|2LIT	1RMIN|247VULN|3aLIT|57CDMG|67DMG|7BPWR|8CGEN|9RCR
140	23422 12361	9	   	246.59	DCR|2VULN|3DMG|2TLV|1AART	13FEWX|256DMG|45TLV|5BPWR|7AART|8aVULN|9RCR
141	32261 33311	4	   	246.58	DCR|2VULN|1TLV|2CDMG|1DMG|1DUR|2LIT	13CDMG|2TLV|45LIT|6DMG|7DUR|89VULN|aRCR
142	32265 33311	5	   	246.58	DCR|2VULN|1TLV|2CDMG|1DMG|1DUR|2LIT	13CDMG|2TLV|45LIT|6DMG|7DUR|89VULN|aRCR
143	32261 31612	4	   	246.58	DCR|2VULN|1TLV|2CDMG|1DMG|1DUR|2LIT	13CDMG|2TLV|45LIT|6DMG|7RCR|8DUR|9aVULN
144	32265 31612	5	   	246.58	DCR|2VULN|1TLV|2CDMG|1DMG|1DUR|2LIT	13CDMG|2TLV|45LIT|6DMG|7RCR|8DUR|9aVULN
145	26423 25222	2	   	246.48	DCR|3VULN|1TLV|1DMG|1AART	1FEWX|2AART|3TLV|4ASPD|589VULN|6RCR|7LIT|aDMG
146	23254 12212	10	   	246.37	DCR|3VULN|3DUR|1DMG	1FEWX|2DMG|345DUR|678VULN|9RCR|aLIT
147	23254 12213	9	   	246.37	DCR|3VULN|3DUR|1DMG	1FEWX|2DMG|345DUR|678VULN|9RCR|aASPD
148	23254 12252	10	   	246.37	DCR|3VULN|3DUR|1DMG	1FEWX|2DMG|345DUR|678VULN|9LIT|aRCR
149	32241 11224	2	   	246.33	DCR|3VULN|2TLV|1DUR|1CDMG	1CDMG|27TLV|39aVULN|4BBNT|5DUR|6RCR|8LIT
150	33348 45541	1	 * 	246.27	DCR|3VULN|3DUR|2CDMG	18CDMG|2MBVNT|356VULN|45aDUR|5BPWR|7ASPD|9RCR
151	13152 25225	2	   	246.25	DCR|3VULN|2TLV|1DMG|1AART	1LHND|2DMG|389VULN|4AART|5aTLV|6RCR|7LIT
152	23162 25225	2	   	246.25	DCR|3VULN|2TLV|1DMG|1AART	1FEWX|2DMG|389VULN|4AART|5aTLV|6RCR|7LIT
153	13522 61161	3	   	246.20	DCR|3VULN|2DMG|1TLV	18LHND|28DMG|3LIT|4CGEN|578VULN|6BBNT|8BPWR|9RCR|aTLV
154	51232 33121	10	   	246.10	DCR|3VULN|2DMG|1TLV	1RMIN|268VULN|3LHND|4DUST|56DMG|6BPWR|7TLV|9LIT|aRCR
155	51442 33121	10	   	246.10	DCR|3VULN|2DMG|1TLV	1RMIN|268VULN|3FEWX|4DUST|56DMG|6BPWR|7TLV|9LIT|aRCR
156	32263 22414	6	 * 	246.07	DCR|2VULN|3CDMG|1TLV|1DMG|1DUR	138CDMG|2TLV|4LIT|56VULN|7RCR|9DUR|aDMG
157	33323 25411	1	   	246.06	DCR|4VULN|2CDMG|1DUR|2LIT	18CDMG|2MBVNT|3569VULN|46LIT|6BPWR|7DUR|aRCR
158	23342 12135	10	 * 	245.98	DCR|3DMG|1VULN|2DUR|1TLV|2ASPD	1FEWX|245DMG|35ASPD|5BPWR|6TLV|7RCR|8aDUR|9VULN
159	23354 61121	10	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1FEWX|26DMG|3ASPD|4TLV|5DUR|78VULN|9LIT|aRCR
160	23346 11121	10	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1FEWX|24DMG|3ASPD|5TLV|6DUR|78VULN|9LIT|aRCR
161	23353 11121	10	   	245.96	DCR|2VULN|2DMG|1TLV|1DUR	1FEWX|25DMG|3ASPD|4TLV|6DUR|78VULN|9LIT|aRCR
162	51361 17341	10	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	1RMIN|289VULN|3MBVNT|49DUR|5MLV|6TLV|79LIT|9BPWR|aRCR
163	33348 41348	1	   	245.78	DCR|4VULN|2DUR|2CDMG	1aCDMG|2MBVNT|3568VULN|45DUR|5BPWR|7CGEN|9RCR
164	33348 81348	1	   	245.78	DCR|4VULN|2DUR|2CDMG	1aCDMG|2MBVNT|3578VULN|45DUR|5BPWR|6CGEN|9RCR
165	33348 43548	1	   	245.68	DCR|4VULN|2DUR|2CDMG	1aCDMG|2MBVNT|3567VULN|45DUR|5BPWR|8ERES|9RCR
