0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55334 11223	6	 * 	317.30	DCR|5VULN|3DUR|2DMG	167DUR|2LIT|37DMG|4567aVULN|67BPWR|8RCR|9ERES
28	33335 11134	9	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aMLV
29	33335 11134	10	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aFEWX
30	33335 11136	9	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aBEXP
31	33335 11137	9	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aFEWX
32	33335 11138	10	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aBEXP
33	33335 17253	9	   	295.44	DCR|5VULN|3DMG|2LIT	1MBVNT|27LIT|367DMG|4567aVULN|67BPWR|8ZMB|9RCR
34	64335 11131	9	   	295.44	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aLHND
35	64335 11131	10	   	295.44	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aCGEN
36	64335 11133	10	   	295.44	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aZMB
37	64335 11134	10	   	295.44	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aFEWX
38	64335 11134	9	   	295.44	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aMLV
39	33335 11133	9	   	295.34	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aBBNT
40	33335 11136	10	   	295.34	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aERES
41	33335 61131	9	   	295.34	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|4579aVULN|8RCR|9BPWR
42	33335 61136	10	   	295.34	DCR|5VULN|3DMG|2LIT	1MBVNT|29LIT|369DMG|4579aVULN|8RCR|9BPWR
43	64335 11133	9	   	295.34	DCR|5VULN|3DMG|2LIT	19LIT|25679VULN|369DMG|4MBVNT|69BPWR|8RCR|aBBNT
44	33335 11137	10	   	295.20	DCR|5VULN|3DMG|2LIT|1SELL	1MBVNT|29LIT|369DMG|45679VULN|69BPWR|8RCR|aSELL
45	33337 14235	6	   	295.16	DCR|4VULN|3DMG|1DUR	1MBVNT|2LIT|356DMG|4567VULN|56BPWR|8AART|9RCR|aDUR
46	33337 32267	6	   	294.35	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	1MBVNT|29LIT|35DMG|459VULN|59BPWR|69DUR|7RCR|8AART|aTLV
47	33235 11138	9	 * 	292.93	DCR|5VULN|3ASPD|1DMG|2LIT	1MBVNT|29LIT|369ASPD|45679VULN|69BPWR|8RCR|aDMG
48	33335 17346	10	   	292.05	DCR|4VULN|3DMG|1TLV|2LIT	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8DUST|9TLV|aRCR
49	33335 61133	10	   	292.05	DCR|4VULN|3DMG|1DUR|2LIT	1MBVNT|29LIT|369DMG|4579VULN|8RCR|9BPWR|aDUR
50	64326 13323	7	   	291.73	DCR|4VULN|3DUR|3LIT|1DMG	156LIT|278aVULN|3DMG|456DUR|56BPWR|9RCR
51	33337 32261	6	   	291.33	DCR|3VULN|3DUR|2DMG|2LIT	1MBVNT|29LIT|35DMG|459VULN|59BPWR|69aDUR|7RCR|8AART
52	55234 11221	6	   	290.98	DCR|4VULN|3DUR|2ASPD	167DUR|2LIT|37ASPD|4567VULN|67BPWR|8RCR|9ERES|aAART
53	33337 14231	6	   	289.91	DCR|4VULN|3DMG|1ASPD	1MBVNT|2LIT|356DMG|4567VULN|56BPWR|8AART|9RCR|aASPD
54	64337 14231	6	   	289.91	DCR|4VULN|3DMG|1ASPD	1LIT|2567VULN|356DMG|4MBVNT|56BPWR|8AART|9RCR|aASPD
55	33335 17282	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8ZMB|9CDMG|aRCR
56	33335 17722	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8CDMG|9RMIN|aRCR
57	33335 17742	9	   	289.55	DCR|4VULN|3DMG|2LIT|1CDMG	1MBVNT|27LIT|367DMG|4567VULN|67BPWR|8CDMG|9MLV|aRCR
58	53613 26312	7	   	289.45	DCR|4VULN|3DUR|2DMG	149DUR|2RPLT|349aVULN|49BPWR|5BEXP|6DUST|7RCR|89DMG
59	33335 11156	8	   	289.29	DCR|5VULN|2DMG|1TLV	1MBVNT|2LIT|36DMG|4567aVULN|6BPWR|8RCR|9TLV
60	33335 11162	8	   	289.29	DCR|5VULN|2DMG|1DUR	1MBVNT|2LIT|36DMG|4567aVULN|6BPWR|8RCR|9DUR
61	33335 11762	7	   	289.29	DCR|5VULN|2DMG|1DUR	1MBVNT|2LIT|36DMG|4567aVULN|6BPWR|8RCR|9DUR
62	33335 11152	9	   	289.29	DCR|5VULN|2DMG|1DUR	1MBVNT|2LIT|36DMG|45679VULN|6BPWR|8RCR|aDUR
63	33235 11135	9	   	289.12	DCR|5VULN|3ASPD|1TLV|2LIT	1MBVNT|29LIT|369ASPD|45679VULN|69BPWR|8RCR|aTLV
64	33335 11814	9	   	288.69	DCR|5VULN|3DMG	1MBVNT|2LIT|369DMG|45678VULN|6BPWR|aRCR
65	66234 11122	6	   	288.52	DCR|5VULN|2ASPD|3LIT|1DMG	167LIT|2BEXP|37ASPD|45678VULN|67BPWR|9RCR|aDMG
66	55234 11233	6	   	287.87	DCR|4VULN|3DUR|2ASPD|2LIT	167DUR|2aLIT|37ASPD|4567VULN|67BPWR|8RCR|9DLOT
