0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11346 12152	4	 * 	298.14	DCR|5VULN|2DUR|2TLV|2CDMG	1aCDMG|2458aVULN|35DUR|5aBPWR|6LWND|7RCR|9aTLV
34	23536 24333	3	   	276.12	DCR|4VULN|2DMG|2DUR	18DUR|28FEWX|3DUST|467aVULN|58DMG|8BPWR|9RCR
35	21266 24333	2	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|28DUST|367aVULN|4FEWX|58DMG|8BPWR|9RCR
36	21636 24333	2	   	276.02	DCR|4VULN|2DMG|2DUR	18DUR|28DUST|3FEWX|467aVULN|58DMG|8BPWR|9RCR
37	11316 13143	5	   	276.01	DCR|3VULN|2DMG|3CDMG|1DUR|1ASPD	157CDMG|27aVULN|3DUR|4LHND|67DMG|7BPWR|8ASPD|9RCR
38	11134 36612	3	 * 	275.67	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	1CDMG|24aVULN|3LIT|5LHND|6RCR|7aDMG|8ASPD|9aTLV|aBPWR
39	26313 62431	1	   	275.54	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|28aVULN|3LIT|4RPLT|5ZMB|6RCR|78DMG|8BPWR|9CDMG
40	11344 23336	6	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24aVULN|36DUR|5LIT|7RCR|89DMG
41	11344 23336	7	   	275.34	DCR|3VULN|2DMG|2DUR|1CDMG	1CDMG|24aVULN|36DUR|5LIT|7RCR|89DMG
42	11346 22362	7	   	274.69	DCR|4VULN|2DUR|2CDMG|1TLV	18CDMG|2489VULN|38DUR|5RPLT|6LEGI|7RCR|8BPWR|aTLV
43	26263 14332	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2378VULN|4FEWX|5DMG|68DUST|8BPWR|9RCR|aTLV
44	26633 14332	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2478VULN|3FEWX|5DMG|68DUST|8BPWR|9RCR|aTLV
45	13214 74413	1	 * 	274.42	DCR|3VULN|3DMG|2CDMG|1DUR	19CDMG|2MBVNT|3DUR|459DMG|69aVULN|7RCR|8BBNT|9BPWR
46	11346 12213	4	   	274.10	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|245VULN|35DUR|5BPWR|6LWND|7RCR|8LIT|9TLV|aDMG
47	14132 32614	7	 * 	274.07	DCR|3VULN|3DMG|3CDMG	126CDMG|3RPLT|468DMG|5AART|68BPWR|78aVULN|9RCR
48	11344 23433	8	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|24aVULN|36DUR|5LIT|7RCR|8TLV|9DMG
49	23322 13635	9	   	273.66	DCR|4VULN|3DUR|1CDMG	157DUR|2FEWX|3LIT|4589VULN|5BPWR|6CDMG|aRCR
50	11213 53143	3	   	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	157CDMG|27aVULN|3LHND|4DMG|67DUR|7BPWR|8ASPD|9RCR
51	11313 53143	2	   	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	157CDMG|27aVULN|3LWND|4DMG|67DUR|7BPWR|8ASPD|9RCR
52	11413 53143	2	   	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	157CDMG|27aVULN|3LHND|4DMG|67DUR|7BPWR|8ASPD|9RCR
53	11131 43326	3	   	272.36	DCR|4VULN|1DMG|1DUR|2LIT|1CDMG	1CDMG|249aVULN|35LIT|6DUR|7RCR|8DMG
54	11346 62121	4	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2458VULN|35DUR|5BPWR|6BEXP|7RCR|9DMG|aRCVC
55	11346 62123	4	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|2458VULN|35DUR|5BPWR|6BEXP|7RCR|9DMG|aCGEN
56	21143 32156	1	   	272.09	DCR|4VULN|2DUR|2TLV|1CDMG	1aDUR|24ERES|348aVULN|4aBPWR|5CGEN|6CDMG|7RCR|9aTLV
57	11346 12141	4	   	271.66	DCR|4VULN|3DUR|2CDMG	19CDMG|2458VULN|35aDUR|5BPWR|6LWND|7RCR
58	23322 26226	5	 * 	271.66	DCR|4VULN|3DUR|3LIT	15aDUR|2FEWX|39aLIT|456aVULN|5aBPWR|7RCR|8TBNT
59	23322 61226	5	   	271.66	DCR|4VULN|3DUR|3LIT	15aDUR|2FEWX|39aLIT|457aVULN|5aBPWR|6RCR|8TBNT
60	21322 26226	5	   	271.56	DCR|4VULN|3DUR|3LIT	15aDUR|2DUST|39aLIT|456aVULN|5aBPWR|7RCR|8TBNT
61	21322 61226	5	   	271.56	DCR|4VULN|3DUR|3LIT	15aDUR|2DUST|39aLIT|457aVULN|5aBPWR|6RCR|8TBNT
62	23322 26611	7	   	271.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	159DUR|2FEWX|39LIT|45VULN|59BPWR|6CGEN|7RCR|89DMG|aTLV
63	23322 64612	5	   	271.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	159DUR|2FEWX|39LIT|45VULN|59BPWR|6RCR|7TLV|89DMG|aRCVC
64	26622 13351	10	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2LIT|3LHND|459VULN|5BPWR|6CDMG|7RCR|8DMG
65	26622 13336	9	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	159DUR|2LIT|3LHND|45aVULN|5BPWR|6CDMG|7RCR|8DMG
66	23322 62611	5	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	159DUR|2FEWX|39LIT|45VULN|59BPWR|6RCR|7ERES|89DMG|aTLV
67	23322 64611	5	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	159DUR|2FEWX|39LIT|45VULN|59BPWR|6RCR|7TLV|89DMG|aTBNT
68	11316 32152	6	 * 	269.96	DCR|4VULN|3CDMG|2TLV|1DUR	15aCDMG|268aVULN|3DUR|4LHND|7RCR|9aTLV|aBPWR
69	11332 65214	7	   	269.86	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	1CDMG|26aVULN|345DUR|7ASPD|8RCR|9TLV
70	23536 24332	3	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|28FEWX|3DUST|467VULN|58DMG|8BPWR|9RCR|aTLV
71	21266 24332	2	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|28DUST|367VULN|4FEWX|58DMG|8BPWR|9RCR|aTLV
72	21636 24332	2	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|28DUST|3FEWX|467VULN|58DMG|8BPWR|9RCR|aTLV
73	11215 53335	4	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	17CDMG|279VULN|34LHND|5DMG|678DUR|7BPWR|aRCR
74	11134 36126	3	   	269.10	DCR|5VULN|1DMG|1CDMG	1CDMG|2489aVULN|3LIT|5LHND|6RCR|7DMG
75	23322 13321	6	   	268.86	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|2FEWX|3LIT|459VULN|5BPWR|6CDMG|7RCR|8DMG|aASPD
76	23322 63321	5	   	268.86	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|2FEWX|3LIT|459VULN|5BPWR|6RCR|7CDMG|8DMG|aASPD
77	26622 13321	8	   	268.86	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|2LIT|3LHND|459VULN|5BPWR|6CDMG|7RCR|8DMG|aASPD
78	26622 13351	9	   	268.86	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|2LIT|3LHND|459VULN|5BPWR|6CDMG|7RCR|8DMG|aASPD
79	13246 74417	1	   	268.83	DCR|2VULN|2DMG|2DUR|3CDMG|1TLV	149CDMG|2MBVNT|34DUR|49BPWR|59DMG|69VULN|7RCR|8BBNT|aTLV
80	11344 23433	7	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|24aVULN|36DUR|5LIT|7RCR|8ASPD|9DMG
81	11344 23433	6	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1CDMG|24aVULN|36DUR|5LIT|7RCR|8ASPD|9DMG
82	21322 16421	6	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|2DUST|3LIT|459VULN|5BPWR|6CDMG|7DMG|8RCR|aASPD
83	23311 53322	1	 * 	268.56	DCR|2VULN|2DUR|2TLV|1DMG|2LIT|1CDMG|1ASPD	13DUR|2aLIT|4ASPD|5CDMG|6aTLV|7RCR|8DMG|9aVULN|aBPWR
84	25511 53322	2	   	268.56	DCR|2VULN|2DUR|2TLV|1DMG|2LIT|1CDMG|1ASPD	12DUR|2aBPWR|3aLIT|4ASPD|5CDMG|6aTLV|7RCR|8DMG|9aVULN
85	26311 53322	2	   	268.56	DCR|2VULN|2DUR|2TLV|1DMG|2LIT|1CDMG|1ASPD	13DUR|2aLIT|4ASPD|5CDMG|6aTLV|7RCR|8DMG|9aVULN|aBPWR
86	11124 13126	6	   	268.55	DCR|4VULN|1DUR|1TLV|2LIT|1CDMG	1CDMG|289aVULN|35LIT|4TLV|6RCR|7DUR
87	11124 13126	7	   	268.55	DCR|4VULN|1DUR|1TLV|2LIT|1CDMG	1CDMG|289aVULN|35LIT|4TLV|6RCR|7DUR
88	11346 12151	4	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1CDMG|2458VULN|35DUR|5BPWR|6LWND|7RCR|9TLV|aFEWX
89	11124 13242	6	 * 	268.17	DCR|2VULN|2DMG|3LIT|2CDMG|1TLV|1DUR	1aCDMG|2aVULN|359LIT|4TLV|6RCR|7DUR|8aDMG|aBPWR
90	11124 13242	7	   	268.17	DCR|2VULN|2DMG|3LIT|2CDMG|1TLV|1DUR	1aCDMG|2aVULN|359LIT|4TLV|6RCR|7DUR|8aDMG|aBPWR
91	11124 13542	8	   	268.17	DCR|2VULN|2DMG|3LIT|2CDMG|1TLV|1DUR	1aCDMG|2aVULN|359LIT|4TLV|6RCR|7DUR|8aDMG|aBPWR
