0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31112 25524	1	 * 	283.09	DCR|4VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458aVULN|8BPWR|9RCR
39	31112 25525	1	   	261.94	DCR|3VULN|3DUR|3TLV|1AART	168TLV|278DUR|3AART|458VULN|8BPWR|9RCR|aERES
40	33133 51363	9	   	261.49	DCR|2VULN|3DMG|2TLV|2ASPD	19TLV|24ASPD|349DMG|49BPWR|5ERES|6DMSP|7LIT|89VULN|aRCR
41	63112 21613	9	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	1RPLT|278VULN|37TLV|4LIT|5LWND|67DUR|7BPWR|9CDMG|aRCR
42	63112 21633	8	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	1RPLT|278VULN|37TLV|4LIT|5LWND|67DUR|7BPWR|9CDMG|aRCR
43	65112 21613	9	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	1RPLT|27TLV|378VULN|4LIT|5LWND|67DUR|7BPWR|9CDMG|aRCR
44	65112 21633	8	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	1RPLT|27TLV|378VULN|4LIT|5LWND|67DUR|7BPWR|9CDMG|aRCR
45	33132 55362	4	   	261.15	DCR|2VULN|3DMG|1TLV|2ASPD|1DUR	1TLV|24ASPD|349DMG|4BPWR|5DUR|68VULN|7ERES|aRCR
46	43511 42111	1	   	260.69	DCR|3VULN|3DUR|2TLV	15aDUR|2ASPD|38aVULN|4aTLV|6BELT|7RCR|9BBNT|aBPWR
47	33111 31424	3	 * 	260.61	DCR|2VULN|3DMG|2TLV|3ASPD	18TLV|258ASPD|369DMG|4ZMB|78VULN|8BPWR|aRCR
48	31516 11231	1	   	260.32	DCR|2VULN|2DMG|3TLV|2DUR	148TLV|26DUR|38VULN|58DMG|7BBNT|8BPWR|9RCR|aLIT
49	35161 32322	3	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	19TLV|2ZMB|39DMG|4CDMG|5CGEN|6RCR|7RCVC|89aVULN|9BPWR
50	63251 15331	5	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|268VULN|3CGEN|4RMIN|58DMG|78TLV|8BPWR|9CDMG|aRCR
51	63341 15331	5	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|268VULN|3RMIN|4CGEN|58DMG|78TLV|8BPWR|9CDMG|aRCR
52	36531 23333	1	   	259.65	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|269VULN|3LIT|45DMG|7ERES|8CDMG|aRCR
53	63321 15331	5	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1RPLT|268VULN|3RMIN|4ERES|58DMG|78TLV|8BPWR|9CDMG|aRCR
54	33251 32325	1	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2CDMG|39DMG|4ASPD|5CGEN|6RCR|7RCVC|89VULN|9BPWR|aDUR
55	33135 43334	10	   	259.25	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	1TLV|24ASPD|34DMG|4BPWR|5BEXP|6CDMG|78VULN|9DUR|aRCR
56	44122 32342	4	 * 	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	19DUR|29TLV|3ZMB|45CDMG|6RCR|7RCVC|89aVULN|9BPWR
57	21111 13423	5	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2MBVNT|3RPLT|4678VULN|57DMG|7BPWR|9TLV|aRCR
58	21111 64423	6	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2MBVNT|3RPLT|4678VULN|56DMG|6BPWR|9TLV|aRCR
59	21144 13423	3	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2MBVNT|3RPLT|47DMG|5678VULN|7BPWR|9TLV|aRCR
60	21444 13423	2	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2MBVNT|3RPLT|47DMG|5678VULN|7BPWR|9TLV|aRCR
61	22434 13423	4	   	258.84	DCR|4VULN|2DMG|1TLV	1RCVC|2RPLT|37DMG|4MBVNT|5678VULN|7BPWR|9TLV|aRCR
62	22111 53314	6	 * 	258.65	ACR|4VULN|3DMG|1TLV|1DUR	1RCVC|2RPLT|3RCR|467aVULN|567DMG|67BPWR|8TLV|9DUR
63	22111 53336	6	   	258.65	ACR|4VULN|3DMG|1TLV|1DUR	1RCVC|2RPLT|3RCR|4679VULN|567DMG|67BPWR|8TLV|aDUR
64	33136 33415	7	   	258.61	DCR|2VULN|2DMG|2TLV|3ASPD|1CDMG	19TLV|249ASPD|34DMG|49BPWR|5MBVNT|6CDMG|79VULN|8RPLT|aRCR
65	31543 62213	1	 * 	258.10	DCR|2VULN|2TLV|2DUR|3ASPD|1DMG	18TLV|27DUR|38VULN|468ASPD|5TBNT|8BPWR|9DMG|aRCR
66	33223 32343	1	   	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|29CDMG|34DMG|5DUR|6RCR|7RCVC|89VULN|9BPWR|aZMB
67	33223 32346	1	   	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|29CDMG|34DMG|5DUR|6RCR|7RCVC|89VULN|9BPWR|aMLV
68	33223 32352	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2CDMG|34DMG|59DUR|6RCR|7RCVC|8aVULN
69	33223 32344	1	   	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|29CDMG|34DMG|5DUR|6RCR|7RCVC|89VULN|9BPWR|aTBNT
70	32132 52221	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|24CGEN|34DMG|4BPWR|579DUR|6aVULN|8RCR
71	21111 63165	6	   	257.24	DCR|3VULN|3DMG|1DUR|1CDMG	1RCVC|2MBVNT|3RPLT|467VULN|567DMG|67BPWR|8CDMG|9DUR|aRCR
72	31226 52221	1	   	257.06	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|279DUR|35DMG|4ERES|6aVULN|8RCR
73	33256 32342	1	   	256.75	DCR|3VULN|2TLV|1DMG|2CDMG	19TLV|29CDMG|3DMG|4ASPD|5RMIN|6RCR|7RCVC|89aVULN|9BPWR
74	22436 13431	3	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2RPLT|37DMG|457VULN|67DUR|7BPWR|8CDMG|9MLV|aRCR
75	22436 13631	3	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2RPLT|37DMG|457VULN|67DUR|7BPWR|8CGEN|9CDMG|aRCR
76	32246 43112	6	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2CGEN|3RCVC|4AART|579VULN|6RCR|89DMG|9BPWR|aLHND
77	36121 31221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1TLV|2aVULN|359DUR|4DMG|67ASPD|8RCR
78	36141 31221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1TLV|2aVULN|359DUR|47ASPD|6DMG|8RCR
79	31211 51221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1TLV|249DUR|3DMG|57ASPD|6aVULN|8RCR
80	31521 31221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1TLV|259DUR|3aVULN|4DMG|67ASPD|8RCR
81	31541 31221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1TLV|259DUR|3aVULN|47ASPD|6DMG|8RCR
82	43511 31221	1	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	159DUR|27ASPD|3aVULN|4TLV|6DMG|8RCR
83	44211 51221	2	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	149DUR|2TLV|3DMG|57ASPD|6aVULN|8RCR
84	44521 31221	2	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	159DUR|2TLV|3aVULN|4DMG|67ASPD|8RCR
85	46511 31221	2	   	255.72	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	159DUR|27ASPD|3aVULN|4TLV|6DMG|8RCR
86	32246 43113	6	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2CGEN|3RCVC|4AART|579VULN|6RCR|89DMG|9BPWR|aERES
87	31541 42111	1	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	1aTLV|25DUR|38aVULN|4aASPD|6BELT|7RCR|9BBNT|aBPWR
88	33131 21152	10	   	255.26	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1TLV|24ASPD|34DMG|4BPWR|5RPLT|68VULN|7AART|9DUR|aRCR
89	31112 22453	1	   	255.18	DCR|4VULN|2TLV|1DUR|1AART	16TLV|2DUR|3AART|457aVULN|8RCR|9LHND
90	33132 31262	10	   	254.72	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1aTLV|246ASPD|34DMG|4aBPWR|5aMLV|7aVULN|8AART|9RCR
91	33133 31262	10	   	254.52	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1aTLV|246ASPD|34DMG|4aBPWR|5aERES|7aVULN|8AART|9RCR
92	43112 24232	1	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUR|2ASPD|3AART|45aVULN|6TLV|7RCR|8ZMB|9DMG
93	46112 24232	2	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUR|2ASPD|3AART|45aVULN|6TLV|7RCR|8ZMB|9DMG
94	43112 24141	1	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUR|2ASPD|3AART|45aVULN|6TLV|7RCR|8TBNT|9DMG
95	63611 42222	2	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RPLT|27aVULN|3CDMG|4TLV|59DUR|6AART|8RCR
96	21344 81782	9	   	254.28	DCR|3VULN|2DMG|2TLV	1RCVC|2MBVNT|3RMIN|48aVULN|5ASPD|68TLV|78DMG|8BPWR|9RCR
97	33215 53243	3	   	254.28	DCR|3VULN|2DMG|2TLV|1NUKE	19TLV|2ASPD|3RCVC|469VULN|5NUKE|79DMG|8RPLT|9BPWR|aRCR
98	33215 53413	3	   	254.28	DCR|3VULN|2DMG|2TLV|1NUKE	18TLV|2ASPD|3RCVC|468VULN|5NUKE|78DMG|8BPWR|9RPLT|aRCR
99	33132 52232	4	   	254.26	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	19TLV|24ASPD|349DMG|49BPWR|58DUR|6VULN|79ZMB|aRCR
100	35132 51232	4	   	254.26	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	19TLV|24ZMB|349DMG|49BPWR|58DUR|6VULN|79ASPD|aRCR
101	33135 62533	4	 * 	254.24	DCR|1VULN|2DMG|2TLV|2DUR|3ASPD	19TLV|249ASPD|34DMG|49BPWR|5MBVNT|6VULN|7RCR|89DUR|aLIT
102	33136 62533	5	   	254.24	DCR|1VULN|2DMG|2TLV|2DUR|3ASPD	19TLV|249ASPD|34DMG|49BPWR|5MBVNT|6VULN|7RCR|89DUR|aLIT
103	41221 41621	2	   	254.20	DCR|4VULN|3DUR|2LIT	169DUR|27BEXP|39LIT|469aVULN|5RMIN|69BPWR|8RCR
104	33135 22217	4	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9CGEN|aVULN
105	33135 22234	4	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9FEWX|aVULN
106	33135 22257	4	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9LHND|aVULN
107	33136 22217	5	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9CGEN|aVULN
108	33136 22234	5	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9FEWX|aVULN
109	33136 22257	5	   	254.16	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9LHND|aVULN
110	33135 22264	4	   	254.06	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9DUST|aVULN
111	33136 22264	5	   	254.06	DCR|3DMG|1VULN|2TLV|2DUR|2ASPD	18TLV|24ASPD|348DMG|48BPWR|5MBVNT|68DUR|7RCR|9DUST|aVULN
112	33152 35222	10	   	253.93	DCR|3VULN|2DMG|2TLV|1SELL	18TLV|2ASPD|38DMG|4DUST|5SELL|6ERES|789VULN|8BPWR|aRCR
113	33135 62524	4	   	253.80	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	1TLV|24ASPD|34DMG|4BPWR|5MBVNT|69VULN|7RCR|8DUR|aLIT
114	33136 62524	5	   	253.80	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	1TLV|24ASPD|34DMG|4BPWR|5MBVNT|69VULN|7RCR|8DUR|aLIT
115	32132 51362	4	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	1TLV|24CGEN|349DMG|4BPWR|5DUR|68VULN|7ASPD|aRCR
116	36326 43233	10	   	253.34	DCR|3VULN|3DMG|1TLV	1TLV|2BEXP|3DLOT|457DMG|6RCR|89aVULN
117	33132 53232	4	   	253.23	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	1TLV|249ASPD|34DMG|49BPWR|5DUR|69VULN|7LHND|89LWND|aRCR
118	33132 53332	4	   	253.23	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	1TLV|249ASPD|34DMG|49BPWR|5DUR|69VULN|7LHND|89FEWX|aRCR
119	31226 51362	1	   	253.21	DCR|2VULN|3DMG|1TLV|1DUR	1TLV|2DUR|359DMG|4ERES|68VULN|7ASPD|aRCR
120	33132 56232	4	   	253.13	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	1TLV|249ASPD|34DMG|49BPWR|5DUR|69VULN|7DUST|89LWND|aRCR
121	33132 56332	4	   	253.13	DCR|2VULN|2DMG|1TLV|3ASPD|1DUR	1TLV|249ASPD|34DMG|49BPWR|5DUR|69VULN|7DUST|89FEWX|aRCR
