0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22223 21652	7	 * 	252.80	DCR|4VULN|2DMG|2CDMG	1RPLT|2aDMG|35CGEN|456aVULN|5aBPWR|7MBVNT|8RCR|9aCDMG
17	22223 13254	7	   	242.26	DCR|3VULN|1TLV|1DMG|1CDMG|1LIT	1RPLT|2DMG|35CGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR|aLIT
18	22223 13265	9	   	242.26	DCR|3VULN|1TLV|1DMG|1CDMG|1ASPD	1RPLT|2DMG|35CGEN|45aVULN|5BPWR|6CDMG|7TLV|8ASPD|9RCR
19	22223 13265	7	   	242.26	DCR|3VULN|1TLV|1DMG|1CDMG|1ASPD	1RPLT|2DMG|35CGEN|45aVULN|5BPWR|6CDMG|7TLV|8RCR|9ASPD
20	25223 13265	7	   	242.26	DCR|3VULN|1TLV|1DMG|1CDMG|1ASPD	1RPLT|2ASPD|35CGEN|45aVULN|5BPWR|6CDMG|7TLV|8RCR|9DMG
21	12312 36344	9	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG|1LIT	1CGEN|2LWND|356VULN|4LIT|7CDMG|8DMG|9TLV|aRCR
22	33164 62121	1	   	241.60	DCR|5VULN|1DMG|1LIT	1BEXP|2489aVULN|3BBNT|5DMG|6LIT|7RCR
23	22512 41111	3	   	241.09	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD	1RPLT|27DMG|37VULN|4ASPD|58DUR|67LIT|7BPWR|9MLV|aRCR
24	15234 51233	7	 * 	239.57	DCR|2VULN|3DUR|1TLV|2CDMG	18CGEN|235DUR|48VULN|68CDMG|7RCR|8BPWR|9ERES|aTLV
25	32622 35362	7	   	239.48	DCR|3VULN|2DUR|1TLV|1ASPD	1BEXP|2aDUR|3TLV|4ZMB|5aLWND|6ASPD|78aVULN|9RCR|aBPWR
26	43122 26612	2	   	239.48	DCR|3VULN|2DUR|1TLV|1ASPD	1RCVC|2aZMB|3ASPD|45aVULN|6BEXP|7TLV|8RCR|9aDUR|aBPWR
27	43322 22162	9	   	239.48	DCR|3VULN|2DUR|1TLV|1ASPD	1RCVC|2aZMB|3ASPD|49aVULN|5FEWX|6TLV|7RCR|8aDUR|aBPWR
28	43322 26612	3	   	239.48	DCR|3VULN|2DUR|1TLV|1ASPD	1RCVC|2aZMB|3ASPD|45aVULN|6BEXP|7TLV|8RCR|9aDUR|aBPWR
29	43322 26612	4	   	239.48	DCR|3VULN|2DUR|1TLV|1ASPD	1RCVC|2aZMB|3ASPD|45aVULN|6BEXP|7TLV|8RCR|9aDUR|aBPWR
30	22164 32622	1	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aLHND
31	22164 32623	1	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aRMIN
32	22164 32631	1	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aASPD
33	23164 32622	2	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aLHND
34	23164 32623	2	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aRMIN
35	23164 32631	2	   	239.28	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aASPD
36	22164 32621	1	   	239.18	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aERES
37	23164 32621	2	   	239.18	DCR|3VULN|2DUR|1TLV|1ASPD	1RPLT|26DUR|347VULN|5TLV|8RCR|9ASPD|aERES
38	15613 11133	2	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG|1LIT	1CGEN|2DUR|3LIT|4TBNT|578VULN|6RCR|9CDMG|aTLV
39	15613 52133	2	   	238.25	DCR|3VULN|1TLV|1DUR|1CDMG|1LIT	1CGEN|2DUR|3LIT|4TBNT|568VULN|7RCR|9CDMG|aTLV
40	22162 52422	1	 * 	238.06	DCR|3VULN|3DUR|1DMG	1RPLT|257DUR|348VULN|6LWND|9RCR|aDMG
41	23162 52422	2	   	238.06	DCR|3VULN|3DUR|1DMG	1RPLT|257DUR|348VULN|6LWND|9RCR|aDMG
42	22323 11451	6	 * 	237.99	DCR|2VULN|2DMG|2TLV|1LIT|1ASPD	1RPLT|27DMG|37FEWX|4LIT|58VULN|67TLV|7BPWR|9ASPD|aRCR
43	22162 42422	1	   	237.96	DCR|3VULN|3DUR|1DMG	1RPLT|257DUR|348VULN|6DUST|9RCR|aDMG
44	23162 42422	2	   	237.96	DCR|3VULN|3DUR|1DMG	1RPLT|257DUR|348VULN|6DUST|9RCR|aDMG
45	22515 23252	7	 * 	237.79	DCR|3VULN|2DMG|1TLV	1RPLT|29DMG|38aVULN|4FEWX|5LHND|6RCR|7TLV
46	22525 23252	7	   	237.79	DCR|3VULN|2DMG|1TLV	1RPLT|29DMG|38aVULN|4BEXP|5LHND|6RCR|7TLV
47	22536 23252	7	   	237.79	DCR|3VULN|2DMG|1TLV	1RPLT|29DMG|38aVULN|4LHND|5BEXP|6RCR|7TLV
48	15613 11141	2	   	237.78	DCR|5VULN|1DUR|1LIT	1CGEN|2DUR|3LIT|4TBNT|5789aVULN|6RCR
49	22432 35122	2	   	237.75	DCR|2VULN|2DMG|1TLV|2ASPD|1LIT	1RPLT|28DMG|3LHND|4BELT|58ASPD|6RCR|78VULN|8BPWR|9LIT|aTLV
50	22513 21842	5	   	237.69	DCR|3VULN|2DMG|1TLV	1RPLT|27DMG|38aVULN|4FEWX|5TLV|6MBVNT|9RCR
51	22523 21842	5	   	237.69	DCR|3VULN|2DMG|1TLV	1RPLT|27DMG|38aVULN|4BEXP|5TLV|6MBVNT|9RCR
52	25336 36111	3	   	237.60	DCR|3VULN|2DMG|2ASPD|1AART	1RPLT|28ASPD|3FEWX|4BELT|58DMG|6RCR|78aVULN|8BPWR|9AART
53	22563 21842	5	   	237.59	DCR|3VULN|2DMG|1TLV	1RPLT|27DMG|38aVULN|4DUST|5TLV|6MBVNT|9RCR
54	22531 22344	4	   	237.50	DCR|3VULN|2DMG|1DUR|1AART	1RPLT|2aDMG|37aVULN|4LHND|5DUR|6aDUST|8RCR|9AART|aBPWR
55	22532 41512	3	   	237.35	DCR|3VULN|2DMG|2ASPD|1AART|1SELL	1RPLT|2aDMG|38aVULN|4BELT|5aASPD|6SELL|7RCR|9AART|aBPWR
56	22565 23231	10	   	237.28	DCR|2VULN|2DMG|2TLV|1DUR|1SELL	1RPLT|29DMG|39VULN|4DUST|5LHND|6RCR|79TLV|8SELL|9BPWR|aDUR
57	12312 36354	8	   	237.01	DCR|4VULN|1DMG|1CDMG|1LIT	1CGEN|2LWND|356aVULN|4LIT|7CDMG|8DMG|9RCR
58	22323 36451	6	   	236.82	DCR|3VULN|1TLV|1DMG|1LIT|1ASPD	1RPLT|2DMG|3FEWX|4LIT|568VULN|7TLV|9ASPD|aRCR
59	22523 41351	5	   	236.46	DCR|2VULN|2DMG|1TLV|2LIT|1ASPD	1RPLT|27DMG|37VULN|48BEXP|5TLV|67LIT|7BPWR|9ASPD|aRCR
60	26247 43842	2	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1RPLT|2RCVC|3MBVNT|4TLV|5DMG|6DUR|78aVULN|9RCR
61	32331 33426	9	   	236.35	DCR|3VULN|1TLV|1DMG|1DUR	1BEXP|2DUR|3DUST|48aVULN|5DMG|6TLV|7FEWX|9RCR
62	32431 12622	6	 * 	236.27	DCR|2VULN|2TLV|2DUR|1CDMG|1ASPD|1SELL	1BEXP|2aDUR|3SELL|4ASPD|5LWND|6aVULN|7CDMG|8RCR|9aTLV|aBPWR
63	32431 14622	7	 * 	236.27	DCR|2VULN|2TLV|2DUR|1CDMG|1ASPD|1SELL	1BEXP|2aDUR|3SELL|4ASPD|5LWND|6aVULN|7CDMG|8RCR|9aTLV|aBPWR
64	22325 21115	1	 * 	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	1RPLT|2DUR|3TBNT|4aCDMG|568VULN|7RCR|9TLV
65	23325 21115	2	   	236.25	DCR|3VULN|1TLV|2CDMG|1DUR	1RPLT|2DUR|3TBNT|4aCDMG|568VULN|7RCR|9TLV
66	22334 62134	4	   	236.24	DCR|3VULN|2DMG|1DUR|1LIT	1RPLT|27DMG|37FEWX|4DUR|5LIT|67aVULN|7BPWR|8DUST|9RCR
67	22353 21411	2	   	236.14	DCR|3VULN|2DMG|2ASPD|1LIT	1RPLT|27DMG|37ASPD|4LIT|5DUST|678VULN|7BPWR|9MLV|aRCR
68	22323 36331	9	   	236.13	DCR|2VULN|2DMG|2TLV|2LIT	1RPLT|2aDMG|3FEWX|4aLIT|56VULN|7ERES|8aTLV|9RCR|aBPWR
69	15342 34123	5	 * 	236.09	DCR|2VULN|3DUR|2TLV|1ASPD	1aCGEN|267DUR|3ASPD|4aTLV|5BELT|8RCR|9aVULN|aBPWR
70	22221 42525	5	   	235.90	DCR|2VULN|2DMG|2DUR|1AART|1LIT	1RPLT|2aDMG|3CGEN|4aVULN|5BEXP|6LIT|7AART|8RCR|9aDUR|aBPWR
71	22223 42525	4	   	235.90	DCR|2VULN|2DMG|2DUR|1AART|1LIT	1RPLT|2aDMG|3CGEN|4aVULN|5BEXP|6LIT|7AART|8RCR|9aDUR|aBPWR
72	22225 12525	5	   	235.90	DCR|2VULN|2DMG|2DUR|1AART|1LIT	1RPLT|2aDMG|3CGEN|4aVULN|5LIT|6FEWX|7AART|8RCR|9aDUR|aBPWR
73	22225 32525	6	   	235.90	DCR|2VULN|2DMG|2DUR|1AART|1LIT	1RPLT|2aDMG|3CGEN|4aVULN|5LIT|6FEWX|7AART|8RCR|9aDUR|aBPWR
74	22535 36222	8	   	235.03	DCR|2VULN|2DMG|2TLV|1CDMG	1RPLT|2aDMG|3aVULN|45LHND|6CDMG|7DMSP|8RCR|9aTLV|aBPWR
75	22535 36232	9	   	235.03	DCR|2VULN|2DMG|2TLV|1CDMG	1RPLT|2aDMG|3aVULN|45LHND|6CDMG|7DMSP|8RCR|9aTLV|aBPWR
76	22513 41411	3	   	234.95	DCR|3VULN|2DMG|2LIT|1ASPD	1RPLT|27DMG|378VULN|4ASPD|5BEXP|67LIT|7BPWR|9MLV|aRCR
77	22323 21451	6	   	234.95	DCR|3VULN|2DMG|2LIT|1ASPD	1RPLT|27DMG|3FEWX|47LIT|578VULN|6RMIN|7BPWR|9ASPD|aRCR
78	22323 41451	5	   	234.95	DCR|3VULN|2DMG|2LIT|1ASPD	1RPLT|27DMG|3FEWX|47LIT|578VULN|6RMIN|7BPWR|9ASPD|aRCR
79	32155 25322	9	   	234.71	DCR|3VULN|3DUR|1LIT|1ASPD	1BEXP|268DUR|3LHND|4LIT|567VULN|6BPWR|9RCR|aASPD
80	22323 31136	10	   	234.65	DCR|2VULN|2DUR|1TLV|1DMG|1LIT	1RPLT|2DMG|3FEWX|4LIT|56VULN|78DUR|9RCR|aTLV
81	22164 11611	1	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG|1LIT	1RPLT|27DUR|34VULN|5TLV|6BBNT|8LIT|9RCR|aDMG
82	23164 11611	2	   	234.55	DCR|2VULN|2DUR|1TLV|1DMG|1LIT	1RPLT|27DUR|34VULN|5TLV|6BBNT|8LIT|9RCR|aDMG
83	22225 21451	6	   	234.54	DCR|2VULN|2DMG|2DUR|1LIT|1ASPD	1RPLT|27DMG|37CGEN|48VULN|5LIT|67DUR|7BPWR|9ASPD|aRCR
84	22234 41135	1	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1RPLT|278DUR|3DUST|47VULN|5DMSP|67LIT|7BPWR|9TLV|aRCR
85	23234 41135	2	   	234.46	DCR|2VULN|3DUR|1TLV|2LIT	1RPLT|278DUR|3DUST|47VULN|5DMSP|67LIT|7BPWR|9TLV|aRCR
86	23162 41135	1	   	234.36	DCR|2VULN|3DUR|1TLV|2LIT	1RPLT|27DUST|34VULN|578DUR|67LIT|7BPWR|9TLV|aRCR
87	22512 41241	3	   	234.35	DCR|2VULN|2DMG|2ASPD|1DUR|2LIT	1RPLT|27DMG|37VULN|49ASPD|5DUR|67LIT|7BPWR|8ZMB|aRCR
88	21364 31151	2	   	234.34	DCR|2VULN|2DMG|2DUR|1LIT|1ASPD	1RPLT|27ERES|37VULN|4LIT|58DUR|67DMG|7BPWR|9ASPD|aRCR
89	22432 35112	2	   	234.08	DCR|2VULN|2DMG|2DUR|2ASPD	1RPLT|28DMG|3LHND|4BELT|58ASPD|6RCR|78VULN|8BPWR|9aDUR
90	22223 13251	7	   	233.95	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|35CGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR|aFEWX
91	22223 13252	7	   	233.95	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|35aCGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR
92	22223 13256	7	   	233.95	DCR|3VULN|1TLV|1DMG|1CDMG	1aRPLT|2DMG|35CGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR
93	22223 13255	7	   	233.85	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|35CGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR|aERES
94	22533 13362	10	   	233.85	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|389VULN|4LHND|5TLV|6BEXP|7CDMG|aRCR
95	22553 13251	7	   	233.75	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|359VULN|45ERES|5BPWR|6CDMG|7TLV|8RCR|aFEWX
96	22553 13252	7	   	233.75	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|359VULN|45ERES|5BPWR|6CDMG|7TLV|8RCR|aCGEN
97	22553 13253	7	   	233.65	DCR|3VULN|1TLV|1DMG|1CDMG	1RPLT|2DMG|359VULN|45ERES|5BPWR|6CDMG|7TLV|8RCR|aDUST
98	31214 23343	7	   	233.61	DCR|3VULN|1TLV|1DMG|1CDMG|1SELL	1BEXP|2RMIN|3SELL|468VULN|5DMG|7CDMG|9RCR|aTLV
99	31214 26343	6	   	233.61	DCR|3VULN|1TLV|1DMG|1CDMG|1SELL	1BEXP|2RMIN|3SELL|468VULN|5DMG|7CDMG|9RCR|aTLV
100	12312 34124	7	   	233.19	DCR|4VULN|1DUR|1CDMG|1LIT	1CGEN|2LWND|3569VULN|4LIT|7DUR|8CDMG|aRCR
101	12312 34124	6	   	233.19	DCR|4VULN|1DUR|1CDMG|1LIT	1CGEN|2LWND|3569VULN|4LIT|7DUR|8CDMG|aRCR
102	12312 34524	8	   	233.19	DCR|4VULN|1DUR|1CDMG|1LIT	1CGEN|2LWND|3569VULN|4LIT|7DUR|8CDMG|aRCR
103	15613 11134	2	   	233.09	DCR|4VULN|1DUR|1CDMG|1LIT	1CGEN|2DUR|3LIT|4TBNT|578aVULN|6RCR|9CDMG
104	31214 23343	8	 * 	233.02	DCR|2VULN|2DMG|1TLV|2CDMG|1SELL	18BEXP|2RMIN|3SELL|46VULN|58DMG|78CDMG|8BPWR|9RCR|aTLV
105	32632 35362	7	 * 	232.87	DCR|3VULN|2TLV|1DUR|1NUKE|1ASPD	1aBEXP|2DUR|3aTLV|4NUKE|5LWND|6ASPD|78aVULN|9RCR|aBPWR
106	22225 41331	9	   	232.68	DCR|2VULN|2DMG|2DUR|2LIT	1RPLT|2aDMG|3CGEN|4aVULN|56LIT|7ERES|8aDUR|9RCR|aBPWR
107	22323 65225	5	   	232.68	DCR|2VULN|2DMG|2DUR|2LIT	1RPLT|27DMG|3FEWX|47LIT|57VULN|6BBNT|7BPWR|89DUR|aRCR
108	22314 31521	6	 * 	232.65	DCR|2VULN|3DMG|1DUR|1CDMG	1RPLT|25aDMG|34aFEWX|6CDMG|7RCR|8DUR|9aVULN|aBPWR
109	12354 21343	4	   	232.64	DCR|4VULN|2DMG	1CGEN|2LWND|3568VULN|4aDMG|7ZMB|9RCR
110	22553 21514	9	   	232.54	DCR|4VULN|2DMG	1RPLT|2aDMG|356aVULN|45aERES|5aBPWR|7MBVNT|8DMSP|9RCR
111	22553 21614	7	   	232.54	DCR|4VULN|2DMG	1RPLT|2aDMG|356aVULN|45aERES|5aBPWR|7MBVNT|8RCR|9DMSP
112	42332 12154	1	   	232.21	DCR|3VULN|1DMG|1DUR|1CDMG|1LIT	1RCVC|2CDMG|3CGEN|4DMG|58aVULN|6DUR|7LIT|9RCR
113	31213 12132	9	   	231.80	DCR|3VULN|3DUR|1CDMG|1SELL	19aBEXP|2RMIN|3SELL|49aVULN|5CGEN|6CDMG|7RCR|89aDUR|9aBPWR
114	15234 23433	6	   	231.65	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|467VULN|8LHND|9CDMG|aRCR
115	15234 23433	5	   	231.65	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|467VULN|8LHND|9CDMG|aRCR
116	15234 23633	5	   	231.65	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|467VULN|8FEWX|9CDMG|aRCR
117	15234 23633	6	   	231.65	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|467VULN|8FEWX|9CDMG|aRCR
118	22162 52423	1	   	231.65	DCR|3VULN|3DUR|1CDMG	1RPLT|257DUR|348VULN|6LWND|9RCR|aCDMG
119	23162 52423	2	   	231.65	DCR|3VULN|3DUR|1CDMG	1RPLT|257DUR|348VULN|6LWND|9RCR|aCDMG
120	22535 36211	9	   	231.58	DCR|2VULN|2DMG|2DUR|1CDMG	1RPLT|2aDMG|3aVULN|45LHND|6CDMG|7DMSP|8RCR|9aDUR|aBPWR
121	15234 25133	6	   	231.55	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|468VULN|7DUST|9CDMG|aRCR
122	15234 25133	5	   	231.55	DCR|3VULN|3DUR|1CDMG	1CGEN|235DUR|468VULN|7DUST|9CDMG|aRCR
123	22162 42423	1	   	231.55	DCR|3VULN|3DUR|1CDMG	1RPLT|257DUR|348VULN|6DUST|9RCR|aCDMG
124	23162 42423	2	   	231.55	DCR|3VULN|3DUR|1CDMG	1RPLT|257DUR|348VULN|6DUST|9RCR|aCDMG
125	25223 21652	7	   	231.30	DCR|4VULN|2CDMG|2ASPD	1RPLT|2aASPD|35CGEN|456aVULN|5aBPWR|7MBVNT|8RCR|9aCDMG
126	15613 16332	2	   	231.24	DCR|3VULN|1TLV|1DUR|2LIT	18CGEN|2DUR|38LIT|4TBNT|58aVULN|6RCR|7DLOT|8BPWR|9TLV
127	33314 21612	1	   	231.07	DCR|3VULN|2DUR|1TLV|1NUKE	1aBEXP|26aVULN|3TLV|4DMSP|5NUKE|7ZMB|8RCR|9aDUR|aBPWR
128	22316 51235	2	   	231.06	DCR|2VULN|2DMG|1TLV|1AART|1ASPD	1RPLT|26DMG|3ASPD|4RCVC|5TLV|7RCR|89VULN|aAART
129	22164 32632	1	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aLWND
130	23164 32632	2	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aLWND
131	23214 15151	10	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3BEXP|5RMIN|69aVULN|7RCR|8TLV
132	23214 15152	9	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3BEXP|5RMIN|69aVULN|7RCR|8TLV
133	23214 15331	10	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3BEXP|5RMIN|689VULN|7RCR|aTLV
134	23413 15151	10	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3FEWX|5MLV|69aVULN|7RCR|8TLV
135	23413 15152	9	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3FEWX|5MLV|69aVULN|7RCR|8TLV
136	23414 15331	10	   	230.97	DCR|3VULN|2DUR|1TLV	1RPLT|24DUR|3FEWX|5RMIN|689VULN|7RCR|aTLV
137	23666 33331	9	   	230.97	DCR|2VULN|2TLV|2DUR|1LIT|1ASPD	1RPLT|2aDUR|3LIT|4aERES|56VULN|7ASPD|8aTLV|9RCR|aBPWR
138	25225 51331	9	   	230.94	DCR|2VULN|2DUR|1TLV|2ASPD|1LIT	1RPLT|2aASPD|3CGEN|4aVULN|5LIT|6TLV|7RCVC|8aDUR|9RCR|aBPWR
139	22164 32633	1	   	230.87	DCR|3VULN|2DUR|1TLV	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aLEGI
140	23164 32633	2	   	230.87	DCR|3VULN|2DUR|1TLV	1RPLT|26DUR|347VULN|5TLV|8RCR|9BEXP|aLEGI
141	32313 53828	5	   	230.77	DCR|3VULN|2DUR|1TLV	1BEXP|24DUR|3DUST|578VULN|6MBVNT|9TLV|aRCR
142	22164 32611	1	   	230.73	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aBEXP
143	22164 32612	1	   	230.73	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aCGEN
144	23164 32611	2	   	230.73	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aBEXP
145	23164 32612	2	   	230.73	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aCGEN
146	32621 32662	9	   	230.71	DCR|2VULN|2TLV|2DUR|2ASPD	1BEXP|2aDUR|35TLV|4ZMB|6aASPD|7RCR|8LWND|9aVULN|aBPWR
147	22565 23232	9	   	230.69	DCR|2VULN|2DMG|2TLV|1AART|1SELL	1RPLT|29DMG|39VULN|4DUST|5LHND|6RCR|79TLV|8SELL|9BPWR|aAART
148	22164 32613	1	   	230.63	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aDUST
149	23164 32613	2	   	230.63	DCR|3VULN|2DUR|1TLV|1SELL	1RPLT|26DUR|347VULN|5TLV|8RCR|9SELL|aDUST
150	25223 13254	7	   	230.50	DCR|3VULN|1TLV|1CDMG|1LIT|1ASPD	1RPLT|2ASPD|35CGEN|459VULN|5BPWR|6CDMG|7TLV|8RCR|aLIT
151	12312 43124	6	   	230.40	DCR|3VULN|1TLV|1CDMG|1LIT|1ASPD	1CGEN|2LWND|359VULN|4LIT|6ASPD|7TLV|8CDMG|aRCR
152	12312 53124	5	   	230.40	DCR|3VULN|1TLV|1CDMG|1LIT|1ASPD	1CGEN|2LWND|359VULN|4LIT|6ASPD|7TLV|8CDMG|aRCR
153	12313 53124	4	   	230.40	DCR|3VULN|1TLV|1CDMG|1LIT|1ASPD	1CGEN|2LWND|359VULN|4LIT|6ASPD|7TLV|8CDMG|aRCR
154	13134 25231	1	   	230.38	DCR|3VULN|2TLV|1CDMG|1ASPD	128CGEN|3ASPD|48TLV|5BELT|6RCR|789VULN|8BPWR|aCDMG
155	15134 25231	1	   	230.38	DCR|3VULN|2TLV|1CDMG|1ASPD	18CGEN|2RCVC|3ASPD|48TLV|5BELT|6RCR|789VULN|8BPWR|aCDMG
156	32323 41134	1	   	230.08	DCR|3VULN|2TLV|1CDMG|1LIT	1BEXP|2DUST|36TLV|4LIT|579VULN|8CDMG|aRCR
157	36323 41134	2	   	230.08	DCR|3VULN|2TLV|1CDMG|1LIT	1BEXP|2DUST|36TLV|4LIT|579VULN|8CDMG|aRCR
158	22325 21111	1	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aBEXP
159	22325 21112	1	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aCGEN
160	22325 21114	1	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aLHND
161	22325 21116	1	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aMLV
162	23325 21111	2	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aBEXP
163	23325 21112	2	   	229.94	DCR|3VULN|1TLV|1DUR|1CDMG	1RPLT|2DUR|3TBNT|4CDMG|568VULN|7RCR|9TLV|aCGEN
