0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12421 11255	6	 * 	287.80	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19DUR|29DMG|3AART|4LHND|5LIT|679VULN|8RCR|9BPWR|aTLV
30	22362 65121	5	   	269.24	DCR|3VULN|3DMG|2DUR	149BEXP|29aDMG|3ERES|5aDUR|6RCR|7TBNT|89aVULN|9aBPWR
31	13414 21342	7	   	269.13	DCR|4VULN|3DUR|2AART	179DUR|2CGEN|34AART|579aVULN|679ERES|79BPWR|8RCR
32	52313 21553	7	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1aLIT|2MLV|3aDUR|458VULN|6CGEN|7RCR|9aDMG|aBPWR
33	12523 26236	10	   	268.33	DCR|3VULN|3DUR|1DMG|1ASPD	167DUR|2DMG|357VULN|47ERES|7BPWR|8LIT|9ASPD|aRCR
34	22441 11252	6	   	267.97	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	19BEXP|29DMG|3AART|4DUR|5LIT|679VULN|8RCR|9BPWR|aASPD
35	32421 11252	6	   	267.97	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	19LHND|29DMG|3AART|4LIT|5DUR|679VULN|8RCR|9BPWR|aASPD
36	32421 51252	5	   	267.97	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	19LHND|29DMG|3AART|4LIT|5DUR|679VULN|8RCR|9BPWR|aASPD
37	32441 11252	6	   	267.97	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	19LHND|29DMG|3AART|4DUR|5LIT|679VULN|8RCR|9BPWR|aASPD
38	12421 12255	6	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	19DUR|29DMG|3AART|4LHND|57LIT|69VULN|8RCR|9BPWR|aTLV
39	15233 41212	8	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	1aDUR|2LHND|3aDMG|4TLV|56VULN|7AART|8RCR|9aLIT|aBPWR
40	12156 22111	1	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2LHND|378VULN|4BEXP|5CDMG|68DMG|8BPWR|9TBNT|aRCR
41	14156 22111	1	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2LWND|378VULN|4BEXP|5CDMG|68DMG|8BPWR|9TBNT|aRCR
42	15156 22111	2	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2LHND|378VULN|4BEXP|5CDMG|68DMG|8BPWR|9TBNT|aRCR
43	12212 33214	6	   	266.71	DCR|3VULN|3DUR|2DMG	167DUR|28DMG|38DUST|4BELT|568VULN|68BPWR|9LWND|aRCR
44	12212 33224	6	   	266.71	DCR|3VULN|3DUR|2DMG	167DUR|28DMG|38DUST|4BELT|568VULN|68BPWR|9FEWX|aRCR
45	12323 36321	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aFEWX
46	12323 36322	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aBEXP
47	12323 36322	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRCVC
48	12323 36323	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5aCGEN|678VULN|7BPWR|9RCR
49	12323 36324	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRMIN
50	12323 36325	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRMIN
51	12323 36326	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aBEXP
52	12323 36326	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRPLT
53	12323 36342	8	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aBEXP
54	12323 36343	8	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5aCGEN|678VULN|7BPWR|9RCR
55	12323 36345	8	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRMIN
56	12323 36346	8	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aRPLT
57	12325 66321	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5ZMB|678VULN|7BPWR|9RCR|aFEWX
58	12325 66322	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5ZMB|678VULN|7BPWR|9RCR|aBEXP
59	12325 66322	10	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5ZMB|678VULN|7BPWR|9RCR|aRCVC
60	12325 66323	9	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5ZMB|678VULN|7BPWR|9RCR|aCGEN
61	51134 21126	1	   	266.66	DCR|4VULN|3DUR|2LIT	19LIT|2TBNT|369aVULN|456DUR|69BPWR|7RCR|89LWND
62	52134 21126	1	   	266.66	DCR|4VULN|3DUR|2LIT	19LIT|2BBNT|369aVULN|456DUR|69BPWR|7RCR|89LWND
63	12323 36321	9	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3aERES|5CGEN|678VULN|7BPWR|9RCR
64	12323 36323	10	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9RCR|aDUST
65	12323 36334	10	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5CGEN|678VULN|7BPWR|9DUST|aRCR
66	12323 36341	8	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3aERES|5CGEN|678VULN|7BPWR|9RCR
67	12325 66321	9	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3aERES|5ZMB|678VULN|7BPWR|9RCR
68	12325 66323	10	   	266.61	DCR|3VULN|3DUR|2DMG	147DUR|27DMG|3ERES|5ZMB|678VULN|7BPWR|9RCR|aDUST
69	13414 21341	7	   	266.55	DCR|3VULN|3DUR|1DMG|2AART	179DUR|2CGEN|34AART|579VULN|679ERES|79BPWR|8RCR|aDMG
70	12342 36333	9	   	266.51	DCR|3VULN|3DUR|2DMG	157DUR|2aDMG|347ERES|679VULN|7BPWR|8RCR
71	51134 21226	1	   	266.46	DCR|4VULN|3DUR|2LIT	19LIT|2TBNT|369aVULN|456DUR|69BPWR|7RCR|89DUST
72	52134 21226	1	   	266.46	DCR|4VULN|3DUR|2LIT	19LIT|2BBNT|369aVULN|456DUR|69BPWR|7RCR|89DUST
73	12533 21265	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16DUR|2DMG|359VULN|4MLV|7CDMG|8TLV|aRCR
74	12533 21543	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16DUR|2DMG|358VULN|4MLV|7CDMG|9TLV|aRCR
75	12326 31543	10	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	14DUR|2DMG|3ERES|5CDMG|678VULN|9TLV|aRCR
76	12523 21543	10	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	16DUR|2DMG|358VULN|4ERES|7CDMG|9TLV|aRCR
77	22512 61243	10	 * 	265.35	DCR|4VULN|2DMG|2TLV	19BEXP|26DMG|379aVULN|4BELT|59TLV|8RCR|9BPWR
78	12523 26121	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aFEWX
79	12523 26122	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aRCVC
80	12523 26122	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aBEXP
81	12523 26123	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aCGEN
82	12523 26124	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aRMIN
83	12523 26125	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aRMIN
84	12523 26126	10	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aBEXP
85	12523 26126	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aRPLT
86	12523 26142	8	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aBEXP
87	12523 26143	8	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aCGEN
88	12523 26335	8	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8FEWX|9RCR|aTLV
89	12523 26121	9	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47aERES|7BPWR|8TLV|9RCR
90	12523 26123	10	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9RCR|aDUST
91	12523 26134	10	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8TLV|9DUST|aRCR
92	12523 26141	8	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47aERES|7BPWR|8TLV|9RCR
93	12523 26335	7	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	167DUR|2DMG|357VULN|47ERES|7BPWR|8DUST|9RCR|aTLV
94	12443 11252	7	   	264.42	DCR|2VULN|3DUR|2DMG|2LIT|1AART	149DUR|29DMG|3AART|5LHND|6aVULN|79LIT|8RCR|9BPWR
95	12341 35253	2	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	138DUR|25DMG|48ZMB|6AART|78VULN|8BPWR|9CDMG|aRCR
96	12535 21341	7	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	179DUR|2DMG|378VULN|4MLV|5CDMG|67ERES|7BPWR|aRCR
97	12421 12252	6	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|57LIT|69VULN|8RCR|9BPWR|aASPD
98	12421 14252	7	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|57LIT|69VULN|8RCR|9BPWR|aASPD
99	12421 52252	5	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|57LIT|69VULN|8RCR|9BPWR|aASPD
100	12142 61252	3	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3FEWX|4AART|57VULN|69LIT|8RCR|9BPWR|aASPD
101	12422 61252	4	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3AART|4LHND|57VULN|69LIT|8RCR|9BPWR|aASPD
102	12433 61252	3	   	262.19	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3AART|47VULN|5LHND|69LIT|8RCR|9BPWR|aASPD
103	12242 61252	3	   	262.09	DCR|2VULN|2DMG|2DUR|2LIT|1ASPD|1AART	19DUR|29DMG|3DUST|4AART|57VULN|69LIT|8RCR|9BPWR|aASPD
104	15534 31323	6	   	261.91	DCR|3VULN|2DUR|1DMG|1TLV|1AART	19DUR|2LHND|39MLV|4TLV|5DMG|6AART|79aVULN|8RCR|9BPWR
105	12424 11323	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	19DUR|2DMG|3AART|49ERES|5TLV|6LHND|79aVULN|8RCR|9BPWR
106	12513 35361	6	 * 	261.11	DCR|2VULN|3DUR|2DMG|2ASPD	18aDUR|29DMG|38VULN|4FEWX|5CGEN|68ASPD|7RCR|8BPWR
107	12512 11255	3	   	260.89	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19DUR|29DMG|37VULN|4LIT|59LHND|6AART|8RCR|9BPWR|aTLV
108	36433 21141	7	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CDMG|3DUR|48DMG|5LIT|69aVULN|7RCR
109	36433 21241	9	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CDMG|3DUR|48DMG|5LIT|69aVULN|7RCR
110	36433 21241	8	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CDMG|3DUR|48DMG|5LIT|69aVULN|7RCR
111	36433 21243	10	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2CDMG|3DUR|48DMG|5LIT|69aVULN|7RCR
112	12533 41212	8	   	260.51	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1aDUR|2DMG|35aVULN|4MLV|6LHND|7AART|8RCR|9aLIT|aBPWR
113	12563 41212	8	   	260.51	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1aDUR|2DMG|36aVULN|4LHND|5CGEN|7AART|8RCR|9aLIT|aBPWR
114	12523 41212	8	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1aDUR|2DMG|35aVULN|4ERES|6LHND|7AART|8RCR|9aLIT|aBPWR
115	12523 36324	8	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	17DUR|2DMG|357VULN|467ERES|7BPWR|8TLV|9LIT|aRCR
116	12421 15251	7	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aDUST
117	12421 15251	6	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aDUST
118	12421 15253	7	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aBBNT
119	12421 15253	6	   	260.20	DCR|2VULN|3DMG|2DUR|1AART	19DUR|279DMG|3AART|4LHND|5LIT|69VULN|8RCR|9BPWR|aBBNT
120	51134 21116	1	   	259.91	DCR|4VULN|3DUR	1LIT|2TBNT|369aVULN|456DUR|6BPWR|7RCR|8LWND
121	52134 21116	1	   	259.91	DCR|4VULN|3DUR	1LIT|2BBNT|369aVULN|456DUR|6BPWR|7RCR|8LWND
122	51134 21216	1	   	259.81	DCR|4VULN|3DUR	1LIT|2TBNT|369aVULN|456DUR|6BPWR|7RCR|8DUST
123	52134 21216	1	   	259.81	DCR|4VULN|3DUR	1LIT|2BBNT|369aVULN|456DUR|6BPWR|7RCR|8DUST
124	12342 36316	8	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	157DUR|2DMG|347ERES|67aVULN|7BPWR|8RCR|9AART
125	22512 65221	7	   	258.58	DCR|2VULN|3DMG|2DUR|1TLV	18BEXP|268DMG|39VULN|4BELT|5TLV|78DUR|8BPWR|aRCR
126	12523 36141	8	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|357aVULN|467ERES|7BPWR|8RCVC|9RCR
127	12523 36234	10	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|3579VULN|467ERES|7BPWR|8FEWX|aRCR
128	12523 36341	7	   	258.34	DCR|4VULN|2DUR|1DMG	17DUR|2DMG|357aVULN|467ERES|7BPWR|8RCVC|9RCR
129	14133 52311	2	   	258.24	DCR|4VULN|2DUR|2TLV	18DUR|234ERES|589aVULN|68TLV|7RCR|8BPWR
130	14333 52311	3	   	258.24	DCR|4VULN|2DUR|2TLV	18DUR|234ERES|589aVULN|68TLV|7RCR|8BPWR
131	13525 23413	6	 * 	257.91	DCR|5VULN|2DUR	17DUR|2CGEN|3789aVULN|47ERES|5RMIN|6RCR|7BPWR
132	13523 41421	5	   	257.81	DCR|5VULN|2DUR	17DUR|2CGEN|3567aVULN|478ERES|7BPWR|9RCR
