0	Index      	 *	Score 	Summary	Detail	
1	23334 64221	 * 	293.04	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	13LHND|24VULN|5ASPD|6AAC|7DMG|8aRCR|9TBNT
36	11623 13431	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2VULN|39TLV|48RCR|5AAC|6LWND|7MLV|aDUST
37	11623 13432	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2VULN|39TLV|48RCR|5AAC|6LWND|7MLV|aMDPS
38	11623 13435	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2VULN|39TLV|48RCR|5AAC|6LWND|7MLV|aAEFRZ
39	12523 13425	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|2aTLV|3VULN|48RCR|5AAC|6LWND|7MLV|9MDPS
40	12523 13431	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|29TLV|3VULN|48RCR|5AAC|6LWND|7MLV|aDUST
41	12523 13432	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|29TLV|3VULN|48RCR|5AAC|6LWND|7MLV|aMDPS
42	12523 13435	   	268.24	ACR|DCR|2TLV|1VULN|1MLV|1AAC	1TBNT|29TLV|3VULN|48RCR|5AAC|6LWND|7MLV|aAEFRZ
43	55211 22125	   	267.97	DCR|DCR|2MLV|1AAC	1FEWX|2RAT|3AART|4AAC|5LIT|68RCR|7DUST|9aMLV
44	11623 13451	   	267.81	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9CDMG|aBELT
45	12523 13451	   	267.81	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9CDMG|aBELT
46	11623 13452	   	267.71	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9CDMG|aMDPS
47	11623 13453	   	267.71	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9CDMG|aDUST
48	12523 13452	   	267.71	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9CDMG|aMDPS
49	12523 13453	   	267.71	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9CDMG|aDUST
50	11511 55333	 * 	267.22	DCR|3VULN|2MLV|1TLV|1SELL	1TBNT|269VULN|3SELL|46MLV|5DMSP|6BPWR|7RCR|8TLV|aRAT
51	66131 24221	   	266.73	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1AEBURN|2ASPD|3AAC|4VULN|56LWND|7DMG|8aRCR|9TBNT
52	66131 34221	   	266.63	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1AEBURN|2ASPD|3AAC|4VULN|5LWND|6AEWIND|7DMG|8aRCR|9TBNT
53	13342 36123	 * 	265.12	DCR|3MLV|2DMG|1TLV|1AAC	1TBNT|2BBNT|37DMG|457MLV|6AAC|7BPWR|8TLV|9RCR|aRAT
54	11115 43152	 * 	264.42	DCR|3VULN|1TLV|1MLV|1ASPD|1CDMG	1TBNT|23aVULN|3BPWR|4ERES|5MLV|6ASPD|7CDMG|8RCR|9TLV
55	11623 26141	   	263.92	ACR|3VULN|3MLV|1TLV|1AAC	1TBNT|29aVULN|3TLV|4RCR|5AAC|69aDUST|7BBNT|89aMLV|9aBPWR
56	11621 52253	   	263.86	ACR|DCR|3VULN|1TLV	1TBNT|268VULN|3TLV|49RCR|5BEXP|7RAT|aRCVC
57	12222 52253	   	263.86	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aRCVC
58	12222 52256	   	263.86	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aCGEN
59	12521 52253	   	263.86	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|368VULN|49RCR|5BEXP|7RAT|aRCVC
60	11621 52251	   	263.76	ACR|DCR|3VULN|1TLV|1MSE	1TBNT|268VULN|3TLV|49RCR|5BEXP|7RAT|aMSE
61	11621 52252	   	263.76	ACR|DCR|3VULN|1TLV	1TBNT|268VULN|3TLV|49RCR|5BEXP|7RAT|aAEWIND
62	12222 52251	   	263.76	ACR|DCR|3VULN|1TLV|1MSE	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aMSE
63	12222 52252	   	263.76	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aAEWIND
64	12222 52254	   	263.76	ACR|DCR|3VULN|1TLV|1SELL	1TBNT|2TLV|3BEXP|49RCR|568VULN|7RAT|aSELL
65	12521 52251	   	263.76	ACR|DCR|3VULN|1TLV|1MSE	1TBNT|2TLV|368VULN|49RCR|5BEXP|7RAT|aMSE
66	12521 52252	   	263.76	ACR|DCR|3VULN|1TLV	1TBNT|2TLV|368VULN|49RCR|5BEXP|7RAT|aAEWIND
67	11623 13413	   	263.72	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1NUKE	1TBNT|2VULN|3TLV|48RCR|5AAC|6LWND|7MLV|9BEXP|aNUKE
68	12523 13413	   	263.72	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1NUKE	1TBNT|2TLV|3VULN|48RCR|5AAC|6LWND|7MLV|9BEXP|aNUKE
69	33323 13433	   	263.72	ACR|DCR|1VULN|1TLV|1MLV|1AAC|1NUKE	1ERES|2VULN|3TBNT|48RCR|5AAC|6LWND|7MLV|9TLV|aNUKE
70	45232 13336	   	263.29	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2ZMB|3MSLFST|4MDPS|5DMG|6DUST|7aRCR|8ASPD|9VULN
71	12222 35441	 * 	263.15	ACR|DCR|2VULN|1TLV|1DMG	1TBNT|2TLV|3BEXP|48RCR|5aVULN|6RMIN|7DMG|9DUR
