0	Index      	 *	Score 	Summary	Detail	
1	31225 53214	 * 	313.37	ACR|DCR|3VULN|2MLV|1TLV	1AME|26RCR|39aVULN|45MLV|7LSRREG|8TLV
23	31225 53211	   	289.80	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7LSRREG|8TLV|aERES
24	31225 53216	   	289.80	ACR|DCR|2VULN|2MLV|1TLV	1AME|26RCR|39VULN|45MLV|7LSRREG|8TLV|aDUST
25	31224 53214	   	289.08	ACR|DCR|3VULN|1TLV|1MLV	1AME|26RCR|39aVULN|4MLV|5AEPOI|7LSRREG|8TLV
26	41184 17443	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1BEXP|2MBVNT|3TLV|4DMG|5ASPD|6FEWX|79RCR|8RCVC|aVULN
27	41184 17143	   	284.59	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	18BEXP|2MBVNT|3TLV|4DMG|5ASPD|6FEWX|79RCR|aVULN
28	41184 17243	   	284.59	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1BEXP|2MBVNT|3TLV|4DMG|5ASPD|6FEWX|79RCR|8AEBURN|aVULN
29	31225 53431	   	284.36	ACR|DCR|3MLV|1VULN|1TLV	19AME|26RCR|3VULN|459MLV|79LSRREG|8RMIN|9BPWR|aTLV
30	31225 55123	   	284.36	ACR|DCR|3MLV|1VULN|1TLV	1AME|26RCR|3VULN|457MLV|8LHND|9RMIN|aTLV
31	31225 55323	   	284.36	ACR|DCR|3MLV|1VULN|1TLV	1AME|26RCR|3VULN|457MLV|8FEWX|9RMIN|aTLV
32	31225 53135	   	284.26	ACR|DCR|3MLV|1VULN|1TLV	1AME|26RCR|3VULN|45aMLV|7LSRREG|8RPLT|9TLV
33	16321 36324	 * 	284.11	DCR|3VULN|3MLV|1ASPD|2DUR	1BBNT|23aMLV|4ASPD|5aDUR|6RCR|79aVULN|8RCVC|aBPWR
34	31225 51111	   	283.88	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9TLV|aFEWX
35	31225 51112	   	283.88	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1aAME|26RCR|3VULN|45MLV|7DUR|8CDMG|9TLV
36	31225 51116	   	283.88	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9TLV|aLHND
37	31225 51121	   	283.88	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9LWND|aTLV
38	31225 51131	   	283.88	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9FEWX|aTLV
39	31225 51115	   	283.78	ACR|DCR|2MLV|1VULN|1TLV|1CDMG	1AME|26RCR|3VULN|45MLV|7DUR|8CDMG|9TLV|aMSLREG
