0	Index      	 *	Score 	Summary	Detail	
1	22362 35243	 * 	271.82	DCR|2VULN|1TLV|2ASPD|1MLV|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5MLV|67ASPD|7BPWR|8aVULN|9RCR
19	22624 43111	 * 	257.14	DCR|2MLV|1VULN|1TLV|2CDMG|1AAC	1DUR|2TLV|3aCDMG|4DUST|5AAC|6RCR|79MLV|8VULN
20	23634 43111	   	257.14	DCR|2MLV|1VULN|1TLV|2CDMG|1AAC	1DUR|2aCDMG|3BEXP|4TLV|5AAC|6RCR|79MLV|8VULN
21	12131 53512	   	257.00	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1BASARM|2TLV|3LIT|4DMG|5DUR|69VULN|7ASPD|8RCR|aMLV
22	11331 33463	 * 	256.48	ACR|DCR|2VULN|1MLV|1AAC	1BASARM|2BBNT|3aRCR|4DUR|5AAC|6MLV|7CGEN|89VULN
23	22313 14643	 * 	255.59	DCR|2TLV|2DMG|1VULN|2ASPD	1DUR|28TLV|3RAT|4BEXP|58ASPD|6CANARM|78DMG|8BPWR|9RCR|aVULN
24	11314 12123	   	255.11	ACR|DCR|2VULN|1MLV|1AAC	1BASARM|2BBNT|3aRCR|4RAT|5MLV|6ZMB|7AAC|89VULN
25	22542 43111	 * 	253.86	DCR|2MLV|1VULN|1TLV|1DMG|1CDMG|1SELL	1DUR|2TLV|3FEWX|4DMG|5SELL|6RCR|79MLV|8VULN|aCDMG
26	52132 21214	   	253.83	DCR|DCR|1VULN|1TLV	1CGEN|2BBNT|3DUR|4AEPOI|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
27	52162 21214	   	253.83	DCR|DCR|1VULN|1TLV	1CGEN|2BBNT|3DUR|4AEBURN|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
28	53132 21214	   	253.83	DCR|DCR|1VULN|1TLV	1CGEN|2TBNT|3DUR|4AEPOI|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
29	53162 21214	   	253.83	DCR|DCR|1VULN|1TLV	1CGEN|2TBNT|3DUR|4AEBURN|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
30	61531 21214	   	253.83	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|3CGEN|4DUR|5BBNT|6aRCR|7AEWIND|8TLV|9VULN
31	22236 12413	   	253.48	DCR|DCR|1TLV|1AAC|2DUR	17DUR|2TLV|3AART|4BEXP|5LHND|69RCR|8MDPS|aAAC
32	23614 61122	   	253.06	DCR|2VULN|2TLV|1AAC|1ASPD|1CDMG	1DUR|2CDMG|3BEXP|4ASPD|5AAC|6aTLV|7RCR|89VULN
33	22325 12365	 * 	252.41	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2TLV|3RAT|4aRCR|5BBNT|6LIT|7MULHEA|8VULN|9MLV
34	11444 13623	   	252.36	DCR|2VULN|2MLV|2TLV	1aBASARM|2BBNT|3MBVNT|49VULN|5aTLV|6RCR|7TBNT|8aMLV|aBPWR
35	22343 21261	   	252.13	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1CDMG	1DUR|2TLV|3RAT|4AAC|5MLV|6DMG|7LHND|8CDMG|9RCR|aVULN
36	22362 41243	   	251.13	DCR|2VULN|1TLV|1MLV|1AAC|2RAT	1DUR|2TLV|37RAT|4SNIFST|5MLV|6AAC|8aVULN|9RCR
37	63142 31114	   	251.11	DCR|DCR|1VULN|1AAC|1CDMG	1RPLT|2RAT|3DMSP|4AAC|5ZMB|6BBNT|7aRCR|8VULN|9CDMG
38	22624 43113	   	250.73	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG	1DUR|2TLV|3CDMG|4DUST|5AAC|6RCR|79MLV|8VULN|aERES
39	23634 43113	   	250.73	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG	1DUR|2CDMG|3BEXP|4TLV|5AAC|6RCR|79MLV|8VULN|aERES
40	22532 43111	   	250.69	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG|1SELL	1DUR|2TLV|3FEWX|4AAC|5SELL|6RCR|79MLV|8VULN|aCDMG
41	25632 43111	   	250.69	DCR|2MLV|1VULN|1TLV|1AAC|1CDMG|1SELL	1DUR|2LWND|3TLV|4AAC|5SELL|6RCR|79MLV|8VULN|aCDMG
42	22362 31243	   	250.48	DCR|2VULN|1TLV|1MLV|1ASPD|2RAT	1DUR|2TLV|37RAT|4SNIFST|5MLV|6ASPD|8aVULN|9RCR
43	23615 43112	   	250.19	DCR|2MLV|1VULN|1TLV|1ASPD|1CDMG	1DUR|2CDMG|3BEXP|4ASPD|5RMIN|6RCR|79MLV|8VULN|aTLV
44	22224 35323	   	250.01	DCR|2VULN|2TLV|1MLV|2DUR	17DUR|29TLV|3AART|47LIT|5BELT|67VULN|7BPWR|8RCR|aMLV
45	22321 42647	 * 	249.93	ACR|DCR|2VULN|1TLV	1DUR|2TLV|3RAT|49RCR|5ZMB|6aVULN|7ERES|8MBVNT
46	22215 52633	   	249.77	DCR|2VULN|2TLV|1MLV|2DUR|1SELL	19DUR|29TLV|3AART|4RPLT|5SELL|6MLV|7LIT|89VULN|9BPWR|aRCR
47	23614 61113	   	249.58	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1DUR|2CDMG|3BEXP|4ASPD|5AAC|6TLV|7RCR|8VULN|9MLV|aAART
48	12131 51542	 * 	249.02	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1BASARM|2TLV|3LIT|49DMG|5DUR|6VULN|7AAC|8RCR|aMLV
49	15243 32512	 * 	248.49	DCR|3VULN|2TLV|1MLV	1BASARM|2AEWIND|357VULN|49TLV|6BEXP|8MLV|aRCR
50	12131 53542	   	248.38	DCR|2DMG|1VULN|1TLV|1MLV|1ASPD	1BASARM|2TLV|3LIT|49DMG|5DUR|6VULN|7ASPD|8RCR|aMLV
51	22343 42261	   	248.31	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1DUR|2TLV|3RAT|4AAC|5MLV|6LHND|7ASPD|8CDMG|9RCR|aVULN
52	22343 43361	   	248.31	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1DUR|2TLV|3RAT|4AAC|5MLV|6LHND|7CDMG|8ASPD|9RCR|aVULN
53	22625 43112	   	248.11	DCR|2MLV|2TLV|1VULN|1CDMG	1DUR|2aTLV|3CDMG|4DUST|5RMIN|6RCR|79MLV|8VULN
54	22643 43112	   	248.11	DCR|2MLV|2TLV|1VULN|1CDMG	1DUR|2aTLV|3CDMG|4ZMB|5DUST|6RCR|79MLV|8VULN
55	23635 43112	   	248.11	DCR|2MLV|2TLV|1VULN|1CDMG	1DUR|2CDMG|3BEXP|4aTLV|5RMIN|6RCR|79MLV|8VULN
56	23146 43312	   	247.98	DCR|2DMG|1TLV|2ASPD|1AAC|2DUR|1CDMG	18DUR|2CDMG|3RPLT|48DMG|58ASPD|6AART|7RCR|8BPWR|9TLV|aAAC
57	22362 35621	 * 	247.64	DCR|2MLV|1TLV|2ASPD|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|59MLV|67ASPD|7BPWR|8AART|aRCR
58	22113 61463	 * 	247.57	DCR|4VULN|2TLV	1DUR|29TLV|3AEPOI|478aVULN|5FEWX|6RCR
59	22236 14213	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4BEXP|5LHND|69RCR|7LWND|8FEWX|aAAC
60	22266 12413	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4LWND|5LHND|69RCR|7RCVC|8MDPS|aAAC
61	22266 13413	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|47LWND|5LHND|69RCR|8MDPS|aAAC
62	22266 15213	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4LWND|5LHND|69RCR|7FEWX|8BEXP|aAAC
63	22266 16213	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4LWND|5LHND|69RCR|7BEXP|8FEWX|aAAC
64	22266 23213	   	247.03	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4LWND|5LHND|6FEWX|79RCR|8BEXP|aAAC
65	22236 11113	   	246.93	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4BEXP|5LHND|69RCR|7AETHUN|8LWND|aAAC
66	22236 13413	   	246.93	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4BEXP|57LHND|69RCR|8MDPS|aAAC
67	22266 11213	   	246.93	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4LWND|5LHND|69RCR|7AETHUN|8BEXP|aAAC
68	22236 15413	   	246.83	DCR|DCR|1TLV|1AAC	1DUR|2TLV|3AART|4BEXP|5LHND|69RCR|7AEFBLL|8MDPS|aAAC
69	22542 43132	 * 	246.76	DCR|2MLV|1VULN|1TLV|1DMG|2DUR|1SELL	19DUR|2TLV|3FEWX|4DMG|5SELL|6RCR|7aMLV|8VULN
70	22111 25341	   	246.39	DCR|2VULN|2MLV|1TLV	1DUR|2TLV|3AEPOI|46VULN|5ERES|7aMLV|8RCR|9LWND
71	22111 25321	   	246.29	DCR|2VULN|2MLV|1TLV	1DUR|2TLV|3AEPOI|46VULN|5ERES|7aMLV|8RCR|9MBVNT
72	22111 25561	   	246.29	DCR|2VULN|2MLV|1TLV	1DUR|2TLV|3AEPOI|46VULN|5ERES|7aMLV|8DUST|9RCR
73	22236 12412	   	246.25	DCR|DCR|1TLV|2DUR|1NUKE	17DUR|2TLV|3AART|4BEXP|5LHND|69RCR|8MDPS|aNUKE
74	12635 31342	 * 	246.12	DCR|2MLV|2TLV|1VULN|1DMG	1BASARM|24TLV|3MDPS|56MLV|7DMG|8FEWX|9VULN|aRCR
75	12635 31242	   	246.02	DCR|2MLV|2TLV|1VULN|1DMG	1BASARM|24TLV|3MDPS|56MLV|7DMG|8BEXP|9VULN|aRCR
76	22624 43132	   	245.75	DCR|2TLV|1VULN|1MLV|1AAC|2DUR|1CDMG	19DUR|2aTLV|3CDMG|4DUST|5AAC|6RCR|7MLV|8VULN
77	23634 43132	   	245.75	DCR|2TLV|1VULN|1MLV|1AAC|2DUR|1CDMG	19DUR|2CDMG|3BEXP|4aTLV|5AAC|6RCR|7MLV|8VULN
78	52332 24114	   	245.62	DCR|DCR|1VULN|1TLV	13CGEN|2BBNT|3BPWR|4DUST|5RPLT|6aRCR|7TLV|8VULN|9RCVC
79	53332 24114	   	245.62	DCR|DCR|1VULN|1TLV	13CGEN|2TBNT|3BPWR|4DUST|5RPLT|6aRCR|7TLV|8VULN|9RCVC
80	22362 35241	   	245.61	DCR|1VULN|1TLV|2ASPD|1MLV|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5MLV|67ASPD|7BPWR|8VULN|9RCR|aRMIN
81	22362 35242	   	245.61	DCR|1VULN|1TLV|2ASPD|1MLV|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5MLV|67ASPD|7BPWR|8VULN|9RCR|aFEWX
82	61631 23214	   	245.52	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|3BEXP|4TLV|5BBNT|6aRCR|7VULN|8RCVC|9AME
83	61631 23234	   	245.52	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|3BEXP|4TLV|5BBNT|6aRCR|7VULN|8RCVC|9CGEN
84	12231 21222	   	245.52	DCR|DCR|1VULN|1TLV	1BASARM|2TLV|3AEPOI|48RCVC|5BELT|69RCR|7ZMB|aVULN
85	52332 21214	   	245.52	DCR|DCR|1VULN|1TLV	13CGEN|2BBNT|3BPWR|4DUST|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
86	52332 24314	   	245.52	DCR|DCR|1VULN|1TLV	13CGEN|2BBNT|3BPWR|48DUST|5RPLT|6aRCR|7TLV|9VULN
87	52432 21214	   	245.52	DCR|DCR|1VULN|1TLV	1CGEN|2BBNT|3FEWX|4AEPOI|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
88	52632 21214	   	245.52	DCR|DCR|1VULN|1TLV	1CGEN|2BBNT|3RCVC|4DUST|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
89	53332 21214	   	245.52	DCR|DCR|1VULN|1TLV	13CGEN|2TBNT|3BPWR|4DUST|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
90	53332 24314	   	245.52	DCR|DCR|1VULN|1TLV	13CGEN|2TBNT|3BPWR|48DUST|5RPLT|6aRCR|7TLV|9VULN
91	53432 21214	   	245.52	DCR|DCR|1VULN|1TLV	1CGEN|2TBNT|3FEWX|4AEPOI|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
92	53632 21214	   	245.52	DCR|DCR|1VULN|1TLV	1CGEN|2TBNT|3RCVC|4DUST|5RPLT|6aRCR|7AEWIND|8TLV|9VULN
93	61331 26114	   	245.52	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|3DUST|4TLV|5BBNT|6aRCR|7CGEN|8VULN|9RCVC
94	22362 35143	   	245.51	DCR|1VULN|1TLV|2ASPD|1MLV|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5MLV|67ASPD|7BPWR|8BEXP|9RCR|aVULN
95	61331 25114	   	245.42	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|3DUST|4TLV|5BBNT|6aRCR|7ERES|8VULN|9RCVC
96	61331 26314	   	245.42	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|38DUST|4TLV|5BBNT|6aRCR|7CGEN|9VULN
97	61331 25314	   	245.32	DCR|DCR|1VULN|1TLV	1RPLT|2AEFBLL|38DUST|4TLV|5BBNT|6aRCR|7ERES|9VULN
98	23614 61121	 * 	245.20	DCR|2VULN|1TLV|2CDMG|1AAC|1ASPD	1DUR|2aCDMG|3BEXP|4ASPD|5AAC|6TLV|7RCR|89VULN
99	63615 22122	   	245.04	DCR|2VULN|2MLV|1AAC|2RAT	1RPLT|2aRAT|3BELT|4aMLV|5LSRICY|6DUR|7RCR|8AAC|9aVULN|aBPWR
100	22412 43112	 * 	243.69	DCR|3MLV|1VULN|1TLV|1SELL	1DUR|2TLV|3RMIN|4LWND|5SELL|6RCR|79aMLV|8VULN
101	22532 43132	   	243.59	DCR|2MLV|1VULN|1TLV|1AAC|2DUR|1SELL	19DUR|2TLV|3FEWX|4AAC|5SELL|6RCR|7aMLV|8VULN
102	22224 35326	   	243.56	DCR|3VULN|2TLV|2DUR	17DUR|29TLV|3AART|47LIT|5BELT|67aVULN|7BPWR|8RCR
103	22224 34323	   	243.26	DCR|2VULN|2TLV|1MLV	1DUR|29TLV|3AART|4LIT|5BELT|67VULN|8RCR|aMLV
104	22353 35243	   	243.23	DCR|2VULN|1TLV|2ASPD|2DUR|2RAT	17DUR|2TLV|37RAT|4CGEN|5BASHEA|67ASPD|7BPWR|8aVULN|9RCR
105	11662 43212	   	243.21	DCR|2VULN|1TLV|2ASPD|1MLV	16BASARM|2BBNT|37ASPD|4LIT|56VULN|6BPWR|8TLV|9RCR|aMLV
106	22363 35243	   	243.13	DCR|2VULN|1TLV|2ASPD|2DUR|2RAT	17DUR|2TLV|37RAT|4SNIFST|5ERES|67ASPD|7BPWR|8aVULN|9RCR
107	22113 41561	   	243.09	DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	16DUR|2TLV|3AEPOI|4VULN|5FEWX|7aMLV|8ASPD|9RCR
108	22114 31561	   	243.09	DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	15DUR|2TLV|3AEPOI|4VULN|6FEWX|7aMLV|8ASPD|9RCR
109	22114 21561	   	242.99	DCR|2MLV|1VULN|1TLV|1ASPD|2DUR	15DUR|2TLV|3AEPOI|4VULN|6DUST|7aMLV|8ASPD|9RCR
110	22343 53342	   	242.87	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	1DUR|2TLV|3RAT|4AAC|5MLV|6AEBURN|7AART|8ASPD|9RCR|aVULN
111	22113 61362	   	242.82	DCR|3VULN|1TLV|1MLV	1DUR|2TLV|3AEPOI|47aVULN|5FEWX|6RCR|8TBNT|9MLV
112	22113 61441	   	242.82	DCR|3VULN|1TLV|1MLV	1DUR|2TLV|3AEPOI|478VULN|5FEWX|6RCR|9LWND|aMLV
113	22111 25313	   	242.62	DCR|3VULN|1TLV|1MLV	1DUR|2TLV|3AEPOI|46aVULN|59ERES|7MLV|8RCR
114	22111 25332	   	242.54	DCR|2VULN|1TLV|1MLV|1CDMG	1DUR|2TLV|3AEPOI|46VULN|5ERES|7MLV|8RCR|9CDMG|aAART
115	61331 22314	 * 	241.92	DCR|DCR|1TLV|1MLV	1RPLT|2AEFBLL|3DUST|4TLV|5BBNT|6aRCR|7BEXP|8MLV|9RCVC
116	61331 22344	   	241.92	DCR|DCR|1TLV|1MLV	19RPLT|2AEFBLL|3DUST|4TLV|5BBNT|6aRCR|7BEXP|8MLV
117	61335 22314	   	241.92	DCR|DCR|1TLV|1MLV	1RPLT|2AEFBLL|3DUST|4TLV|5TBNT|6aRCR|7BEXP|8MLV|9RCVC
