0	Index      	 *	Score 	Summary	Detail	
1	22621 23436	 * 	300.03	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1CDMG	1RAT|2AAC|3ERES|4AEWIND|5DMG|6VULN|7MLV|8aRCR|9CDMG
39	13133 65511	   	275.11	DCR|2VULN|2MLV|2DMG|1AAC|1CDMG	18MLV|2MDPS|3BBNT|4AAC|5CDMG|68VULN|78DMG|8BPWR|9AETHUN|aRCR
40	16223 22144	   	275.03	DCR|3VULN|1TLV|1MLV|1ASPD|1CDMG	1MLV|2ASPD|3RAT|468VULN|5BEXP|7CDMG|9TLV|aRCR
41	21243 23325	   	273.88	DCR|DCR|1VULN|1MLV|1ASPD	1RAT|2BEXP|34DUST|5DUR|6VULN|7MLV|8aRCR|9ASPD
42	63112 13546	 * 	273.15	DCR|2VULN|2MLV|2TLV|1DMG	19DUST|2ZMB|39VULN|4DMG|5aMLV|69TLV|7MBVNT|8RCR|9BPWR
43	15312 52125	   	272.93	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18MLV|2CGEN|38TLV|4MDPS|5VULN|6LHND|78ASPD|8BPWR|9RCR|aAAC
44	15312 62125	   	272.93	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18MLV|2CGEN|38TLV|4MDPS|5VULN|6LWND|78ASPD|8BPWR|9RCR|aAAC
45	15312 42125	   	272.83	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18MLV|2CGEN|38TLV|4MDPS|5VULN|6BEXP|78ASPD|8BPWR|9RCR|aAAC
46	13325 55233	 * 	271.99	DCR|4VULN|1TLV|1MLV|1CDMG	1MLV|2MDPS|3CDMG|4589VULN|6TLV|7LIT|aRCR
47	23511 22343	   	271.77	DCR|DCR|1TLV|1MLV|1AAC	1RAT|2DUST|3TBNT|4TLV|5MDPS|68RCR|7AART|9MLV|aAAC
48	25141 21325	   	271.67	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|26LHND|3FEWX|4DUST|5TLV|7VULN|8aRCR|9ASPD
49	25163 21325	   	271.67	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|26LHND|3FEWX|4TLV|5DUST|7VULN|8aRCR|9ASPD
50	21441 21325	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2BEXP|36LHND|4DUST|5TLV|7VULN|8aRCR|9ASPD
51	23411 21325	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2DUST|36LHND|4BEXP|5TLV|7VULN|8aRCR|9ASPD
52	25141 11325	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2LHND|3FEWX|4DUST|5TLV|6AEWIND|7VULN|8aRCR|9ASPD
53	25163 11325	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2LHND|3FEWX|4TLV|5DUST|6AEWIND|7VULN|8aRCR|9ASPD
54	25211 21325	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|26LHND|3DUST|4BEXP|5TLV|7VULN|8aRCR|9ASPD
55	21211 11325	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2BEXP|3DUST|4FEWX|5TLV|6AEWIND|7VULN|8aRCR|9ASPD
56	21441 11325	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2BEXP|3LHND|4DUST|5TLV|6AEWIND|7VULN|8aRCR|9ASPD
57	23411 11325	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2DUST|3LHND|4BEXP|5TLV|6AEWIND|7VULN|8aRCR|9ASPD
58	25211 11325	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1RAT|2LHND|3DUST|4BEXP|5TLV|6AEWIND|7VULN|8aRCR|9ASPD
59	51423 33325	   	271.47	DCR|DCR|1VULN|1TLV|1ASPD	1BEXP|2VULN|3DUST|4TLV|5RAT|6CGEN|7ERES|8aRCR|9ASPD
60	26551 21322	   	271.32	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1RAT|2aAART|3BEXP|4ASPD|5VULN|68RCR|7LIT|9AAC
61	11123 32623	 * 	271.07	DCR|DCR|2MLV|2ASPD	15MLV|2RMIN|3DUR|4TBNT|6CGEN|78ASPD|9aRCR
62	16123 34623	   	271.07	DCR|DCR|2MLV|2ASPD	15MLV|27ASPD|3DUR|4TBNT|6CGEN|8RMIN|9aRCR
