0	Index      	 *	Score 	Summary	Detail	
1	15221 31452	 * 	277.49	ACR|3VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3RCR|4LWND|5AME|67aVULN|8ASPD|9aMLV|aBPWR
38	15212 11232	   	260.88	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TLV|2DMG|3aRCR|4DUR|5LWND|6RMIN|7VULN|8AAC|9RAT
39	15213 31615	   	260.88	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TLV|2DMG|3aRCR|4DUR|5VULN|6BBNT|7AAC|8RAT|9AME
40	15213 31635	   	260.88	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TLV|2DMG|3aRCR|4DUR|5VULN|6BBNT|7AAC|8RAT|9CGEN
41	44231 32122	   	260.24	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1CGEN|2ASPD|3aRCR|4DMG|5FEWX|6TLV|7VULN|8RAT|9DUR
42	14231 42122	   	260.14	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5FEWX|6ERES|7VULN|8RAT|9DUR
43	16233 31452	   	259.90	ACR|3VULN|2MLV|1TLV|1DMG|1ASPD	1TLV|2aAME|3RCR|4DMG|5LHND|67aVULN|8ASPD|9aMLV|aBPWR
44	15231 42213	   	259.88	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9VENICY|aCDMG
45	15231 42221	   	259.88	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9RMIN|aCDMG
46	24136 34233	 * 	259.84	DCR|DCR|3DMG|1AAC	1BELT|2AART|3MDPS|4AAC|578DMG|6aRCR|8BPWR|9DUST
47	11234 41235	   	259.78	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|257ERES|3aRCR|45DMG|5BPWR|6CDMG|8VULN|9LHND
48	15235 42213	   	259.78	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7VULN|9VENICY|aCDMG
49	15235 42221	   	259.78	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7VULN|9RMIN|aCDMG
50	23234 13113	 * 	259.71	DCR|2MLV|1VULN|1TLV|2ASPD|1AAC	1BELT|2AEFBLL|3aASPD|45MLV|6RCR|7TLV|8AAC|9VULN
51	11233 31452	   	259.70	ACR|3VULN|2MLV|1TLV|1DMG|1ASPD	1TLV|2aERES|3RCR|4DMG|5LHND|67aVULN|8ASPD|9aMLV|aBPWR
52	11235 31452	   	259.70	ACR|3VULN|2MLV|1TLV|1DMG|1ASPD	1TLV|2aERES|3RCR|4DMG|5LWND|67aVULN|8ASPD|9aMLV|aBPWR
53	11234 22515	   	259.68	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|256ERES|3aRCR|45DMG|5BPWR|7DUST|8VULN|9CDMG
54	11234 41215	   	259.68	ACR|DCR|2DMG|1VULN|1TLV|1CDMG	1TLV|257ERES|3aRCR|45DMG|5BPWR|6CDMG|8VULN|9MDPS
55	15221 64282	   	259.62	ACR|DCR|2TLV|2DMG|1ASPD|2DUR	19TLV|29DMG|38RCR|4LWND|5AME|6MBVNT|79DUR|9BPWR|aASPD
56	12264 42321	   	259.51	ACR|2VULN|2MLV|2TLV|1DMG|1AAC	17TLV|2RPLT|3BBNT|4RCR|57MLV|67VULN|7BPWR|8RAT|9AAC|aDMG
57	12366 33412	 * 	259.40	DCR|2VULN|2MLV|2TLV	1aTLV|2RPLT|3aVULN|4BBNT|57MLV|6RAT|8RCR|9aDUST|aBPWR
58	16212 61282	   	259.34	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2AME|38RCR|4DUR|5ZMB|6MBVNT|79VULN|aASPD
59	16231 61254	   	259.19	ACR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1TLV|2AME|38RCR|4DMG|5FEWX|6MBVNT|7VULN|9CDMG|aAAC
60	22625 21145	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2LWND|3TLV|4CDMG|5FEWX|6MBVNT|7VULN|8LEGI|9aRCR
61	22625 21445	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2LWND|3TLV|4CDMG|5FEWX|6MBVNT|7VULN|8BEXP|9aRCR
62	26622 24145	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2FEWX|3TLV|4CDMG|5VULN|6MBVNT|7LWND|8LEGI|9aRCR
63	26622 24445	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1BELT|2FEWX|3TLV|4CDMG|5VULN|6MBVNT|7LWND|8BEXP|9aRCR
64	13625 34133	   	259.17	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1TLV|2BEXP|3MLV|4LIT|5ASPD|6AAC|79VULN|8CDMG|aRCR
65	14226 52232	   	258.83	ACR|DCR|2DMG|1TLV|1MLV|1ASPD|1SELL	1TLV|2ASPD|39RCR|4LWND|5SELL|67DMG|8AME|aMLV
66	14213 11222	 * 	258.57	ACR|2VULN|2TLV|2DMG|1MLV|1ASPD|2DUR	1aTLV|2ASPD|3RCR|4aDUR|57VULN|6RMIN|8MLV|9aDMG|aBPWR
67	35244 17542	 * 	258.33	DCR|2VULN|2DMG|1TLV|1MLV	17BEXP|27VULN|3MBVNT|4TLV|5LIT|67DMG|7BPWR|8DUR|9MLV|aRCR
68	35282 33611	   	258.17	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2VULN|3MBVNT|4ASPD|5DUST|6MLV|7aRCR|8FRZARM|9TBNT
69	21626 16311	 * 	258.12	DCR|DCR|1TLV|1MLV|1ASPD|1SELL	1BELT|2SELL|3MLV|4RPLT|5ZMB|6ASPD|7MBVNT|89RCR|aTLV
70	23534 16321	 * 	258.08	DCR|3MLV|2DMG|1VULN|1AAC	1BELT|28AEFBLL|38DMG|458MLV|6RCR|7TBNT|8BPWR|9VULN|aAAC
71	15211 61252	   	257.54	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9CDMG|aRAT
72	35244 17133	 * 	257.23	DCR|3VULN|2DMG|1TLV|1CDMG	17BEXP|279VULN|3MBVNT|4TLV|5LIT|67DMG|7BPWR|8CDMG|aRCR
73	14212 11232	   	257.07	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ASPD|3aRCR|4DUR|5LWND|6RMIN|7VULN|8AAC|9RAT
74	14213 31615	   	257.07	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ASPD|3aRCR|4DUR|5VULN|6BBNT|7AAC|8RAT|9AME
75	14213 31635	   	257.07	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ASPD|3aRCR|4DUR|5VULN|6BBNT|7AAC|8RAT|9CGEN
76	11213 41232	   	256.97	ACR|DCR|1VULN|1TLV|1AAC|1ASPD	1TLV|2ERES|3aRCR|4DUR|5VULN|6FEWX|7ASPD|8AAC|9RAT
77	14234 42331	   	256.69	ACR|2VULN|2TLV|3ASPD|2DMG|1CDMG	19TLV|259ASPD|3RCR|45DMG|59BPWR|6CDMG|79VULN|8RCVC|aCGEN
78	14234 42333	   	256.69	ACR|2VULN|2TLV|3ASPD|2DMG|1CDMG	19TLV|259ASPD|3RCR|45DMG|59BPWR|6CDMG|79VULN|8RCVC|aFEWX
79	14234 42332	   	256.59	ACR|2VULN|2TLV|3ASPD|2DMG|1CDMG	19TLV|259ASPD|3RCR|45DMG|59BPWR|6CDMG|79VULN|8RCVC|aERES
80	16231 61252	   	256.47	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	1aTLV|2AME|38RCR|4DMG|5FEWX|6MBVNT|7VULN|9CDMG
81	12366 31421	   	256.37	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1TLV|2RPLT|37VULN|4BBNT|5MLV|6RAT|8RCR|9AAC|aDMG
82	12366 33421	   	255.98	DCR|2MLV|1VULN|1TLV|1DMG|1AAC	1TLV|2RPLT|3VULN|4BBNT|57MLV|6RAT|8RCR|9AAC|aDMG
83	14226 32532	 * 	255.83	ACR|DCR|1TLV|2ASPD|1MLV|1DMG|1SELL	1TLV|28ASPD|39RCR|4LWND|5SELL|6CGEN|7DMG|aMLV
84	12363 31462	 * 	255.78	DCR|2VULN|2TLV|2DMG|3RAT	1aTLV|2RPLT|37VULN|4BBNT|59aRAT|6aDMG|8RCR|aBPWR
85	12366 31412	 * 	255.73	DCR|3VULN|2TLV|1MLV	1aTLV|2RPLT|37aVULN|4BBNT|5MLV|6RAT|8RCR|9aDUST|aBPWR
86	25114 43428	 * 	255.67	DCR|DCR|1TLV|1MLV|1CDMG	1BELT|2BBNT|3FEWX|4CDMG|5MBVNT|6AEBURN|7MLV|8TLV|9aRCR
87	63225 21145	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5FEWX|6MBVNT|7VULN|8LHND|9aRCR
88	63225 21245	   	255.67	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5FEWX|6MBVNT|7VULN|8LWND|9aRCR
89	63222 21145	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5BEXP|6MBVNT|7VULN|8LHND|9aRCR
90	63222 21245	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5BEXP|6MBVNT|7VULN|8LWND|9aRCR
91	63222 21645	   	255.47	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2BELT|3MLV|4CDMG|5BEXP|6MBVNT|7VULN|8DUST|9aRCR
92	15221 22452	   	255.35	ACR|2VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3RCR|4LWND|5AME|6DMSP|7aVULN|8ASPD|9aMLV|aBPWR
93	15222 12452	   	255.35	ACR|2VULN|2MLV|2DMG|1TLV|1ASPD	1TLV|2aDMG|3RCR|45LWND|6AME|7aVULN|8ASPD|9aMLV|aBPWR
94	12264 42312	 * 	255.12	ACR|3MLV|2VULN|3TLV	17aTLV|2RPLT|3BBNT|4RCR|57aMLV|67VULN|7aBPWR|8RAT|9aDUST
95	12341 13531	   	255.11	DCR|2TLV|2DMG|1VULN|1AAC|2DUR|1CDMG	19TLV|2RPLT|3VULN|4AAC|59DMG|6CDMG|7FEWX|89DUR|9BPWR|aRCR
96	15231 42222	   	254.54	ACR|DCR|2DMG|1VULN|1TLV	1TLV|24DMG|38RCR|5DMSP|6AEFBLL|7VULN|9RMIN|aDUR
97	15235 42222	   	254.44	ACR|DCR|2DMG|1VULN|1TLV	1TLV|24DMG|38RCR|5AEWIND|6AEFBLL|7VULN|9RMIN|aDUR
98	63233 63613	   	254.44	DCR|2VULN|2MLV|1TLV|1ASPD	1LEGI|2BELT|36MLV|4DMSP|56VULN|6BPWR|7AEWIND|8TLV|9RCR|aASPD
99	15211 61211	   	253.84	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9CGEN|aAAC
100	35231 33713	 * 	253.82	DCR|3VULN|2TLV|1DMG|1CDMG	18BEXP|268VULN|3MBVNT|4CDMG|5DMG|78TLV|8BPWR|9LIT|aRCR
101	55231 32713	   	253.82	DCR|3VULN|2TLV|1DMG|1CDMG	18DUST|268VULN|3MBVNT|4CDMG|5DMG|78TLV|8BPWR|9LIT|aRCR
102	14234 33431	   	253.77	ACR|2VULN|3DMG|2TLV|2ASPD	1aTLV|25ASPD|3RCR|45aDMG|5aBPWR|6AART|7TBNT|8aVULN|9BBNT
103	15211 61221	   	253.74	ACR|DCR|1VULN|1TLV|1DMG|1AAC	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ERES|aAAC
104	14211 61252	   	253.73	ACR|DCR|1VULN|1TLV|1ASPD|1CDMG	1TLV|2ASPD|38RCR|4DUR|5AME|6MBVNT|7VULN|9CDMG|aRAT
105	15211 61244	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aTBNT
106	15211 61245	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aRPLT
107	15211 61247	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aLIT
108	15211 61248	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aLWND
109	15221 61243	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4LWND|5AME|6MBVNT|7VULN|9ASPD|aDUR
110	16231 61243	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2AME|38RCR|4DMG|5FEWX|6MBVNT|7VULN|9ASPD|aAART
111	16233 61243	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2AME|38RCR|4DMG|5LHND|6MBVNT|7VULN|9ASPD|aDUR
112	16235 61243	   	253.20	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2AME|38RCR|4DMG|5LWND|6MBVNT|7VULN|9ASPD|aDUR
113	15233 36325	 * 	253.17	ACR|2VULN|2MLV|2TLV|2DMG	1aTLV|24DMG|3RCR|5BBNT|6DLOT|7TBNT|8aVULN|9aMLV|aBPWR
114	15211 61241	   	253.10	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aMDPS
115	15211 61242	   	253.10	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aAEWIND
116	15211 61246	   	253.10	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9ASPD|aBEXP
117	15211 62282	   	252.87	ACR|DCR|2TLV|2DMG|1ASPD	19TLV|29DMG|38RCR|4DUR|5AME|6MBVNT|79DUST|9BPWR|aASPD
118	14221 61242	   	252.64	ACR|DCR|3ASPD|1VULN|1TLV	1TLV|29aASPD|38RCR|4LWND|5AME|6MBVNT|7VULN
119	14223 32652	 * 	252.24	ACR|2VULN|2MLV|1TLV|2ASPD|1DMG	1TLV|2aASPD|3RCR|48LWND|5DMG|6aVULN|7ERES|9aMLV|aBPWR
120	15233 41611	 * 	252.13	ACR|2VULN|3TLV|3DMG|1MLV	178TLV|247DMG|3RCR|5BBNT|67VULN|7BPWR|9CGEN|aMLV
121	14231 33615	   	251.93	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5FEWX|6TBNT|7VULN|8RAT|9AME
122	14223 32132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4LWND|5DMG|6VULN|7ERES|8RAT|9FEWX
123	14223 42132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4LWND|5DMG|6ERES|7VULN|8RAT|9FEWX
124	14233 32132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LHND|6VULN|7ERES|8RAT|9FEWX
125	14233 42132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LHND|6ERES|7VULN|8RAT|9FEWX
126	14235 32132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LWND|6VULN|7ERES|8RAT|9FEWX
127	14235 42132	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LWND|6ERES|7VULN|8RAT|9FEWX
128	44231 32162	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1CGEN|2ASPD|3aRCR|4DMG|5FEWX|6TLV|7VULN|8RAT|9AETHUN
129	15221 61244	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2DMG|38RCR|4LWND|5AME|6MBVNT|7VULN|9ASPD|aRAT
130	16233 61244	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2AME|38RCR|4DMG|5LHND|6MBVNT|7VULN|9ASPD|aRAT
131	16235 61244	   	251.83	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2AME|38RCR|4DMG|5LWND|6MBVNT|7VULN|9ASPD|aRAT
132	15125 13243	   	251.74	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|2DUR|1CDMG	1TLV|2DMG|39DUR|4LIT|5CDMG|6VULN|7MLV|8AAC|aRCR
133	14223 32112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4LWND|5DMG|6VULN|7ERES|8RAT|9BEXP
134	14223 42112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4LWND|5DMG|6ERES|7VULN|8RAT|9BEXP
135	14231 42162	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5FEWX|6ERES|7VULN|8RAT|9AETHUN
136	14233 32112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LHND|6VULN|7ERES|8RAT|9BEXP
137	14233 42112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LHND|6ERES|7VULN|8RAT|9BEXP
138	14235 32112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LWND|6VULN|7ERES|8RAT|9BEXP
139	14235 42112	   	251.73	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2ASPD|3aRCR|4DMG|5LWND|6ERES|7VULN|8RAT|9BEXP
140	23234 16321	 * 	251.26	DCR|3MLV|1VULN|2ASPD|1AAC	1BELT|28AEFBLL|38ASPD|458MLV|6RCR|7TBNT|8BPWR|9VULN|aAAC
141	16222 61282	   	251.03	ACR|DCR|2VULN|1TLV|1ASPD	1TLV|2AME|38RCR|4LWND|5ZMB|6MBVNT|79VULN|aASPD
142	42632 11225	   	250.70	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1CGEN|2RPLT|38RCR|4DUR|5CDMG|6RMIN|7VULN|9DMG|aTLV
143	15211 61251	   	250.60	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9CDMG|aFEWX
144	15211 61253	   	250.60	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9CDMG|aBBNT
145	15211 61254	   	250.60	ACR|DCR|1VULN|1TLV|1DMG|1CDMG	1TLV|2DMG|38RCR|4DUR|5AME|6MBVNT|7VULN|9CDMG|aLHND
146	35231 33674	   	250.55	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD|1CDMG	1BEXP|26VULN|3MBVNT|4CDMG|5DMG|7TLV|8AAC|9RCR|aASPD
147	15213 22152	   	250.44	ACR|2VULN|2MLV|2TLV|1DMG|2DUR	1aTLV|2DMG|3RCR|4aDUR|57VULN|6RCVC|8BEXP|9aMLV|aBPWR
148	21548 11145	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MBVNT|4DUR|5MLV|6DUST|7VULN|8LHND|9aRCR
149	21548 11245	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MBVNT|4DUR|5MLV|6DUST|7VULN|8LWND|9aRCR
150	21548 44145	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MBVNT|4DUR|5MLV|6VULN|7BEXP|8LHND|9aRCR
151	21548 44245	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MBVNT|4DUR|5MLV|6VULN|7BEXP|8LWND|9aRCR
152	21632 25145	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4VULN|5BEXP|6MBVNT|7DUR|8LHND|9aRCR
153	21632 25245	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4VULN|5BEXP|6MBVNT|7DUR|8LWND|9aRCR
154	21633 24145	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4VULN|5DUR|6MBVNT|7BEXP|8LHND|9aRCR
155	21633 24245	   	250.08	DCR|DCR|1VULN|1MLV|1SELL	1BELT|2SELL|3MLV|4VULN|5DUR|6MBVNT|7BEXP|8LWND|9aRCR
