0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	290.85	橙橙2伤害1易伤2矿等2策反	1立即金币25矿等3易伤49策反68伤害7a核
18	21221 43442	   	270.58	橙橙2易伤1攻速	1雷电2a技能3攻速4低血量敌人56易伤79核8时间
19	21221 43443	   	270.58	橙橙2易伤1攻速	1雷电2技能3攻速4低血量敌人56易伤79核8时间a随机矿
20	12653 23114	   	268.69	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害4a易伤5赏金邻近6低血量敌人78核9赏金塔
21	12653 23131	   	268.69	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a最后敌人
22	12653 23133	   	268.69	橙橙2易伤1伤害	1立即金币2a基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核
23	12655 33131	   	268.69	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5低血量敌人6赏金塔78核a最后敌人
24	12655 33133	   	268.69	橙橙2易伤1伤害	1立即金币2a基地爆炸3伤害49易伤5低血量敌人6赏金塔78核
25	35653 23131	   	268.69	橙橙2易伤1伤害	12最后敌人3伤害49易伤5赏金邻近6a低血量敌人78核
26	41211 52117	 * 	268.60	橙3易伤3矿等2伤害	1技能259易伤3加一4机枪对壮69伤害789矿等9序列升级a核
27	12653 23132	   	268.59	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a挖尘
28	12653 23135	   	268.59	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a掉矿
29	12654 33131	   	268.59	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5挖尘6赏金塔78核a最后敌人
30	12654 33133	   	268.59	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5挖尘6赏金塔78核a双倍矿
31	12655 33132	   	268.59	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5低血量敌人6赏金塔78核a挖尘
32	35653 23133	   	268.59	橙橙2易伤1伤害	12最后敌人3伤害49易伤5赏金邻近6低血量敌人78核a掉矿
33	53613 33114	   	268.59	橙橙2易伤1伤害	1挖尘2基地爆炸3a易伤4伤害5立即金币6赏金塔78核9赏金邻近
34	53613 33131	   	268.59	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a最后敌人
35	53613 33133	   	268.59	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a双倍矿
36	53613 33134	   	268.59	橙橙2易伤1伤害	1挖尘2a基地爆炸39易伤4伤害5立即金币6赏金塔78核
37	53613 43131	   	268.59	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核a最后敌人
38	53613 43133	   	268.59	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核a双倍矿
39	12654 33132	   	268.49	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5a挖尘6赏金塔78核
40	53611 53131	   	268.49	橙橙2易伤1伤害	16挖尘2基地爆炸39易伤4伤害5赏金塔78核a最后敌人
41	53611 53133	   	268.49	橙橙2易伤1伤害	16挖尘2基地爆炸39易伤4伤害5赏金塔78核a双倍矿
42	53613 33132	   	268.49	橙橙2易伤1伤害	1a挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核
43	53613 33135	   	268.49	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a掉矿
44	53613 43132	   	268.49	橙橙2易伤1伤害	1a挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核
45	53611 53132	   	268.39	橙橙2易伤1伤害	16a挖尘2基地爆炸39易伤4伤害5赏金塔78核
46	14623 23123	   	266.45	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9等级a矿等
47	14625 33123	   	266.45	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5低血量敌人6赏金塔78核9等级a矿等
48	14623 23143	   	266.35	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9掉矿a矿等
49	14623 23122	   	262.57	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9等级a暴击
50	14625 33122	   	262.57	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5低血量敌人6赏金塔78核9等级a暴击
51	14623 23142	   	262.47	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9掉矿a暴击
52	21263 43341	   	262.28	橙橙2易伤1攻速	1雷电2技能3攻速46易伤5基地爆炸79核8低血量敌人a赏金邻近
53	21263 43342	   	262.28	橙橙2易伤1攻速	1雷电2a技能3攻速46易伤5基地爆炸79核8低血量敌人
54	21263 43343	   	262.28	橙橙2易伤1攻速	1雷电2技能3攻速46易伤5基地爆炸79核8低血量敌人a随机矿
55	41234 38448	   	262.23	橙橙1易伤1伤害1暴击1策反	1技能2易伤3加一4暴击5伤害6策反7时间8a核9金币生成
56	21111 43346	   	261.93	橙橙2易伤1暴击1策反	1雷电2技能3挖青4策反56易伤79核8低血量敌人a暴击
57	32351 55212	 * 	261.76	橙3易伤3伤害2时间1平台	19最后敌人2平台358伤害49时间679易伤9序列升级a核
58	63613 33134	 * 	261.64	紫橙2易伤1伤害1暴击	1双倍秒伤2基地爆炸3时间48核5伤害6a易伤7敌人爆炸9暴击
