0	Index      	 *	Score 	Summary	Detail	
1	23421 23652	 * 	292.61	橙橙2伤害1易伤2攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8a攻速9易伤
22	13121 24652	 * 	268.69	橙橙2易伤1伤害	1立即金币2最后敌人3等级4伤害5敌人爆炸67核8赏金塔9a易伤
23	13123 24652	   	268.69	橙橙2易伤1伤害	1立即金币2最后敌人3等级4伤害5基地爆炸67核8赏金塔9a易伤
24	14221 24253	   	268.69	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5a敌人爆炸67核8金币生成
25	14225 23234	   	268.69	橙橙2易伤1伤害	17立即金币2随机矿39易伤4伤害5低血量敌人6a核8金币生成
26	14221 24251	   	268.59	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5敌人爆炸67核8金币生成a激光对愈
27	14221 24252	   	268.59	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5敌人爆炸67核8金币生成a技能点
28	14222 24253	   	268.59	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5挖尘67核8金币生成a敌人爆炸
29	14222 24251	   	268.49	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5挖尘67核8金币生成a激光对愈
30	14222 24252	   	268.49	橙橙2易伤1伤害	1立即金币2随机矿39易伤4伤害5挖尘67核8金币生成a技能点
31	14221 24311	   	267.86	橙橙2伤害1易伤1平台	18立即金币2随机矿3易伤4a伤害5敌人爆炸67核9平台
32	14221 23252	 * 	267.86	橙3易伤2伤害2攻速2暴击	1立即金币2随机矿38a易伤4a伤害58敌人爆炸6核78攻速8a序列升级9a暴击
33	16321 24252	   	267.81	橙橙1易伤1伤害1矿等1平台	1立即金币2矿等3基地爆炸4伤害5敌人爆炸67核8金币生成9易伤a平台
34	14222 24311	   	267.76	橙橙2伤害1易伤1平台	18立即金币2随机矿3易伤4a伤害5挖尘67核9平台
35	14222 23252	   	267.66	橙3易伤2伤害2攻速2暴击	1立即金币2随机矿38a易伤4a伤害58挖尘6核78攻速8a序列升级9a暴击
36	23121 24652	   	266.62	橙橙1易伤2攻速1伤害	1最后敌人2掉矿3立即金币4伤害5敌人爆炸67核8a攻速9易伤
37	23123 24652	   	266.62	橙橙1易伤2攻速1伤害	1最后敌人2掉矿3立即金币4伤害5基地爆炸67核8a攻速9易伤
38	22325 24251	   	266.51	橙橙2伤害1易伤	1a最后敌人2时间3随机矿45伤害67核8金币生成9易伤
39	22325 24253	   	266.51	橙橙2伤害1易伤	1最后敌人2时间3随机矿45伤害67核8金币生成9易伤a敌人爆炸
40	22325 24262	   	266.51	橙橙2伤害1易伤	1最后敌人2时间3随机矿45伤害67核8金币生成9赏金塔a易伤
41	23421 23251	   	266.51	橙橙2伤害1易伤	15a最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤
42	23421 23253	   	266.51	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤a敌人爆炸
43	23421 23256	   	266.51	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤a双倍矿
44	23421 23262	   	266.51	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9赏金塔a易伤
45	23421 23325	   	266.51	橙橙2伤害1易伤	159最后敌人2掉矿3时间45伤害5序列升级67核8额外掉落a易伤
46	23421 23451	   	266.51	橙橙2伤害1易伤	15a最后敌人2掉矿3时间45伤害5序列升级67核8技能9易伤
47	23421 23453	   	266.51	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8技能9易伤a敌人爆炸
48	23421 23462	   	266.51	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8技能9赏金塔a易伤
49	14221 24236	   	266.45	橙橙1易伤1伤害1矿等	1立即金币2随机矿3易伤4伤害5敌人爆炸67核8金币生成9矿等a时间
50	22325 24212	   	266.41	橙橙2伤害1易伤	1最后敌人2时间3随机矿45伤害67核8金币生成9挖尘a易伤
51	22325 24314	   	266.41	橙橙2伤害1易伤	1最后敌人2时间3随机矿45伤害67核8额外掉落9核弹a易伤
52	23421 23254	   	266.41	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤a双倍秒伤
53	23421 23255	   	266.41	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9易伤a挖尘
54	23421 23314	   	266.41	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8额外掉落9核弹a易伤
55	23421 23412	   	266.41	橙橙2伤害1易伤	15最后敌人2掉矿3时间45伤害5序列升级67核8技能9挖尘a易伤
56	23425 23251	   	266.41	橙橙2伤害1易伤	1a最后敌人2掉矿3时间45伤害67核8金币生成9易伤
57	23425 23253	   	266.41	橙橙2伤害1易伤	1最后敌人2掉矿3时间45伤害67核8金币生成9易伤a敌人爆炸
58	23425 23262	   	266.41	橙橙2伤害1易伤	1最后敌人2掉矿3时间45伤害67核8金币生成9赏金塔a易伤
59	52121 24251	   	266.41	橙橙2伤害1易伤	15掉矿2基地爆炸3时间45伤害5序列升级67核8金币生成9易伤a最后敌人
60	52121 24253	   	266.41	橙橙2伤害1易伤	15掉矿2基地爆炸3时间45伤害5序列升级67核8金币生成9易伤a赏金塔
61	52121 24262	   	266.41	橙橙2伤害1易伤	15掉矿2基地爆炸3时间45伤害5序列升级67核8金币生成9赏金塔a易伤
62	22325 24512	   	266.31	橙橙2伤害1易伤	1最后敌人2时间3随机矿45伤害67核8掉矿9挖尘a易伤
63	23425 23314	   	266.31	橙橙2伤害1易伤	1最后敌人2掉矿3时间45伤害67核8额外掉落9核弹a易伤
64	23425 23412	   	266.31	橙橙2伤害1易伤	1最后敌人2掉矿3时间45伤害67核8技能9挖尘a易伤
65	51121 24251	   	266.31	橙橙2伤害1易伤	15掉矿2挖尘3时间45伤害5序列升级67核8金币生成9易伤a最后敌人
66	51121 24253	   	266.31	橙橙2伤害1易伤	15掉矿2挖尘3时间45伤害5序列升级67核8金币生成9易伤a赏金塔
67	51121 24262	   	266.31	橙橙2伤害1易伤	15掉矿2挖尘3时间45伤害5序列升级67核8金币生成9赏金塔a易伤
68	52121 24412	   	266.31	橙橙2伤害1易伤	15掉矿2基地爆炸3时间45伤害5序列升级67核8技能9挖尘a易伤
69	52121 24521	   	266.31	橙橙2伤害1易伤	158掉矿2基地爆炸3时间45伤害5序列升级67核9最后敌人a易伤
70	51121 24521	   	266.21	橙橙2伤害1易伤	158掉矿2挖尘3时间45伤害5序列升级67核9最后敌人a易伤
71	23421 23112	   	266.16	橙橙2伤害1易伤1策反	15最后敌人2掉矿3时间45伤害5序列升级67核8挖尘9策反a易伤
72	23425 23112	   	266.06	橙橙2伤害1易伤1策反	1最后敌人2掉矿3时间45伤害67核8挖尘9策反a易伤
73	52121 24112	   	266.06	橙橙2伤害1易伤1策反	15掉矿2基地爆炸3时间45伤害5序列升级67核8挖尘9策反a易伤
74	52125 24112	   	266.06	橙橙2伤害1易伤1策反	1掉矿2基地爆炸3时间45伤害67核8挖尘9策反a易伤
75	23422 22624	   	264.50	橙橙2伤害2矿等	1最后敌人2掉矿3时间47伤害5激光减费6a核89矿等
76	23421 23235	   	262.74	橙橙2伤害1矿等1攻速	15最后敌人2掉矿3时间45伤害5序列升级67核8金币生成9矿等a攻速
77	23425 23235	   	262.64	橙橙2伤害1矿等1攻速	1最后敌人2掉矿3时间45伤害67核8金币生成9矿等a攻速
78	52121 24235	   	262.64	橙橙2伤害1矿等1攻速	15掉矿2基地爆炸3时间45伤害5序列升级67核8金币生成9矿等a攻速
