0	Index      	 *	Score 	Summary	Detail	
1	61214 32654	 * 	234.66	DCR|4VULN|3DMG|1AART	1MBVNT|29aDMG|3aCGEN|4AART|578aVULN|6RCR|aBPWR
76	61113 24814	   	214.84	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|258DMG|3ASPD|4AART|6BEXP|7aVULN|9RCR
77	61114 47814	   	214.84	DCR|3DMG|2VULN|1AART|1ASPD	1MBVNT|278DMG|3ASPD|4AART|5aVULN|6FEWX|9RCR
78	22126 35326	   	214.80	DCR|3VULN|3DMG|1ASPD	178VULN|2TLV|3ASPD|459DMG|6RCR|aDUST
79	22125 34336	 * 	214.75	DCR|3ASPD|2VULN|1AART|1DMG	1aVULN|2TLV|35aASPD|4DMG|6RCR|7CGEN|8aDUST|9AART|aBPWR
80	22151 35321	   	214.61	DCR|4VULN|1ASPD|1DMG|1AAC|1ZMB	1478VULN|2TLV|3ASPD|5ZMB|6RCR|9DMG|aAAC
81	21115 44331	   	214.61	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2DUR	1VULN|24DUR|37DMG|5ASPD|6RCR|8DUST|9AART|aCDMG
82	22122 24211	   	214.30	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2TLV|3ASPD|48DMG|5ZMB|6CDMG|7RCR|aDUR
83	61214 32831	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2DMG|3CGEN|4AART|57VULN|6RCR|8ASPD|9ZMB|aCDMG
84	61514 32831	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2DMG|3MLV|4AART|57VULN|6RCR|8ASPD|9ZMB|aCDMG
85	63714 32831	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CGEN|3DMG|4AART|57VULN|6RCR|8ASPD|9ZMB|aCDMG
86	61614 32831	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2DMG|3ERES|4AART|57VULN|6RCR|8ASPD|9ZMB|aCDMG
87	65214 32831	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3ERES|4DMG|57VULN|6RCR|8ASPD|9ZMB|aCDMG
88	61214 32625	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DMG|3CGEN|4AART|578VULN|6RCR|9ASPD|aDUR
89	61214 32882	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DMG|3CGEN|4AART|57aVULN|6RCR|8ASPD|9DUR
90	21111 44531	 * 	213.74	DCR|3VULN|3DMG|3DUR	18aVULN|249DUR|37aDMG|5aAME|6RCR|aBPWR
91	25143 21221	 * 	213.70	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	159VULN|2AART|3RCR|4RMIN|6BEXP|79DUR|89DMG|9BPWR|aCDMG
92	25143 31221	   	213.70	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	159VULN|2AART|3RCR|4RMIN|6FEWX|79DUR|89DMG|9BPWR|aCDMG
93	25143 11221	   	213.60	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	159VULN|2AART|3RCR|4RMIN|6DUST|79DUR|89DMG|9BPWR|aCDMG
94	61214 34625	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|27DMG|3CGEN|4AART|58VULN|6RCR|9ASPD|aDUR
95	61214 34882	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|27DMG|3CGEN|4AART|5aVULN|6RCR|8ASPD|9DUR
96	22125 35321	   	213.46	DCR|3VULN|2DMG|2ASPD	178VULN|2TLV|35ASPD|49DMG|6RCR|aBEXP
97	22125 35323	   	213.46	DCR|3VULN|2DMG|2ASPD	178VULN|2TLV|35ASPD|49DMG|6RCR|aBELT
98	22125 35324	   	213.46	DCR|3VULN|2DMG|2ASPD	178VULN|2TLV|35ASPD|49DMG|6RCR|aLWND
99	22125 35326	   	213.46	DCR|3VULN|2DMG|2ASPD	178VULN|2TLV|35ASPD|49DMG|6RCR|aFEWX
100	22125 36363	   	213.46	DCR|3VULN|2DMG|2ASPD	18aVULN|2TLV|35ASPD|47DMG|6RCR|9MULARM
101	22125 35325	   	213.36	DCR|3VULN|2DMG|2ASPD	178VULN|2TLV|35ASPD|49DMG|6RCR|aDUST
102	61311 31826	   	212.78	DCR|2DMG|2ASPD|1VULN|1AART|2DUR	1MBVNT|2aDMG|3BEXP|4aDUR|5LHND|6RCR|7AART|8VULN|9aASPD|aBPWR
103	21142 52136	 * 	212.46	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	16VULN|2DUR|3DMG|47CDMG|58ASPD|9ZMB|aRCR
104	61214 32628	   	212.21	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1MBVNT|2DMG|3CGEN|4AART|578VULN|6RCR|9ASPD|aAAC
105	61514 36342	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DMG|3MLV|4AART|5aVULN|6RCR|7ASPD|8CDMG|9DUR
106	61214 36162	   	211.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1MBVNT|2DMG|3CGEN|49AART|5aVULN|6RCR|7ASPD|8DUR
107	61214 34628	   	211.96	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1MBVNT|27DMG|3CGEN|4AART|58VULN|6RCR|9ASPD|aAAC
108	22125 35363	 * 	211.72	DCR|4VULN|2ASPD|1DMG	178aVULN|2TLV|35ASPD|4DMG|6RCR|9MULARM
109	22151 36141	   	211.71	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB	14VULN|2TLV|3ASPD|5ZMB|6RCR|78DMG|9NUKE|aLIT
110	22151 36142	   	211.71	DCR|2VULN|2DMG|1ASPD|1NUKE|1ZMB|1DUR	14VULN|2TLV|3ASPD|5ZMB|6RCR|78DMG|9NUKE|aDUR
111	61214 34831	   	211.39	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	1MBVNT|27DMG|3CGEN|4AART|5VULN|6RCR|8ASPD|9ZMB|aCDMG
112	61514 34831	   	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|27DMG|3MLV|4AART|5VULN|6RCR|8ASPD|9ZMB|aCDMG
113	63714 34831	   	211.39	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	1MBVNT|2CGEN|37DMG|4AART|5VULN|6RCR|8ASPD|9ZMB|aCDMG
114	23261 35322	   	211.31	DCR|3VULN|1ASPD|1DMG|1CDMG|2ZMB|1SELL	178VULN|2SELL|3CDMG|4ASPD|5aZMB|6RCR|9DMG
115	23261 36532	   	211.31	DCR|3VULN|1ASPD|1DMG|1CDMG|2ZMB|1SELL	189VULN|2SELL|3CDMG|4ASPD|5aZMB|6RCR|7DMG
116	61614 34831	   	211.29	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|27DMG|3ERES|4AART|5VULN|6RCR|8ASPD|9ZMB|aCDMG
117	65214 34831	   	211.29	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|2AART|3ERES|47DMG|5VULN|6RCR|8ASPD|9ZMB|aCDMG
118	22125 36321	   	211.28	DCR|3DMG|2VULN|2ASPD	18VULN|2TLV|35ASPD|479DMG|6RCR|aRPLT
119	22125 36325	   	211.28	DCR|3DMG|2VULN|2ASPD	18VULN|2TLV|35ASPD|479DMG|6RCR|aCGEN
120	22125 36326	   	211.18	DCR|3DMG|2VULN|2ASPD	18VULN|2TLV|35ASPD|479DMG|6RCR|aDUST
121	23662 21341	 * 	211.15	DCR|1SPLARM|2VULN|2DMG|2ASPD|1SELL	1aVULN|2SELL|3RMIN|4LHND|5aASPD|6LWND|7SPLARM|8aDMG|9RCR|aBPWR
122	61214 34654	   	211.11	DCR|3DMG|2VULN|1AART|1ZMB	1MBVNT|279DMG|3CGEN|4AART|58VULN|6RCR|aZMB
123	23261 36132	   	211.07	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB|1SELL	19VULN|2SELL|3CDMG|4ASPD|5aZMB|6RCR|78DMG
124	22151 35322	   	211.05	DCR|4VULN|1ASPD|1DMG|2ZMB	1478VULN|2TLV|3ASPD|5aZMB|6RCR|9DMG
125	61213 36452	   	210.88	DCR|3DMG|2ASPD|1VULN|1AART	1MBVNT|256DMG|369CGEN|4AART|69BPWR|79ASPD|8RCR|aVULN
126	64163 53332	 * 	210.84	DCR|2VULN|2DMG|2CDMG|1ASPD|2ZMB	1MBVNT|28ZMB|3ASPD|48VULN|5LIT|69DMG|78CDMG|8BPWR|aRCR
127	23261 35363	   	210.82	DCR|4VULN|1ASPD|1CDMG|1ZMB|1SELL	178aVULN|2SELL|3CDMG|4ASPD|5ZMB|6RCR|9SPLREG
128	22126 36133	   	210.80	DCR|3DMG|1VULN|1AART|1ASPD|1ZMB	1VULN|2TLV|3ASPD|457DMG|6RCR|8ZMB|9MLV|aAART
129	22126 36143	   	210.80	DCR|3DMG|1VULN|1AART|1ASPD|1ZMB	1VULN|2TLV|3ASPD|457DMG|6RCR|8ZMB|9CGEN|aAART
130	24333 32325	 * 	210.79	DCR|2VULN|2ASPD|3CDMG|1AART	1aVULN|2LWND|358CDMG|4aFEWX|6AART|7RCR|9aASPD|aBPWR
131	11115 44112	   	210.72	DCR|3DMG|2VULN|1ASPD|2DUR	1FEWX|24DUR|378DMG|5ASPD|6RCR|9aVULN
132	21115 44112	   	210.72	DCR|3DMG|2VULN|1ASPD|2DUR	19VULN|24DUR|378DMG|5ASPD|6RCR|aMLV
133	21115 44113	   	210.72	DCR|3DMG|2VULN|1ASPD|2DUR	19VULN|24DUR|378DMG|5ASPD|6RCR|aAELBLL
134	31115 44112	   	210.72	DCR|3DMG|2VULN|1ASPD|2DUR	1BEXP|24DUR|378DMG|5ASPD|6RCR|9aVULN
135	61113 24812	   	210.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|258DMG|3ASPD|4AART|6BEXP|7VULN|9RCR|aCDMG
136	61114 47812	   	210.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|278DMG|3ASPD|4AART|5VULN|6FEWX|9RCR|aCDMG
137	22126 36163	 * 	210.70	DCR|3DMG|1VULN|1AART|1ASPD|1NUKE|1ZMB	1VULN|2TLV|3ASPD|457DMG|6RCR|8ZMB|9NUKE|aAART
138	24342 32325	   	210.69	DCR|2VULN|2ASPD|3CDMG|1AART	1aVULN|2aLWND|348CDMG|5LEGI|6AART|7RCR|9aASPD|aBPWR
139	52224 32325	   	210.69	DCR|2VULN|2ASPD|3CDMG|1AART	1LEGI|238CDMG|4aVULN|5aLWND|6AART|7RCR|9aASPD|aBPWR
140	61115 43412	   	210.68	DCR|3DMG|2ASPD|1AART|1VULN	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9LHND|aVULN
141	61115 43422	   	210.68	DCR|3DMG|2ASPD|1AART|1VULN	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9LWND|aVULN
142	61115 43481	   	210.68	DCR|3DMG|2ASPD|1AART|1VULN	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9VULN|aMLV
143	61214 32845	   	210.63	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1MBVNT|2DMG|3CGEN|4AART|57VULN|6RCR|8ASPD|9CDMG|aAAC
144	61161 83431	   	210.62	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DMG|3ASPD|46VULN|5RCVC|7DUR|8RCR|9AART|aCDMG
145	61113 43452	   	210.58	DCR|3DMG|2ASPD|1VULN|1AART	1MBVNT|257DMG|39ASPD|4AART|69TLV|8RCR|9BPWR|aVULN
146	61115 43442	   	210.58	DCR|3DMG|2ASPD|1VULN|1AART	1MBVNT|257DMG|35ASPD|4AART|5BPWR|69TLV|8RCR|aVULN
147	61115 43472	   	210.58	DCR|3DMG|2ASPD|1VULN|1AART	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9DUST|aVULN
148	61115 43483	   	210.58	DCR|3DMG|2ASPD|1VULN|1AART|1MSE	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9VULN|aMSE
149	61115 43484	   	210.58	DCR|3DMG|2ASPD|1VULN|1AART	1MBVNT|257DMG|35ASPD|4AART|5BPWR|6TLV|8RCR|9VULN|aDUST
150	25143 22621	 * 	210.34	ACR|3VULN|2ASPD|1AART|1CDMG|2DUR	159VULN|2AART|3RCR|4RMIN|6BEXP|79ASPD|89DUR|9BPWR|aCDMG
151	25143 32621	   	210.34	ACR|3VULN|2ASPD|1AART|1CDMG|2DUR	159VULN|2AART|3RCR|4RMIN|6FEWX|79ASPD|89DUR|9BPWR|aCDMG
152	61352 45211	   	210.33	DCR|3DMG|3ASPD|2CDMG|1DUR	1MBVNT|268DMG|3BEXP|48CDMG|568ASPD|68BPWR|7RCR|9LHND|aDUR
153	21142 53136	   	210.28	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR|1ZMB	16VULN|27DUR|3DMG|4CDMG|58ASPD|9ZMB|aRCR
154	61122 88431	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2DMG|3ASPD|4CGEN|5ZMB|67VULN|8RCR|9AART|aCDMG
155	61614 34344	 * 	210.14	DCR|3DMG|2VULN|1MDPS|1AART	1MBVNT|279DMG|39ERES|4AART|59VULN|6RCR|8BELT|9BPWR|aMDPS
156	65214 34344	   	210.14	DCR|3DMG|2VULN|1MDPS|1AART	1MBVNT|2AART|39ERES|479DMG|59VULN|6RCR|8BELT|9BPWR|aMDPS
157	61214 32481	   	209.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2DMG|3CGEN|4AART|579VULN|6RCR|8DUR|aCDMG
158	61214 32661	   	209.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2DMG|3CGEN|4AART|578VULN|6RCR|9DUR|aCDMG
159	63714 32481	   	209.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2CGEN|3DMG|4AART|579VULN|6RCR|8DUR|aCDMG
160	61614 32348	   	209.90	DCR|3VULN|2DMG|1AART	1MBVNT|29DMG|39ERES|4AART|579VULN|6RCR|8BELT|9BPWR|aSPLREG
161	65214 32348	   	209.90	DCR|3VULN|2DMG|1AART	1MBVNT|2AART|39ERES|49DMG|579VULN|6RCR|8BELT|9BPWR|aSPLREG
162	61614 32481	   	209.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2DMG|3ERES|4AART|579VULN|6RCR|8DUR|aCDMG
163	65214 32481	   	209.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2AART|3ERES|4DMG|579VULN|6RCR|8DUR|aCDMG
164	61214 34481	   	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|27DMG|3CGEN|4AART|59VULN|6RCR|8DUR|aCDMG
