0	Index      	 *	Score 	Summary	Detail	
1	51711 44423	 * 	308.86	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|3DMG|49VULN|5DUST|68RCR|7LIT|aTLV
16	54234 41453	   	292.83	ACR|3VULN|1TLV|2AEFBLL|2CDMG|1ASPD|1AART	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9ASPD|aAART
17	51113 11874	 * 	289.75	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|369aVULN|4TLV|5ZMB|7DMG|8RCR
18	51114 21874	   	289.75	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|359aVULN|4TLV|6ZMB|7DMG|8RCR
19	51134 11874	   	289.75	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|369aVULN|4ZMB|5TLV|7DMG|8RCR
20	31341 26513	 * 	289.48	DCR|2TLV|2VULN|2ASPD|1AEFBLL|1CDMG	1RPLT|27ASPD|37TLV|4AEFBLL|59ERES|67VULN|7BPWR|8CDMG|aRCR
21	51114 31851	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MBVNT|35VULN|4TLV|6RPLT|7MDPS|89RCR|aFEWX
22	51114 31852	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MBVNT|35VULN|4TLV|6RPLT|7MDPS|89RCR|aBEXP
23	51114 31853	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MBVNT|35VULN|4TLV|6RPLT|7MDPS|89RCR|aAME
24	51114 31854	   	288.80	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MBVNT|35VULN|4TLV|6RPLT|7MDPS|89RCR|aLIT
25	54232 34161	   	288.77	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5DUR|6RPLT|79RCR|8RCVC|aVULN
26	51115 11343	   	288.37	DCR|2VULN|1TLV|2DMG|1AEBURN|1ASPD|1CDMG	1CDMG|2MBVNT|38VULN|4TLV|5AEBURN|6ASPD|79DMG|aRCR
27	51164 11343	   	288.37	DCR|2VULN|1TLV|2DMG|1AEFBLL|1ASPD|1CDMG	1CDMG|2MBVNT|38VULN|4AEFBLL|5TLV|6ASPD|79DMG|aRCR
28	54234 41414	   	288.24	ACR|3VULN|1TLV|2AEFBLL|1DMG|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9DMSP|aDMG
29	54234 41464	   	288.24	ACR|3VULN|1TLV|2AEFBLL|1DMG|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9AME|aDMG
30	54234 41484	   	288.24	ACR|3VULN|1TLV|2AEFBLL|1DMG|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9RCVC|aDMG
31	54234 41434	   	288.14	ACR|3VULN|1TLV|2AEFBLL|1DMG|2CDMG	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9AEWIND|aDMG
32	54234 13174	 * 	287.97	ACR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|27TLV|3AEFBLL|4MBVNT|5RCR|6BEXP|89aVULN
33	54234 23174	   	287.97	ACR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|27TLV|3AEFBLL|4MBVNT|5RCR|6FEWX|89aVULN
34	54234 41454	 * 	287.87	ACR|3VULN|1TLV|3CDMG|2AEFBLL|1ASPD	18aCDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9ASPD
35	51112 11864	   	287.87	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2MBVNT|36aVULN|49TLV|5ERES|7DMG|8RCR
36	54234 31464	   	287.87	ACR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|29TLV|3AEFBLL|4MBVNT|5RCR|6DUST|78aVULN
37	54234 33174	   	287.87	ACR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|27TLV|3AEFBLL|4MBVNT|5RCR|6DUST|89aVULN
38	51113 11563	   	287.80	DCR|2TLV|2VULN|2DMG|1CDMG	1CDMG|2MBVNT|36VULN|48TLV|5ZMB|79DMG|aRCR
39	51114 21563	   	287.80	DCR|2TLV|2VULN|2DMG|1CDMG	1CDMG|2MBVNT|35VULN|48TLV|6ZMB|79DMG|aRCR
40	51134 11563	   	287.80	DCR|2TLV|2VULN|2DMG|1CDMG	1CDMG|2MBVNT|36VULN|4ZMB|58TLV|79DMG|aRCR
41	31324 13443	 * 	287.27	DCR|2TLV|2VULN|3ASPD|2AEBURN	1RPLT|279ASPD|35TLV|4AETHUN|69VULN|89AEBURN|9BPWR|aRCR
42	51113 11363	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2MBVNT|368VULN|4TLV|5ZMB|79DMG|aRCR
43	51114 21363	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2MBVNT|358VULN|4TLV|6ZMB|79DMG|aRCR
44	51134 11363	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2MBVNT|368VULN|4ZMB|5TLV|79DMG|aRCR
45	51184 21363	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2MBVNT|348VULN|5TLV|6ZMB|79DMG|aRCR
46	53434 11363	   	286.29	DCR|3VULN|1TLV|2DMG|1CDMG	1CDMG|2ZMB|368VULN|4MBVNT|5TLV|79DMG|aRCR
47	32214 31451	   	286.04	DCR|DCR|1TLV|1VULN|2CDMG|1ASPD	1RPLT|2LWND|3ZMB|4ASPD|5TLV|69RCR|78CDMG|aVULN
48	51131 44442	   	285.94	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2MBVNT|3VULN|4ZMB|5DUST|68RCR|7LIT|9DMG|aTLV
49	53431 44442	   	285.94	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2ZMB|3VULN|4MBVNT|5DUST|68RCR|7LIT|9DMG|aTLV
50	51711 44463	   	285.32	DCR|DCR|1TLV|1VULN|1DMG|2CDMG	19CDMG|2MBVNT|3DMG|4VULN|5DUST|68RCR|7LIT|aTLV
51	51115 11543	   	284.72	DCR|2TLV|1VULN|2DMG|1AEBURN|1ASPD|1CDMG	1CDMG|2MBVNT|3VULN|48TLV|5AEBURN|6ASPD|79DMG|aRCR
52	51164 11543	   	284.72	DCR|2TLV|1VULN|2DMG|1AEFBLL|1ASPD|1CDMG	1CDMG|2MBVNT|3VULN|4AEFBLL|58TLV|6ASPD|79DMG|aRCR
53	51114 11847	 * 	283.96	DCR|2VULN|1TLV|3DMG|1ASPD|1CDMG	1CDMG|2MBVNT|35VULN|4TLV|6ASPD|789DMG|aRCR
54	51188 22313	   	283.34	DCR|4VULN|1TLV|1ASPD|1CDMG	1CDMG|2MBVNT|3457VULN|6TLV|8ASPD|9ZMB|aRCR
55	51114 11573	   	283.24	DCR|2TLV|2VULN|1DMG|2CDMG|1ASPD	19CDMG|2MBVNT|35VULN|48TLV|6ASPD|7DMG|aRCR
56	54234 31474	   	282.71	ACR|4VULN|1TLV|1AEFBLL|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|6DUST|789aVULN
57	54234 41125	   	282.71	ACR|4VULN|1TLV|1AEFBLL|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678aVULN|9ERES
58	51112 11874	   	282.71	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2MBVNT|369aVULN|4TLV|5ERES|7DMG|8RCR
59	51113 11854	   	282.35	DCR|3VULN|1TLV|1DMG|1ASPD|1CDMG	1CDMG|2MBVNT|36aVULN|4TLV|5ZMB|7DMG|8RCR|9ASPD
60	51114 21854	   	282.35	DCR|3VULN|1TLV|1DMG|1ASPD|1CDMG	1CDMG|2MBVNT|35aVULN|4TLV|6ZMB|7DMG|8RCR|9ASPD
61	51134 11854	   	282.35	DCR|3VULN|1TLV|1DMG|1ASPD|1CDMG	1CDMG|2MBVNT|36aVULN|4ZMB|5TLV|7DMG|8RCR|9ASPD
62	51168 22313	   	282.35	DCR|3VULN|1TLV|1AEFBLL|1ASPD|1CDMG	1CDMG|2MBVNT|357VULN|4AEFBLL|6TLV|8ASPD|9ZMB|aRCR
63	51187 22313	   	282.35	DCR|3VULN|1TLV|1AEFBLL|1ASPD|1CDMG	1CDMG|2MBVNT|347VULN|5AEFBLL|6TLV|8ASPD|9ZMB|aRCR
64	31353 31342	 * 	281.97	DCR|2TLV|2VULN|2ASPD|3CDMG	1RPLT|28ASPD|38TLV|49VULN|5MLV|6RCR|78aCDMG|8BPWR
65	31356 31342	   	281.97	DCR|2TLV|2VULN|2ASPD|3CDMG	1RPLT|28ASPD|38TLV|49VULN|5AME|6RCR|78aCDMG|8BPWR
66	54234 41111	   	281.83	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9DMG|aBEXP
67	54234 41114	   	281.83	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9DMG|aRCVC
68	54234 41118	   	281.83	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9DMG|aDMSP
69	54234 41134	   	281.83	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9LHND|aDMG
70	54234 41452	   	281.83	ACR|3VULN|1TLV|2AEFBLL|2CDMG|1ASPD	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9ASPD|aLIT
71	51114 11373	   	281.73	DCR|3VULN|1TLV|1DMG|2CDMG|1ASPD	19CDMG|2MBVNT|358VULN|4TLV|6ASPD|7DMG|aRCR
72	51114 52383	   	281.73	DCR|3VULN|1TLV|1DMG|2CDMG|1ASPD	16CDMG|2MBVNT|357VULN|4TLV|8ASPD|9DMG|aRCR
73	54234 41112	   	281.73	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9DMG|aERES
74	54234 41113	   	281.73	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9DMG|aMDPS
75	54234 41117	   	281.73	ACR|3VULN|1TLV|2AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3aAEFBLL|4MBVNT|5RCR|678VULN|9DMG
76	54234 41128	   	281.73	ACR|3VULN|1TLV|1AEFBLL|1DMG|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5RCR|678VULN|9ERES|aDMG
77	54234 41451	   	281.73	ACR|3VULN|1TLV|2AEFBLL|2CDMG|1ASPD|1SELL	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9ASPD|aSELL
78	51184 11373	   	281.73	DCR|3VULN|1TLV|1DMG|2CDMG|1ASPD	19CDMG|2MBVNT|348VULN|5TLV|6ASPD|7DMG|aRCR
79	51115 21363	   	281.66	DCR|2VULN|1TLV|2DMG|1AEBURN|1CDMG	1CDMG|2MBVNT|38VULN|4TLV|5AEBURN|6ZMB|79DMG|aRCR
80	51164 21363	   	281.66	DCR|2VULN|1TLV|2DMG|1AEFBLL|1CDMG	1CDMG|2MBVNT|38VULN|4AEFBLL|5TLV|6ZMB|79DMG|aRCR
81	51114 12864	   	281.55	DCR|3VULN|2TLV|1ASPD|1CDMG	1CDMG|2MBVNT|35aVULN|49TLV|6ASPD|7AAC|8RCR
82	51113 11863	   	281.22	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	1CDMG|2MBVNT|36VULN|49TLV|5ZMB|7DMG|8RCR|aAART
83	51114 21863	   	281.22	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	1CDMG|2MBVNT|35VULN|49TLV|6ZMB|7DMG|8RCR|aAART
84	51134 11863	   	281.22	DCR|2TLV|2VULN|1DMG|1CDMG|1AART	1CDMG|2MBVNT|36VULN|4ZMB|59TLV|7DMG|8RCR|aAART
85	31354 31353	   	280.96	DCR|2TLV|2VULN|2DMG|1ASPD	1RPLT|2ASPD|35TLV|48VULN|6DMSP|79DMG|aRCR
86	51114 81543	   	280.86	DCR|2TLV|2VULN|2DMG|1CDMG	1CDMG|2MBVNT|35VULN|48TLV|6CGEN|79DMG|aRCR
87	51231 25373	   	280.79	DCR|2TLV|2VULN|2CDMG|1AEPOI|1AART	1aCDMG|2MBVNT|3AART|4AEPOI|5aVULN|6RPLT|7AAC|8RCR|9aTLV|aBPWR
88	51112 11543	   	280.76	DCR|2TLV|2VULN|2DMG|1CDMG	1CDMG|2MBVNT|36VULN|48TLV|5ERES|79DMG|aRCR
89	31323 35343	 * 	280.46	DCR|3VULN|2TLV|2ASPD	1RPLT|29ASPD|39TLV|4AETHUN|5MLV|6RCR|7DUST|89aVULN|9BPWR
90	31326 35343	   	280.46	DCR|3VULN|2TLV|2ASPD	1RPLT|29ASPD|39TLV|4AETHUN|5AME|6RCR|7DUST|89aVULN|9BPWR
91	51113 11861	   	279.87	DCR|2TLV|2VULN|1DMG|1CDMG	1CDMG|2MBVNT|36VULN|49TLV|5ZMB|7DMG|8RCR|aDUR
92	51114 21861	   	279.87	DCR|2TLV|2VULN|1DMG|1CDMG	1CDMG|2MBVNT|35VULN|49TLV|6ZMB|7DMG|8RCR|aDUR
93	51134 11861	   	279.87	DCR|2TLV|2VULN|1DMG|1CDMG	1CDMG|2MBVNT|36VULN|4ZMB|59TLV|7DMG|8RCR|aDUR
94	32214 31151	   	279.73	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1RPLT|2LWND|3ZMB|4ASPD|5TLV|69RCR|7CDMG|8RCVC|aVULN
95	51113 11873	   	279.71	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1CDMG|2MBVNT|369VULN|4TLV|5ZMB|7DMG|8RCR|aAART
96	51114 21873	   	279.71	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1CDMG|2MBVNT|359VULN|4TLV|6ZMB|7DMG|8RCR|aAART
97	51134 11873	   	279.71	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1CDMG|2MBVNT|369VULN|4ZMB|5TLV|7DMG|8RCR|aAART
98	33214 31641	   	279.63	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1RPLT|2VULN|3ZMB|4ASPD|5TLV|69RCR|7CDMG|8MDPS|aFEWX
99	33214 31642	   	279.63	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1RPLT|2VULN|3ZMB|4ASPD|5TLV|69RCR|7CDMG|8MDPS|aBEXP
100	33214 31643	   	279.63	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1RPLT|2VULN|3ZMB|4ASPD|5TLV|69RCR|7CDMG|8MDPS|aAME
101	54234 41418	   	279.18	ACR|3VULN|1TLV|2AEFBLL|2CDMG|1AART	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9DMSP|aAART
102	31234 31451	   	279.10	DCR|DCR|1TLV|1VULN|2CDMG|1ASPD	1RPLT|2ASPD|3LWND|4AAC|5TLV|69RCR|78CDMG|aVULN
103	54233 34161	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5LWND|6RPLT|79RCR|8RCVC|aVULN
104	54233 34461	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1CDMG|2TLV|3AEFBLL|4MBVNT|5LWND|6RPLT|79RCR|8DMSP|aVULN
105	54234 41438	   	279.08	ACR|3VULN|1TLV|2AEFBLL|2CDMG|1AART	18CDMG|2TLV|38AEFBLL|4MBVNT|5RCR|678VULN|8BPWR|9AEWIND|aAART
106	51711 44433	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2MBVNT|3DMG|4VULN|5DUST|68RCR|79LIT|aTLV
107	51711 44472	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CDMG|2MBVNT|3DMG|4VULN|5DUST|68RCR|7LIT|9MSLREG|aTLV
