0	Index      	 *	Score 	Summary	Detail	
1	52114 31622	 * 	318.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG|1AEPOI	1RAT|29RCR|3AEPOI|47ASPD|5ERES|6TLV|8DMG|aVULN
27	52424 32121	   	294.94	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|7BEXP|89VULN|aBLAICY
28	52424 33221	   	294.94	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|79VULN|8FEWX|aBLAICY
29	52113 31114	   	294.89	ACR|2VULN|1TLV|3ASPD|1DMG|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|479ASPD|5AME|6TLV|89VULN|9BPWR|aDMG
30	52424 33321	   	294.84	ACR|3TLV|2VULN|2DMG	1RAT|2RCR|356TLV|45DMG|5BPWR|79VULN|8DUST|aBLAICY
31	52153 61112	   	294.54	ACR|2TLV|2VULN|1DMG|1AEPOI|2RAT|1AART	19RAT|2RCR|3AEPOI|49TLV|5AME|6RCVC|7DMG|89VULN|9BPWR|aAART
32	52156 21112	   	294.54	ACR|2TLV|2VULN|1DMG|1AEPOI|2RAT|1AART	19RAT|2RCR|3AEPOI|49TLV|5RCVC|6MLV|7DMG|89VULN|9BPWR|aAART
33	51211 51623	 * 	293.08	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1RAT|2ASPD|3LHND|4LWND|5VULN|6TLV|7ZMB|89RCR|aAEBURN
34	51321 51623	   	293.08	DCR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1RAT|2ASPD|3LWND|4LHND|5VULN|6TLV|7ZMB|89RCR|aAEBURN
35	51151 42313	 * 	292.84	DCR|DCR|2VULN|2ASPD|1AEPOI|3RAT	167RAT|27ASPD|3DUR|4BEXP|57VULN|7BPWR|8AEPOI|9aRCR
36	52115 32231	   	292.84	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ZMB|9TLV|aCGEN
37	52115 32232	   	292.84	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ZMB|9TLV|aLHND
38	52115 32235	   	292.84	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ZMB|9TLV|aBELT
39	52115 32236	   	292.74	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1SELL|1MSE	1RAT|26RCR|3AEPOI|4ASPD|5SELL|7VULN|8ZMB|9TLV|aMSE
40	52325 61123	   	292.56	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1RAT|29RCR|3AAC|4DMG|5VULN|6TLV|7LWND|8FEWX|aAEBURN
41	52425 11123	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1RAT|29RCR|3TLV|4DMG|5VULN|6NUKE|7LWND|8FEWX|aAEBURN
42	52425 31323	   	292.46	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1RAT|29RCR|3TLV|4DMG|5VULN|6MDPS|7AAC|8RCVC|aAEBURN
43	51111 51621	   	291.72	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	1RAT|2ASPD|3aDUR|4LWND|5VULN|6TLV|7ZMB|89RCR
44	52325 62121	   	291.20	ACR|DCR|1TLV|1VULN|1DMG|2DUR	1RAT|29RCR|3AAC|4DMG|5VULN|6TLV|7aDUR|8FEWX
45	52425 12121	   	291.10	ACR|DCR|1TLV|1VULN|1DMG|2DUR	1RAT|29RCR|3TLV|4DMG|5VULN|6NUKE|7aDUR|8FEWX
46	52424 12121	   	289.90	ACR|2TLV|2VULN|3DMG	1RAT|2RCR|35TLV|457DMG|5BPWR|6BEXP|89VULN|aCANSTR
47	52424 12122	   	289.90	ACR|2TLV|2VULN|3DMG	1RAT|2RCR|35TLV|457DMG|5BPWR|6BEXP|89VULN|aMSLREG
48	52153 61113	   	289.85	ACR|2TLV|2VULN|1DMG|1AEPOI|3RAT	19aRAT|2RCR|3AEPOI|49TLV|5AME|6RCVC|7DMG|89VULN|9BPWR
49	52156 21113	   	289.85	ACR|2TLV|2VULN|1DMG|1AEPOI|3RAT	19aRAT|2RCR|3AEPOI|49TLV|5RCVC|6MLV|7DMG|89VULN|9BPWR
50	52113 35111	   	289.58	ACR|2TLV|2VULN|2ASPD|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|49ASPD|5AME|67TLV|89VULN|9BPWR|aLIT
51	52113 35116	   	289.48	ACR|2TLV|2VULN|2ASPD|1AEPOI|2RAT	19RAT|2RCR|3AEPOI|49ASPD|5AME|67TLV|89VULN|9BPWR|aERES
52	51111 51623	   	289.29	DCR|DCR|1TLV|1VULN|2RAT|1ASPD	1aRAT|2ASPD|3DUR|4LWND|5VULN|6TLV|7ZMB|89RCR
53	52243 35121	   	289.09	ACR|DCR|1TLV|1VULN|1DMG	1RAT|29RCR|3BEXP|4DMG|5VULN|6TLV|7ZMB|8FEWX|aDUR
54	52325 62123	   	288.77	ACR|DCR|1TLV|1VULN|1DMG|2RAT	1aRAT|29RCR|3AAC|4DMG|5VULN|6TLV|7DUR|8FEWX
55	52425 12123	   	288.67	ACR|DCR|1TLV|1VULN|1DMG|2RAT	1aRAT|29RCR|3TLV|4DMG|5VULN|6NUKE|7DUR|8FEWX
