0	Index      	 *	Score 	Summary	Detail	
1	21661 22413	 * 	285.44	DCR|DCR|3TLV|2DMG	1RCVC|248TLV|38FEWX|5AAC|68DMG|7aRCR|8BPWR|9RPLT
32	21663 23232	 * 	269.69	DCR|2TLV|2VULN|1DMG|1AEBURN	1RCVC|24TLV|3FEWX|5DLOT|69VULN|7AEBURN|8RCR|aDMG
33	21163 23232	   	269.59	DCR|2TLV|2VULN|1DMG|1AEBURN	1RCVC|24TLV|3DUST|5DLOT|69VULN|7AEBURN|8RCR|aDMG
34	44163 23232	 * 	269.49	DCR|2TLV|2VULN|1DMG|2AEBURN	17AEBURN|24TLV|3DUST|5DLOT|69VULN|8RCR|aDMG
35	34533 42113	   	269.03	ACR|DCR|1TLV|1VULN|1DUR	1ZMB|2RAT|3LWND|4LIT|5aRCR|6VULN|7RPLT|8DUR|9TLV
36	31233 42113	   	268.93	ACR|DCR|1TLV|1VULN|1DUR	1ZMB|2DUST|3RAT|4LIT|5aRCR|6VULN|7RPLT|8DUR|9TLV
37	35233 42113	   	268.93	ACR|DCR|1TLV|1VULN|1DUR	1ZMB|2AETHUN|3RAT|4LIT|5aRCR|6VULN|7RPLT|8DUR|9TLV
38	24163 22613	   	268.80	DCR|DCR|1TLV|1VULN|1ASPD|1DUR	1RCVC|2AAC|3VULN|4TLV|5BEXP|6DUR|7aRCR|8ASPD|9RPLT
39	33151 14223	   	268.78	DCR|DCR|1TLV|1VULN|1DUR|1SELL	1ZMB|2AME|3RAT|4SELL|5DUR|67RCR|8RMIN|9TLV|aVULN
40	33151 14623	   	268.78	DCR|DCR|1TLV|1VULN|1DUR|1SELL	1ZMB|2AME|3RAT|4SELL|5DUR|67RCR|8AAC|9TLV|aVULN
41	34133 24325	 * 	268.46	DCR|2VULN|1TLV|1AEFBLL|1DMG|1AART	1ZMB|2RAT|3DMG|4AME|5AEFBLL|6aVULN|7TLV|8RCR|9AART
42	12436 34322	 * 	267.90	ACR|3VULN|2TLV|1ASPD	16LHND|2BASHEA|3RCR|47aVULN|5ASPD|89TLV
43	12436 24322	   	267.80	ACR|3VULN|2TLV|1ASPD	1LHND|2BASHEA|3RCR|47aVULN|5ASPD|6AEFRZ|89TLV
44	34115 51332	   	267.46	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5LWND|6aTLV|7VULN|8RCR|9AEPOI
45	34116 51332	   	267.46	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5LHND|6aTLV|7VULN|8RCR|9AEPOI
46	34113 33732	   	267.36	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|6RCR|7aTLV|8VULN|9AEPOI
47	34113 36532	   	267.36	DCR|2TLV|1VULN|1DMG|1AEPOI|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|6RCR|7VULN|8aTLV|9AEPOI
48	44142 33223	 * 	267.13	DCR|3TLV|1VULN|1DMG|1AEBURN|1CDMG	1AEBURN|267TLV|3DUST|4CDMG|5RPLT|8VULN|9RCR|aDMG
49	34111 51351	 * 	267.02	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	1ZMB|2RAT|3DMG|49CDMG|5DUR|6TLV|7aVULN|8RCR
50	34151 51331	   	266.88	DCR|2VULN|1TLV|1DMG|1AEPOI|1DUR|1SELL	1ZMB|2RAT|3DMG|4SELL|5DUR|6TLV|7aVULN|8RCR|9AEPOI
51	44321 52211	   	266.32	DCR|2TLV|2VULN|1AEBURN|1DUR	1AEBURN|29TLV|3CGEN|4RAT|57VULN|6DUR|8DMSP|aRCR
52	12311 42416	   	265.74	DCR|DCR|1TLV|1VULN|1CDMG|1SELL	1LHND|2BASHEA|3RPLT|4VULN|5RAT|6SELL|7TLV|8aRCR|9CDMG
53	34113 34125	   	264.89	DCR|DCR|1TLV|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|67RCR|8LIT|9DUR|aTLV
54	25413 52131	   	264.66	DCR|2TLV|1VULN|2DMG|1ASPD|1CDMG	1RCVC|2CDMG|37DMG|4AEFRZ|5aTLV|6ASPD|8VULN|9RCR
55	34111 51363	   	264.57	DCR|1TLV|1VULN|1DMG|1AEPOI|1ASPD|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6TLV|7VULN|8RCR|9ASPD|aAEPOI
56	34113 34514	   	264.44	DCR|DCR|2VULN|1DMG|1CDMG	1ZMB|2RAT|3DMG|4CDMG|5MBVNT|67RCR|8RCVC|9aVULN
57	16233 63253	   	264.07	DCR|2VULN|1TLV|1DMG|1AEPOI|1CDMG	1LHND|29VULN|3DUST|4RAT|5TLV|6DMG|7CDMG|8RCR|aAEPOI
58	11252 25512	 * 	263.57	ACR|DCR|2TLV|1AEFBLL|1DUR	1LHND|2RPLT|3AAC|4DUR|5aRCR|6AEFBLL|79TLV|8ERES
59	44321 23333	   	263.50	DCR|2TLV|2VULN|1AEBURN	1AEBURN|28TLV|3CGEN|4RAT|59VULN|6ZMB|7BASICY|aRCR
60	44342 23333	   	263.50	DCR|2TLV|2VULN|1AEBURN	1AEBURN|28TLV|3CGEN|49VULN|5RAT|6ZMB|7BASICY|aRCR
61	34111 51352	 * 	263.37	DCR|2TLV|1VULN|1DMG|2CDMG|1DUR	1ZMB|2RAT|3DMG|49CDMG|5DUR|6aTLV|7VULN|8RCR
62	34151 51332	   	263.23	DCR|2TLV|1VULN|1DMG|1AEPOI|1DUR|1SELL	1ZMB|2RAT|3DMG|4SELL|5DUR|6aTLV|7VULN|8RCR|9AEPOI
63	44263 11222	   	263.14	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	1AEBURN|24TLV|3LHND|5DLOT|6RCR|7DMG|8ASPD|9VULN|aDUR
64	44163 11232	   	263.04	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	1AEBURN|24TLV|3DUST|5DLOT|6RCR|7DMG|8ASPD|9VULN|aDUR
65	13233 12525	   	262.09	ACR|DCR|1TLV|1VULN|1DUR	1LHND|2CGEN|3RAT|4LIT|58RCR|6DUR|7RPLT|9VULN|aTLV
66	16233 63235	 * 	261.60	DCR|2VULN|1TLV|2DMG|1CDMG	1LHND|2aVULN|3DUST|4RAT|5TLV|69DMG|7CDMG|8RCR
67	34113 34218	 * 	261.26	DCR|DCR|1VULN|1DMG|1AEBURN|1CDMG|2RAT	1ZMB|28RAT|3DMG|4CDMG|5MBVNT|67RCR|9VULN|aAEBURN
68	34111 51325	   	260.71	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6TLV|7aVULN|8RCR|9BEXP
69	34111 51342	   	260.71	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6TLV|7aVULN|8RCR|9LIT
70	34111 51311	   	260.61	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6TLV|7aVULN|8RCR|9AEFRZ
71	34111 15411	   	260.61	DCR|2VULN|1TLV|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6RCR|7aVULN|8TLV|9AEFRZ
72	44263 11221	   	260.42	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD	1AEBURN|24TLV|3LHND|5DLOT|6RCR|7DMG|8ASPD|9VULN|aRAT
73	44163 11231	   	260.32	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD	1AEBURN|24TLV|3DUST|5DLOT|6RCR|7DMG|8ASPD|9VULN|aRAT
74	21266 11214	   	259.38	DCR|2TLV|2VULN|1AEBURN|1DUR	1RCVC|24TLV|3LHND|5AEBURN|68VULN|7BEXP|9RCR|aDUR
75	21666 11212	   	259.38	DCR|2TLV|2VULN|1AEBURN|1DUR	1RCVC|24TLV|3FEWX|5AEBURN|68VULN|7BEXP|9RCR|aDUR
76	21166 11212	   	259.28	DCR|2TLV|2VULN|1AEBURN|1DUR	1RCVC|24TLV|3DUST|5AEBURN|68VULN|7FEWX|9RCR|aDUR
77	33155 14223	   	259.12	DCR|DCR|1TLV|1VULN|1SELL	1ZMB|2AME|3RAT|4SELL|5LWND|67RCR|8RMIN|9TLV|aVULN
78	25443 22133	   	258.62	DCR|1TLV|1VULN|2DMG|1AEPOI|1ASPD|1CDMG	1RCVC|2CDMG|37DMG|4AEPOI|5TLV|6AAC|8VULN|9RCR|aASPD
79	44132 62313	   	258.30	DCR|2TLV|1VULN|1AEBURN|1ASPD|1AART	1AEBURN|26TLV|3DUST|4RAT|5ZMB|7VULN|8RCR|9ASPD|aAART
80	44132 62321	   	258.30	DCR|2TLV|1VULN|1AEBURN|1ASPD|1AART	1AEBURN|26TLV|3DUST|4RAT|5ZMB|7VULN|8RCR|9AART|aASPD
81	34113 36523	   	257.76	DCR|2VULN|1TLV|1DMG|1CDMG|2RAT	1ZMB|2aRAT|3DMG|4CDMG|5MBVNT|6RCR|7aVULN|8TLV|9aBEXP|aBPWR
82	34113 33761	   	257.26	DCR|2VULN|1TLV|1DMG|2CDMG	1ZMB|2RAT|3DMG|49CDMG|5MBVNT|6RCR|7TLV|8aVULN
83	45413 22131	 * 	257.17	DCR|2TLV|1VULN|2DMG|1AEBURN|1SELL	1AEBURN|2SELL|37DMG|4AEFRZ|5aTLV|6AAC|8VULN|9RCR
84	34153 34214	   	257.16	DCR|DCR|2VULN|1DMG|2RAT|1SELL	1ZMB|28RAT|3DMG|4SELL|5MBVNT|67RCR|9aVULN
85	34153 33731	   	257.12	DCR|2VULN|1TLV|1DMG|1AEPOI|1SELL	1ZMB|2RAT|3DMG|4SELL|5MBVNT|6RCR|7TLV|8aVULN|9AEPOI
86	34111 51324	   	257.06	DCR|2TLV|1VULN|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6aTLV|7VULN|8RCR|9BEXP
87	21642 33226	 * 	256.96	DCR|3TLV|2VULN|1CDMG	1RCVC|267TLV|3FEWX|4CDMG|5RPLT|8aVULN|9RCR
88	34111 51312	   	256.96	DCR|2TLV|1VULN|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6aTLV|7VULN|8RCR|9AEFRZ
89	34111 15412	   	256.96	DCR|2TLV|1VULN|1DMG|1CDMG|1DUR	1ZMB|2RAT|3DMG|4CDMG|5DUR|6RCR|7VULN|8aTLV|9AEFRZ
90	21346 13161	 * 	256.86	DCR|2TLV|2VULN|1AEPOI	1RCVC|28TLV|38CGEN|47VULN|5AEPOI|68LHND|8BPWR|9RAT|aRCR
91	21142 33226	   	256.86	DCR|3TLV|2VULN|1CDMG	1RCVC|267TLV|3DUST|4CDMG|5RPLT|8aVULN|9RCR
92	12311 22232	   	256.76	DCR|2TLV|2VULN|1DMG	1aLHND|2BASHEA|3RPLT|4aVULN|5RAT|6DMG|7aTLV|8BELT|9RCR|aBPWR
93	16534 13332	   	256.75	DCR|2VULN|1TLV|1DMG|1AEPOI|2RAT|2SELL	1LHND|26VULN|34SELL|56RAT|6BPWR|7DMG|8RCR|9AEPOI|aTLV
94	16511 13332	   	256.75	DCR|2VULN|1TLV|1DMG|1AEPOI|2RAT|2SELL	1LHND|26VULN|35SELL|46RAT|6BPWR|7DMG|8RCR|9AEPOI|aTLV
95	21266 15321	   	256.66	DCR|2TLV|2VULN|1AEBURN	1RCVC|24TLV|3LHND|5AEBURN|68VULN|7RAT|9RMIN|aRCR
96	44231 24321	   	256.66	DCR|2TLV|2VULN|1AEBURN	1AEBURN|27TLV|35LHND|4RAT|68VULN|9RMIN|aRCR
97	21663 23233	   	256.56	DCR|2TLV|2VULN|1AEBURN	1RCVC|24TLV|3FEWX|5DLOT|69VULN|7AEBURN|8RCR|aRAT
98	21163 23233	   	256.46	DCR|2TLV|2VULN|1AEBURN	1RCVC|24TLV|3DUST|5DLOT|69VULN|7AEBURN|8RCR|aRAT
99	21163 11155	   	256.46	DCR|2TLV|2VULN|1DMG	1RCVC|24TLV|3DUST|5DLOT|6RCR|7DMG|8RAT|9aVULN
100	44163 23233	   	256.36	DCR|2TLV|2VULN|2AEBURN	17AEBURN|24TLV|3DUST|5DLOT|69VULN|8RCR|aRAT
