0	Index      	 *	Score 	Summary	Detail	
1	42254 12122	 * 	339.56	ACR|DCR|2TLV|2VULN|1AEPOI	12TLV|36RCR|4FEWX|59VULN|7ZMB|8AART|aAEPOI
20	42214 12312	   	323.35	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD	12TLV|36RCR|4LWND|5VULN|7ZMB|8ASPD|9AART|aAEBURN
21	42254 12113	   	323.35	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4FEWX|5VULN|7ZMB|8AART|9DMG|aCDMG
22	42254 12312	   	323.35	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD	12TLV|36RCR|4FEWX|5VULN|7ZMB|8ASPD|9AART|aAEBURN
23	42264 12113	   	323.35	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LHND|5VULN|7ZMB|8AART|9DMG|aCDMG
24	42264 12312	   	323.35	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD	12TLV|36RCR|4LHND|5VULN|7ZMB|8ASPD|9AART|aAEBURN
25	42214 12333	   	322.14	ACR|DCR|2TLV|2VULN|1ASPD	12TLV|36RCR|4LWND|5aVULN|7ZMB|8ASPD|9FEWX
26	42264 12333	   	322.14	ACR|DCR|2TLV|2VULN|1ASPD	12TLV|36RCR|4LHND|5aVULN|7ZMB|8ASPD|9FEWX
27	42214 13623	   	321.61	ACR|DCR|2TLV|2VULN|1AEBURN	12TLV|36RCR|4LWND|5aVULN|7AEBURN|8AAC|9BELT
28	42254 13223	   	321.61	ACR|DCR|2TLV|2VULN|1AEBURN	12TLV|36RCR|4FEWX|5aVULN|7AEBURN|8CGEN|9BELT
29	42254 13323	   	321.61	ACR|DCR|2TLV|2VULN|1AEBURN	12TLV|36RCR|4FEWX|5aVULN|7AEBURN|8AME|9BELT
30	42214 13151	   	321.51	ACR|DCR|2TLV|2VULN|1AEBURN	12TLV|36RCR|4LWND|59VULN|7AEBURN|8CANHEL|aFLTFST
31	42214 13152	   	321.51	ACR|DCR|2TLV|2VULN|1AEBURN	12TLV|36RCR|4LWND|59VULN|7AEBURN|8CANHEL|aFEWX
32	42214 15312	   	320.15	ACR|DCR|2TLV|2VULN|2DUR	12TLV|36RCR|4LWND|5aVULN|79DUR|8DLOT
33	42214 12121	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aFEWX
34	42214 12123	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aLHND
35	42214 12125	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aBEXP
36	42214 12126	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aBELT
37	42254 12121	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4aFEWX|59VULN|7ZMB|8AART
38	42254 12123	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4FEWX|59VULN|7ZMB|8AART|aAAC
39	42264 12121	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LHND|59VULN|7ZMB|8AART|aFEWX
40	42264 12123	   	319.49	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4aLHND|59VULN|7ZMB|8AART
41	42214 12124	   	319.39	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|59VULN|7ZMB|8AART|aERES
42	42214 12115	   	319.36	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aDUR
43	42214 13532	   	318.96	ACR|DCR|3TLV|1VULN|1AEBURN|1CDMG	129TLV|36RCR|4LWND|5VULN|7AEBURN|8AEWIND|aCDMG
44	42214 12623	   	318.15	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|5aVULN|7ZMB|8BEXP|9DUR
45	42214 12223	   	318.05	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|5aVULN|7ZMB|8DUST|9DUR
46	42264 12223	   	318.05	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LHND|5aVULN|7ZMB|8DUST|9DUR
47	45214 12113	   	317.21	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1CDMG	1TLV|2AEFBLL|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aCDMG
48	42214 12313	   	316.94	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8ASPD|9AART|aCDMG
49	42214 12323	   	316.94	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8ASPD|9CDMG|aAART
50	42254 12313	   	316.94	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	12TLV|36RCR|4FEWX|5VULN|7ZMB|8ASPD|9AART|aCDMG
51	42264 12313	   	316.94	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	12TLV|36RCR|4LHND|5VULN|7ZMB|8ASPD|9AART|aCDMG
52	42264 12323	   	316.94	ACR|DCR|2TLV|1VULN|1ASPD|1CDMG	12TLV|36RCR|4LHND|5VULN|7ZMB|8ASPD|9CDMG|aAART
53	24126 11151	 * 	316.26	DCR|4VULN|1TLV|3DMG|2RAT	17RAT|267DMG|3TLV|4ERES|5678VULN|67BPWR|9RCR|aLHND
54	24126 11152	   	316.26	DCR|4VULN|1TLV|3DMG|2RAT	17RAT|267DMG|3TLV|4ERES|5678VULN|67BPWR|9RCR|aDMSP
55	24126 11153	   	316.16	DCR|4VULN|1TLV|3DMG|2RAT	17RAT|267DMG|3TLV|4aERES|5678VULN|67BPWR|9RCR
56	45214 12333	   	316.00	ACR|DCR|2VULN|1TLV|1AEFBLL|1ASPD	1TLV|2AEFBLL|36RCR|4LWND|5aVULN|7ZMB|8ASPD|9FEWX
57	21844 22611	 * 	315.80	DCR|DCR|2VULN|1TLV|1AEPOI|1CDMG	1RAT|2MBVNT|3TLV|4CDMG|56VULN|7AEPOI|8aRCR|9DLOT
58	42214 11122	   	315.30	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LWND|5aVULN|7MULHEA|8MLV|9aAME|aBPWR
59	42214 11152	   	315.30	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LWND|5aVULN|7MULHEA|8MLV|9aCGEN|aBPWR
60	42214 11522	   	315.30	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LWND|5aVULN|7MULHEA|8CGEN|9aMLV|aBPWR
61	42254 11122	   	315.30	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4FEWX|5aVULN|7MULHEA|8MLV|9aAME|aBPWR
62	42264 11122	   	315.30	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LHND|5aVULN|7MULHEA|8MLV|9aAME|aBPWR
63	42262 24322	   	315.17	ACR|DCR|3TLV|1VULN|2AEPOI	127TLV|39RCR|4LHND|57LWND|67AEPOI|7BPWR|8VULN|aDUR
64	42214 51221	   	315.10	ACR|DCR|3TLV|2VULN	127TLV|39RCR|4LWND|58VULN|6DUST|aBEXP
65	42214 11132	   	315.10	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LWND|5aVULN|7MULHEA|8MLV|9aERES|aBPWR
66	42214 11532	   	315.10	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LWND|5aVULN|7MULHEA|8CGEN|9aERES|aBPWR
67	42254 11132	   	315.10	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4FEWX|5aVULN|7MULHEA|8MLV|9aERES|aBPWR
68	42264 11132	   	315.10	ACR|DCR|3TLV|2VULN	12aTLV|36RCR|4LHND|5aVULN|7MULHEA|8MLV|9aERES|aBPWR
69	42214 14112	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LWND|5VULN|7CGEN|8DUR|9DMG|aCDMG
70	42214 15112	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LWND|5VULN|7DUR|8AAC|9DMG|aCDMG
71	42214 15212	   	315.07	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LWND|5VULN|7DUR|8CGEN|9DMG|aCDMG
72	42252 22622	   	315.07	ACR|DCR|3TLV|1VULN|1AEPOI	128TLV|39RCR|4FEWX|5LWND|6AEPOI|7VULN|aDUR
73	42214 51223	   	315.00	ACR|DCR|3TLV|2VULN|1MSE	127TLV|39RCR|4LWND|58VULN|6DUST|aMSE
74	42214 13111	   	314.97	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	12TLV|36RCR|4LWND|5VULN|7AEBURN|8CANHEL|9DUR|aCDMG
75	42254 13111	   	314.97	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	12TLV|36RCR|4FEWX|5VULN|7AEBURN|8CANHEL|9DUR|aCDMG
76	42264 13111	   	314.97	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG	12TLV|36RCR|4LHND|5VULN|7AEBURN|8CANHEL|9DUR|aCDMG
77	42214 13533	   	314.97	ACR|DCR|3TLV|1VULN|1AEBURN	129TLV|36RCR|4LWND|5VULN|7AEBURN|8AEWIND|aDUR
78	42214 12143	   	313.50	ACR|DCR|3TLV|1VULN|2AART	129TLV|36RCR|4LWND|5VULN|7ZMB|8aAART
79	42214 12423	   	313.50	ACR|DCR|3TLV|1VULN|2AART	128TLV|36RCR|4LWND|5VULN|7ZMB|9aAART
80	45214 12121	   	313.35	ACR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2AEFBLL|36RCR|4LWND|59VULN|7ZMB|8AART|aFEWX
81	45214 12123	   	313.35	ACR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2AEFBLL|36RCR|4LWND|59VULN|7ZMB|8AART|aLHND
82	42214 12111	   	312.99	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LWND|5VULN|7aZMB|8AART|9DMG
83	42254 12111	   	312.99	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4FEWX|5VULN|7aZMB|8AART|9DMG
84	42264 12111	   	312.99	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LHND|5VULN|7aZMB|8AART|9DMG
85	42214 12315	   	312.95	ACR|DCR|2TLV|1VULN|1ASPD	12TLV|36RCR|4LWND|5VULN|7ZMB|8ASPD|9AART|aDUR
86	15214 13326	   	312.35	ACR|DCR|2TLV|2VULN	1aERES|2aAEFRZ|36RCR|4LWND|59VULN|7aTLV|8AART|aBPWR
87	42214 12612	   	312.35	ACR|DCR|2TLV|1VULN|1DMG|1CDMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8BEXP|9DMG|aCDMG
88	42214 13116	   	312.32	ACR|DCR|2TLV|1VULN|1AEBURN	12TLV|36RCR|4LWND|5VULN|7AEBURN|8CANHEL|9DUR|aAART
89	42214 13531	   	312.25	ACR|DCR|3TLV|1VULN|1AEBURN	129TLV|36RCR|4LWND|5VULN|7AEBURN|8AEWIND|aRAT
90	45214 12223	   	311.91	ACR|DCR|2VULN|1TLV|1AEFBLL	1TLV|2AEFBLL|36RCR|4LWND|5aVULN|7ZMB|8DUST|9DUR
91	42214 13214	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|36RCR|4LWND|5VULN|7AEBURN|8CGEN|9MLV|aDMG
92	42214 13314	   	311.82	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN	12TLV|36RCR|4LWND|5VULN|7AEBURN|8AME|9MLV|aDMG
93	42214 15323	   	311.11	ACR|DCR|2TLV|2VULN	12TLV|36RCR|4LWND|5aVULN|7DUR|8DLOT|9BEXP
94	45214 12313	   	310.80	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1CDMG	1TLV|2AEFBLL|36RCR|4LWND|5VULN|7ZMB|8ASPD|9AART|aCDMG
95	45214 12323	   	310.80	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1CDMG	1TLV|2AEFBLL|36RCR|4LWND|5VULN|7ZMB|8ASPD|9CDMG|aAART
96	42214 12114	   	309.70	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aLHND
97	42214 12132	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9FEWX|aAEPOI
98	42214 12134	   	309.70	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9FEWX|aDMG
99	42214 12135	   	309.70	ACR|DCR|2TLV|1VULN|1AEFBLL	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9FEWX|aAEFBLL
100	42214 12162	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9BEXP|aAEPOI
101	42254 12132	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|49FEWX|5VULN|7ZMB|8AART|aAEPOI
102	42264 12132	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4LHND|5VULN|7ZMB|8AART|9FEWX|aAEPOI
103	42252 12122	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4FEWX|5LWND|7ZMB|8AART|9VULN|aAEPOI
104	42252 12124	   	309.70	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4FEWX|5LWND|7ZMB|8AART|9VULN|aDMG
105	42252 12125	   	309.70	ACR|DCR|2TLV|1VULN|1AEFBLL	12TLV|36RCR|4FEWX|5LWND|7ZMB|8AART|9VULN|aAEFBLL
106	42262 12122	   	309.70	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4LHND|5LWND|7ZMB|8AART|9VULN|aAEPOI
107	42262 12124	   	309.70	ACR|DCR|2TLV|1VULN|1DMG	12TLV|36RCR|4LHND|5LWND|7ZMB|8AART|9VULN|aDMG
108	42262 12125	   	309.70	ACR|DCR|2TLV|1VULN|1AEFBLL	12TLV|36RCR|4LHND|5LWND|7ZMB|8AART|9VULN|aAEFBLL
109	42214 12116	   	309.60	ACR|DCR|2TLV|1VULN|1DMG|1MSE	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9DMG|aMSE
110	42214 12152	   	309.60	ACR|DCR|2TLV|1VULN|1AEBURN	12TLV|36RCR|4LWND|5VULN|7ZMB|8AART|9AETHUN|aAEBURN
111	42254 12222	   	309.60	ACR|DCR|2TLV|1VULN|1AEPOI	12TLV|36RCR|4FEWX|5VULN|7ZMB|8DUST|9AART|aAEPOI
