0	Index      	 *	Score 	Summary	Detail	
1	26534 33311	 * 	296.15	橙橙1易伤1等级1矿等1暴击2卖塔	1毒液对黄24卖塔3等级5矿等69核7暴击8时间a易伤
19	11521 12331	   	271.67	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4最后敌人5易伤6敌人爆炸7a核8攻速9等级
20	11246 32331	   	271.57	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3易伤4挖尘5最后敌人6随机技能7a核8攻速9等级
21	11343 22331	   	271.57	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3最后敌人4挖尘5随机技能6易伤7a核8攻速9等级
22	11345 32331	   	271.57	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3最后敌人4挖尘5易伤6随机技能7a核8攻速9等级
23	11351 42331	   	271.57	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3最后敌人4随机技能5易伤6挖尘7a核8攻速9等级
24	11521 42331	   	271.57	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3随机技能4最后敌人5易伤6挖尘7a核8攻速9等级
25	11133 22331	   	271.47	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4挖青5随机技能6易伤7a核8攻速9等级
26	11135 32331	   	271.47	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4挖青5易伤6随机技能7a核8攻速9等级
27	11143 22331	   	271.47	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4挖尘5随机技能6易伤7a核8攻速9等级
28	11145 32331	   	271.47	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4挖尘5易伤6随机技能7a核8攻速9等级
29	11151 42331	   	271.47	橙橙1易伤1等级1攻速	1低血量敌人2双倍秒伤3基地爆炸4随机技能5易伤6挖尘7a核8攻速9等级
30	55243 22331	   	271.47	橙橙1易伤1等级1攻速	1雷电减费2基地爆炸3最后敌人4双倍秒伤5随机技能6易伤7a核8攻速9等级
31	61136 32331	   	271.47	橙橙1易伤1等级1攻速	1易伤2双倍秒伤3基地爆炸4挖青5最后敌人6随机技能7a核8攻速9等级
32	61146 32331	   	271.47	橙橙1易伤1等级1攻速	1易伤2双倍秒伤3基地爆炸4挖尘5最后敌人6随机技能7a核8攻速9等级
33	61133 42331	   	271.37	橙橙1易伤1等级1攻速	1易伤2双倍秒伤3基地爆炸4挖青5随机技能6挖尘7a核8攻速9等级
34	62421 33216	 * 	270.12	紫3易伤2矿等1等级2攻速1暴击	14a易伤2平台3a攻速5核6暴击7等级8赏金塔9a矿等a序列升级
35	31342 34521	 * 	269.95	橙橙1易伤1伤害1技能	1全技能2技能3伤害4时间5金币生成6爆破对冰79核8易伤a低血量敌人
36	31342 34523	   	269.95	橙橙1易伤1伤害1技能	1全技能2技能3伤害4时间5a金币生成6爆破对冰79核8易伤
37	31342 34522	   	269.85	橙橙1易伤1伤害1技能	1全技能2技能3伤害4时间5金币生成6爆破对冰79核8易伤a挖青
38	62332 41322	   	267.75	橙橙2易伤1攻速	18易伤2平台3金币生成4随机技能57最后敌人6a核9攻速
39	62332 43322	   	267.65	橙橙2易伤1攻速	18易伤2平台3金币生成4随机技能5最后敌人6a核7火球减费9攻速
