0	Index      	 *	Score 	Summary	Detail	
1	13334 33532	 * 	202.52	DCR|3DMG|2VULN|2ASPD|1CDMG|1FLTHEA|1ZMB	19VULN|2LHND|359DMG|4CDMG|6ZMB|79ASPD|8RCR|9BPWR|aFLTHEA
35	14335 16311	   	181.52	ACR|2VULN|2DMG|2AART|1DUR	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7LHND|8DUR
36	64334 13311	   	181.52	ACR|2VULN|2DMG|2AART|1DUR	1LHND|2DUST|35DMG|4RCR|6aAART|79VULN|8DUR
37	11132 16121	   	181.47	DCR|3VULN|2DMG|1AART|1ZMB	158VULN|2ZMB|3ERES|49DMG|6DUST|7AART|aRCR
38	14334 13116	   	181.42	ACR|2VULN|2DMG|2AART|1DUR	19VULN|2DUST|35DMG|4RCR|6aAART|7TLV|8DUR
39	14335 13116	   	181.42	ACR|2VULN|2DMG|2AART|1DUR	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7TLV|8DUR
40	14333 26153	 * 	180.48	ACR|3VULN|2DMG|2ASPD|1CDMG	18aVULN|2DUST|38DMG|4RCR|5ERES|6CDMG|78ASPD|8BPWR|9RMIN
41	14333 26163	   	180.48	ACR|3VULN|2DMG|2ASPD|1CDMG	18aVULN|2DUST|38DMG|4RCR|5ERES|6CDMG|78ASPD|8BPWR|9CGEN
42	26326 26122	 * 	180.16	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	1LIT|2aZMB|3CDMG|4LWND|5aDUR|6VULN|7aDMG|8AART|9RCR|aBPWR
43	14334 31432	 * 	179.94	ACR|3VULN|3DMG|1ZMB	189VULN|29DUST|357DMG|4RCR|69FEWX|9BPWR|aZMB
44	26512 52213	 * 	179.89	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1LIT|2aZMB|3ASPD|4RCR|5DMG|6aVULN|7CDMG|8AART|9aCANSTR|aBPWR
45	26512 52232	 * 	179.89	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1LIT|29ZMB|3ASPD|4RCR|5aDMG|6VULN|7CDMG|8AART
46	15332 22164	 * 	179.79	DCR|5VULN|2DMG	1589aVULN|2CGEN|3RMIN|46DMG|7RCR
47	16332 22162	   	179.79	DCR|5VULN|2DMG	1589aVULN|2MLV|3RMIN|46DMG|7RCR
48	41332 22162	   	179.69	DCR|5VULN|2DMG	1TLV|2589aVULN|3RMIN|46DMG|7RCR
49	43363 53231	 * 	179.55	ACR|3VULN|1AART|1DMG|1CDMG	1TLV|2AART|3RCR|4DMG|5BEXP|6DLOT|7CDMG|89aVULN
50	15332 22423	   	179.52	DCR|3VULN|3DMG|1ZMB	15aVULN|2CGEN|3RMIN|468DMG|7RCR|9ZMB
51	16332 22462	   	179.52	DCR|3VULN|3DMG|1ZMB	159VULN|2MLV|3RMIN|468DMG|7RCR|aZMB
52	15132 22423	   	179.42	DCR|3VULN|3DMG|1ZMB	15aVULN|2CGEN|3ERES|468DMG|7RCR|9ZMB
53	41332 22462	   	179.42	DCR|3VULN|3DMG|1ZMB	1TLV|259VULN|3RMIN|468DMG|7RCR|aZMB
54	36351 13143	   	179.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1SELL|2RCR|3ASPD|4RCVC|5DMG|68VULN|7CDMG|9AART|aDUR
55	36663 12232	 * 	178.80	ACR|3VULN|1AART|1DMG|2ASPD|1SELL	1SELL|2RCR|3BELT|48ASPD|589VULN|68ERES|7AART|8BPWR|aDMG
56	14334 12115	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|2DUST|35aDMG|4RCR|6AART|7BEXP|8FEWX
57	14334 12215	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|2DUST|35aDMG|4RCR|6AART|7BEXP|8LHND
58	14334 14112	   	178.79	ACR|3DMG|2VULN|1AART	1aVULN|2DUST|357DMG|4RCR|6AART|8CGEN|9BEXP
59	14334 14311	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|2DUST|357DMG|4RCR|6AART|8aDMSP
60	14334 14313	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|2DUST|357DMG|4RCR|6AART|8DMSP|aCGEN
61	14335 12115	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|25DUST|35aDMG|4RCR|5BPWR|6AART|7BEXP|8FEWX
62	14335 12215	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|25DUST|35aDMG|4RCR|5BPWR|6AART|7BEXP|8LHND
63	14335 14112	   	178.79	ACR|3DMG|2VULN|1AART	1aVULN|25DUST|357DMG|4RCR|5BPWR|6AART|8CGEN|9BEXP
64	14335 14311	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|25DUST|357DMG|4RCR|5BPWR|6AART|8aDMSP
65	14335 14313	   	178.79	ACR|3DMG|2VULN|1AART	19VULN|25DUST|357DMG|4RCR|5BPWR|6AART|8DMSP|aCGEN
66	14331 12642	 * 	178.79	ACR|3VULN|2DMG|1AART	19aVULN|258DUST|39DMG|4RCR|6AART|79BEXP|9BPWR
67	36351 13142	 * 	178.71	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1SELL	1SELL|2RCR|3aASPD|4RCVC|5DMG|68VULN|7CDMG|9AART
68	14331 14121	   	178.69	ACR|3DMG|2VULN|1AART	18VULN|25DUST|379DMG|4RCR|6AART|aDMSP
69	14331 14123	   	178.69	ACR|3DMG|2VULN|1AART	18VULN|25DUST|379DMG|4RCR|6AART|aCGEN
70	14331 14124	   	178.69	ACR|3DMG|2VULN|1AART	18VULN|25DUST|379DMG|4RCR|6AART|aLWND
71	14331 14126	   	178.69	ACR|3DMG|2VULN|1AART	18VULN|25DUST|379DMG|4RCR|6AART|aBEXP
72	11254 13141	 * 	178.22	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	18VULN|2ZMB|3BEXP|4CDMG|56DMG|7SELL|9AART|aRCR
73	14331 35342	   	178.19	ACR|3VULN|2DMG|1AART	19aVULN|258DUST|39DMG|4RCR|69FEWX|7AART|9BPWR
74	11322 54116	 * 	178.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	19VULN|2ZMB|3RMIN|4aAART|5ERES|6RCR|7DMG|8DUR
75	31311 41643	   	178.11	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1SELL|2aDMG|39VULN|4LHND|5DUR|6AART|7ZMB|8RCR
76	26512 51113	   	178.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4RCR|5DMG|67aVULN|8AART|9LHND
77	26512 51123	   	178.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ZMB|3ASPD|4RCR|5DMG|67aVULN|8AART|9BEXP
78	14156 41233	 * 	177.95	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19VULN|2DUST|39ZMB|4CDMG|5MBVNT|6aDMG|7RCR|89DUR|9BPWR
79	31343 52531	 * 	177.86	DCR|2VULN|2DMG|3ASPD|2DUR|1ZMB|1SELL	1SELL|29DMG|39VULN|4aDUR|5ZMB|679ASPD|8RCR|9BPWR
80	11312 14535	 * 	177.47	DCR|3VULN|2DMG|3DUR|1ZMB|1SELL	19aVULN|2ZMB|3RMIN|4SELL|59DMG|679DUR|8RCR|9BPWR
81	15423 12326	 * 	177.38	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|2CGEN|3BELT|4aCDMG|5DUST|6ERES|7AART|8aDMG|9RCR|aBPWR
82	13312 33262	 * 	177.36	DCR|3VULN|2DMG|3ZMB	189VULN|2LHND|38DMG|4RCVC|578ZMB|6RMIN|8BPWR|aRCR
83	13154 13531	 * 	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|56DMG|79ASPD|8RCR|9BPWR|aLIT
84	13154 13532	   	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|56DMG|79ASPD|8RCR|9BPWR|aCGEN
85	13154 13533	   	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|56DMG|79ASPD|8RCR|9BPWR|aFEWX
86	13156 12531	   	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|57ASPD|69DMG|8RCR|9BPWR|aLIT
87	13156 12532	   	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|57ASPD|69DMG|8RCR|9BPWR|aCGEN
88	13156 12533	   	177.07	DCR|2VULN|2DMG|2ZMB|2ASPD|1CDMG	19VULN|2LHND|39ZMB|4CDMG|57ASPD|69DMG|8RCR|9BPWR|aFEWX
89	14334 11112	   	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2DUST|35DMG|4RCR|6AART|7ASPD|8DUR|aCGEN
90	14334 11114	   	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2DUST|35DMG|4RCR|6AART|7ASPD|8DUR|aLHND
91	14334 11115	   	177.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|2DUST|35DMG|4RCR|6AART|7ASPD|8DUR|aMLV
92	14334 11116	   	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2DUST|35DMG|4RCR|6AART|7ASPD|8DUR|aDMSP
93	14335 11112	   	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR|aCGEN
94	14335 11114	   	177.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR|aLHND
95	14335 11115	   	177.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR|aMLV
96	14335 11116	   	177.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR|aDMSP
97	14334 11111	   	176.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	19VULN|2aDUST|35DMG|4RCR|6AART|7ASPD|8DUR
98	14334 11113	   	176.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|2DUST|35DMG|4RCR|6AART|7ASPD|8DUR|aERES
99	14335 11111	   	176.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|25aDUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR
100	14335 11113	   	176.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7ASPD|8DUR|aERES
101	13156 23531	 * 	176.77	DCR|2VULN|2DMG|2CDMG|2ZMB|1ASPD	19VULN|2LHND|39ZMB|46CDMG|5ASPD|79DMG|8RCR|9BPWR|aLIT
102	13156 23532	   	176.77	DCR|2VULN|2DMG|2CDMG|2ZMB|1ASPD	19VULN|2LHND|39ZMB|46CDMG|5ASPD|79DMG|8RCR|9BPWR|aCGEN
103	13156 23533	   	176.77	DCR|2VULN|2DMG|2CDMG|2ZMB|1ASPD	19VULN|2LHND|39ZMB|46CDMG|5ASPD|79DMG|8RCR|9BPWR|aFEWX
104	14332 22155	   	176.74	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1VULN|2DUST|389DMG|4RCR|5LIT|6DUR|7ZMB|aAART
105	32511 33448	 * 	176.67	DCR|4VULN|2AART|1CDMG|1SELL	1SELL|2CDMG|37AART|458aVULN|6MBVNT|9RCR
106	15332 22253	   	176.67	DCR|3DMG|2VULN|1AART	15VULN|2CGEN|3RMIN|46aDMG|7RCR|8LWND|9AART
107	15332 22353	   	176.67	DCR|3DMG|2VULN|1AART	15VULN|2CGEN|3RMIN|46aDMG|7RCR|8FEWX|9AART
108	14331 14152	   	176.58	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|259DUST|37DMG|4RCR|6AART|aCDMG
109	41332 22253	   	176.57	DCR|3DMG|2VULN|1AART	1TLV|25VULN|3RMIN|46aDMG|7RCR|8LWND|9AART
110	41332 22353	   	176.57	DCR|3DMG|2VULN|1AART	1TLV|25VULN|3RMIN|46aDMG|7RCR|8FEWX|9AART
111	15332 22133	   	176.07	DCR|3VULN|2DMG|1AART	158VULN|2CGEN|3RMIN|46DMG|7RCR|9LHND|aAART
112	15332 22563	   	176.07	DCR|3VULN|2DMG|1AART	159VULN|2CGEN|3RMIN|46DMG|7RCR|8LHND|aAART
113	16332 22411	   	176.07	DCR|3DMG|2VULN|1AART	15VULN|2MLV|3RMIN|468DMG|7RCR|9CGEN|aAART
114	22512 52232	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2MLV|3ASPD|4RCR|5DMG|6aVULN|7CDMG|8AART|9ZMB
115	15132 22113	   	175.97	DCR|3VULN|2DMG|1AART	158VULN|2CGEN|3ERES|46DMG|7RCR|9BEXP|aAART
116	15132 22133	   	175.97	DCR|3VULN|2DMG|1AART	158VULN|2CGEN|3ERES|46DMG|7RCR|9LHND|aAART
117	15332 22461	   	175.97	DCR|3DMG|2VULN|1AART	15VULN|2CGEN|3RMIN|468DMG|7RCR|9TLV|aAART
118	16132 22113	   	175.97	DCR|3VULN|2DMG|1AART	158VULN|2MLV|3ERES|46DMG|7RCR|9BEXP|aAART
119	16132 22133	   	175.97	DCR|3VULN|2DMG|1AART	158VULN|2MLV|3ERES|46DMG|7RCR|9LHND|aAART
120	16132 22411	   	175.97	DCR|3DMG|2VULN|1AART	15VULN|2MLV|3ERES|468DMG|7RCR|9CGEN|aAART
121	16132 22421	   	175.97	DCR|3DMG|2VULN|1AART	15VULN|2MLV|3ERES|468DMG|7RCR|9RMIN|aAART
122	41332 22411	   	175.97	DCR|3DMG|2VULN|1AART	1TLV|25VULN|3RMIN|468DMG|7RCR|9CGEN|aAART
123	15132 22461	   	175.87	DCR|3DMG|2VULN|1AART	15VULN|2CGEN|3ERES|468DMG|7RCR|9TLV|aAART
124	16132 22461	   	175.87	DCR|3DMG|2VULN|1AART	15VULN|2MLV|3ERES|468DMG|7RCR|9TLV|aAART
125	41132 22113	   	175.87	DCR|3VULN|2DMG|1AART	1TLV|258VULN|3ERES|46DMG|7RCR|9BEXP|aAART
126	41132 22133	   	175.87	DCR|3VULN|2DMG|1AART	1TLV|258VULN|3ERES|46DMG|7RCR|9LHND|aAART
127	41132 22411	   	175.87	DCR|3DMG|2VULN|1AART	1TLV|25VULN|3ERES|468DMG|7RCR|9CGEN|aAART
128	41132 22421	   	175.87	DCR|3DMG|2VULN|1AART	1TLV|25VULN|3ERES|468DMG|7RCR|9RMIN|aAART
129	14134 22333	   	175.73	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG	19VULN|2DUST|389ZMB|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aFEWX
130	14134 22335	   	175.73	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG	19VULN|2DUST|389ZMB|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aBELT
131	14134 22336	   	175.73	ACR|2VULN|3ZMB|1DMG|2ASPD|1CDMG	19VULN|2DUST|389ZMB|4RCR|5DMG|6CDMG|79ASPD|9BPWR|aLWND
132	14334 43321	   	175.68	ACR|3VULN|3DMG|1ASPD	179VULN|268DUST|356DMG|4RCR|6BPWR|aASPD
133	11312 14533	 * 	175.47	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB|1SELL	19VULN|2ZMB|3RMIN|4SELL|59DMG|679DUR|8RCR|9BPWR|aCDMG
134	11316 14533	 * 	175.47	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB|1SELL	19VULN|2ZMB|3RMIN|4SELL|579DUR|69DMG|8RCR|9BPWR|aCDMG
135	23531 41522	   	175.47	DCR|3DMG|2VULN|1AART	1LIT|28VULN|3AART|467DMG|5LHND|9RCR|aCGEN
136	16332 22463	   	175.46	DCR|3VULN|3DMG|1ASPD	159VULN|2MLV|3RMIN|468DMG|7RCR|aASPD
137	23531 41521	   	175.37	DCR|3DMG|2VULN|1AART	1LIT|28VULN|3AART|467DMG|5LHND|9RCR|aMBVNT
138	14334 16313	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	19VULN|2DUST|35DMG|4RCR|6AART|7LHND|8aDUR
139	14335 16313	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	19VULN|25DUST|35DMG|4RCR|5BPWR|6AART|7LHND|8aDUR
140	64334 13313	   	175.37	ACR|2VULN|2DMG|1AART|2DUR	1LHND|2DUST|35DMG|4RCR|6AART|79VULN|8aDUR
141	41332 22463	   	175.36	DCR|3VULN|3DMG|1ASPD	1TLV|259VULN|3RMIN|468DMG|7RCR|aASPD
142	36343 12222	 * 	175.36	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR|1SELL	1SELL|2RCR|37ASPD|4DUR|5ZMB|6DMG|8CDMG|9VULN|aAART
143	14331 14114	   	175.27	ACR|2VULN|2DMG|1AART|2DUR	18VULN|25DUST|37DMG|4RCR|6AART|9aDUR
144	26311 13652	   	175.13	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LIT|2aZMB|3CDMG|4AART|5VULN|6aFEWX|7RCR|8BEXP|9aDMG|aBPWR
145	26311 13152	   	175.03	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1LIT|2aZMB|3CDMG|4AART|5VULN|6aFEWX|7RCR|8DUST|9aDMG|aBPWR
146	14334 11135	   	174.98	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1VULN|2DUST|35aDMG|4RCR|6AART|7ASPD|8DUR|9ERES
147	14335 11135	   	174.98	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1VULN|25DUST|35aDMG|4RCR|5BPWR|6AART|7ASPD|8DUR|9ERES
148	31314 33533	   	174.97	DCR|3DMG|2VULN|2ASPD|1ZMB|1SELL	1SELL|259DMG|39VULN|4LHND|6ZMB|79ASPD|8RCR|9BPWR|aBEXP
149	31314 33535	   	174.97	DCR|3DMG|2VULN|2ASPD|1ZMB|1SELL	1SELL|259DMG|39VULN|4LHND|6ZMB|79ASPD|8RCR|9BPWR|aBELT
150	31314 33536	   	174.97	DCR|3DMG|2VULN|2ASPD|1ZMB|1SELL	1SELL|259DMG|39VULN|4LHND|6ZMB|79ASPD|8RCR|9BPWR|aLWND
151	43343 11523	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2AART|3RCR|4BEXP|5CDMG|6DUST|7ZMB|89VULN|aDMG
152	43363 41313	   	174.87	ACR|2VULN|2DMG|1AART|1DUR	1aTLV|2AART|3RCR|4aDMG|58BEXP|6DUR|7LEGI|9aVULN|aBPWR
153	43525 13122	 * 	174.65	ACR|3VULN|1AART|1DMG|2ASPD	1TLV|2AART|378VULN|4aASPD|5RCR|6ERES|9DMG
154	14334 12211	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|2DUST|35DMG|4RCR|6aAART|7BEXP|8LHND
155	14334 12311	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|2DUST|35DMG|4RCR|6aAART|7BEXP|8LWND
156	14334 16111	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|2DUST|35DMG|4RCR|6aAART|7LHND|8FEWX
157	14335 12211	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7BEXP|8LHND
158	14335 12311	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7BEXP|8LWND
159	14335 16111	   	174.58	ACR|2VULN|2DMG|2AART	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7LHND|8FEWX
160	64334 13111	   	174.58	ACR|2VULN|2DMG|2AART	1LHND|2DUST|35DMG|4RCR|6aAART|79VULN|8FEWX
161	11133 64153	 * 	174.56	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	18aVULN|2ZMB|38ERES|4DMG|5CDMG|6RCR|78DUR|8BPWR|9RMIN
162	11133 64163	   	174.56	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	18aVULN|2ZMB|38ERES|4DMG|5CDMG|6RCR|78DUR|8BPWR|9CGEN
163	14334 13316	   	174.48	ACR|2VULN|2DMG|2AART	19VULN|2DUST|35DMG|4RCR|6aAART|7TLV|8FEWX
164	14334 16211	   	174.48	ACR|2VULN|2DMG|2AART	19VULN|2DUST|35DMG|4RCR|6aAART|7LHND|8LEGI
165	14335 13316	   	174.48	ACR|2VULN|2DMG|2AART	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7TLV|8FEWX
166	14335 16211	   	174.48	ACR|2VULN|2DMG|2AART	19VULN|25DUST|35DMG|4RCR|5BPWR|6aAART|7LHND|8LEGI
167	64334 13211	   	174.48	ACR|2VULN|2DMG|2AART	1LHND|2DUST|35DMG|4RCR|6aAART|79VULN|8LEGI
168	12132 33262	   	174.25	DCR|3VULN|2DMG|3ZMB	189VULN|2DMSP|3LHND|48DMG|578ZMB|6RMIN|8BPWR|aRCR
169	13362 33262	   	174.25	DCR|3VULN|2DMG|3ZMB	189VULN|24LHND|38DMG|578ZMB|6RMIN|8BPWR|aRCR
170	12321 25125	 * 	174.20	DCR|5VULN|1AART|1CDMG	14579VULN|2DMSP|3LIT|6AART|8CDMG|aRCR
171	14331 35613	 * 	174.15	ACR|3DMG|1AART|1VULN|1CDMG	1VULN|25DUST|39aDMG|4RCR|6FEWX|7AART|8CDMG
