0	Index      	 *	Score 	Summary	Detail	
1	13122 14513	 * 	193.27	DCR|4VULN|2DMG|1AART	13aCGEN|2368VULN|3aBPWR|4aTLV|5AART|7RCR|9aDMG
44	12363 14322	   	176.35	DCR|2VULN|2DMG|1AART|2DUR	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aDLOT
45	12363 14325	   	176.35	DCR|2VULN|2DMG|1AART|2DUR	159CGEN|23DUR|4AART|69DMG|7RCR|89VULN|9BPWR|aERES
46	12626 23261	   	176.17	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	1CGEN|29DUR|3CDMG|4LWND|5RCR|69ZMB|7aDMG|89VULN|9BPWR
47	21131 21455	   	176.11	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1DUR|278DMG|3CANHEL|4VULN|5CDMG|6RCR|9ZMB|aASPD
48	21131 21143	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|27DMG|3CANHEL|49aVULN|5CDMG|6RCR|8CGEN
49	21131 21432	   	175.75	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|278DMG|3CANHEL|4aVULN|5CDMG|6RCR|9RPLT
50	21131 21643	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|27DMG|3CANHEL|49aVULN|5CDMG|6RCR|8MLV
51	21223 36623	 * 	175.66	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	19DUR|2DMG|3RCVC|49VULN|5CGEN|6AART|7ASPD|89ZMB|9BPWR|aRCR
52	21131 21424	   	175.65	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|278DMG|3CANHEL|4aVULN|5CDMG|6RCR|9NUKE
53	13112 14314	   	175.58	DCR|4VULN|1AART|1DMG	13CGEN|236aVULN|3BPWR|4ERES|5AART|7RCR|8DMSP|9DMG
54	13122 14314	   	175.58	DCR|4VULN|1AART|1DMG	13CGEN|236aVULN|3BPWR|4TLV|5AART|7RCR|8DMSP|9DMG
55	13122 14511	   	175.58	DCR|4VULN|1AART|1DMG	13CGEN|2368VULN|3BPWR|4TLV|5AART|7RCR|9DMG|aLWND
56	13122 14515	   	175.58	DCR|4VULN|1AART|1DMG	13CGEN|2368VULN|3BPWR|4TLV|5AART|7RCR|9DMG|aLHND
57	13122 14516	   	175.58	DCR|4VULN|1AART|1DMG	13CGEN|2368VULN|3BPWR|4TLV|5AART|7RCR|9DMG|aRPLT
58	23442 23261	   	175.57	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	1DUR|29LWND|3RCR|4ERES|5CDMG|69ZMB|7aDMG|89VULN|9BPWR
59	21226 36623	   	175.56	DCR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	19DUR|2DMG|3RCVC|49VULN|5TLV|6AART|7ASPD|89ZMB|9BPWR|aRCR
60	21131 21456	   	175.48	DCR|3DMG|1VULN|2CDMG|1ZMB|1DUR	1DUR|278DMG|3CANHEL|4VULN|5aCDMG|6RCR|9ZMB
61	22131 23432	   	175.39	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|4VULN|57CDMG|6RCR|7BPWR|8DMG|9AART|aRCVC
62	36132 22562	   	175.32	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1FEWX|29VULN|3DUR|4aCGEN|59CDMG|6ZMB|7RCR|89DMG|9BPWR
63	36132 22563	   	175.32	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1FEWX|29VULN|3DUR|4CGEN|59CDMG|6ZMB|7RCR|89DMG|9BPWR|aMLV
64	21243 35522	   	175.27	DCR|2VULN|2DMG|1AART|3DUR	179DUR|29DMG|3RCVC|4LWND|5CGEN|6AART|89VULN|9BPWR|aRCR
65	21242 35522	   	175.17	DCR|2VULN|2DMG|1AART|3DUR	179DUR|29DMG|3RCVC|4LWND|5ERES|6AART|89VULN|9BPWR|aRCR
66	16161 32612	 * 	175.16	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CGEN|28ZMB|3RCVC|47VULN|5RCR|6AART|9DMG|aCDMG
67	13112 14312	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|236VULN|3BPWR|4ERES|5AART|7RCR|8DMSP|9DMG|aCDMG
68	13122 14312	   	175.13	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|236VULN|3BPWR|4TLV|5AART|7RCR|8DMSP|9DMG|aCDMG
69	13122 44512	   	175.03	DCR|3VULN|1AART|1DMG|1CDMG	13CGEN|238VULN|3BPWR|46TLV|5AART|7RCR|9DMG|aCDMG
70	12263 14321	   	174.56	DCR|2VULN|2DMG|1AART|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aFEWX
71	12263 14324	   	174.56	DCR|2VULN|2DMG|1AART|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aRMIN
72	12263 14326	   	174.56	DCR|2VULN|2DMG|1AART|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aLWND
73	21136 65323	   	174.46	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	15DUR|2DMG|3CANHEL|48aVULN|6RCR|7ZMB|9CDMG
74	12263 14322	   	174.46	DCR|2VULN|2DMG|1AART|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aDLOT
75	12263 14325	   	174.46	DCR|2VULN|2DMG|1AART|1DUR	159CGEN|2DUR|3RCVC|4AART|69DMG|7RCR|89VULN|9BPWR|aERES
76	21336 52533	   	174.26	DCR|2VULN|2DMG|1AART|3DUR	134DUR|29DMG|5LIT|69BEXP|79VULN|8RCR|9BPWR|aAART
77	21336 62533	   	174.26	DCR|2VULN|2DMG|1AART|3DUR	134DUR|29DMG|5LIT|69FEWX|79VULN|8RCR|9BPWR|aAART
78	21331 42533	   	174.16	DCR|2VULN|2DMG|1AART|3DUR	134DUR|29DMG|5DUST|69LIT|79VULN|8RCR|9BPWR|aAART
79	13351 33551	 * 	174.13	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG	1CGEN|2VULN|3CDMG|48ASPD|5SNIHEL|6RCR|7AART|9aDMG
80	22131 23433	   	174.08	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|4VULN|57CDMG|6RCR|7BPWR|8DMG|9AART|aCGEN
81	22131 23436	   	173.98	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|4VULN|57CDMG|6RCR|7BPWR|8DMG|9AART|aTLV
82	11214 33541	   	173.83	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1CGEN|2BASHEA|3aDMG|4VULN|59CDMG|6RCR|7AART|8ASPD
83	13331 33541	   	173.83	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1CGEN|2VULN|39CDMG|4aDMG|5SNIHEL|6RCR|7AART|8ASPD
84	13331 33546	   	173.83	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1CGEN|2aVULN|39CDMG|4DMG|5SNIHEL|6RCR|7AART|8ASPD
85	13122 14533	   	173.46	DCR|4VULN|1AART|1ZMB|1DUR	13CGEN|2368VULN|3BPWR|4TLV|5AART|7RCR|9DUR|aZMB
86	13122 14636	   	173.46	DCR|4VULN|1AART|1ZMB|1DUR	13CGEN|236aVULN|3BPWR|4TLV|5AART|7RCR|8ZMB|9DUR
87	21411 11635	 * 	173.40	DCR|2VULN|2DMG|2AART|1DUR	1DUR|28DMG|3LIT|46VULN|5BEXP|79AART|aRCR
88	16111 32636	   	173.31	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ZMB|3RCVC|4LHND|5RCR|6AART|78aVULN|9DMG
89	16161 32136	   	173.31	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ZMB|3RCVC|47aVULN|5RCR|6AART|8LHND|9DMG
90	16161 32511	   	173.31	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ZMB|3RCVC|478VULN|5RCR|6AART|9DMG|aLWND
91	16161 32513	   	173.31	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2ZMB|3RCVC|478VULN|5RCR|6AART|9DMG|aLSRICY
92	12264 14333	   	173.07	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1CGEN|25DUR|3RCVC|4AART|69DMG|7RCR|8VULN|aZMB
93	21363 12122	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|5CGEN|67VULN|89LHND|9BPWR|aRCR
94	21363 15152	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	137DUR|28DMG|4AART|58CGEN|68VULN|8BPWR|9LHND|aRCR
95	21365 12622	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|58VULN|6FEWX|79CGEN|9BPWR|aRCR
96	21365 32122	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|57VULN|6CGEN|89LHND|9BPWR|aRCR
97	21366 32122	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|5LWND|6CGEN|79VULN|8DMSP|9BPWR|aRCR
98	21366 32422	   	173.06	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|58LWND|6CGEN|79VULN|9BPWR|aRCR
99	21361 11322	   	172.96	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4AART|56FEWX|7ERES|89VULN|9BPWR|aRCR
100	31222 24463	 * 	172.96	DCR|2VULN|2DMG|2CDMG|2ASPD|1DUR	1FEWX|28DMG|3DUR|4DUST|58CDMG|6aVULN|78ASPD|8BPWR|9RCR
101	13331 33123	   	172.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CGEN|2aVULN|3CDMG|4DMG|5aSNIHEL|6RCR|7AART|8FEWX|9aDUR|aBPWR
102	21623 62263	   	172.43	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1aDUR|29DMG|3CDMG|4LWND|59ERES|6RCR|7ASPD|89VULN|9BPWR
103	31323 32436	   	172.33	DCR|3DMG|1AART|1VULN|1CDMG	18FEWX|289DMG|3RMIN|4VULN|5CDMG|68LWND|7RCR|8BPWR|aAART
104	31323 42436	   	172.33	DCR|3DMG|1AART|1VULN|1CDMG	18FEWX|289DMG|3RMIN|4VULN|5CDMG|68LHND|7RCR|8BPWR|aAART
105	36113 12434	   	172.26	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	18FEWX|248VULN|34DUR|48BPWR|5CDMG|68DUST|7RCR|9DMG|aZMB
106	36113 12441	   	172.26	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	18FEWX|248VULN|34DUR|48BPWR|5CDMG|68DUST|7RCR|9ZMB|aDMG
107	21321 32122	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|47VULN|5MLV|6AART|89LHND|9BPWR|aRCR
108	21323 32122	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|47VULN|5CGEN|6AART|89LHND|9BPWR|aRCR
109	21323 35152	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	137DUR|28DMG|48VULN|58CGEN|6AART|8BPWR|9LHND|aRCR
110	21341 32122	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4LWND|5MLV|6AART|79VULN|8DMSP|9BPWR|aRCR
111	21341 32422	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|48LWND|5MLV|6AART|79VULN|9BPWR|aRCR
112	21341 33522	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4LWND|57MLV|6AART|89VULN|9BPWR|aRCR
113	21343 32122	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4LWND|5CGEN|6AART|79VULN|8DMSP|9BPWR|aRCR
114	21343 32422	   	171.86	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|48LWND|5CGEN|6AART|79VULN|9BPWR|aRCR
115	21623 63261	   	171.81	DCR|2VULN|2DMG|2CDMG|2DUR	19DUR|2aDMG|39CDMG|4LWND|5ERES|6RCR|7NUKE|89VULN|9BPWR
116	21342 32122	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4LWND|5ERES|6AART|79VULN|8DMSP|9BPWR|aRCR
117	21342 32422	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|48LWND|5ERES|6AART|79VULN|9BPWR|aRCR
118	21346 32123	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|4LWND|5TLV|6AART|79VULN|8DMSP|9BPWR|aRCR
119	21346 32423	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|48LWND|5TLV|6AART|79VULN|9BPWR|aRCR
120	21322 32122	   	171.76	DCR|2VULN|2DMG|1AART|3DUR	139DUR|29DMG|47VULN|5ERES|6AART|89LHND|9BPWR|aRCR
121	13461 11112	   	171.70	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|26aVULN|3LIT|4RCR|5BEXP|7AART|8ZMB|9DMG
122	21322 35152	   	171.66	DCR|2VULN|2DMG|1AART|3DUR	137DUR|28DMG|48VULN|58ERES|6AART|8BPWR|9LHND|aRCR
123	36413 16112	 * 	171.64	ACR|3VULN|2DMG|1CDMG	148FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aDUST|7RCVC|9aDMG
124	11214 33252	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2BASHEA|39DMG|4VULN|5CDMG|6RCR|7AART|8LHND|aZMB
125	13331 33252	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2VULN|3CDMG|49DMG|5SNIHEL|6RCR|7AART|8LHND|aZMB
126	36413 31212	   	171.54	ACR|3VULN|2DMG|1CDMG	147FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aLWND|8RCVC|9aDMG
127	36413 41212	   	171.54	ACR|3VULN|2DMG|1CDMG	147FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aLHND|8RCVC|9aDMG
128	23442 23251	   	171.52	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2LWND|3RCR|4ERES|5CDMG|6ZMB|7aDMG|89VULN
129	36413 11212	   	171.34	ACR|3VULN|2DMG|1CDMG	147FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aDUST|8RCVC|9aDMG
130	36132 22661	   	171.28	DCR|2VULN|1DMG|2CDMG|2ASPD|1ZMB|1DUR	1FEWX|29VULN|3DUR|4CGEN|59CDMG|6ZMB|7RCR|89ASPD|9BPWR|aDMG
131	36122 42431	   	171.25	DCR|2VULN|2DMG|2CDMG|1DUR|1ASPD	18FEWX|28VULN|3DUR|4ASPD|58CDMG|6RMIN|7RCR|8BPWR|9aDMG
132	21636 62113	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|24DMG|3CDMG|59LIT|67aVULN|8RCR
133	21636 62131	   	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	1DUR|24DMG|3CDMG|5LIT|67aVULN|8RCR|9RPLT
134	11213 23654	 * 	171.02	DCR|3VULN|3DMG	159CGEN|2BASHEA|379DMG|49aVULN|6RCR|8RPLT|9BPWR
135	13336 23543	   	170.92	DCR|2VULN|2DMG|2CDMG|2ASPD	19CGEN|2aVULN|39CDMG|46DMG|5LIT|7RCR|89ASPD|9BPWR
136	23432 32433	   	170.92	ACR|3VULN|2DMG|2DUR	1aDUR|2aLWND|3RCR|4BEXP|5RCVC|679VULN|8aDMG|aBPWR
137	21432 11414	   	170.85	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aDMG|3LIT|4ERES|5RPLT|6MBVNT|7aVULN|8RCR|9AART|aBPWR
138	23422 32433	   	170.82	ACR|3VULN|2DMG|2DUR	1aDUR|2aLWND|3RCR|4DUST|5RCVC|679VULN|8aDMG|aBPWR
139	24446 43312	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2BELT|3MBVNT|4DMG|5AART|6RCR|7LIT|89aVULN
140	22462 22263	   	170.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2ASPD|3LIT|4DMG|5ZMB|6RCR|7aVULN|8LHND|9AART
141	32462 22163	   	170.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2ASPD|3LIT|4DMG|5ZMB|6RCR|7aVULN|8DUR|9AART
142	21131 21233	 * 	170.52	DCR|3DMG|3CDMG|1VULN|1DUR	1DUR|279DMG|3CANHEL|4VULN|58aCDMG|6RCR
143	13122 14653	 * 	170.47	DCR|4VULN|1AART|2ZMB	13aCGEN|2369VULN|3aBPWR|4aTLV|5AART|7RCR|8aZMB
144	22131 21243	   	170.40	DCR|3VULN|1DMG|1CDMG|2DUR|1ASPD	18DUR|2ASPD|3CANHEL|49aVULN|5CDMG|6RCR|7DMG
145	13122 14614	   	170.37	DCR|4VULN|1AART|2ZMB	13CGEN|236aVULN|3BPWR|4TLV|5AART|7RCR|89ZMB
146	36416 11213	 * 	170.00	ACR|2VULN|2AART|1DMG|1ZMB	14FEWX|24VULN|3RCR|4BPWR|5ZMB|6LIT|79AART|8LHND|aDMG
147	36416 11313	   	170.00	ACR|2VULN|2AART|1DMG|1ZMB	14FEWX|24VULN|3RCR|4BPWR|5ZMB|6LIT|79AART|8LWND|aDMG
148	22136 52633	   	169.97	DCR|4VULN|1DMG|3DUR|1ASPD	157DUR|2ASPD|37CANHEL|467aVULN|7BPWR|8RCR|9DMG
149	13122 14612	 * 	169.92	DCR|3VULN|1AART|2ZMB|1CDMG	13CGEN|236VULN|3BPWR|4TLV|5AART|7RCR|89ZMB|aCDMG
150	13122 14613	 * 	169.90	DCR|3VULN|3ZMB|1AART	13aCGEN|236VULN|3aBPWR|4aTLV|5AART|7RCR|89aZMB
151	21321 35622	 * 	169.83	DCR|3VULN|1AART|1DMG|3DUR	139DUR|2DMG|489VULN|59MLV|6AART|7LEGI|9BPWR|aRCR
152	21131 21413	   	169.77	DCR|3DMG|1VULN|2CDMG|2DUR	19DUR|278DMG|3CANHEL|4VULN|5aCDMG|6RCR
153	12363 14333	   	169.66	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	15CGEN|23DUR|4AART|69DMG|7RCR|8VULN|aZMB
154	25363 14333	   	169.66	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	13DUR|25CGEN|4AART|69DMG|7RCR|8VULN|aZMB
155	36413 31612	   	169.63	ACR|3VULN|2DMG|1CDMG	147FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aLWND|8DMSP|9aDMG
156	36413 35112	   	169.63	ACR|3VULN|2DMG|1CDMG	148FEWX|24aVULN|3RCR|4aBPWR|5CDMG|67aLWND|9aDMG
157	36412 43112	   	169.63	ACR|3VULN|2DMG|1CDMG	148FEWX|24aVULN|3RCR|4aBPWR|5DMSP|6CDMG|7aLHND|9aDMG
158	16161 32223	   	169.53	ACR|3VULN|1AART|2ZMB|2DUR	19CGEN|2aZMB|3RCVC|479VULN|5RCR|6AART|89DUR|9BPWR
159	36413 11412	   	169.43	ACR|3VULN|2DMG|1CDMG	147FEWX|24aVULN|3RCR|4aBPWR|5CDMG|6aDUST|8DMSP|9aDMG
160	21363 12643	   	169.40	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	13DUR|2DMG|4AART|5CGEN|67VULN|8ZMB|9ASPD|aRCR
161	22131 23441	   	169.17	DCR|2VULN|1DMG|2CDMG|2ASPD|2DUR	17DUR|27ASPD|3CANHEL|49VULN|57CDMG|6RCR|7BPWR|8DMG|aRCVC
162	21131 21452	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|278DMG|3CANHEL|4VULN|5CDMG|6RCR|9ZMB|aRMIN
163	21131 21453	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|278DMG|3CANHEL|4VULN|5CDMG|6RCR|9ZMB|aDMSP
164	31111 21454	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1FEWX|278DMG|3CANHEL|4DUR|5CDMG|6RCR|9ZMB|aVULN
