0	Index      	 *	Score 	Summary	Detail	
1	15533 31236	 * 	193.81	DCR|3VULN|3DMG|3ZMB	1RCVC|236DMG|468VULN|5MBVNT|68BPWR|789ZMB|aRCR
54	36254 32211	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|9DMG|aMBVNT
55	36254 32213	   	177.18	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|9DMG|aERES
56	31246 12142	   	177.12	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1AART|2TLV|38aVULN|4CDMG|5ZMB|6ERES|7FLTHEA|9RCR
57	15533 34814	   	177.06	DCR|3VULN|3DMG|1DUR	1RCVC|236DMG|46aVULN|5MBVNT|6BPWR|7DMSP|8RCR|9DUR
58	31513 25211	   	177.04	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|78VULN|aZMB
59	31236 21125	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2TLV|348VULN|5LIT|6ZMB|7ASPD|9RCR|aDMG
60	16162 33123	   	176.90	DCR|3VULN|3DMG	18RCVC|27aVULN|3LIT|49aDMG|5aLHND|6RCR|aBPWR
61	11311 61533	 * 	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|2FEWX|3CGEN|4RCR|5DMG|689VULN|7CDMG|aAART
62	16311 64133	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|269VULN|3CGEN|4RCR|5DMG|7CDMG|8FEWX|aAART
63	63611 33263	   	176.49	ACR|3VULN|2DMG|1AART	13FEWX|25DMG|4RCR|6MGNLIT|789VULN|aAART
64	16311 31533	   	176.45	ACR|3VULN|1AART|1DMG|1CDMG	1RCVC|289VULN|3CGEN|4RCR|5DMG|6DUST|7CDMG|aAART
65	15533 31374	   	176.23	DCR|3VULN|3DMG|1ZMB	1RCVC|236DMG|469VULN|5MBVNT|6BPWR|7ZMB|8ERES|aRCR
66	34213 54312	 * 	175.85	ACR|3VULN|2AART|1DMG	13AART|2aLHND|4RCR|5aCGEN|6ERES|7DMG|89aVULN|aBPWR
67	16311 54111	   	175.71	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|29aVULN|3CGEN|4RCR|5DMG|6ZMB|7AART|8LHND
68	31232 63366	   	175.66	DCR|4VULN|1AART|1ZMB|1DUR	1AART|259TLV|3458VULN|5BPWR|6DUR|7RCR|aZMB
69	34213 54311	   	175.65	ACR|3VULN|2AART|1DMG	13AART|2LHND|4RCR|5CGEN|6ERES|7DMG|89aVULN
70	16214 42623	 * 	175.64	ACR|3VULN|1AART|2CDMG|2DUR	1RCVC|28aVULN|3TLV|4RCR|5MBVNT|68CDMG|78DUR|8BPWR|9AART
71	16211 54111	   	175.61	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|29aVULN|3TLV|4RCR|5DMG|6ZMB|7AART|8LHND
72	36622 33612	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2ZMB|3RPLT|45LWND|6RCR|7CDMG|8DMG|9aVULN
73	34225 11413	 * 	175.12	DCR|2AART|2VULN|2CDMG|1ZMB|1DUR	13AART|2LHND|45CDMG|6aVULN|7DUR|8RCR|9ZMB
74	32221 54412	 * 	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2BEXP|3DMSP|4CDMG|57VULN|6aDMG|8BELT|9RCR
75	16311 63431	   	174.45	ACR|2VULN|2DMG|1AART|1ASPD	17RCVC|26VULN|3CGEN|4RCR|58DMG|9AART|aASPD
76	33361 23572	 * 	174.04	DCR|2AART|2VULN|1DMG|2DUR|1ASPD	1aAART|2RPLT|35VULN|45DUR|5BPWR|6DMG|7MBVNT|8ASPD|9RCR
77	33344 33211	   	173.87	DCR|4VULN|1AART|1CDMG	1AART|2RPLT|359aVULN|4CGEN|6RCR|7CDMG|8ERES
78	33354 33211	   	173.87	DCR|4VULN|1AART|1CDMG	1AART|2RPLT|359aVULN|4MLV|6RCR|7CDMG|8ERES
79	31254 33211	   	173.77	DCR|4VULN|1AART|1CDMG	1AART|2TLV|359aVULN|4RPLT|6RCR|7CDMG|8ERES
80	31654 33211	   	173.77	DCR|4VULN|1AART|1CDMG	1AART|2TLV|3RPLT|459aVULN|6RCR|7CDMG|8ERES
81	33654 33211	   	173.77	DCR|4VULN|1AART|1CDMG	1AART|2RPLT|3TLV|459aVULN|6RCR|7CDMG|8ERES
82	15436 33231	 * 	173.71	ACR|1AART|1VULN|1DMG|2CDMG|2ASPD|1DUR	1RCVC|2DMG|3RCR|47CDMG|5VULN|6aASPD|8AART|9DUR
83	31236 53151	   	173.71	DCR|4VULN|1AART|1CDMG|1DUR	1AART|2TLV|3468VULN|56LIT|6BPWR|7DUR|9RCR|aCDMG
84	36254 33331	   	173.60	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	19AART|2ZMB|35VULN|4RPLT|6RCR|7CDMG|8LWND|aASPD
85	33346 23361	   	173.57	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2RPLT|39VULN|48CGEN|59ZMB|69DMG|7MBVNT|9BPWR|aRCR
86	36253 23261	   	173.57	DCR|2VULN|2DMG|1AART|2ZMB	1AART|29ZMB|38VULN|4RPLT|59CGEN|69DMG|7MBVNT|9BPWR|aRCR
87	16311 64212	 * 	173.55	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3CGEN|4RCR|5DMG|7CDMG|89AART|aLHND
88	16311 64213	   	173.55	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3CGEN|4RCR|5DMG|7CDMG|89AART|aLWND
89	16211 64212	   	173.45	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3TLV|4RCR|5DMG|7CDMG|89AART|aLHND
90	16211 64213	   	173.45	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3TLV|4RCR|5DMG|7CDMG|89AART|aLWND
91	16311 64211	   	173.45	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3CGEN|4RCR|5DMG|7CDMG|89AART|aDUST
92	31256 23261	   	173.37	DCR|2VULN|2DMG|1AART|2ZMB	1AART|29TLV|38VULN|4RPLT|59ZMB|69DMG|7MBVNT|9BPWR|aRCR
93	16211 64211	   	173.35	ACR|2VULN|2AART|1DMG|1CDMG	1RCVC|26VULN|3TLV|4RCR|5DMG|7CDMG|89AART|aDUST
94	33354 32253	   	173.35	DCR|5VULN|1AART	1AART|2RPLT|3589aVULN|49MLV|6RCR|79BEXP|9BPWR
95	31232 63335	   	173.30	DCR|4VULN|1AART|1DUR|1ASPD	1AART|25TLV|3458VULN|5BPWR|6DUR|7RCR|9RCVC|aASPD
96	31254 32253	   	173.15	DCR|5VULN|1AART	1AART|29TLV|3589aVULN|4RPLT|6RCR|79BEXP|9BPWR
97	31241 12142	   	173.06	DCR|3VULN|1AART|1FLTHEA|1CDMG|1ASPD	1AART|2TLV|38aVULN|4CDMG|5ASPD|6ERES|7FLTHEA|9RCR
98	16311 31215	   	173.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2aVULN|3CGEN|4RCR|5DMG|6DUST|7CDMG|8AART|9ZMB
99	31513 25214	   	172.97	ACR|2VULN|2DMG|1AART|1DUR	1AART|2TLV|3ERES|4RCR|5RPLT|69DMG|78VULN|aDUR
100	31233 61413	   	172.91	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2TLV|34aVULN|5CDMG|6RMIN|7DUR|8RCR|9ZMB
101	16211 31215	   	172.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2aVULN|3TLV|4RCR|5DMG|6DUST|7CDMG|8AART|9ZMB
102	36241 21126	   	172.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ZMB|3VULN|4CDMG|5ASPD|6LIT|79DMG|8LHND|aRCR
103	36254 32231	 * 	172.52	DCR|3VULN|2AART|2ZMB	19AART|2aZMB|358VULN|4RPLT|6RCR|7BEXP
104	36231 34122	   	172.46	DCR|3VULN|2AART|2ZMB|1ASPD	18AART|27ZMB|347VULN|57LWND|6BELT|7BPWR|9RCR|aASPD
105	23352 51612	   	172.42	DCR|3DMG|2VULN|1AART|1SELL	1SELL|267LHND|3BELT|47VULN|57aDMG|7BPWR|8AART|9RCR
106	26332 51612	   	172.42	DCR|3DMG|2VULN|1AART|1SELL	1SELL|27VULN|3BELT|467LHND|57aDMG|7BPWR|8AART|9RCR
107	16311 62431	   	172.38	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|26VULN|37CGEN|4RCR|58DMG|9AART|aASPD
108	34225 13623	 * 	172.34	DCR|2AART|2VULN|1DMG|2CDMG	13AART|2LHND|45CDMG|68VULN|7DUST|9DMG|aRCR
109	31235 63334	   	172.32	DCR|3VULN|1AART|1DMG|1DUR	1AART|2TLV|348VULN|5DMSP|6DUR|7RCR|9RCVC|aDMG
110	36235 34122	   	172.26	DCR|3VULN|2AART|2ZMB|1ASPD	18AART|27ZMB|347VULN|5LEGI|6BELT|7BPWR|9RCR|aASPD
111	15141 31274	   	172.24	ACR|3DMG|2VULN|2ZMB	1RCVC|25aDMG|3DMSP|4RCR|5aBPWR|6MBVNT|7LHND|8aVULN|9aZMB
112	33344 33422	 * 	172.22	DCR|3VULN|1AART|3CDMG	1AART|2RPLT|35aVULN|4CGEN|6RCR|78aCDMG|9aERES|aBPWR
113	33354 33422	   	172.22	DCR|3VULN|1AART|3CDMG	1AART|2RPLT|35aVULN|4MLV|6RCR|78aCDMG|9aERES|aBPWR
114	16312 12633	   	172.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|25VULN|35CGEN|4RCR|5BPWR|6BEXP|7ZMB|8DMG|9CDMG|aAART
115	15533 12824	   	171.82	DCR|3DMG|2VULN|2ZMB	1RCVC|23aDMG|49VULN|5MBVNT|6aBEXP|7RCR|8aZMB|aBPWR
116	16212 12633	   	171.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|25VULN|35TLV|4RCR|5BPWR|6BEXP|7ZMB|8DMG|9CDMG|aAART
117	33344 32235	 * 	171.77	DCR|4VULN|2AART	19AART|2RPLT|358aVULN|4CGEN|6RCR|7BEXP
118	15133 62824	   	171.72	DCR|3VULN|2DMG|2ZMB	1RCVC|2aDMG|3DMSP|49aVULN|5MBVNT|6LEGI|7RCR|8aZMB|aBPWR
119	31254 32233	   	171.67	DCR|4VULN|2AART	19AART|2TLV|358aVULN|4RPLT|6RCR|7BEXP
120	31654 32233	   	171.67	DCR|4VULN|2AART	19AART|2TLV|3RPLT|458aVULN|6RCR|7BEXP
121	33654 32233	   	171.67	DCR|4VULN|2AART	19AART|2RPLT|3TLV|458aVULN|6RCR|7BEXP
122	36252 23362	 * 	171.64	DCR|3VULN|1AART|2FLTHEA|2ZMB	1AART|28ZMB|389VULN|4RPLT|5LWND|6FEWX|78FLTHEA|8BPWR|aRCR
123	15436 33212	 * 	171.61	ACR|2AART|1VULN|1DMG|2CDMG|1ASPD	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|89AART|aLHND
124	15436 33213	   	171.61	ACR|2AART|1VULN|1DMG|2CDMG|1ASPD	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|89AART|aLWND
125	36252 33362	   	171.54	DCR|3VULN|1AART|2FLTHEA|2ZMB	1AART|28ZMB|389VULN|4RPLT|5LWND|6DUST|78FLTHEA|8BPWR|aRCR
126	33344 32251	   	171.52	DCR|4VULN|1AART|1ZMB	1AART|2RPLT|3589VULN|49CGEN|6RCR|79BEXP|9BPWR|aZMB
127	33354 32251	   	171.52	DCR|4VULN|1AART|1ZMB	1AART|2RPLT|3589VULN|49MLV|6RCR|79BEXP|9BPWR|aZMB
128	15436 33211	   	171.51	ACR|2AART|1VULN|1DMG|2CDMG|1ASPD	1RCVC|2DMG|3RCR|47CDMG|5VULN|6ASPD|89AART|aDUST
129	31254 32251	   	171.32	DCR|4VULN|1AART|1ZMB	1AART|29TLV|3589VULN|4RPLT|6RCR|79BEXP|9BPWR|aZMB
130	34221 41413	   	171.31	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	13AART|2LHND|4CDMG|5aVULN|6RCVC|7DUR|8RCR|9ZMB
131	26613 25133	   	171.12	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1SELL|2aVULN|3LWND|4aDUR|5RCR|6aDMG|7RMIN|8DLOT|9AART|aBPWR
132	34212 31461	   	171.10	ACR|2AART|2VULN|1DMG|1ZMB	13AART|2LHND|4RCR|5DMSP|6DMG|7RMIN|8ZMB|9aVULN
133	34212 31521	   	171.10	ACR|2AART|2VULN|1DMG|1ZMB	13AART|2LHND|4RCR|5DMSP|6DMG|7RMIN|8aVULN|9ZMB
134	16314 42621	   	171.08	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB	1RCVC|28VULN|3CGEN|4RCR|5MBVNT|68CDMG|78DUR|8BPWR|9AART|aZMB
135	31236 53152	   	171.06	DCR|4VULN|1AART|1ZMB|1DUR	1AART|2TLV|3468VULN|56LIT|6BPWR|7DUR|9RCR|aZMB
136	31513 36216	   	171.04	ACR|3VULN|1AART|1DMG|1ASPD	1AART|2TLV|3ERES|4RCR|5RPLT|68aVULN|7ASPD|9DMG
137	16214 42621	   	170.98	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB	1RCVC|28VULN|3TLV|4RCR|5MBVNT|68CDMG|78DUR|8BPWR|9AART|aZMB
138	11311 61536	 * 	170.94	ACR|3VULN|2DMG|1CDMG	1RCVC|2FEWX|3CGEN|4RCR|5aDMG|689VULN|7CDMG
139	15216 23363	   	170.89	ACR|2DMG|1AART|1VULN|2CDMG|2RCVC	16RCVC|2aDMG|3aFEWX|4RCR|5AIRHEA|7VULN|8AART|9aCDMG|aBPWR
140	36254 32221	   	170.87	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|358VULN|4RPLT|6RCR|7BEXP|9MLV|aCDMG
141	16311 31536	   	170.84	ACR|3VULN|2DMG|1CDMG	1RCVC|289VULN|3CGEN|4RCR|5aDMG|6DUST|7CDMG
142	33344 33215	   	170.77	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|359VULN|4CGEN|6RCR|7CDMG|8ERES|aZMB
143	33354 33215	   	170.77	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2RPLT|359VULN|4MLV|6RCR|7CDMG|8ERES|aZMB
144	31254 33215	   	170.67	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2TLV|359VULN|4RPLT|6RCR|7CDMG|8ERES|aZMB
145	36254 33212	   	170.67	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|359VULN|4RPLT|6RCR|7CDMG|8ERES|aLSRHEA
146	36254 33213	   	170.67	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2ZMB|359VULN|4RPLT|6RCR|7CDMG|8ERES|aTLV
147	31232 23111	   	170.65	DCR|5VULN|1AART	1AART|25TLV|3459aVULN|5BPWR|6BEXP|7RCR|8LHND
148	31232 23511	   	170.65	DCR|5VULN|1AART	1AART|25TLV|3459aVULN|5BPWR|6BEXP|7RCR|8LWND
149	31232 33111	   	170.65	DCR|5VULN|1AART	1AART|25TLV|3459aVULN|5BPWR|6FEWX|7RCR|8LHND
150	31232 33511	   	170.65	DCR|5VULN|1AART	1AART|25TLV|3459aVULN|5BPWR|6FEWX|7RCR|8LWND
151	15533 12524	 * 	170.52	DCR|3DMG|2VULN|2ASPD	1RCVC|23aDMG|49VULN|5MBVNT|6aBEXP|7RCR|8aASPD|aBPWR
152	31236 21121	   	170.51	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|2TLV|348VULN|5LIT|6ZMB|7ASPD|9RCR|aCDMG
153	36233 13414	   	170.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2ZMB|345VULN|6DUST|7CDMG|8BELT|9RCR|aDUR
154	33311 23662	 * 	170.43	DCR|3VULN|1AART|1DMG|1FLTHEA	1AART|2RPLT|358VULN|45BEXP|5BPWR|6DMG|7FLTHEA|9LWND|aRCR
155	15133 62524	 * 	170.42	DCR|3VULN|2DMG|2ASPD	1RCVC|2aDMG|3DMSP|49aVULN|5MBVNT|6LEGI|7RCR|8aASPD|aBPWR
156	16211 12236	   	170.34	ACR|3VULN|1AART|1DMG|1DUR	1RCVC|28aVULN|3TLV|4RCR|5DMG|6RPLT|7DUR|9AART
157	16311 51531	 * 	170.34	ACR|2VULN|2DMG|2ZMB|1CDMG	1RCVC|28VULN|3CGEN|4RCR|58DMG|68ZMB|7RPLT|8BPWR|9LHND|aCDMG
158	32221 54223	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2BEXP|3DMSP|4CDMG|578VULN|6DMG|9LHND|aRCR
159	32421 54223	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|23BEXP|4CDMG|578VULN|6DMG|9LHND|aRCR
160	32523 51623	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2BEXP|358VULN|45MLV|5BPWR|6ERES|7CDMG|9DMG|aRCR
161	32542 11623	   	170.33	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2BEXP|348VULN|5DMSP|6LWND|7CDMG|9DMG|aRCR
162	16211 51531	   	170.24	ACR|2VULN|2DMG|2ZMB|1CDMG	1RCVC|28VULN|3TLV|4RCR|58DMG|68ZMB|7RPLT|8BPWR|9LHND|aCDMG
163	16311 51521	   	170.24	ACR|2VULN|2DMG|2ZMB|1CDMG	1RCVC|28VULN|3CGEN|4RCR|58DMG|68ZMB|7RPLT|8BPWR|9DUST|aCDMG
164	15432 11433	 * 	170.24	ACR|2VULN|2DMG|3CDMG	1RCVC|2aDMG|3RCR|467CDMG|58aLIT|9aVULN|aBPWR
165	15432 11633	   	170.24	ACR|2VULN|2DMG|3CDMG	1RCVC|2aDMG|3RCR|467CDMG|5aLIT|8DMSP|9aVULN|aBPWR
166	31223 51623	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|358VULN|45FEWX|5BPWR|6ERES|7CDMG|9DMG|aRCR
167	31225 41623	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|368VULN|4FEWX|5CGEN|7CDMG|9DMG|aRCR
168	31233 16623	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|348VULN|5CDMG|6BEXP|7CGEN|9DMG|aRCR
169	31433 51623	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|35BEXP|458VULN|5BPWR|6ERES|7CDMG|9DMG|aRCR
170	32335 41623	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2BEXP|3TLV|468VULN|5CGEN|7CDMG|9DMG|aRCR
171	35542 33223	   	170.23	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DUST|348VULN|5DMSP|6DMG|7CDMG|9LHND|aRCR
